irons_spellbooks:affinity_ring | minecraft:crafting_shaped | irons_spellbooks:affinity_ring irons_spellbooks:mithril_scrap minecraft:bucket minecraft:crafting_shaped
irons_spellbooks:alchemist_cauldron/fill_blood_vial | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:blood irons_spellbooks:blood_vial minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_common_ink | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:common_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_epic_ink | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:epic_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_evasion_elixir | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:evasion_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_greater_evasion_elixir | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:greater_evasion_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_greater_healing_potion | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:greater_healing_elixir irons_spellbooks:greater_healing_potion minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_greater_invisibility_elixir | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:greater_invisibility_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_greater_oakskin_elixir | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:greater_oakskin_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_ice_venom_vial | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:ice_venom irons_spellbooks:ice_venom_vial minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_invisibility_elixir | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:invisibility_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_legendary_ink | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:legendary_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_oakskin_elixir | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:oakskin_elixir minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_rare_ink | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:rare_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_timeless_slurry | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:timeless_slurry minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_uncommon_ink | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill irons_spellbooks:uncommon_ink minecraft:glass_bottle
irons_spellbooks:alchemist_cauldron/fill_water_bucket | irons_spellbooks:alchemist_cauldron_fill | irons_spellbooks:alchemist_cauldron_fill minecraft:bucket minecraft:item.bucket.empty minecraft:water minecraft:water_bucket
irons_spellbooks:alchemist_cauldron/soak_bloody_vellum | irons_spellbooks:alchemist_cauldron_brew | irons_spellbooks:alchemist_cauldron_brew irons_spellbooks:blood irons_spellbooks:bloody_vellum irons_spellbooks:hogskin
irons_spellbooks:amethyst_rapier | minecraft:crafting_shaped | irons_spellbooks:amethyst_rapier irons_spellbooks:weapon_parts minecraft:amethyst_shard minecraft:chain minecraft:crafting_shaped
irons_spellbooks:amethyst_resonance_charm | minecraft:crafting_shaped | c:gems/amethyst c:leathers irons_spellbooks:amethyst_resonance_charm minecraft:crafting_shaped
irons_spellbooks:ancient_debris_from_pyrium | minecraft:blasting | irons_spellbooks:pyrium_ingot minecraft:ancient_debris minecraft:blasting
irons_spellbooks:arcane_anvil | minecraft:crafting_shaped | c:gems/diamond irons_spellbooks:arcane_anvil minecraft:amethyst_block minecraft:anvil minecraft:crafting_shaped minecraft:polished_deepslate
irons_spellbooks:arcane_ingot | minecraft:crafting_shaped | irons_spellbooks:arcane_essence irons_spellbooks:arcane_ingot irons_spellbooks:arcane_ingot_base minecraft:crafting_shaped
irons_spellbooks:arcane_rune | minecraft:crafting_shaped | irons_spellbooks:arcane_essence irons_spellbooks:arcane_rune irons_spellbooks:blank_rune minecraft:crafting_shaped
irons_spellbooks:archevoker_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_boots irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:archevoker_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_boots irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:archevoker_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_chestplate irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:archevoker_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_chestplate irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:archevoker_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_helmet irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:archevoker_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_helmet irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:archevoker_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_leggings irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:archevoker_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:archevoker_leggings irons_spellbooks:evocation_rune irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:artificer_cane | minecraft:crafting_shaped | c:gems/amethyst c:ingots/gold irons_spellbooks:artificer_cane minecraft:crafting_shaped minecraft:crimson_planks
irons_spellbooks:blood_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:blood_focus irons_spellbooks:blood_rune minecraft:crafting_shaped
irons_spellbooks:blood_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:blood_rune irons_spellbooks:blood_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:book_stack | minecraft:crafting_shaped | irons_spellbooks:book_stack minecraft:book minecraft:crafting_shaped
irons_spellbooks:boreal_blade | minecraft:crafting_shaped | c:ingots/mithril irons_spellbooks:boreal_blade irons_spellbooks:ice_venom_vial irons_spellbooks:weapon_parts minecraft:crafting_shaped minecraft:ice
irons_spellbooks:brazier | minecraft:crafting_shaped | c:nuggets/iron irons_spellbooks:brazier minecraft:campfire minecraft:crafting_shaped
irons_spellbooks:brazier_soul | minecraft:crafting_shaped | c:nuggets/iron irons_spellbooks:brazier_soul minecraft:crafting_shaped minecraft:soul_campfire
irons_spellbooks:cast_time_ring | minecraft:crafting_shaped | irons_spellbooks:cast_time_ring irons_spellbooks:mithril_scrap minecraft:amethyst_shard minecraft:crafting_shaped
irons_spellbooks:chiseled_wisewood_bookshelf | minecraft:crafting_shaped | irons_spellbooks:arcane_essence irons_spellbooks:wisewood_chiseled_bookshelf minecraft:chiseled_bookshelf minecraft:crafting_shaped
irons_spellbooks:chronicle | minecraft:crafting_shapeless | irons_spellbooks:arcane_ingot irons_spellbooks:chronicle minecraft:book minecraft:crafting_shapeless minecraft:gold_ingot
irons_spellbooks:cinderous_soulcaller | minecraft:crafting_shaped | irons_spellbooks:cinder_essence irons_spellbooks:cinderous_soulcaller minecraft:crafting_shaped minecraft:echo_shard minecraft:netherite_scrap
irons_spellbooks:citadel_map | minecraft:crafting_shaped | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:cinder_essence irons_spellbooks:furled_map_citadel minecraft:crafting_shaped minecraft:paper
irons_spellbooks:concentration_amulet | minecraft:crafting_shaped | irons_spellbooks:concentration_amulet irons_spellbooks:mithril_ingot irons_spellbooks:mithril_scrap minecraft:chain minecraft:crafting_shaped
irons_spellbooks:conjurers_talisman | minecraft:crafting_shaped | irons_spellbooks:conjurers_talisman irons_spellbooks:mithril_scrap minecraft:crafting_shaped minecraft:skeleton_skull minecraft:string
irons_spellbooks:cooldown_ring | minecraft:crafting_shaped | c:ingots/copper irons_spellbooks:cooldown_ring irons_spellbooks:mithril_scrap minecraft:crafting_shaped
irons_spellbooks:cooldown_rune | minecraft:crafting_shaped | irons_spellbooks:blank_rune irons_spellbooks:cooldown_rune minecraft:crafting_shaped minecraft:phantom_membrane
irons_spellbooks:cooldown_upgrade_orb | minecraft:crafting_shaped | irons_spellbooks:cooldown_rune irons_spellbooks:cooldown_upgrade_orb irons_spellbooks:upgrade_orb minecraft:crafting_shaped
irons_spellbooks:copper_spell_book | minecraft:crafting_shaped | c:ingots/copper irons_spellbooks:copper_spell_book minecraft:crafting_shaped minecraft:paper minecraft:string
irons_spellbooks:create_compat/create_empty_blood_vial | create:emptying | create:emptying irons_spellbooks:blood irons_spellbooks:blood_vial minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_common_ink | create:emptying | create:emptying irons_spellbooks:common_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_epic_ink | create:emptying | create:emptying irons_spellbooks:epic_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_evasion_elixir | create:emptying | create:emptying irons_spellbooks:evasion_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_greater_evasion_elixir | create:emptying | create:emptying irons_spellbooks:greater_evasion_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_greater_healing_potion | create:emptying | create:emptying irons_spellbooks:greater_healing_elixir irons_spellbooks:greater_healing_potion minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_greater_invisibility_elixir | create:emptying | create:emptying irons_spellbooks:greater_invisibility_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_greater_oakskin_elixir | create:emptying | create:emptying irons_spellbooks:greater_oakskin_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_ice_venom_vial | create:emptying | create:emptying irons_spellbooks:ice_venom irons_spellbooks:ice_venom_vial minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_invisibility_elixir | create:emptying | create:emptying irons_spellbooks:invisibility_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_legendary_ink | create:emptying | create:emptying irons_spellbooks:legendary_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_oakskin_elixir | create:emptying | create:emptying irons_spellbooks:oakskin_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_rare_ink | create:emptying | create:emptying irons_spellbooks:rare_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_timeless_slurry | create:emptying | create:emptying irons_spellbooks:timeless_slurry minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_empty_uncommon_ink | create:emptying | create:emptying irons_spellbooks:uncommon_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_blood_vial | create:filling | create:filling irons_spellbooks:blood irons_spellbooks:blood_vial minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_common_ink | create:filling | create:filling irons_spellbooks:common_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_epic_ink | create:filling | create:filling irons_spellbooks:epic_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_evasion_elixir | create:filling | create:filling irons_spellbooks:evasion_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_greater_evasion_elixir | create:filling | create:filling irons_spellbooks:greater_evasion_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_greater_healing_potion | create:filling | create:filling irons_spellbooks:greater_healing_elixir irons_spellbooks:greater_healing_potion minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_greater_invisibility_elixir | create:filling | create:filling irons_spellbooks:greater_invisibility_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_greater_oakskin_elixir | create:filling | create:filling irons_spellbooks:greater_oakskin_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_ice_venom_vial | create:filling | create:filling irons_spellbooks:ice_venom irons_spellbooks:ice_venom_vial minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_invisibility_elixir | create:filling | create:filling irons_spellbooks:invisibility_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_legendary_ink | create:filling | create:filling irons_spellbooks:legendary_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_oakskin_elixir | create:filling | create:filling irons_spellbooks:oakskin_elixir minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_rare_ink | create:filling | create:filling irons_spellbooks:rare_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_timeless_slurry | create:filling | create:filling irons_spellbooks:timeless_slurry minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:create_compat/create_fill_uncommon_ink | create:filling | create:filling irons_spellbooks:uncommon_ink minecraft:glass_bottle neoforge:mod_loaded
irons_spellbooks:cryomancer_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_boots irons_spellbooks:ice_rune irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:cryomancer_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_boots irons_spellbooks:ice_rune irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:cryomancer_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_chestplate irons_spellbooks:ice_rune irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:cryomancer_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_chestplate irons_spellbooks:ice_rune irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:cryomancer_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_helmet irons_spellbooks:ice_rune irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:cryomancer_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_helmet irons_spellbooks:ice_rune irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:cryomancer_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_leggings irons_spellbooks:ice_rune irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:cryomancer_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:cryomancer_leggings irons_spellbooks:ice_rune irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:cultist_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_boots irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:cultist_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_boots irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:cultist_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_chestplate irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:cultist_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_chestplate irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:cultist_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_helmet irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:cultist_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_helmet irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
irons_spellbooks:cultist_leggings_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_leggings irons_spellbooks:wizard_base_leggings minecraft:crafting_shapeless
irons_spellbooks:cultist_leggings_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:blood_rune irons_spellbooks:cultist_leggings irons_spellbooks:wizard_base_leggings minecraft:smithing_transform
irons_spellbooks:cursed_doll_spell_book | minecraft:crafting_shaped | irons_spellbooks:arcane_ingot irons_spellbooks:bloody_vellum irons_spellbooks:cursed_doll_spell_book irons_spellbooks:ruined_book minecraft:crafting_shaped
irons_spellbooks:decrepit_scythe_repair | minecraft:smithing_transform | c:ingots/pyrium irons_spellbooks:decrepit_scythe irons_spellbooks:hellrazor irons_spellbooks:timeless_slurry minecraft:smithing_transform
irons_spellbooks:diamond_spell_book | minecraft:crafting_shaped | c:gems/diamond irons_spellbooks:diamond_spell_book irons_spellbooks:hogskin irons_spellbooks:magic_cloth minecraft:crafting_shaped minecraft:enchanted_book
irons_spellbooks:divine_pearl | minecraft:crafting_shapeless | c:gems/amethyst c:ingots/gold irons_spellbooks:divine_pearl minecraft:crafting_shapeless
irons_spellbooks:dragonskin_spell_book | minecraft:crafting_shaped | c:obsidians irons_spellbooks:dragonskin irons_spellbooks:dragonskin_spell_book irons_spellbooks:ruined_book minecraft:crafting_shaped
irons_spellbooks:druidic_spell_book | minecraft:crafting_shaped | irons_spellbooks:druidic_spell_book irons_spellbooks:magic_cloth irons_spellbooks:rotten_spell_book minecraft:amethyst_cluster minecraft:crafting_shaped minecraft:glow_ink_sac minecraft:honey_bottle minecraft:spore_blossom
irons_spellbooks:eldritch_manuscript | minecraft:crafting_shaped | irons_spellbooks:ancient_knowledge_fragment irons_spellbooks:eldritch_manuscript minecraft:crafting_shaped minecraft:echo_shard
irons_spellbooks:electromancer_boots_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_boots irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_boots minecraft:crafting_shapeless
irons_spellbooks:electromancer_boots_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_boots irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_boots minecraft:smithing_transform
irons_spellbooks:electromancer_chestplate_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_chestplate irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_chestplate minecraft:crafting_shapeless
irons_spellbooks:electromancer_chestplate_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_chestplate irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_chestplate minecraft:smithing_transform
irons_spellbooks:electromancer_helmet_crafting | minecraft:crafting_shapeless | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_helmet irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_helmet minecraft:crafting_shapeless
irons_spellbooks:electromancer_helmet_smithing | minecraft:smithing_transform | irons_spellbooks:arcane_essence irons_spellbooks:electromancer_helmet irons_spellbooks:lightning_rune irons_spellbooks:wizard_base_helmet minecraft:smithing_transform
