bits_n_bobs:andesite_from_stone_types_andesite_stonecutting | minecraft:stonecutting | create:stone_types/andesite minecraft:andesite minecraft:stonecutting
bits_n_bobs:calcite_tile_slab_from_stone_types_calcite_stonecutting | minecraft:stonecutting | bits_n_bobs:calcite_tile_slab create:stone_types/calcite minecraft:stonecutting
bits_n_bobs:calcite_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:calcite_tile_stairs bits_n_bobs:calcite_tiles minecraft:crafting_shaped
bits_n_bobs:calcite_tile_stairs_from_stone_types_calcite_stonecutting | minecraft:stonecutting | bits_n_bobs:calcite_tile_stairs create:stone_types/calcite minecraft:stonecutting
bits_n_bobs:calcite_tile_wall | minecraft:crafting_shaped | bits_n_bobs:calcite_tile_wall bits_n_bobs:calcite_tiles minecraft:crafting_shaped
bits_n_bobs:calcite_tile_wall_from_stone_types_calcite_stonecutting | minecraft:stonecutting | bits_n_bobs:calcite_tile_wall create:stone_types/calcite minecraft:stonecutting
bits_n_bobs:calcite_tiles_from_stone_types_calcite_stonecutting | minecraft:stonecutting | bits_n_bobs:calcite_tiles create:stone_types/calcite minecraft:stonecutting
bits_n_bobs:crafting/black_chair | minecraft:crafting_shapeless | bits_n_bobs:black_chair bits_n_bobs:feature_enabled minecraft:black_wool minecraft:crafting_shapeless minecraft:wooden_stairs
bits_n_bobs:crafting/black_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:black_chair bits_n_bobs:chairs bits_n_bobs:feature_enabled c:dyes/black minecraft:crafting_shapeless
bits_n_bobs:crafting/blue_chair | minecraft:crafting_shapeless | bits_n_bobs:blue_chair bits_n_bobs:feature_enabled minecraft:blue_wool minecraft:crafting_shapeless minecraft:wooden_stairs
bits_n_bobs:crafting/blue_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:blue_chair bits_n_bobs:chairs bits_n_bobs:feature_enabled c:dyes/blue minecraft:crafting_shapeless
bits_n_bobs:crafting/brown_chair | minecraft:crafting_shapeless | bits_n_bobs:brown_chair bits_n_bobs:feature_enabled minecraft:brown_wool minecraft:crafting_shapeless minecraft:wooden_stairs
bits_n_bobs:crafting/brown_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:brown_chair bits_n_bobs:chairs bits_n_bobs:feature_enabled c:dyes/brown minecraft:crafting_shapeless
bits_n_bobs:crafting/cyan_chair | minecraft:crafting_shapeless | bits_n_bobs:cyan_chair bits_n_bobs:feature_enabled minecraft:crafting_shapeless minecraft:cyan_wool minecraft:wooden_stairs
bits_n_bobs:crafting/cyan_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:cyan_chair bits_n_bobs:feature_enabled c:dyes/cyan minecraft:crafting_shapeless
bits_n_bobs:crafting/gray_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:gray_chair minecraft:crafting_shapeless minecraft:gray_wool minecraft:wooden_stairs
bits_n_bobs:crafting/gray_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:gray_chair c:dyes/gray minecraft:crafting_shapeless
bits_n_bobs:crafting/green_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:green_chair minecraft:crafting_shapeless minecraft:green_wool minecraft:wooden_stairs
bits_n_bobs:crafting/green_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:green_chair c:dyes/green minecraft:crafting_shapeless
bits_n_bobs:crafting/light_blue_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:light_blue_chair minecraft:crafting_shapeless minecraft:light_blue_wool minecraft:wooden_stairs
bits_n_bobs:crafting/light_blue_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:light_blue_chair c:dyes/light_blue minecraft:crafting_shapeless
bits_n_bobs:crafting/light_gray_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:light_gray_chair minecraft:crafting_shapeless minecraft:light_gray_wool minecraft:wooden_stairs
bits_n_bobs:crafting/light_gray_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:light_gray_chair c:dyes/light_gray minecraft:crafting_shapeless
bits_n_bobs:crafting/lime_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:lime_chair minecraft:crafting_shapeless minecraft:lime_wool minecraft:wooden_stairs
bits_n_bobs:crafting/lime_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:lime_chair c:dyes/lime minecraft:crafting_shapeless
bits_n_bobs:crafting/magenta_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:magenta_chair minecraft:crafting_shapeless minecraft:magenta_wool minecraft:wooden_stairs
bits_n_bobs:crafting/magenta_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:magenta_chair c:dyes/magenta minecraft:crafting_shapeless
bits_n_bobs:crafting/orange_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:orange_chair minecraft:crafting_shapeless minecraft:orange_wool minecraft:wooden_stairs
bits_n_bobs:crafting/orange_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:orange_chair c:dyes/orange minecraft:crafting_shapeless
bits_n_bobs:crafting/pink_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:pink_chair minecraft:crafting_shapeless minecraft:pink_wool minecraft:wooden_stairs
bits_n_bobs:crafting/pink_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:pink_chair c:dyes/pink minecraft:crafting_shapeless
bits_n_bobs:crafting/purple_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:purple_chair minecraft:crafting_shapeless minecraft:purple_wool minecraft:wooden_stairs
bits_n_bobs:crafting/purple_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:purple_chair c:dyes/purple minecraft:crafting_shapeless
bits_n_bobs:crafting/red_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:red_chair minecraft:crafting_shapeless minecraft:red_wool minecraft:wooden_stairs
bits_n_bobs:crafting/red_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:red_chair c:dyes/red minecraft:crafting_shapeless
bits_n_bobs:crafting/white_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:white_chair minecraft:crafting_shapeless minecraft:white_wool minecraft:wooden_stairs
bits_n_bobs:crafting/white_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:white_chair c:dyes/white minecraft:crafting_shapeless
bits_n_bobs:crafting/yellow_chair | minecraft:crafting_shapeless | bits_n_bobs:feature_enabled bits_n_bobs:yellow_chair minecraft:crafting_shapeless minecraft:wooden_stairs minecraft:yellow_wool
bits_n_bobs:crafting/yellow_chair_from_other_chair | minecraft:crafting_shapeless | bits_n_bobs:chairs bits_n_bobs:feature_enabled bits_n_bobs:yellow_chair c:dyes/yellow minecraft:crafting_shapeless
bits_n_bobs:crimsite_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | create:crimsite create:stone_types/crimsite minecraft:stonecutting
bits_n_bobs:crimsite_tile_slab | minecraft:crafting_shaped | bits_n_bobs:crimsite_tile_slab bits_n_bobs:crimsite_tiles minecraft:crafting_shaped
bits_n_bobs:crimsite_tile_slab_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | bits_n_bobs:crimsite_tile_slab create:stone_types/crimsite minecraft:stonecutting
bits_n_bobs:crimsite_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:crimsite_tile_stairs bits_n_bobs:crimsite_tiles minecraft:crafting_shaped
bits_n_bobs:crimsite_tile_stairs_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | bits_n_bobs:crimsite_tile_stairs create:stone_types/crimsite minecraft:stonecutting
bits_n_bobs:crimsite_tile_wall | minecraft:crafting_shaped | bits_n_bobs:crimsite_tile_wall bits_n_bobs:crimsite_tiles minecraft:crafting_shaped
bits_n_bobs:crimsite_tile_wall_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | bits_n_bobs:crimsite_tile_wall create:stone_types/crimsite minecraft:stonecutting
bits_n_bobs:crimsite_tiles_from_stone_types_crimsite_stonecutting | minecraft:stonecutting | bits_n_bobs:crimsite_tiles create:stone_types/crimsite minecraft:stonecutting
bits_n_bobs:deepslate_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | create:stone_types/deepslate minecraft:deepslate minecraft:stonecutting
bits_n_bobs:deepslate_tile_slab | minecraft:crafting_shaped | bits_n_bobs:deepslate_tile_slab bits_n_bobs:deepslate_tiles minecraft:crafting_shaped
bits_n_bobs:deepslate_tile_slab_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | bits_n_bobs:deepslate_tile_slab create:stone_types/deepslate minecraft:stonecutting
bits_n_bobs:deepslate_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:deepslate_tile_stairs bits_n_bobs:deepslate_tiles minecraft:crafting_shaped
bits_n_bobs:deepslate_tile_stairs_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | bits_n_bobs:deepslate_tile_stairs create:stone_types/deepslate minecraft:stonecutting
bits_n_bobs:deepslate_tile_wall | minecraft:crafting_shaped | bits_n_bobs:deepslate_tile_wall bits_n_bobs:deepslate_tiles minecraft:crafting_shaped
bits_n_bobs:deepslate_tile_wall_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | bits_n_bobs:deepslate_tile_wall create:stone_types/deepslate minecraft:stonecutting
bits_n_bobs:deepslate_tiles_from_stone_types_deepslate_stonecutting | minecraft:stonecutting | bits_n_bobs:deepslate_tiles create:stone_types/deepslate minecraft:stonecutting
bits_n_bobs:diorite_from_stone_types_diorite_stonecutting | minecraft:stonecutting | create:stone_types/diorite minecraft:diorite minecraft:stonecutting
bits_n_bobs:diorite_tile_slab | minecraft:crafting_shaped | bits_n_bobs:diorite_tile_slab bits_n_bobs:diorite_tiles minecraft:crafting_shaped
bits_n_bobs:diorite_tile_slab_from_stone_types_diorite_stonecutting | minecraft:stonecutting | bits_n_bobs:diorite_tile_slab create:stone_types/diorite minecraft:stonecutting
bits_n_bobs:diorite_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:diorite_tile_stairs bits_n_bobs:diorite_tiles minecraft:crafting_shaped
bits_n_bobs:diorite_tile_stairs_from_stone_types_diorite_stonecutting | minecraft:stonecutting | bits_n_bobs:diorite_tile_stairs create:stone_types/diorite minecraft:stonecutting
bits_n_bobs:diorite_tile_wall | minecraft:crafting_shaped | bits_n_bobs:diorite_tile_wall bits_n_bobs:diorite_tiles minecraft:crafting_shaped
bits_n_bobs:diorite_tile_wall_from_stone_types_diorite_stonecutting | minecraft:stonecutting | bits_n_bobs:diorite_tile_wall create:stone_types/diorite minecraft:stonecutting
bits_n_bobs:diorite_tiles_from_stone_types_diorite_stonecutting | minecraft:stonecutting | bits_n_bobs:diorite_tiles create:stone_types/diorite minecraft:stonecutting
bits_n_bobs:dripstone_block_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | create:stone_types/dripstone minecraft:dripstone_block minecraft:stonecutting
bits_n_bobs:dripstone_tile_slab | minecraft:crafting_shaped | bits_n_bobs:dripstone_tile_slab bits_n_bobs:dripstone_tiles minecraft:crafting_shaped
bits_n_bobs:dripstone_tile_slab_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | bits_n_bobs:dripstone_tile_slab create:stone_types/dripstone minecraft:stonecutting
bits_n_bobs:dripstone_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:dripstone_tile_stairs bits_n_bobs:dripstone_tiles minecraft:crafting_shaped
bits_n_bobs:dripstone_tile_stairs_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | bits_n_bobs:dripstone_tile_stairs create:stone_types/dripstone minecraft:stonecutting
bits_n_bobs:dripstone_tile_wall | minecraft:crafting_shaped | bits_n_bobs:dripstone_tile_wall bits_n_bobs:dripstone_tiles minecraft:crafting_shaped
bits_n_bobs:dripstone_tile_wall_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | bits_n_bobs:dripstone_tile_wall create:stone_types/dripstone minecraft:stonecutting
bits_n_bobs:dripstone_tiles_from_stone_types_dripstone_stonecutting | minecraft:stonecutting | bits_n_bobs:dripstone_tiles create:stone_types/dripstone minecraft:stonecutting
bits_n_bobs:girder_strut | minecraft:crafting_shaped | bits_n_bobs:feature_item_enabled bits_n_bobs:girder_strut create:andesite_alloy create:metal_girder minecraft:crafting_shaped
bits_n_bobs:granite_from_stone_types_granite_stonecutting | minecraft:stonecutting | create:stone_types/granite minecraft:granite minecraft:stonecutting
bits_n_bobs:granite_tile_slab | minecraft:crafting_shaped | bits_n_bobs:granite_tile_slab bits_n_bobs:granite_tiles minecraft:crafting_shaped
bits_n_bobs:granite_tile_slab_from_stone_types_granite_stonecutting | minecraft:stonecutting | bits_n_bobs:granite_tile_slab create:stone_types/granite minecraft:stonecutting
bits_n_bobs:granite_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:granite_tile_stairs bits_n_bobs:granite_tiles minecraft:crafting_shaped
bits_n_bobs:granite_tile_stairs_from_stone_types_granite_stonecutting | minecraft:stonecutting | bits_n_bobs:granite_tile_stairs create:stone_types/granite minecraft:stonecutting
bits_n_bobs:granite_tile_wall | minecraft:crafting_shaped | bits_n_bobs:granite_tile_wall bits_n_bobs:granite_tiles minecraft:crafting_shaped
bits_n_bobs:granite_tile_wall_from_stone_types_granite_stonecutting | minecraft:stonecutting | bits_n_bobs:granite_tile_wall create:stone_types/granite minecraft:stonecutting
bits_n_bobs:granite_tiles_from_stone_types_granite_stonecutting | minecraft:stonecutting | bits_n_bobs:granite_tiles create:stone_types/granite minecraft:stonecutting
bits_n_bobs:headlamp | minecraft:crafting_shapeless | bits_n_bobs:feature_item_enabled bits_n_bobs:headlamp bits_n_bobs:lightbulb minecraft:crafting_shapeless
bits_n_bobs:item_application/chain_pulley_from_rope_pulley | create:item_application | bits_n_bobs:chain_pulley bits_n_bobs:feature_item_enabled create:item_application create:rope_pulley minecraft:chain
bits_n_bobs:large_bevel_cogwheel | minecraft:crafting_shapeless | bits_n_bobs:feature_item_enabled bits_n_bobs:large_flanged_cogwheel create:large_cogwheel minecraft:crafting_shapeless minecraft:iron_nugget
bits_n_bobs:large_nixie_tube | minecraft:crafting_shaped | bits_n_bobs:feature_item_enabled bits_n_bobs:large_nixie_tube create:iron_sheet create:polished_rose_quartz minecraft:crafting_shaped
bits_n_bobs:lightbulb | minecraft:crafting_shapeless | bits_n_bobs:feature_item_enabled bits_n_bobs:lightbulb c:glass_blocks minecraft:crafting_shapeless minecraft:glowstone_dust minecraft:redstone
bits_n_bobs:limestone_from_stone_types_limestone_stonecutting | minecraft:stonecutting | create:limestone create:stone_types/limestone minecraft:stonecutting
bits_n_bobs:limestone_tile_slab | minecraft:crafting_shaped | bits_n_bobs:limestone_tile_slab bits_n_bobs:limestone_tiles minecraft:crafting_shaped
bits_n_bobs:limestone_tile_slab_from_stone_types_limestone_stonecutting | minecraft:stonecutting | bits_n_bobs:limestone_tile_slab create:stone_types/limestone minecraft:stonecutting
bits_n_bobs:limestone_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:limestone_tile_stairs bits_n_bobs:limestone_tiles minecraft:crafting_shaped
bits_n_bobs:limestone_tile_stairs_from_stone_types_limestone_stonecutting | minecraft:stonecutting | bits_n_bobs:limestone_tile_stairs create:stone_types/limestone minecraft:stonecutting
bits_n_bobs:limestone_tile_wall | minecraft:crafting_shaped | bits_n_bobs:limestone_tile_wall bits_n_bobs:limestone_tiles minecraft:crafting_shaped
bits_n_bobs:limestone_tile_wall_from_stone_types_limestone_stonecutting | minecraft:stonecutting | bits_n_bobs:limestone_tile_wall create:stone_types/limestone minecraft:stonecutting
bits_n_bobs:limestone_tiles_from_stone_types_limestone_stonecutting | minecraft:stonecutting | bits_n_bobs:limestone_tiles create:stone_types/limestone minecraft:stonecutting
bits_n_bobs:nixie_board | minecraft:crafting_shaped | bits_n_bobs:feature_item_enabled bits_n_bobs:nixie_board create:iron_sheet create:polished_rose_quartz minecraft:crafting_shaped
bits_n_bobs:ochrum_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | create:ochrum create:stone_types/ochrum minecraft:stonecutting
bits_n_bobs:ochrum_tile_slab | minecraft:crafting_shaped | bits_n_bobs:ochrum_tile_slab bits_n_bobs:ochrum_tiles minecraft:crafting_shaped
bits_n_bobs:ochrum_tile_slab_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | bits_n_bobs:ochrum_tile_slab create:stone_types/ochrum minecraft:stonecutting
bits_n_bobs:ochrum_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:ochrum_tile_stairs bits_n_bobs:ochrum_tiles minecraft:crafting_shaped
bits_n_bobs:ochrum_tile_stairs_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | bits_n_bobs:ochrum_tile_stairs create:stone_types/ochrum minecraft:stonecutting
bits_n_bobs:ochrum_tile_wall | minecraft:crafting_shaped | bits_n_bobs:ochrum_tile_wall bits_n_bobs:ochrum_tiles minecraft:crafting_shaped
bits_n_bobs:ochrum_tile_wall_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | bits_n_bobs:ochrum_tile_wall create:stone_types/ochrum minecraft:stonecutting
bits_n_bobs:ochrum_tiles_from_stone_types_ochrum_stonecutting | minecraft:stonecutting | bits_n_bobs:ochrum_tiles create:stone_types/ochrum minecraft:stonecutting
bits_n_bobs:scorchia_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:scorchia create:stone_types/scorchia minecraft:stonecutting
bits_n_bobs:scorchia_tile_slab | minecraft:crafting_shaped | bits_n_bobs:scorchia_tile_slab bits_n_bobs:scorchia_tiles minecraft:crafting_shaped
bits_n_bobs:scorchia_tile_slab_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | bits_n_bobs:scorchia_tile_slab create:stone_types/scorchia minecraft:stonecutting
bits_n_bobs:scorchia_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:scorchia_tile_stairs bits_n_bobs:scorchia_tiles minecraft:crafting_shaped
bits_n_bobs:scorchia_tile_stairs_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | bits_n_bobs:scorchia_tile_stairs create:stone_types/scorchia minecraft:stonecutting
bits_n_bobs:scorchia_tile_wall | minecraft:crafting_shaped | bits_n_bobs:scorchia_tile_wall bits_n_bobs:scorchia_tiles minecraft:crafting_shaped
bits_n_bobs:scorchia_tile_wall_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | bits_n_bobs:scorchia_tile_wall create:stone_types/scorchia minecraft:stonecutting
bits_n_bobs:scorchia_tiles_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | bits_n_bobs:scorchia_tiles create:stone_types/scorchia minecraft:stonecutting
bits_n_bobs:scoria_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:scoria create:stone_types/scoria minecraft:stonecutting
bits_n_bobs:scoria_tile_slab | minecraft:crafting_shaped | bits_n_bobs:scoria_tile_slab bits_n_bobs:scoria_tiles minecraft:crafting_shaped
bits_n_bobs:scoria_tile_slab_from_stone_types_scoria_stonecutting | minecraft:stonecutting | bits_n_bobs:scoria_tile_slab create:stone_types/scoria minecraft:stonecutting
bits_n_bobs:scoria_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:scoria_tile_stairs bits_n_bobs:scoria_tiles minecraft:crafting_shaped
bits_n_bobs:scoria_tile_stairs_from_stone_types_scoria_stonecutting | minecraft:stonecutting | bits_n_bobs:scoria_tile_stairs create:stone_types/scoria minecraft:stonecutting
bits_n_bobs:scoria_tile_wall | minecraft:crafting_shaped | bits_n_bobs:scoria_tile_wall bits_n_bobs:scoria_tiles minecraft:crafting_shaped
bits_n_bobs:scoria_tile_wall_from_stone_types_scoria_stonecutting | minecraft:stonecutting | bits_n_bobs:scoria_tile_wall create:stone_types/scoria minecraft:stonecutting
bits_n_bobs:scoria_tiles_from_stone_types_scoria_stonecutting | minecraft:stonecutting | bits_n_bobs:scoria_tiles create:stone_types/scoria minecraft:stonecutting
bits_n_bobs:small_bevel_cogwheel | minecraft:crafting_shapeless | bits_n_bobs:feature_item_enabled bits_n_bobs:small_flanged_cogwheel create:cogwheel minecraft:crafting_shapeless minecraft:iron_nugget
bits_n_bobs:splashing/weathered_girder | create:splashing | bits_n_bobs:feature_item_enabled bits_n_bobs:weathered_metal_girder create:metal_girder create:splashing
bits_n_bobs:splashing/weathered_girder_strut | create:splashing | bits_n_bobs:feature_item_enabled bits_n_bobs:girder_strut bits_n_bobs:weathered_girder_strut create:splashing
bits_n_bobs:tuff_from_stone_types_tuff_stonecutting | minecraft:stonecutting | create:stone_types/tuff minecraft:stonecutting minecraft:tuff
bits_n_bobs:tuff_tile_slab | minecraft:crafting_shaped | bits_n_bobs:tuff_tile_slab bits_n_bobs:tuff_tiles minecraft:crafting_shaped
bits_n_bobs:tuff_tile_slab_from_stone_types_tuff_stonecutting | minecraft:stonecutting | bits_n_bobs:tuff_tile_slab create:stone_types/tuff minecraft:stonecutting
bits_n_bobs:tuff_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:tuff_tile_stairs bits_n_bobs:tuff_tiles minecraft:crafting_shaped
bits_n_bobs:tuff_tile_stairs_from_stone_types_tuff_stonecutting | minecraft:stonecutting | bits_n_bobs:tuff_tile_stairs create:stone_types/tuff minecraft:stonecutting
bits_n_bobs:tuff_tile_wall | minecraft:crafting_shaped | bits_n_bobs:tuff_tile_wall bits_n_bobs:tuff_tiles minecraft:crafting_shaped
bits_n_bobs:tuff_tile_wall_from_stone_types_tuff_stonecutting | minecraft:stonecutting | bits_n_bobs:tuff_tile_wall create:stone_types/tuff minecraft:stonecutting
bits_n_bobs:tuff_tiles_from_stone_types_tuff_stonecutting | minecraft:stonecutting | bits_n_bobs:tuff_tiles create:stone_types/tuff minecraft:stonecutting
bits_n_bobs:veridium_from_stone_types_veridium_stonecutting | minecraft:stonecutting | create:stone_types/veridium create:veridium minecraft:stonecutting
bits_n_bobs:veridium_tile_slab | minecraft:crafting_shaped | bits_n_bobs:veridium_tile_slab bits_n_bobs:veridium_tiles minecraft:crafting_shaped
bits_n_bobs:veridium_tile_slab_from_stone_types_veridium_stonecutting | minecraft:stonecutting | bits_n_bobs:veridium_tile_slab create:stone_types/veridium minecraft:stonecutting
bits_n_bobs:veridium_tile_stairs | minecraft:crafting_shaped | bits_n_bobs:veridium_tile_stairs bits_n_bobs:veridium_tiles minecraft:crafting_shaped
bits_n_bobs:veridium_tile_stairs_from_stone_types_veridium_stonecutting | minecraft:stonecutting | bits_n_bobs:veridium_tile_stairs create:stone_types/veridium minecraft:stonecutting
bits_n_bobs:veridium_tile_wall | minecraft:crafting_shaped | bits_n_bobs:veridium_tile_wall bits_n_bobs:veridium_tiles minecraft:crafting_shaped
bits_n_bobs:veridium_tile_wall_from_stone_types_veridium_stonecutting | minecraft:stonecutting | bits_n_bobs:veridium_tile_wall create:stone_types/veridium minecraft:stonecutting
bits_n_bobs:veridium_tiles_from_stone_types_veridium_stonecutting | minecraft:stonecutting | bits_n_bobs:veridium_tiles create:stone_types/veridium minecraft:stonecutting
bits_n_bobs:weathered_girder_strut | minecraft:crafting_shaped | bits_n_bobs:feature_item_enabled bits_n_bobs:weathered_girder_strut bits_n_bobs:weathered_metal_girder create:andesite_alloy minecraft:crafting_shaped
create:andesite_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:andesite_tile_slab bits_n_bobs:andesite_tiles minecraft:crafting_shapeless
create:asurine_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:asurine_tile_slab bits_n_bobs:asurine_tiles minecraft:crafting_shapeless
create:calcite_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:calcite_tile_slab bits_n_bobs:calcite_tiles minecraft:crafting_shapeless
create:crimsite_tile_slab_recycling | minecraft:crafting_shapeless | bits_n_bobs:crimsite_tile_slab bits_n_bobs:crimsite_tiles minecraft:crafting_shapeless
