cataclysm:abyss_eye | minecraft:crafting_shaped | cataclysm:abyss_eye minecraft:crafting_shaped minecraft:crying_obsidian minecraft:ender_eye minecraft:obsidian
cataclysm:azure_seastone_wall | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:azure_seastone_wall minecraft:crafting_shaped
cataclysm:belt_of_beginner | minecraft:crafting_shaped | cataclysm:belt_of_beginner minecraft:crafting_shaped minecraft:iron_ingot minecraft:leather
cataclysm:black_steel_axe | minecraft:crafting_shaped | cataclysm:black_steel_axe cataclysm:black_steel_ingot minecraft:crafting_shaped minecraft:stick
cataclysm:black_steel_block | minecraft:crafting_shaped | cataclysm:black_steel_block cataclysm:black_steel_ingot minecraft:crafting_shaped
cataclysm:black_steel_fence | minecraft:crafting_shaped | cataclysm:black_steel_block cataclysm:black_steel_fence cataclysm:black_steel_ingot minecraft:crafting_shaped
cataclysm:black_steel_hoe | minecraft:crafting_shaped | cataclysm:black_steel_hoe cataclysm:black_steel_ingot minecraft:crafting_shaped minecraft:stick
cataclysm:black_steel_ingot_from_block | minecraft:crafting_shapeless | cataclysm:black_steel_block cataclysm:black_steel_ingot minecraft:crafting_shapeless
cataclysm:black_steel_ingot_from_nuggets | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:black_steel_nugget minecraft:crafting_shaped
cataclysm:black_steel_nugget | minecraft:crafting_shapeless | cataclysm:black_steel_ingot cataclysm:black_steel_nugget minecraft:crafting_shapeless
cataclysm:black_steel_nugget_from_smelting | minecraft:smelting | cataclysm:black_steel_axe cataclysm:black_steel_hoe cataclysm:black_steel_nugget cataclysm:black_steel_pickaxe cataclysm:black_steel_shovel cataclysm:black_steel_sword minecraft:smelting
cataclysm:black_steel_pickaxe | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:black_steel_pickaxe minecraft:crafting_shaped minecraft:stick
cataclysm:black_steel_shovel | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:black_steel_shovel minecraft:crafting_shaped minecraft:stick
cataclysm:black_steel_sword | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:black_steel_sword minecraft:crafting_shaped minecraft:stick
cataclysm:black_steel_targe | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:black_steel_nugget cataclysm:black_steel_targe minecraft:crafting_shaped minecraft:planks
cataclysm:black_steel_wall | minecraft:crafting_shaped | cataclysm:black_steel_block cataclysm:black_steel_wall minecraft:crafting_shaped
cataclysm:blackstone_pillar | minecraft:crafting_shaped | cataclysm:blackstone_pillar minecraft:crafting_shaped minecraft:polished_blackstone
cataclysm:blasting/ancient_metal_nugget_from_blasting | minecraft:blasting | cataclysm:ancient_metal_nugget cataclysm:ancient_spear cataclysm:khopesh minecraft:blasting
cataclysm:blasting/black_steel_nugget_from_blasting | minecraft:blasting | cataclysm:black_steel_axe cataclysm:black_steel_hoe cataclysm:black_steel_nugget cataclysm:black_steel_pickaxe cataclysm:black_steel_shovel cataclysm:black_steel_sword minecraft:blasting
cataclysm:blazing_grips | minecraft:crafting_shaped | cataclysm:blazing_grips cataclysm:ignitium_ingot minecraft:crafting_shaped minecraft:nether_brick
cataclysm:bloom_stone_pauldrons | minecraft:crafting_shaped | cataclysm:amethyst_crab_shell cataclysm:bloom_stone_pauldrons minecraft:crafting_shaped
cataclysm:bone_meal | minecraft:crafting_shapeless | cataclysm:koboleton_bone minecraft:bone_meal minecraft:crafting_shapeless
cataclysm:bone_reptile_chestplate | minecraft:crafting_shaped | cataclysm:ancient_metal_ingot cataclysm:bone_reptile_chestplate cataclysm:koboleton_bone minecraft:crafting_shaped
cataclysm:bone_reptile_helmet | minecraft:crafting_shaped | cataclysm:ancient_metal_ingot cataclysm:bone_reptile_helmet cataclysm:kobolediator_skull cataclysm:koboleton_bone minecraft:crafting_shaped
cataclysm:bulwark_of_the_flame | minecraft:crafting_shaped | cataclysm:bulwark_of_the_flame cataclysm:ignitium_ingot minecraft:blaze_rod minecraft:crafting_shaped minecraft:nether_brick minecraft:shield
cataclysm:burning_ashes | minecraft:crafting_shaped | cataclysm:burning_ashes cataclysm:dying_ember minecraft:crafting_shaped
cataclysm:ceraunus | minecraft:crafting_shaped | cataclysm:ceraunus cataclysm:essence_of_the_storm cataclysm:lacrima minecraft:crafting_shaped
cataclysm:chiseled_azure_seastone_pillar | minecraft:crafting_shaped | cataclysm:azure_seastone_bricks cataclysm:chiseled_azure_seastone_pillar minecraft:crafting_shaped
cataclysm:chiseled_azure_seastone_pillar_wall | minecraft:crafting_shaped | cataclysm:chiseled_azure_seastone_pillar cataclysm:chiseled_azure_seastone_pillar_wall minecraft:crafting_shaped
cataclysm:chiseled_end_stone_bricks | minecraft:crafting_shaped | cataclysm:chiseled_end_stone_bricks minecraft:crafting_shaped minecraft:end_stone_brick_slab
cataclysm:chiseled_obsidian_bricks | minecraft:crafting_shaped | cataclysm:chiseled_obsidian_bricks cataclysm:obsidian_brick_slab minecraft:crafting_shaped
cataclysm:chiseled_purpur_block | minecraft:crafting_shaped | cataclysm:chiseled_purpur_block cataclysm:purpur_tile_slab minecraft:crafting_shaped
cataclysm:chiseled_seastone | minecraft:crafting_shaped | cataclysm:azure_seastone_slab cataclysm:chiseled_azure_seastone minecraft:crafting_shaped
cataclysm:chiseled_stone_brick_pillar | minecraft:crafting_shaped | cataclysm:chiseled_stone_brick_pillar minecraft:chiseled_stone_bricks minecraft:crafting_shaped
cataclysm:chorus_fence | minecraft:crafting_shaped | cataclysm:chorus_fence cataclysm:chorus_planks minecraft:crafting_shaped minecraft:stick
cataclysm:chorus_planks | minecraft:crafting_shapeless | cataclysm:chorus_planks cataclysm:chorus_stem minecraft:crafting_shapeless
cataclysm:chorus_slab | minecraft:crafting_shaped | cataclysm:chorus_planks cataclysm:chorus_slab minecraft:crafting_shaped
cataclysm:chorus_stairs | minecraft:crafting_shaped | cataclysm:chorus_planks cataclysm:chorus_stairs minecraft:crafting_shaped
cataclysm:chorus_stem | minecraft:crafting_shaped | cataclysm:chorus_stem minecraft:chorus_fruit minecraft:crafting_shaped
cataclysm:chorus_trapdoor | minecraft:crafting_shaped | cataclysm:chorus_planks cataclysm:chorus_trapdoor minecraft:crafting_shaped
cataclysm:crystallized_coral | minecraft:crafting_shaped | cataclysm:crystallized_coral cataclysm:crystallized_coral_fragments minecraft:crafting_shaped
cataclysm:cursed_bow | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:cursed_bow cataclysm:cursium_ingot minecraft:crafting_shaped minecraft:string
cataclysm:cursed_eye | minecraft:crafting_shaped | cataclysm:cursed_eye minecraft:bone minecraft:crafting_shaped minecraft:ender_eye minecraft:gold_ingot minecraft:phantom_membrane minecraft:rotten_flesh
cataclysm:cursium_block | minecraft:crafting_shaped | cataclysm:cursium_block cataclysm:cursium_ingot minecraft:crafting_shaped
cataclysm:cursium_ingot | minecraft:crafting_shapeless | cataclysm:cursium_block cataclysm:cursium_ingot minecraft:crafting_shapeless
cataclysm:cursium_upgrade_smithing_template | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:cursium_upgrade_smithing_template minecraft:crafting_shaped minecraft:gold_ingot minecraft:netherite_upgrade_smithing_template
cataclysm:desert_eye | minecraft:crafting_shaped | cataclysm:desert_eye minecraft:bone minecraft:cactus minecraft:chiseled_sandstone minecraft:crafting_shaped minecraft:dead_bush minecraft:emerald minecraft:ender_eye minecraft:gold_ingot minecraft:rotten_flesh
cataclysm:end_stone_pillar | minecraft:crafting_shaped | cataclysm:end_stone_pillar minecraft:crafting_shaped minecraft:end_stone_bricks
cataclysm:end_stone_teleport_trap_bricks | minecraft:crafting_shaped | cataclysm:end_stone_teleport_trap_bricks cataclysm:void_stone minecraft:crafting_shaped minecraft:end_stone_bricks
cataclysm:flame_eye | minecraft:crafting_shaped | cataclysm:flame_eye minecraft:blaze_powder minecraft:crafting_shaped minecraft:ender_eye minecraft:netherite_scrap minecraft:soul_sand
cataclysm:frosted_stone_brick_slab | minecraft:crafting_shaped | cataclysm:frosted_stone_brick_slab cataclysm:frosted_stone_bricks minecraft:crafting_shaped
cataclysm:frosted_stone_brick_stairs | minecraft:crafting_shaped | cataclysm:frosted_stone_brick_stairs cataclysm:frosted_stone_bricks minecraft:crafting_shaped
cataclysm:frosted_stone_brick_wall | minecraft:crafting_shaped | cataclysm:frosted_stone_brick_wall cataclysm:frosted_stone_bricks minecraft:crafting_shaped
cataclysm:frosted_stone_bricks | minecraft:crafting_shaped | cataclysm:frosted_stone_bricks minecraft:crafting_shaped minecraft:snow_block minecraft:stone_bricks
cataclysm:ignitium_block | minecraft:crafting_shaped | cataclysm:ignitium_block cataclysm:ignitium_ingot minecraft:crafting_shaped
cataclysm:ignitium_ingot | minecraft:crafting_shapeless | cataclysm:ignitium_block cataclysm:ignitium_ingot minecraft:crafting_shapeless
cataclysm:ignitium_upgrade_smithing_template | minecraft:crafting_shaped | cataclysm:ignitium_upgrade_smithing_template minecraft:blaze_powder minecraft:crafting_shaped minecraft:nether_bricks minecraft:netherite_upgrade_smithing_template
cataclysm:laser_gatling | minecraft:crafting_shaped | cataclysm:laser_gatling cataclysm:witherite_ingot minecraft:crafting_shaped minecraft:iron_ingot minecraft:redstone minecraft:redstone_block
cataclysm:meat_shredder | minecraft:crafting_shaped | cataclysm:meat_shredder cataclysm:witherite_ingot minecraft:crafting_shaped minecraft:iron_block minecraft:redstone
cataclysm:mech_eye | minecraft:crafting_shaped | cataclysm:mech_eye minecraft:crafting_shaped minecraft:ender_eye minecraft:iron_ingot minecraft:redstone_block
cataclysm:mechanical_fusion_anvil | minecraft:crafting_shaped | cataclysm:mechanical_fusion_anvil cataclysm:witherite_ingot minecraft:anvil minecraft:crafting_shaped minecraft:redstone_block
cataclysm:monstrous_eye | minecraft:crafting_shaped | cataclysm:monstrous_eye minecraft:blackstone minecraft:crafting_shaped minecraft:ender_eye minecraft:lava_bucket minecraft:netherite_scrap
cataclysm:netherite_effigy | minecraft:crafting_shaped | cataclysm:netherite_effigy minecraft:crafting_shaped minecraft:gold_ingot minecraft:nether_brick minecraft:netherite_ingot minecraft:redstone_block minecraft:totem_of_undying
cataclysm:obsidian_brick_slab | minecraft:crafting_shaped | cataclysm:obsidian_brick_slab cataclysm:obsidian_bricks minecraft:crafting_shaped
cataclysm:obsidian_brick_stairs | minecraft:crafting_shaped | cataclysm:obsidian_brick_stairs cataclysm:obsidian_bricks minecraft:crafting_shaped
cataclysm:obsidian_brick_wall | minecraft:crafting_shaped | cataclysm:obsidian_brick_wall cataclysm:obsidian_bricks minecraft:crafting_shaped
cataclysm:obsidian_bricks | minecraft:crafting_shaped | cataclysm:obsidian_bricks minecraft:crafting_shaped minecraft:obsidian
cataclysm:obsidian_explosion_trap_bricks | minecraft:crafting_shaped | cataclysm:obsidian_bricks cataclysm:obsidian_explosion_trap_bricks cataclysm:void_stone minecraft:crafting_shaped
cataclysm:obsidian_pillar | minecraft:crafting_shaped | cataclysm:obsidian_bricks cataclysm:obsidian_pillar minecraft:crafting_shaped
cataclysm:polished_azure_seastone | minecraft:crafting_shaped | cataclysm:azure_seastone cataclysm:polished_azure_seastone minecraft:crafting_shaped
cataclysm:polished_azure_seastone_slab | minecraft:crafting_shaped | cataclysm:polished_azure_seastone cataclysm:polished_azure_seastone_slab minecraft:crafting_shaped
cataclysm:polished_azure_seastone_stairs | minecraft:crafting_shaped | cataclysm:polished_azure_seastone cataclysm:polished_azure_seastone_stairs minecraft:crafting_shaped
cataclysm:polished_azure_seastone_wall | minecraft:crafting_shaped | cataclysm:polished_azure_seastone cataclysm:polished_azure_seastone_wall minecraft:crafting_shaped
cataclysm:polished_obsidian_slab | minecraft:crafting_shaped | cataclysm:polished_obsidian cataclysm:polished_obsidian_slab minecraft:crafting_shaped
cataclysm:polished_obsidian_stairs | minecraft:crafting_shaped | cataclysm:polished_obsidian cataclysm:polished_obsidian_stairs minecraft:crafting_shaped
cataclysm:polished_obsidian_wall | minecraft:crafting_shaped | cataclysm:polished_obsidian cataclysm:polished_obsidian_wall minecraft:crafting_shaped
cataclysm:prismarine_brick_fence | minecraft:crafting_shaped | cataclysm:prismarine_brick_fence minecraft:crafting_shaped minecraft:prismarine_bricks minecraft:prismarine_shard
cataclysm:prismarine_brick_wall | minecraft:crafting_shaped | cataclysm:prismarine_brick_wall minecraft:crafting_shaped minecraft:prismarine_bricks
cataclysm:purpur_bricks | minecraft:crafting_shaped | cataclysm:purpur_tiles minecraft:crafting_shaped minecraft:purpur_block
cataclysm:purpur_tile_pillar | minecraft:crafting_shaped | cataclysm:purpur_tile_pillar cataclysm:purpur_tiles minecraft:crafting_shaped
cataclysm:purpur_tile_slab | minecraft:crafting_shaped | cataclysm:purpur_tile_slab cataclysm:purpur_tiles minecraft:crafting_shaped
cataclysm:purpur_tile_stairs | minecraft:crafting_shaped | cataclysm:purpur_tile_stairs cataclysm:purpur_tiles minecraft:crafting_shaped
cataclysm:purpur_tile_wall | minecraft:crafting_shaped | cataclysm:purpur_tile_wall cataclysm:purpur_tiles minecraft:crafting_shaped
cataclysm:purpur_void_rune_trap_block | minecraft:crafting_shaped | cataclysm:purpur_void_rune_trap_block cataclysm:void_stone minecraft:crafting_shaped minecraft:purpur_block
cataclysm:purpur_wall | minecraft:crafting_shaped | cataclysm:purpur_wall minecraft:crafting_shaped minecraft:purpur_block
cataclysm:quartz_brick_wall | minecraft:crafting_shaped | cataclysm:quartz_brick_wall minecraft:crafting_shaped minecraft:quartz_bricks
cataclysm:smithing/cursium_boots | minecraft:smithing_transform | cataclysm:cursium_boots cataclysm:cursium_ingot cataclysm:cursium_upgrade_smithing_template minecraft:netherite_boots minecraft:smithing_transform
cataclysm:smithing/cursium_chestplate | minecraft:smithing_transform | cataclysm:cursium_chestplate cataclysm:cursium_ingot cataclysm:cursium_upgrade_smithing_template minecraft:netherite_chestplate minecraft:smithing_transform
cataclysm:smithing/cursium_helmet | minecraft:smithing_transform | cataclysm:cursium_helmet cataclysm:cursium_ingot cataclysm:cursium_upgrade_smithing_template minecraft:netherite_helmet minecraft:smithing_transform
cataclysm:smithing/cursium_leggings | minecraft:smithing_transform | cataclysm:cursium_ingot cataclysm:cursium_leggings cataclysm:cursium_upgrade_smithing_template minecraft:netherite_leggings minecraft:smithing_transform
cataclysm:smithing/ignitium_boots | minecraft:smithing_transform | cataclysm:ignitium_boots cataclysm:ignitium_ingot cataclysm:ignitium_upgrade_smithing_template minecraft:netherite_boots minecraft:smithing_transform
cataclysm:smithing/ignitium_chestplate | minecraft:smithing_transform | cataclysm:ignitium_chestplate cataclysm:ignitium_ingot cataclysm:ignitium_upgrade_smithing_template minecraft:netherite_chestplate minecraft:smithing_transform
cataclysm:smithing/ignitium_helmet | minecraft:smithing_transform | cataclysm:ignitium_helmet cataclysm:ignitium_ingot cataclysm:ignitium_upgrade_smithing_template minecraft:netherite_helmet minecraft:smithing_transform
cataclysm:smithing/ignitium_leggings | minecraft:smithing_transform | cataclysm:ignitium_ingot cataclysm:ignitium_leggings cataclysm:ignitium_upgrade_smithing_template minecraft:netherite_leggings minecraft:smithing_transform
cataclysm:smithing/monstrous_helm | minecraft:smithing_transform | cataclysm:monstrous_helm cataclysm:monstrous_horn minecraft:netherite_helmet minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
cataclysm:soul_render | minecraft:crafting_shaped | cataclysm:black_steel_ingot cataclysm:cursium_ingot cataclysm:soul_render minecraft:crafting_shaped
cataclysm:sticky_gloves | minecraft:crafting_shapeless | cataclysm:sticky_gloves minecraft:crafting_shapeless minecraft:leather minecraft:rabbit_hide minecraft:slime_ball minecraft:string
cataclysm:stone_pillar | minecraft:crafting_shaped | cataclysm:stone_pillar minecraft:crafting_shaped minecraft:stone
cataclysm:stone_tiles | minecraft:crafting_shaped | cataclysm:stone_tiles minecraft:crafting_shaped minecraft:stone_bricks
cataclysm:stonecutting/azure_seastone_brick_slab_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_brick_slab cataclysm:azure_seastone_bricks minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_brick_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_brick_stairs cataclysm:azure_seastone_bricks minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_brick_wall_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_brick_wall cataclysm:azure_seastone_bricks minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_bricks_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_bricks cataclysm:polished_azure_seastone minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_fence_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_fence minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_pillar minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_pillar_wall_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_pillar cataclysm:azure_seastone_pillar_wall minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_slab_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_slab minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_stairs minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_tiles_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_bricks cataclysm:azure_seastone_tiles minecraft:stonecutting
cataclysm:stonecutting/azure_seastone_wall_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_stairs minecraft:stonecutting
cataclysm:stonecutting/blackstone_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:blackstone_pillar minecraft:polished_blackstone minecraft:stonecutting
cataclysm:stonecutting/chiseled_azure_seastone_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:chiseled_azure_seastone minecraft:stonecutting
cataclysm:stonecutting/chiseled_azure_seastone_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_bricks cataclysm:chiseled_azure_seastone_pillar cataclysm:polished_azure_seastone minecraft:stonecutting
cataclysm:stonecutting/chiseled_azure_seastone_pillar_wall_from_stonecutting | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:azure_seastone_bricks cataclysm:chiseled_azure_seastone_pillar cataclysm:chiseled_azure_seastone_pillar_wall cataclysm:polished_azure_seastone minecraft:stonecutting
cataclysm:stonecutting/chiseled_end_stone_bricks_from_stonecutting | minecraft:stonecutting | cataclysm:chiseled_end_stone_bricks minecraft:end_stone minecraft:end_stone_bricks minecraft:stonecutting
cataclysm:stonecutting/chiseled_obsidian_bricks_from_stonecutting | minecraft:stonecutting | cataclysm:chiseled_obsidian_bricks cataclysm:obsidian_bricks minecraft:obsidian minecraft:stonecutting
cataclysm:stonecutting/chiseled_purpur_block_from_stonecutting | minecraft:stonecutting | cataclysm:chiseled_purpur_block minecraft:purpur_block minecraft:stonecutting
cataclysm:stonecutting/chiseled_stone_brick_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:chiseled_stone_brick_pillar minecraft:chiseled_stone_bricks minecraft:stone minecraft:stone_bricks minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_cindaria_1 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_cindaria_1 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_cindaria_2 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_cindaria_2 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_cindaria_3 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_cindaria_3 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_cindaria_4 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_cindaria_4 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_clawdian_1 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_clawdian_1 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_clawdian_2 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_clawdian_2 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_clawdian_3 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_clawdian_3 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_clawdian_4 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_clawdian_4 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_hippocamtus_1 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_hippocamtus_1 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_hippocamtus_2 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_hippocamtus_2 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_hippocamtus_3 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_hippocamtus_3 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_hippocamtus_4 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_hippocamtus_4 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_1 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_1 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_2 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_2 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_3 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_3 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_4 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_4 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_5 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_5 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_6 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_6 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_7 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_7 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_8 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_8 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_scylla_9 | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_scylla_9 minecraft:stonecutting
cataclysm:stonecutting/curved_azure_seastone_urchinkin | minecraft:stonecutting | cataclysm:azure_seastone cataclysm:curved_azure_seastone_urchinkin minecraft:stonecutting
cataclysm:stonecutting/end_stone_pillar_from_stonecutting | minecraft:stonecutting | cataclysm:end_stone_pillar minecraft:end_stone minecraft:end_stone_bricks minecraft:stonecutting
cataclysm:stonecutting/frosted_stone_brick_slab_from_stonecutting | minecraft:stonecutting | cataclysm:frosted_stone_brick_slab cataclysm:frosted_stone_bricks minecraft:stonecutting
cataclysm:stonecutting/frosted_stone_brick_stairs_from_stonecutting | minecraft:stonecutting | cataclysm:frosted_stone_brick_stairs cataclysm:frosted_stone_bricks minecraft:stonecutting
