cookingforblockheads:black_kitchen_floor | minecraft:crafting_shaped | c:dyes/black cookingforblockheads:black_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:dye_black_fridge | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_fridge cookingforblockheads:fridges minecraft:crafting_shapeless
cookingforblockheads:dye_black_oven | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_black_sink | minecraft:crafting_shapeless | c:dyes/black cookingforblockheads:black_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_blue_cabinet | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_cabinet cookingforblockheads:cabinets minecraft:crafting_shapeless
cookingforblockheads:dye_blue_connector | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_connector cookingforblockheads:connectors minecraft:crafting_shapeless
cookingforblockheads:dye_blue_cooking_table | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_cooking_table cookingforblockheads:cooking_tables minecraft:crafting_shapeless
cookingforblockheads:dye_blue_counter | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_counter cookingforblockheads:counters minecraft:crafting_shapeless
cookingforblockheads:dye_blue_fridge | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_fridge cookingforblockheads:fridges minecraft:crafting_shapeless
cookingforblockheads:dye_blue_oven | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_blue_sink | minecraft:crafting_shapeless | c:dyes/blue cookingforblockheads:blue_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_brown_cabinet | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_cabinet cookingforblockheads:cabinets minecraft:crafting_shapeless
cookingforblockheads:dye_brown_connector | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_connector cookingforblockheads:connectors minecraft:crafting_shapeless
cookingforblockheads:dye_brown_cooking_table | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_cooking_table cookingforblockheads:cooking_tables minecraft:crafting_shapeless
cookingforblockheads:dye_brown_counter | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_counter cookingforblockheads:counters minecraft:crafting_shapeless
cookingforblockheads:dye_brown_fridge | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_fridge cookingforblockheads:fridges minecraft:crafting_shapeless
cookingforblockheads:dye_brown_oven | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_brown_sink | minecraft:crafting_shapeless | c:dyes/brown cookingforblockheads:brown_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_cabinet | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:cabinets cookingforblockheads:cyan_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_connector | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:connectors cookingforblockheads:cyan_connector minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_cooking_table | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:cooking_tables cookingforblockheads:cyan_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_counter | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:counters cookingforblockheads:cyan_counter minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_fridge | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:cyan_fridge cookingforblockheads:fridges minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_oven | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:cyan_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_cyan_sink | minecraft:crafting_shapeless | c:dyes/cyan cookingforblockheads:cyan_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_gray_cabinet | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:cabinets cookingforblockheads:gray_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_gray_connector | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:connectors cookingforblockheads:gray_connector minecraft:crafting_shapeless
cookingforblockheads:dye_gray_cooking_table | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:cooking_tables cookingforblockheads:gray_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_gray_counter | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:counters cookingforblockheads:gray_counter minecraft:crafting_shapeless
cookingforblockheads:dye_gray_fridge | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:fridges cookingforblockheads:gray_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_gray_oven | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:gray_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_gray_sink | minecraft:crafting_shapeless | c:dyes/gray cookingforblockheads:gray_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_green_cabinet | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:cabinets cookingforblockheads:green_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_green_connector | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:connectors cookingforblockheads:green_connector minecraft:crafting_shapeless
cookingforblockheads:dye_green_cooking_table | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:cooking_tables cookingforblockheads:green_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_green_counter | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:counters cookingforblockheads:green_counter minecraft:crafting_shapeless
cookingforblockheads:dye_green_fridge | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:fridges cookingforblockheads:green_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_green_oven | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:green_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_green_sink | minecraft:crafting_shapeless | c:dyes/green cookingforblockheads:green_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_cabinet | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:cabinets cookingforblockheads:light_blue_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_connector | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:connectors cookingforblockheads:light_blue_connector minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_cooking_table | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:cooking_tables cookingforblockheads:light_blue_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_counter | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:counters cookingforblockheads:light_blue_counter minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_fridge | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:fridges cookingforblockheads:light_blue_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_oven | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:light_blue_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_light_blue_sink | minecraft:crafting_shapeless | c:dyes/light_blue cookingforblockheads:light_blue_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_cabinet | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:cabinets cookingforblockheads:light_gray_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_connector | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:connectors cookingforblockheads:light_gray_connector minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_cooking_table | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:cooking_tables cookingforblockheads:light_gray_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_counter | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:counters cookingforblockheads:light_gray_counter minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_fridge | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:fridges cookingforblockheads:light_gray_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_oven | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:light_gray_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_light_gray_sink | minecraft:crafting_shapeless | c:dyes/light_gray cookingforblockheads:light_gray_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_lime_cabinet | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:cabinets cookingforblockheads:lime_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_lime_connector | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:connectors cookingforblockheads:lime_connector minecraft:crafting_shapeless
cookingforblockheads:dye_lime_cooking_table | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:cooking_tables cookingforblockheads:lime_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_lime_counter | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:counters cookingforblockheads:lime_counter minecraft:crafting_shapeless
cookingforblockheads:dye_lime_fridge | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:fridges cookingforblockheads:lime_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_lime_oven | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:lime_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_lime_sink | minecraft:crafting_shapeless | c:dyes/lime cookingforblockheads:lime_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_cabinet | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:cabinets cookingforblockheads:magenta_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_connector | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:connectors cookingforblockheads:magenta_connector minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_cooking_table | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:cooking_tables cookingforblockheads:magenta_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_counter | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:counters cookingforblockheads:magenta_counter minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_fridge | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:fridges cookingforblockheads:magenta_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_oven | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:magenta_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_magenta_sink | minecraft:crafting_shapeless | c:dyes/magenta cookingforblockheads:magenta_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_orange_cabinet | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:cabinets cookingforblockheads:orange_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_orange_connector | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:connectors cookingforblockheads:orange_connector minecraft:crafting_shapeless
cookingforblockheads:dye_orange_cooking_table | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:cooking_tables cookingforblockheads:orange_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_orange_counter | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:counters cookingforblockheads:orange_counter minecraft:crafting_shapeless
cookingforblockheads:dye_orange_fridge | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:fridges cookingforblockheads:orange_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_orange_oven | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:orange_oven cookingforblockheads:ovens minecraft:crafting_shapeless
cookingforblockheads:dye_orange_sink | minecraft:crafting_shapeless | c:dyes/orange cookingforblockheads:orange_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_pink_cabinet | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:cabinets cookingforblockheads:pink_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_pink_connector | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:connectors cookingforblockheads:pink_connector minecraft:crafting_shapeless
cookingforblockheads:dye_pink_cooking_table | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:cooking_tables cookingforblockheads:pink_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_pink_counter | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:counters cookingforblockheads:pink_counter minecraft:crafting_shapeless
cookingforblockheads:dye_pink_fridge | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:fridges cookingforblockheads:pink_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_pink_oven | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:ovens cookingforblockheads:pink_oven minecraft:crafting_shapeless
cookingforblockheads:dye_pink_sink | minecraft:crafting_shapeless | c:dyes/pink cookingforblockheads:pink_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_purple_cabinet | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:cabinets cookingforblockheads:purple_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_purple_connector | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:connectors cookingforblockheads:purple_connector minecraft:crafting_shapeless
cookingforblockheads:dye_purple_cooking_table | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:cooking_tables cookingforblockheads:purple_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_purple_counter | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:counters cookingforblockheads:purple_counter minecraft:crafting_shapeless
cookingforblockheads:dye_purple_fridge | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:fridges cookingforblockheads:purple_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_purple_oven | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:ovens cookingforblockheads:purple_oven minecraft:crafting_shapeless
cookingforblockheads:dye_purple_sink | minecraft:crafting_shapeless | c:dyes/purple cookingforblockheads:purple_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_red_cabinet | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:cabinets cookingforblockheads:red_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_red_connector | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:connectors cookingforblockheads:red_connector minecraft:crafting_shapeless
cookingforblockheads:dye_red_cooking_table | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:cooking_tables cookingforblockheads:red_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_red_counter | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:counters cookingforblockheads:red_counter minecraft:crafting_shapeless
cookingforblockheads:dye_red_fridge | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:fridges cookingforblockheads:red_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_red_oven | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:ovens cookingforblockheads:red_oven minecraft:crafting_shapeless
cookingforblockheads:dye_red_sink | minecraft:crafting_shapeless | c:dyes/red cookingforblockheads:red_sink cookingforblockheads:sinks minecraft:crafting_shapeless
cookingforblockheads:dye_white_cabinet | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:cabinets cookingforblockheads:white_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_white_connector | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:connectors cookingforblockheads:white_connector minecraft:crafting_shapeless
cookingforblockheads:dye_white_cooking_table | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:cooking_tables cookingforblockheads:white_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_white_counter | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:counters cookingforblockheads:white_counter minecraft:crafting_shapeless
cookingforblockheads:dye_white_fridge | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:fridges cookingforblockheads:white_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_white_oven | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:ovens cookingforblockheads:white_oven minecraft:crafting_shapeless
cookingforblockheads:dye_white_sink | minecraft:crafting_shapeless | c:dyes/white cookingforblockheads:sinks cookingforblockheads:white_sink minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_cabinet | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:cabinets cookingforblockheads:yellow_cabinet minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_connector | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:connectors cookingforblockheads:yellow_connector minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_cooking_table | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:cooking_tables cookingforblockheads:yellow_cooking_table minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_counter | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:counters cookingforblockheads:yellow_counter minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_fridge | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:fridges cookingforblockheads:yellow_fridge minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_oven | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:ovens cookingforblockheads:yellow_oven minecraft:crafting_shapeless
cookingforblockheads:dye_yellow_sink | minecraft:crafting_shapeless | c:dyes/yellow cookingforblockheads:sinks cookingforblockheads:yellow_sink minecraft:crafting_shapeless
cookingforblockheads:fruit_basket | minecraft:crafting_shaped | cookingforblockheads:fruit_basket minecraft:crafting_shaped minecraft:wooden_pressure_plates minecraft:wooden_slabs
cookingforblockheads:gray_kitchen_floor | minecraft:crafting_shaped | c:dyes/gray cookingforblockheads:gray_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:green_kitchen_floor | minecraft:crafting_shaped | c:dyes/green cookingforblockheads:green_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:heating_unit | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron cookingforblockheads:heating_unit minecraft:comparator minecraft:crafting_shaped
cookingforblockheads:ice_unit | minecraft:crafting_shaped | c:ingots/iron cookingforblockheads:ice_unit minecraft:comparator minecraft:crafting_shaped minecraft:snowball
cookingforblockheads:kitchen_floor_from_concrete | minecraft:crafting_shaped | cookingforblockheads:white_kitchen_floor minecraft:black_concrete minecraft:crafting_shaped minecraft:white_concrete
cookingforblockheads:light_blue_kitchen_floor | minecraft:crafting_shaped | c:dyes/light_blue cookingforblockheads:light_blue_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:light_gray_kitchen_floor | minecraft:crafting_shaped | c:dyes/light_gray cookingforblockheads:light_gray_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:lime_kitchen_floor | minecraft:crafting_shaped | c:dyes/lime cookingforblockheads:lime_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:magenta_kitchen_floor | minecraft:crafting_shaped | c:dyes/magenta cookingforblockheads:magenta_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:milk_jar | minecraft:crafting_shaped | cookingforblockheads:milk_jar minecraft:crafting_shaped minecraft:glass minecraft:milk_bucket minecraft:planks
cookingforblockheads:no_filter_edition | minecraft:crafting_shapeless | cookingforblockheads:no_filter_edition cookingforblockheads:recipe_book minecraft:crafting_shapeless
cookingforblockheads:orange_kitchen_floor | minecraft:crafting_shaped | c:dyes/orange cookingforblockheads:orange_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:pamhc2foodcore/toast | cookingforblockheads:toaster | cookingforblockheads:toaster minecraft:bread pamhc2foodcore:toastitem
cookingforblockheads:pink_kitchen_floor | minecraft:crafting_shaped | c:dyes/pink cookingforblockheads:pink_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:preservation_chamber | minecraft:crafting_shaped | c:ingots/iron cookingforblockheads:preservation_chamber minecraft:comparator minecraft:crafting_shaped minecraft:redstone
cookingforblockheads:purple_kitchen_floor | minecraft:crafting_shaped | c:dyes/purple cookingforblockheads:purple_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:recipe_book | minecraft:smelting | cookingforblockheads:recipe_book minecraft:book minecraft:smelting
cookingforblockheads:recipe_book_from_smelting_no_filter_edition | minecraft:smelting | cookingforblockheads:no_filter_edition cookingforblockheads:recipe_book minecraft:smelting
cookingforblockheads:red_kitchen_floor | minecraft:crafting_shaped | c:dyes/red cookingforblockheads:red_kitchen_floor cookingforblockheads:white_kitchen_floor minecraft:crafting_shaped
cookingforblockheads:remove_dye_from_cabinet | minecraft:crafting_shapeless | cookingforblockheads:cabinet cookingforblockheads:dyed_cabinets minecraft:bone_meal minecraft:crafting_shapeless
cookingforblockheads:remove_dye_from_connector | minecraft:crafting_shapeless | cookingforblockheads:connector cookingforblockheads:dyed_connectors minecraft:bone_meal minecraft:crafting_shapeless
cookingforblockheads:remove_dye_from_cooking_table | minecraft:crafting_shapeless | cookingforblockheads:cooking_table cookingforblockheads:dyed_cooking_tables minecraft:bone_meal minecraft:crafting_shapeless
cookingforblockheads:remove_dye_from_counter | minecraft:crafting_shapeless | cookingforblockheads:counter cookingforblockheads:dyed_counters minecraft:bone_meal minecraft:crafting_shapeless
cookingforblockheads:remove_dye_from_sink | minecraft:crafting_shapeless | cookingforblockheads:dyed_sinks cookingforblockheads:sink minecraft:bone_meal minecraft:crafting_shapeless
cookingforblockheads:sink | minecraft:crafting_shaped | c:ingots/iron cookingforblockheads:sink minecraft:crafting_shaped minecraft:terracotta minecraft:water_bucket
cookingforblockheads:spice_rack | minecraft:crafting_shaped | cookingforblockheads:spice_rack minecraft:crafting_shaped minecraft:wooden_slabs
cookingforblockheads:toaster | minecraft:crafting_shaped | c:ingots/iron cookingforblockheads:toaster minecraft:crafting_shaped minecraft:iron_trapdoor minecraft:lava_bucket minecraft:stone_button
cookingforblockheads:tool_rack | minecraft:crafting_shaped | c:nuggets/iron cookingforblockheads:tool_rack minecraft:crafting_shaped minecraft:wooden_slabs
cookingforblockheads:white_fridge | minecraft:crafting_shapeless | c:chests/wooden cookingforblockheads:white_fridge minecraft:crafting_shapeless minecraft:iron_door
cookingforblockheads:white_kitchen_floor | minecraft:crafting_shaped | cookingforblockheads:white_kitchen_floor minecraft:coal_block minecraft:crafting_shaped minecraft:quartz_block
cookingforblockheads:white_oven | minecraft:crafting_shaped | c:ingots/iron cookingforblockheads:white_oven minecraft:black_stained_glass minecraft:crafting_shaped minecraft:furnace
cookingforblockheads:yellow_kitchen_floor | minecraft:crafting_shaped | c:dyes/yellow cookingforblockheads:white_kitchen_floor cookingforblockheads:yellow_kitchen_floor minecraft:crafting_shaped
