samurai_dynasty:cloth | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:wool samurai_dynasty:cloth
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_helmet_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:netherite_samurai_helmet
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/netherite_samurai_leggings_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:netherite_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_boots_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:steel_samurai_boots
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_chestplate_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:steel_samurai_chestplate
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_helmet_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:steel_samurai_helmet
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_black | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_blue | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_brown | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_cyan | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_green | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_light_blue | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_light_gray | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_lime | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_magenta | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_orange | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_pink | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_purple | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_red | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_white | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:dyed_armor/steel_samurai_leggings_from_dye_yellow | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye samurai_dynasty:steel_samurai_leggings
samurai_dynasty:jade | minecraft:crafting_shapeless | minecraft:crafting_shapeless samurai_dynasty:jade samurai_dynasty:jade_block
samurai_dynasty:jade_block | minecraft:crafting_shaped | c:gems/jade minecraft:crafting_shaped samurai_dynasty:jade_block
samurai_dynasty:kabutowari | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:kabutowari samurai_dynasty:knive_handle
samurai_dynasty:kama | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:kama samurai_dynasty:knive_handle
samurai_dynasty:kamayari | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:kamayari samurai_dynasty:katana_handle
samurai_dynasty:katana | minecraft:crafting_shaped | c:ingots/gold c:ingots/steel minecraft:crafting_shaped samurai_dynasty:katana samurai_dynasty:katana_handle
samurai_dynasty:katana_handle | minecraft:crafting_shaped | c:nuggets/gold minecraft:crafting_shaped minecraft:leather minecraft:stick samurai_dynasty:katana_handle
samurai_dynasty:kimono | minecraft:crafting_shaped | minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:kimono
samurai_dynasty:kitsune_mask | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:kitsune_hide samurai_dynasty:kitsune_mask
samurai_dynasty:knive_handle | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped minecraft:stick samurai_dynasty:knive_handle
samurai_dynasty:kunai | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:knive_handle samurai_dynasty:kunai
samurai_dynasty:light_samurai_boots | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:light_samurai_boots
samurai_dynasty:light_samurai_chestplate | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:light_samurai_chestplate
samurai_dynasty:light_samurai_helmet | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:light_samurai_helmet samurai_dynasty:straw_hat
samurai_dynasty:light_samurai_leggings | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped samurai_dynasty:cloth samurai_dynasty:light_samurai_leggings
samurai_dynasty:masakari | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:knive_handle samurai_dynasty:masakari
samurai_dynasty:master_samruai_boots_smithing | minecraft:smithing_transform | minecraft:smithing_transform samurai_dynasty:master_samurai_boots samurai_dynasty:netherite_samurai_boots samurai_dynasty:oni_horn samurai_dynasty:spirit_upgrade_smithing_template
samurai_dynasty:master_samruai_chestplate_smithing | minecraft:smithing_transform | minecraft:smithing_transform samurai_dynasty:master_samurai_chestplate samurai_dynasty:netherite_samurai_chestplate samurai_dynasty:oni_horn samurai_dynasty:spirit_upgrade_smithing_template
samurai_dynasty:master_samruai_helmet_smithing | minecraft:smithing_transform | minecraft:smithing_transform samurai_dynasty:master_samurai_helmet samurai_dynasty:netherite_samurai_helmet samurai_dynasty:oni_horn samurai_dynasty:spirit_upgrade_smithing_template
samurai_dynasty:master_samruai_leggings_smithing | minecraft:smithing_transform | minecraft:smithing_transform samurai_dynasty:master_samurai_leggings samurai_dynasty:netherite_samurai_leggings samurai_dynasty:oni_horn samurai_dynasty:spirit_upgrade_smithing_template
samurai_dynasty:nagamaki | minecraft:crafting_shaped | c:nuggets/steel minecraft:crafting_shaped samurai_dynasty:katana samurai_dynasty:nagamaki samurai_dynasty:spear_handle
