mcwroofs:acacia_attic_roof | minecraft:crafting_shaped | mcwroofs:acacia_attic_roof minecraft:acacia_log minecraft:crafting_shaped minecraft:glass
mcwroofs:bamboo_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_steep_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_planks_top_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_top_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_upper_lower_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:bamboo_planks_upper_steep_roof minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_roof | minecraft:crafting_shaped | mcwroofs:bamboo_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_steep_roof | minecraft:crafting_shaped | mcwroofs:bamboo_steep_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_top_roof | minecraft:crafting_shaped | mcwroofs:bamboo_top_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:bamboo_upper_lower_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:stick
mcwroofs:bamboo_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:bamboo_upper_steep_roof minecraft:bamboo_block minecraft:crafting_shaped minecraft:stick
mcwroofs:base_attic_roof | minecraft:stonecutting | mcwroofs:base_attic_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:base_lower_roof | minecraft:stonecutting | mcwroofs:base_lower_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:base_roof | minecraft:stonecutting | mcwroofs:base_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:base_roof_block | minecraft:stonecutting | mcwroofs:base_roof_block minecraft:stonecutting minecraft:terracotta
mcwroofs:base_roof_slab | minecraft:stonecutting | mcwroofs:base_roof_slab minecraft:stonecutting minecraft:terracotta
mcwroofs:base_steep_roof | minecraft:stonecutting | mcwroofs:base_steep_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:base_top_roof | minecraft:stonecutting | mcwroofs:base_top_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:base_upper_lower_roof | minecraft:stonecutting | mcwroofs:base_upper_lower_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:base_upper_steep_roof | minecraft:stonecutting | mcwroofs:base_upper_steep_roof minecraft:stonecutting minecraft:terracotta
mcwroofs:birch_attic_roof | minecraft:crafting_shaped | mcwroofs:birch_attic_roof minecraft:birch_log minecraft:crafting_shaped minecraft:glass
mcwroofs:birch_lower_roof | minecraft:crafting_shaped | mcwroofs:birch_lower_roof minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_attic_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:glass
mcwroofs:birch_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_lower_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_planks_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_steep_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_planks_top_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_top_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_upper_lower_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:birch_planks_upper_steep_roof minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_roof | minecraft:crafting_shaped | mcwroofs:birch_roof minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_steep_roof | minecraft:crafting_shaped | mcwroofs:birch_steep_roof minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_top_roof | minecraft:crafting_shaped | mcwroofs:birch_top_roof minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:birch_upper_lower_roof minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwroofs:birch_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:birch_upper_steep_roof minecraft:birch_log minecraft:crafting_shaped minecraft:stick
mcwroofs:black_attic_roof | minecraft:stonecutting | mcwroofs:black_attic_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_concrete_attic_roof | minecraft:stonecutting | mcwroofs:black_concrete_attic_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_concrete_lower_roof | minecraft:stonecutting | mcwroofs:black_concrete_lower_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_concrete_roof | minecraft:stonecutting | mcwroofs:black_concrete_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_concrete_steep_roof | minecraft:stonecutting | mcwroofs:black_concrete_steep_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_concrete_top_roof | minecraft:stonecutting | mcwroofs:black_concrete_top_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:black_concrete_upper_lower_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:black_concrete_upper_steep_roof minecraft:black_concrete minecraft:stonecutting
mcwroofs:black_lower_roof | minecraft:stonecutting | mcwroofs:black_lower_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_roof | minecraft:stonecutting | mcwroofs:black_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_roof_block | minecraft:stonecutting | mcwroofs:black_roof_block minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_roof_slab | minecraft:stonecutting | mcwroofs:black_roof_slab minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_steep_roof | minecraft:stonecutting | mcwroofs:black_steep_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_striped_awning | minecraft:crafting_shaped | mcwroofs:black_striped_awning minecraft:black_carpet minecraft:crafting_shaped minecraft:white_carpet
mcwroofs:black_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:black_terracotta_attic_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:black_terracotta_lower_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_terracotta_roof | minecraft:stonecutting | mcwroofs:black_terracotta_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:black_terracotta_steep_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_terracotta_top_roof | minecraft:stonecutting | mcwroofs:black_terracotta_top_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:black_terracotta_upper_lower_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:black_terracotta_upper_steep_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_top_roof | minecraft:stonecutting | mcwroofs:black_top_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_upper_lower_roof | minecraft:stonecutting | mcwroofs:black_upper_lower_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:black_upper_steep_roof | minecraft:stonecutting | mcwroofs:black_upper_steep_roof minecraft:black_terracotta minecraft:stonecutting
mcwroofs:blackstone_attic_roof | minecraft:stonecutting | mcwroofs:blackstone_attic_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blackstone_lower_roof | minecraft:stonecutting | mcwroofs:blackstone_lower_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blackstone_roof | minecraft:stonecutting | mcwroofs:blackstone_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blackstone_steep_roof | minecraft:stonecutting | mcwroofs:blackstone_steep_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blackstone_top_roof | minecraft:stonecutting | mcwroofs:blackstone_top_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blackstone_upper_lower_roof | minecraft:stonecutting | mcwroofs:blackstone_upper_lower_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blackstone_upper_steep_roof | minecraft:stonecutting | mcwroofs:blackstone_upper_steep_roof minecraft:blackstone minecraft:stonecutting
mcwroofs:blue_concrete_attic_roof | minecraft:stonecutting | mcwroofs:blue_concrete_attic_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_concrete_lower_roof | minecraft:stonecutting | mcwroofs:blue_concrete_lower_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_concrete_roof | minecraft:stonecutting | mcwroofs:blue_concrete_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_concrete_steep_roof | minecraft:stonecutting | mcwroofs:blue_concrete_steep_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_concrete_top_roof | minecraft:stonecutting | mcwroofs:blue_concrete_top_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:blue_concrete_upper_lower_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:blue_concrete_upper_steep_roof minecraft:blue_concrete minecraft:stonecutting
mcwroofs:blue_striped_awning | minecraft:crafting_shaped | mcwroofs:blue_striped_awning minecraft:blue_carpet minecraft:crafting_shaped minecraft:white_carpet
mcwroofs:blue_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_attic_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:blue_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_lower_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:blue_terracotta_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:blue_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_steep_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:blue_terracotta_top_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_top_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:blue_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_upper_lower_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:blue_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:blue_terracotta_upper_steep_roof minecraft:blue_terracotta minecraft:stonecutting
mcwroofs:bricks_attic_roof | minecraft:stonecutting | mcwroofs:bricks_attic_roof minecraft:bricks minecraft:stonecutting
mcwroofs:bricks_lower_roof | minecraft:stonecutting | mcwroofs:bricks_lower_roof minecraft:bricks minecraft:stonecutting
mcwroofs:bricks_roof | minecraft:stonecutting | mcwroofs:bricks_roof minecraft:bricks minecraft:stonecutting
mcwroofs:bricks_steep_roof | minecraft:stonecutting | mcwroofs:bricks_steep_roof minecraft:bricks minecraft:stonecutting
mcwroofs:bricks_top_roof | minecraft:stonecutting | mcwroofs:bricks_top_roof minecraft:bricks minecraft:stonecutting
mcwroofs:bricks_upper_lower_roof | minecraft:stonecutting | mcwroofs:bricks_upper_lower_roof minecraft:bricks minecraft:stonecutting
mcwroofs:bricks_upper_steep_roof | minecraft:stonecutting | mcwroofs:bricks_upper_steep_roof minecraft:bricks minecraft:stonecutting
mcwroofs:brown_concrete_attic_roof | minecraft:stonecutting | mcwroofs:brown_concrete_attic_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_concrete_lower_roof | minecraft:stonecutting | mcwroofs:brown_concrete_lower_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_concrete_roof | minecraft:stonecutting | mcwroofs:brown_concrete_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_concrete_steep_roof | minecraft:stonecutting | mcwroofs:brown_concrete_steep_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_concrete_top_roof | minecraft:stonecutting | mcwroofs:brown_concrete_top_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:brown_concrete_upper_lower_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:brown_concrete_upper_steep_roof minecraft:brown_concrete minecraft:stonecutting
mcwroofs:brown_striped_awning | minecraft:crafting_shaped | mcwroofs:brown_striped_awning minecraft:brown_carpet minecraft:crafting_shaped minecraft:white_carpet
mcwroofs:brown_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_attic_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:brown_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_lower_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:brown_terracotta_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:brown_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_steep_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:brown_terracotta_top_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_top_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:brown_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_upper_lower_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:brown_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:brown_terracotta_upper_steep_roof minecraft:brown_terracotta minecraft:stonecutting
mcwroofs:cherry_attic_roof | minecraft:crafting_shaped | mcwroofs:cherry_attic_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:glass
mcwroofs:cherry_lower_roof | minecraft:crafting_shaped | mcwroofs:cherry_lower_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_attic_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:glass
mcwroofs:cherry_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_lower_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_planks_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_steep_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_planks_top_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_top_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_upper_lower_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:cherry_planks_upper_steep_roof minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_roof | minecraft:crafting_shaped | mcwroofs:cherry_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_steep_roof | minecraft:crafting_shaped | mcwroofs:cherry_steep_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_top_roof | minecraft:crafting_shaped | mcwroofs:cherry_top_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:cherry_upper_lower_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwroofs:cherry_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:cherry_upper_steep_roof minecraft:cherry_log minecraft:crafting_shaped minecraft:stick
mcwroofs:cobblestone_attic_roof | minecraft:stonecutting | mcwroofs:cobblestone_attic_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:cobblestone_lower_roof | minecraft:stonecutting | mcwroofs:cobblestone_lower_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:cobblestone_roof | minecraft:stonecutting | mcwroofs:cobblestone_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:cobblestone_steep_roof | minecraft:stonecutting | mcwroofs:cobblestone_steep_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:cobblestone_top_roof | minecraft:stonecutting | mcwroofs:cobblestone_top_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:cobblestone_upper_lower_roof | minecraft:stonecutting | mcwroofs:cobblestone_upper_lower_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:cobblestone_upper_steep_roof | minecraft:stonecutting | mcwroofs:cobblestone_upper_steep_roof minecraft:cobblestone minecraft:stonecutting
mcwroofs:crimson_attic_roof | minecraft:crafting_shaped | mcwroofs:crimson_attic_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:glass
mcwroofs:crimson_lower_roof | minecraft:crafting_shaped | mcwroofs:crimson_lower_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwroofs:crimson_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_attic_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:glass
mcwroofs:crimson_planks_lower_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_lower_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwroofs:crimson_planks_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwroofs:crimson_planks_steep_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_steep_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwroofs:crimson_planks_top_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_top_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwroofs:crimson_planks_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_upper_lower_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwroofs:crimson_planks_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:crimson_planks_upper_steep_roof minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwroofs:crimson_roof | minecraft:crafting_shaped | mcwroofs:crimson_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwroofs:crimson_steep_roof | minecraft:crafting_shaped | mcwroofs:crimson_steep_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwroofs:crimson_top_roof | minecraft:crafting_shaped | mcwroofs:crimson_top_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwroofs:crimson_upper_lower_roof | minecraft:crafting_shaped | mcwroofs:crimson_upper_lower_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwroofs:crimson_upper_steep_roof | minecraft:crafting_shaped | mcwroofs:crimson_upper_steep_roof minecraft:crafting_shaped minecraft:crimson_stem minecraft:stick
mcwroofs:cyan_concrete_attic_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_attic_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_concrete_lower_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_lower_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_concrete_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_concrete_steep_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_steep_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_concrete_top_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_top_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_concrete_upper_lower_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_upper_lower_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_concrete_upper_steep_roof | minecraft:stonecutting | mcwroofs:cyan_concrete_upper_steep_roof minecraft:cyan_concrete minecraft:stonecutting
mcwroofs:cyan_striped_awning | minecraft:crafting_shaped | mcwroofs:cyan_striped_awning minecraft:crafting_shaped minecraft:cyan_carpet minecraft:white_carpet
mcwroofs:cyan_terracotta_attic_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_attic_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:cyan_terracotta_lower_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_lower_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:cyan_terracotta_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:cyan_terracotta_steep_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_steep_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:cyan_terracotta_top_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_top_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:cyan_terracotta_upper_lower_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_upper_lower_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:cyan_terracotta_upper_steep_roof | minecraft:stonecutting | mcwroofs:cyan_terracotta_upper_steep_roof minecraft:cyan_terracotta minecraft:stonecutting
mcwroofs:dark_oak_attic_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_attic_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:glass
mcwroofs:dark_oak_lower_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_lower_roof minecraft:crafting_shaped minecraft:dark_oak_log minecraft:stick
mcwroofs:dark_oak_planks_attic_roof | minecraft:crafting_shaped | mcwroofs:dark_oak_planks_attic_roof minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:glass
