create:crushing/bauxite | create:crushing | create:crushing tfmg:bauxite tfmg:bauxite_powder
tfmg:casting/cinderblock | tfmg:casting | neoforge:single tfmg:casting tfmg:cinderblock tfmg:liquid_concrete
tfmg:casting/plastic_sheet | tfmg:casting | neoforge:single tfmg:casting tfmg:molten_plastic tfmg:plastic_sheet
tfmg:casting/silicon | tfmg:casting | neoforge:single tfmg:casting tfmg:liquid_silicon tfmg:silicon_ingot
tfmg:casting/slag_block | tfmg:casting | neoforge:single tfmg:casting tfmg:molten_slag tfmg:slag_block
tfmg:casting/steel | tfmg:casting | neoforge:single tfmg:casting tfmg:molten_steel tfmg:steel_ingot
tfmg:cinderblock_from_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:cinderblock tfmg:concrete
tfmg:coking/charcoal | tfmg:coking | minecraft:charcoal minecraft:logs_that_burn tfmg:carbon_dioxide tfmg:coking tfmg:creosote
tfmg:coking/coal | tfmg:coking | minecraft:coal tfmg:carbon_dioxide tfmg:coal_coke tfmg:coking tfmg:creosote
tfmg:compacting/bitumen | create:compacting | create:compacting neoforge:single tfmg:bitumen tfmg:heavy_oil
tfmg:compacting/cast_iron | create:compacting | create:compacting minecraft:coal minecraft:iron_ingot tfmg:cast_iron_ingot
tfmg:compacting/cinderflourblock | create:compacting | create:cinder_flour create:compacting tfmg:cinderflourblock
tfmg:concrete_slab_from_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:concrete tfmg:concrete_slab
tfmg:concrete_stairs_from_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:concrete tfmg:concrete_stairs
tfmg:concrete_wall_from_concrete_stonecutting | minecraft:stonecutting | minecraft:stonecutting tfmg:concrete tfmg:concrete_wall
tfmg:constantan_ladder_from_ingots_constantan_stonecutting | minecraft:stonecutting | c:ingots/constantan minecraft:stonecutting tfmg:constantan_ladder
tfmg:constantan_spool | minecraft:crafting_shaped | c:wires/constantan minecraft:crafting_shaped tfmg:constantan_spool tfmg:empty_spool
tfmg:constantan_wire_from_ingots_constantan_stonecutting | minecraft:stonecutting | c:ingots/constantan minecraft:stonecutting tfmg:constantan_wire
tfmg:copper_electrode_from_storage_blocks_copper_stonecutting | minecraft:stonecutting | c:storage_blocks/copper minecraft:stonecutting tfmg:copper_electrode
tfmg:copper_spool | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped tfmg:copper_spool tfmg:empty_spool
tfmg:copper_wire_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper minecraft:stonecutting tfmg:copper_wire
tfmg:crafting/materials/accumulator | minecraft:crafting_shaped | c:plates/lead c:storage_blocks/lead c:wires/copper minecraft:crafting_shaped tfmg:accumulator tfmg:industrial_aluminum_casing tfmg:sulfuric_acid_bucket
tfmg:crafting/materials/accumulatorfrom_lithium | minecraft:crafting_shaped | c:ingots/lithium c:plates/nickel c:storage_blocks/lithium c:wires/copper minecraft:crafting_shaped tfmg:accumulator tfmg:industrial_aluminum_casing
tfmg:crafting/materials/air_intake | minecraft:crafting_shaped | create:andesite_bars create:cogwheel create:industrial_iron_block create:propeller create:shaft minecraft:crafting_shaped tfmg:air_intake tfmg:cast_iron_pipe
tfmg:crafting/materials/aluminum_axe | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped minecraft:stick tfmg:aluminum_axe
tfmg:crafting/materials/aluminum_block_from_compacting | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped tfmg:aluminum_block
tfmg:crafting/materials/aluminum_cable_hub | minecraft:crafting_shaped | c:ingots/aluminum c:wires/copper minecraft:crafting_shaped tfmg:aluminum_cable_hub
tfmg:crafting/materials/aluminum_cogwheel | minecraft:crafting_shapeless | c:ingots/aluminum create:shaft minecraft:crafting_shapeless tfmg:aluminum_cogwheel
tfmg:crafting/materials/aluminum_door | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped tfmg:aluminum_door
tfmg:crafting/materials/aluminum_fluid_tank | minecraft:crafting_shaped | c:plates/aluminum minecraft:barrel minecraft:crafting_shaped tfmg:aluminum_fluid_tank
tfmg:crafting/materials/aluminum_fluid_valve | minecraft:crafting_shapeless | c:plates/iron minecraft:crafting_shapeless tfmg:aluminum_fluid_valve tfmg:aluminum_pipe
tfmg:crafting/materials/aluminum_flywheel | minecraft:crafting_shaped | c:ingots/aluminum create:shaft minecraft:crafting_shaped tfmg:aluminum_flywheel
tfmg:crafting/materials/aluminum_frame | minecraft:crafting_shaped | c:nuggets/aluminum minecraft:crafting_shaped tfmg:aluminum_frame
tfmg:crafting/materials/aluminum_hoe | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped minecraft:stick tfmg:aluminum_hoe
tfmg:crafting/materials/aluminum_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/aluminum minecraft:crafting_shaped tfmg:aluminum_ingot
tfmg:crafting/materials/aluminum_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/aluminum minecraft:crafting_shapeless tfmg:aluminum_ingot
tfmg:crafting/materials/aluminum_lamp | minecraft:crafting_shaped | c:plates/aluminum create:framed_glass_pane minecraft:crafting_shaped tfmg:aluminum_lamp tfmg:light_bulb
tfmg:crafting/materials/aluminum_mechanical_pump | minecraft:crafting_shapeless | create:cogwheel minecraft:crafting_shapeless tfmg:aluminum_mechanical_pump tfmg:aluminum_pipe
tfmg:crafting/materials/aluminum_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/aluminum minecraft:crafting_shapeless tfmg:aluminum_nugget
tfmg:crafting/materials/aluminum_pickaxe | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped minecraft:stick tfmg:aluminum_pickaxe
tfmg:crafting/materials/aluminum_pipe | minecraft:crafting_shaped | c:ingots/aluminum c:plates/aluminum minecraft:crafting_shaped tfmg:aluminum_pipe
tfmg:crafting/materials/aluminum_pipe_vertical | minecraft:crafting_shaped | c:ingots/aluminum c:plates/aluminum minecraft:crafting_shaped tfmg:aluminum_pipe
tfmg:crafting/materials/aluminum_shovel | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped minecraft:stick tfmg:aluminum_shovel
tfmg:crafting/materials/aluminum_smart_fluid_pipe | minecraft:crafting_shaped | c:plates/brass create:electron_tube minecraft:crafting_shaped tfmg:aluminum_pipe tfmg:aluminum_smart_fluid_pipe
tfmg:crafting/materials/aluminum_sword | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped minecraft:stick tfmg:aluminum_sword
tfmg:crafting/materials/aluminum_truss | minecraft:crafting_shaped | c:nuggets/aluminum minecraft:crafting_shaped tfmg:aluminum_truss
tfmg:crafting/materials/black_concrete | minecraft:crafting_shaped | minecraft:black_dye minecraft:crafting_shaped tfmg:black_concrete tfmg:concrete
tfmg:crafting/materials/black_multimeter | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless tfmg:black_multimeter tfmg:multimeter
tfmg:crafting/materials/black_rebar_concrete | minecraft:crafting_shaped | minecraft:black_dye minecraft:crafting_shaped tfmg:black_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/blast_furnace_hatch | minecraft:crafting_shaped | c:plates/cast_iron minecraft:crafting_shaped tfmg:blast_furnace_hatch tfmg:cast_iron_fluid_tank tfmg:cast_iron_pipe tfmg:fireproof_bricks
tfmg:crafting/materials/blast_furnace_output | minecraft:crafting_shaped | c:storage_blocks/cast_iron minecraft:crafting_shaped tfmg:blast_furnace_output tfmg:cast_iron_pipe tfmg:fireproof_bricks
tfmg:crafting/materials/blast_furnace_reinforcement | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped tfmg:blast_furnace_reinforcement tfmg:fireproof_bricks tfmg:heavy_plate
tfmg:crafting/materials/blast_stove | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:blast_stove tfmg:cast_iron_fluid_tank tfmg:cast_iron_pipe tfmg:fireproof_bricks
tfmg:crafting/materials/blue_concrete | minecraft:crafting_shaped | minecraft:blue_dye minecraft:crafting_shaped tfmg:blue_concrete tfmg:concrete
tfmg:crafting/materials/blue_multimeter | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless tfmg:blue_multimeter tfmg:multimeter
tfmg:crafting/materials/blue_rebar_concrete | minecraft:crafting_shaped | minecraft:blue_dye minecraft:crafting_shaped tfmg:blue_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/brass_cable_hub | minecraft:crafting_shaped | c:ingots/brass c:wires/copper minecraft:crafting_shaped tfmg:brass_cable_hub
tfmg:crafting/materials/brass_fluid_valve | minecraft:crafting_shapeless | c:plates/iron minecraft:crafting_shapeless tfmg:brass_fluid_valve tfmg:brass_pipe
tfmg:crafting/materials/brass_frame | minecraft:crafting_shaped | c:nuggets/brass minecraft:crafting_shaped tfmg:brass_frame
tfmg:crafting/materials/brass_mechanical_pump | minecraft:crafting_shapeless | create:cogwheel minecraft:crafting_shapeless tfmg:brass_mechanical_pump tfmg:brass_pipe
tfmg:crafting/materials/brass_pipe | minecraft:crafting_shaped | c:ingots/brass c:plates/brass minecraft:crafting_shaped tfmg:brass_pipe
tfmg:crafting/materials/brass_pipe_vertical | minecraft:crafting_shaped | c:ingots/brass c:plates/brass minecraft:crafting_shaped tfmg:brass_pipe
tfmg:crafting/materials/brass_smart_fluid_pipe | minecraft:crafting_shaped | c:plates/copper create:electron_tube minecraft:crafting_shaped tfmg:brass_pipe tfmg:brass_smart_fluid_pipe
tfmg:crafting/materials/brass_truss | minecraft:crafting_shaped | c:nuggets/brass minecraft:crafting_shaped tfmg:brass_truss
tfmg:crafting/materials/brick_smokestack | minecraft:crafting_shaped | minecraft:bricks minecraft:crafting_shaped tfmg:brick_smokestack tfmg:industrial_pipe
tfmg:crafting/materials/brown_concrete | minecraft:crafting_shaped | minecraft:brown_dye minecraft:crafting_shaped tfmg:brown_concrete tfmg:concrete
tfmg:crafting/materials/brown_multimeter | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless tfmg:brown_multimeter tfmg:multimeter
tfmg:crafting/materials/brown_rebar_concrete | minecraft:crafting_shaped | minecraft:brown_dye minecraft:crafting_shaped tfmg:brown_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/cable_connector | minecraft:crafting_shaped | c:nuggets/steel minecraft:copper_ingot minecraft:crafting_shaped tfmg:cable_connector tfmg:unfinished_insulator
tfmg:crafting/materials/cable_tube | minecraft:crafting_shaped | c:nuggets/steel c:wires/copper minecraft:crafting_shaped tfmg:cable_tube tfmg:rubber_sheet
tfmg:crafting/materials/cast_iron_block_from_compacting | minecraft:crafting_shaped | c:ingots/cast_iron minecraft:crafting_shaped tfmg:cast_iron_block
tfmg:crafting/materials/cast_iron_chemical_vat | minecraft:crafting_shaped | c:plates/cast_iron c:plates/lead minecraft:crafting_shaped tfmg:cast_iron_chemical_vat tfmg:cast_iron_fluid_tank
tfmg:crafting/materials/cast_iron_fluid_tank | minecraft:crafting_shaped | c:plates/cast_iron minecraft:barrel minecraft:crafting_shaped tfmg:cast_iron_fluid_tank
tfmg:crafting/materials/cast_iron_fluid_valve | minecraft:crafting_shapeless | c:plates/iron minecraft:crafting_shapeless tfmg:cast_iron_fluid_valve tfmg:cast_iron_pipe
tfmg:crafting/materials/cast_iron_flywheel | minecraft:crafting_shaped | c:ingots/cast_iron create:shaft minecraft:crafting_shaped tfmg:cast_iron_flywheel
tfmg:crafting/materials/cast_iron_frame | minecraft:crafting_shaped | c:nuggets/cast_iron minecraft:crafting_shaped tfmg:cast_iron_frame
tfmg:crafting/materials/cast_iron_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/cast_iron minecraft:crafting_shaped tfmg:cast_iron_ingot
tfmg:crafting/materials/cast_iron_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/cast_iron minecraft:crafting_shapeless tfmg:cast_iron_ingot
tfmg:crafting/materials/cast_iron_mechanical_pump | minecraft:crafting_shapeless | create:cogwheel minecraft:crafting_shapeless tfmg:cast_iron_mechanical_pump tfmg:cast_iron_pipe
tfmg:crafting/materials/cast_iron_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/cast_iron minecraft:crafting_shapeless tfmg:cast_iron_nugget
tfmg:crafting/materials/cast_iron_pipe | minecraft:crafting_shaped | c:ingots/cast_iron c:plates/cast_iron minecraft:crafting_shaped tfmg:cast_iron_pipe
tfmg:crafting/materials/cast_iron_pipe_vertical | minecraft:crafting_shaped | c:ingots/cast_iron c:plates/cast_iron minecraft:crafting_shaped tfmg:cast_iron_pipe
tfmg:crafting/materials/cast_iron_smart_fluid_pipe | minecraft:crafting_shaped | c:plates/cast_iron create:electron_tube minecraft:crafting_shaped tfmg:cast_iron_pipe tfmg:cast_iron_smart_fluid_pipe
tfmg:crafting/materials/cast_iron_truss | minecraft:crafting_shaped | c:nuggets/cast_iron minecraft:crafting_shaped tfmg:cast_iron_truss
tfmg:crafting/materials/casting_basin | minecraft:crafting_shaped | c:ingots/cast_iron minecraft:crafting_shaped tfmg:cast_iron_pipe tfmg:casting_basin tfmg:fireproof_brick
tfmg:crafting/materials/centrifuge | minecraft:crafting_shaped | c:ingots/aluminum minecraft:crafting_shaped tfmg:aluminum_bars tfmg:centrifuge
tfmg:crafting/materials/cinder_block | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:cinder_block tfmg:cinderblock tfmg:liquid_concrete_bucket tfmg:rebar
tfmg:crafting/materials/cinderflour_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:nether_wart_block tfmg:cinderflour_block tfmg:cinderflourblock tfmg:rebar
tfmg:crafting/materials/circular_light | minecraft:crafting_shaped | c:nuggets/steel create:framed_glass minecraft:crafting_shaped tfmg:circular_light tfmg:light_bulb
tfmg:crafting/materials/coal_coke | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:coal_coke tfmg:coal_coke_block
tfmg:crafting/materials/coal_coke_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless tfmg:coal_coke tfmg:coal_coke_block
tfmg:crafting/materials/coke_oven | minecraft:crafting_shaped | c:ingots/cast_iron create:industrial_iron_block minecraft:crafting_shaped tfmg:coke_oven
tfmg:crafting/materials/concrete_hose | minecraft:crafting_shaped | c:plates/nickel create:shaft minecraft:crafting_shaped minecraft:dried_kelp_block tfmg:concrete_hose tfmg:heavy_machinery_casing tfmg:steel_pipe
tfmg:crafting/materials/concrete_smokestack | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:concrete tfmg:concrete_smokestack tfmg:industrial_pipe
tfmg:crafting/materials/constantan_block_from_compacting | minecraft:crafting_shaped | c:ingots/constantan minecraft:crafting_shaped tfmg:constantan_block
tfmg:crafting/materials/constantan_frame | minecraft:crafting_shaped | c:nuggets/constantan minecraft:crafting_shaped tfmg:constantan_frame
tfmg:crafting/materials/constantan_ingot_from_compacting | minecraft:crafting_shaped | c:nuggets/constantan minecraft:crafting_shaped tfmg:constantan_ingot
tfmg:crafting/materials/constantan_ingot_from_decompacting | minecraft:crafting_shapeless | c:storage_blocks/constantan minecraft:crafting_shapeless tfmg:constantan_ingot
tfmg:crafting/materials/constantan_nugget_from_decompacting | minecraft:crafting_shapeless | c:ingots/constantan minecraft:crafting_shapeless tfmg:constantan_nugget
tfmg:crafting/materials/constantan_truss | minecraft:crafting_shaped | c:nuggets/constantan minecraft:crafting_shaped tfmg:constantan_truss
tfmg:crafting/materials/converter | minecraft:crafting_shaped | c:dusts/redstone c:plates/lead c:wires/copper minecraft:crafting_shaped tfmg:converter tfmg:transformer
tfmg:crafting/materials/cooling_fluid_bottle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_dye tfmg:cooling_fluid_bottle tfmg:plastic_sheet
tfmg:crafting/materials/copper_cable_hub | minecraft:crafting_shaped | c:wires/copper minecraft:copper_ingot minecraft:crafting_shaped tfmg:copper_cable_hub
tfmg:crafting/materials/copper_frame | minecraft:crafting_shaped | c:nuggets/copper minecraft:crafting_shaped tfmg:copper_frame
tfmg:crafting/materials/copper_grenade | minecraft:crafting_shaped | minecraft:copper_ingot minecraft:crafting_shaped tfmg:copper_grenade tfmg:thermite_grenade
tfmg:crafting/materials/copper_truss | minecraft:crafting_shaped | c:nuggets/copper minecraft:crafting_shaped tfmg:copper_truss
tfmg:crafting/materials/copycat_cable_block | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped tfmg:copycat_cable_block tfmg:nickel_truss
tfmg:crafting/materials/crankshaft | minecraft:crafting_shaped | c:plates/aluminum minecraft:crafting_shaped tfmg:crankshaft tfmg:rebar
tfmg:crafting/materials/cyan_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_dye tfmg:concrete tfmg:cyan_concrete
tfmg:crafting/materials/cyan_multimeter | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye tfmg:cyan_multimeter tfmg:multimeter
tfmg:crafting/materials/cyan_rebar_concrete | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_dye tfmg:cyan_rebar_concrete tfmg:rebar_concrete
tfmg:crafting/materials/diagonal_cable_block | minecraft:crafting_shaped | c:nuggets/steel c:wires/copper minecraft:crafting_shaped tfmg:diagonal_cable_block tfmg:rubber_sheet
tfmg:crafting/materials/electric_diode | minecraft:crafting_shaped | c:plates/cast_iron c:wires/copper create:industrial_iron_block minecraft:crafting_shaped tfmg:electric_diode tfmg:heavy_machinery_casing tfmg:n_semiconductor tfmg:p_semiconductor
tfmg:crafting/materials/electric_post | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel c:wires/copper minecraft:crafting_shaped tfmg:electric_post
tfmg:crafting/materials/electric_pump | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped tfmg:capacitor_item tfmg:circuit_board tfmg:electric_pump tfmg:electromagnetic_coil tfmg:magnet tfmg:steel_mechanical_pump
tfmg:crafting/materials/electrical_switch | minecraft:crafting_shaped | c:dusts/redstone c:plates/lead minecraft:crafting_shaped tfmg:electric_post tfmg:electrical_switch tfmg:heavy_machinery_casing
tfmg:crafting/materials/electricians_wrench | minecraft:crafting_shaped | c:plates/aluminum c:plates/steel minecraft:crafting_shaped tfmg:electricians_wrench tfmg:rebar tfmg:steel_cogwheel
tfmg:crafting/materials/electrode_holder | minecraft:crafting_shaped | c:ingots/steel c:plates/lead c:wires/copper minecraft:crafting_shaped tfmg:electrode_holder tfmg:heavy_machinery_casing
tfmg:crafting/materials/empty_circuit_board | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_dye tfmg:empty_circuit_board tfmg:plastic_sheet
tfmg:crafting/materials/engine_gearbox | minecraft:crafting_shaped | create:shaft minecraft:crafting_shaped tfmg:engine_gearbox tfmg:screw tfmg:steel_casing tfmg:steel_mechanism
tfmg:crafting/materials/exhaust | minecraft:crafting_shaped | c:ingots/cast_iron minecraft:crafting_shaped minecraft:iron_bars tfmg:cast_iron_pipe tfmg:exhaust
tfmg:crafting/materials/fire_extinguisher | minecraft:crafting_shaped | c:ingots/steel c:nuggets/steel c:plates/aluminum minecraft:crafting_shaped minecraft:red_dye tfmg:carbon_dioxide_bucket tfmg:fire_extinguisher
tfmg:crafting/materials/firebox | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:brass_pipe tfmg:firebox tfmg:fireproof_bricks tfmg:steel_fluid_tank
tfmg:crafting/materials/fireclay | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:fireclay tfmg:fireclay_ball
tfmg:crafting/materials/fireproof_brick_reinforcement | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:fireproof_brick_reinforcement tfmg:fireproof_bricks
tfmg:crafting/materials/fireproof_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:fireproof_brick tfmg:fireproof_bricks
tfmg:crafting/materials/fireproof_chemical_vat | minecraft:crafting_shaped | minecraft:crafting_shaped tfmg:circuit_board tfmg:fireproof_bricks tfmg:fireproof_chemical_vat tfmg:heavy_machinery_casing tfmg:rubber_sheet tfmg:steel_chemical_vat
tfmg:crafting/materials/flarestack | minecraft:crafting_shaped | c:ingots/steel minecraft:crafting_shaped minecraft:flint_and_steel minecraft:iron_bars tfmg:cast_iron_pipe tfmg:flarestack
tfmg:crafting/materials/gas_lamp | minecraft:crafting_shaped | c:plates/cast_iron create:framed_glass minecraft:crafting_shaped tfmg:cast_iron_bars tfmg:gas_lamp tfmg:industrial_pipe
