more_slabs_stairs_and_walls:acacia_leaves_slab_from_acacia_leaves_stonecutting | minecraft:stonecutting | minecraft:acacia_leaves minecraft:stonecutting more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:acacia_wood_stairs_from_acacia_wood_stonecutting | minecraft:stonecutting | minecraft:acacia_wood minecraft:stonecutting more_slabs_stairs_and_walls:acacia_wood_stairs
more_slabs_stairs_and_walls:acacia_wood_stairs_shaped | minecraft:crafting_shaped | minecraft:acacia_wood minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_wood_stairs
more_slabs_stairs_and_walls:acacia_wood_stairs_to_planks | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:acacia_wood_stairs
more_slabs_stairs_and_walls:acacia_wood_wall_from_acacia_wood_stonecutting | minecraft:stonecutting | minecraft:acacia_wood minecraft:stonecutting more_slabs_stairs_and_walls:acacia_wood_wall
more_slabs_stairs_and_walls:acacia_wood_wall_shaped | minecraft:crafting_shaped | minecraft:acacia_wood minecraft:crafting_shaped more_slabs_stairs_and_walls:acacia_wood_wall
more_slabs_stairs_and_walls:acacia_wood_wall_to_planks | minecraft:crafting_shapeless | minecraft:acacia_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:acacia_wood_wall
more_slabs_stairs_and_walls:amethyst_block_slab_from_amethyst_block_stonecutting | minecraft:stonecutting | minecraft:amethyst_block minecraft:stonecutting more_slabs_stairs_and_walls:amethyst_block_slab
more_slabs_stairs_and_walls:amethyst_block_slab_shaped | minecraft:crafting_shaped | minecraft:amethyst_block minecraft:crafting_shaped more_slabs_stairs_and_walls:amethyst_block_slab
more_slabs_stairs_and_walls:amethyst_block_stairs_from_amethyst_block_stonecutting | minecraft:stonecutting | minecraft:amethyst_block minecraft:stonecutting more_slabs_stairs_and_walls:amethyst_block_stairs
more_slabs_stairs_and_walls:amethyst_block_stairs_shaped | minecraft:crafting_shaped | minecraft:amethyst_block minecraft:crafting_shaped more_slabs_stairs_and_walls:amethyst_block_stairs
more_slabs_stairs_and_walls:amethyst_block_wall_from_amethyst_block_stonecutting | minecraft:stonecutting | minecraft:amethyst_block minecraft:stonecutting more_slabs_stairs_and_walls:amethyst_block_wall
more_slabs_stairs_and_walls:amethyst_block_wall_shaped | minecraft:crafting_shaped | minecraft:amethyst_block minecraft:crafting_shaped more_slabs_stairs_and_walls:amethyst_block_wall
more_slabs_stairs_and_walls:azalea_leaves_slab_from_azalea_leaves_stonecutting | minecraft:stonecutting | minecraft:azalea_leaves minecraft:stonecutting more_slabs_stairs_and_walls:azalea_leaves_slab
more_slabs_stairs_and_walls:azalea_leaves_slab_shaped | minecraft:crafting_shaped | minecraft:azalea_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:azalea_leaves_slab
more_slabs_stairs_and_walls:azalea_leaves_stairs_from_azalea_leaves_stonecutting | minecraft:stonecutting | minecraft:azalea_leaves minecraft:stonecutting more_slabs_stairs_and_walls:azalea_leaves_stairs
more_slabs_stairs_and_walls:azalea_leaves_stairs_shaped | minecraft:crafting_shaped | minecraft:azalea_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:azalea_leaves_stairs
more_slabs_stairs_and_walls:azalea_leaves_wall_from_azalea_leaves_stonecutting | minecraft:stonecutting | minecraft:azalea_leaves minecraft:stonecutting more_slabs_stairs_and_walls:azalea_leaves_wall
more_slabs_stairs_and_walls:azalea_leaves_wall_shaped | minecraft:crafting_shaped | minecraft:azalea_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:azalea_leaves_wall
more_slabs_stairs_and_walls:bamboo_block_slab_from_bamboo_block_stonecutting | minecraft:stonecutting | minecraft:bamboo_block minecraft:stonecutting more_slabs_stairs_and_walls:bamboo_block_slab
more_slabs_stairs_and_walls:bamboo_block_slab_shaped | minecraft:crafting_shaped | minecraft:bamboo_block minecraft:crafting_shaped more_slabs_stairs_and_walls:bamboo_block_slab
more_slabs_stairs_and_walls:bamboo_block_slab_to_planks | minecraft:crafting_shapeless | minecraft:bamboo_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:bamboo_block_slab
more_slabs_stairs_and_walls:bamboo_block_stairs_from_bamboo_block_stonecutting | minecraft:stonecutting | minecraft:bamboo_block minecraft:stonecutting more_slabs_stairs_and_walls:bamboo_block_stairs
more_slabs_stairs_and_walls:bamboo_block_stairs_shaped | minecraft:crafting_shaped | minecraft:bamboo_block minecraft:crafting_shaped more_slabs_stairs_and_walls:bamboo_block_stairs
more_slabs_stairs_and_walls:bamboo_block_stairs_to_planks | minecraft:crafting_shapeless | minecraft:bamboo_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:bamboo_block_stairs
more_slabs_stairs_and_walls:bamboo_block_wall_from_bamboo_block_stonecutting | minecraft:stonecutting | minecraft:bamboo_block minecraft:stonecutting more_slabs_stairs_and_walls:bamboo_block_wall
more_slabs_stairs_and_walls:bamboo_block_wall_shaped | minecraft:crafting_shaped | minecraft:bamboo_block minecraft:crafting_shaped more_slabs_stairs_and_walls:bamboo_block_wall
more_slabs_stairs_and_walls:bamboo_block_wall_to_planks | minecraft:crafting_shapeless | minecraft:bamboo_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:bamboo_block_wall
more_slabs_stairs_and_walls:bamboo_mosaic_wall_from_bamboo_mosaic_stonecutting | minecraft:stonecutting | minecraft:bamboo_mosaic minecraft:stonecutting more_slabs_stairs_and_walls:bamboo_mosaic_wall
more_slabs_stairs_and_walls:bamboo_mosaic_wall_shaped | minecraft:crafting_shaped | minecraft:bamboo_mosaic minecraft:crafting_shaped more_slabs_stairs_and_walls:bamboo_mosaic_wall
more_slabs_stairs_and_walls:bamboo_planks_wall_from_bamboo_planks_stonecutting | minecraft:stonecutting | minecraft:bamboo_planks minecraft:stonecutting more_slabs_stairs_and_walls:bamboo_planks_wall
more_slabs_stairs_and_walls:bamboo_planks_wall_shaped | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:crafting_shaped more_slabs_stairs_and_walls:bamboo_planks_wall
more_slabs_stairs_and_walls:basalt_slab_from_basalt_stonecutting | minecraft:stonecutting | minecraft:basalt minecraft:stonecutting more_slabs_stairs_and_walls:basalt_slab
more_slabs_stairs_and_walls:basalt_slab_shaped | minecraft:crafting_shaped | minecraft:basalt minecraft:crafting_shaped more_slabs_stairs_and_walls:basalt_slab
more_slabs_stairs_and_walls:basalt_stairs_from_basalt_stonecutting | minecraft:stonecutting | minecraft:basalt minecraft:stonecutting more_slabs_stairs_and_walls:basalt_stairs
more_slabs_stairs_and_walls:basalt_stairs_shaped | minecraft:crafting_shaped | minecraft:basalt minecraft:crafting_shaped more_slabs_stairs_and_walls:basalt_stairs
more_slabs_stairs_and_walls:basalt_wall_from_basalt_stonecutting | minecraft:stonecutting | minecraft:basalt minecraft:stonecutting more_slabs_stairs_and_walls:basalt_wall
more_slabs_stairs_and_walls:basalt_wall_shaped | minecraft:crafting_shaped | minecraft:basalt minecraft:crafting_shaped more_slabs_stairs_and_walls:basalt_wall
more_slabs_stairs_and_walls:bedrock_slab_from_bedrock_stonecutting | minecraft:stonecutting | minecraft:bedrock minecraft:stonecutting more_slabs_stairs_and_walls:bedrock_slab
more_slabs_stairs_and_walls:bedrock_slab_shaped | minecraft:crafting_shaped | minecraft:bedrock minecraft:crafting_shaped more_slabs_stairs_and_walls:bedrock_slab
more_slabs_stairs_and_walls:bedrock_stairs_from_bedrock_stonecutting | minecraft:stonecutting | minecraft:bedrock minecraft:stonecutting more_slabs_stairs_and_walls:bedrock_stairs
more_slabs_stairs_and_walls:bedrock_stairs_shaped | minecraft:crafting_shaped | minecraft:bedrock minecraft:crafting_shaped more_slabs_stairs_and_walls:bedrock_stairs
more_slabs_stairs_and_walls:bedrock_wall_from_bedrock_stonecutting | minecraft:stonecutting | minecraft:bedrock minecraft:stonecutting more_slabs_stairs_and_walls:bedrock_wall
more_slabs_stairs_and_walls:bedrock_wall_shaped | minecraft:crafting_shaped | minecraft:bedrock minecraft:crafting_shaped more_slabs_stairs_and_walls:bedrock_wall
more_slabs_stairs_and_walls:birch_leaves_slab_from_birch_leaves_stonecutting | minecraft:stonecutting | minecraft:birch_leaves minecraft:stonecutting more_slabs_stairs_and_walls:birch_leaves_slab
more_slabs_stairs_and_walls:birch_leaves_slab_shaped | minecraft:crafting_shaped | minecraft:birch_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_leaves_slab
more_slabs_stairs_and_walls:birch_leaves_stairs_from_birch_leaves_stonecutting | minecraft:stonecutting | minecraft:birch_leaves minecraft:stonecutting more_slabs_stairs_and_walls:birch_leaves_stairs
more_slabs_stairs_and_walls:birch_leaves_stairs_shaped | minecraft:crafting_shaped | minecraft:birch_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_leaves_stairs
more_slabs_stairs_and_walls:birch_leaves_wall_from_birch_leaves_stonecutting | minecraft:stonecutting | minecraft:birch_leaves minecraft:stonecutting more_slabs_stairs_and_walls:birch_leaves_wall
more_slabs_stairs_and_walls:birch_leaves_wall_shaped | minecraft:crafting_shaped | minecraft:birch_leaves minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_leaves_wall
more_slabs_stairs_and_walls:birch_log_slab_from_birch_log_stonecutting | minecraft:stonecutting | minecraft:birch_log minecraft:stonecutting more_slabs_stairs_and_walls:birch_log_slab
more_slabs_stairs_and_walls:birch_log_slab_shaped | minecraft:crafting_shaped | minecraft:birch_log minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_log_slab
more_slabs_stairs_and_walls:birch_log_slab_to_planks | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:birch_log_slab
more_slabs_stairs_and_walls:birch_log_stairs_from_birch_log_stonecutting | minecraft:stonecutting | minecraft:birch_log minecraft:stonecutting more_slabs_stairs_and_walls:birch_log_stairs
more_slabs_stairs_and_walls:birch_log_stairs_shaped | minecraft:crafting_shaped | minecraft:birch_log minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_log_stairs
more_slabs_stairs_and_walls:birch_log_stairs_to_planks | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:birch_log_stairs
more_slabs_stairs_and_walls:birch_log_wall_from_birch_log_stonecutting | minecraft:stonecutting | minecraft:birch_log minecraft:stonecutting more_slabs_stairs_and_walls:birch_log_wall
more_slabs_stairs_and_walls:birch_log_wall_shaped | minecraft:crafting_shaped | minecraft:birch_log minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_log_wall
more_slabs_stairs_and_walls:birch_log_wall_to_planks | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:birch_log_wall
more_slabs_stairs_and_walls:birch_planks_wall_from_birch_planks_stonecutting | minecraft:stonecutting | minecraft:birch_planks minecraft:stonecutting more_slabs_stairs_and_walls:birch_planks_wall
more_slabs_stairs_and_walls:birch_planks_wall_shaped | minecraft:crafting_shaped | minecraft:birch_planks minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_planks_wall
more_slabs_stairs_and_walls:birch_wood_slab_from_birch_wood_stonecutting | minecraft:stonecutting | minecraft:birch_wood minecraft:stonecutting more_slabs_stairs_and_walls:birch_wood_slab
more_slabs_stairs_and_walls:birch_wood_slab_shaped | minecraft:crafting_shaped | minecraft:birch_wood minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_wood_slab
more_slabs_stairs_and_walls:birch_wood_slab_to_planks | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:birch_wood_slab
more_slabs_stairs_and_walls:birch_wood_stairs_from_birch_wood_stonecutting | minecraft:stonecutting | minecraft:birch_wood minecraft:stonecutting more_slabs_stairs_and_walls:birch_wood_stairs
more_slabs_stairs_and_walls:birch_wood_stairs_shaped | minecraft:crafting_shaped | minecraft:birch_wood minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_wood_stairs
more_slabs_stairs_and_walls:birch_wood_stairs_to_planks | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:birch_wood_stairs
more_slabs_stairs_and_walls:birch_wood_wall_from_birch_wood_stonecutting | minecraft:stonecutting | minecraft:birch_wood minecraft:stonecutting more_slabs_stairs_and_walls:birch_wood_wall
more_slabs_stairs_and_walls:birch_wood_wall_shaped | minecraft:crafting_shaped | minecraft:birch_wood minecraft:crafting_shaped more_slabs_stairs_and_walls:birch_wood_wall
more_slabs_stairs_and_walls:birch_wood_wall_to_planks | minecraft:crafting_shapeless | minecraft:birch_planks minecraft:crafting_shapeless more_slabs_stairs_and_walls:birch_wood_wall
more_slabs_stairs_and_walls:black_concrete_powder_slab_from_black_concrete_powder_stonecutting | minecraft:stonecutting | minecraft:black_concrete_powder minecraft:stonecutting more_slabs_stairs_and_walls:black_concrete_powder_slab
more_slabs_stairs_and_walls:black_concrete_powder_slab_shaped | minecraft:crafting_shaped | minecraft:black_concrete_powder minecraft:crafting_shaped more_slabs_stairs_and_walls:black_concrete_powder_slab
more_slabs_stairs_and_walls:black_concrete_powder_stairs_from_black_concrete_powder_stonecutting | minecraft:stonecutting | minecraft:black_concrete_powder minecraft:stonecutting more_slabs_stairs_and_walls:black_concrete_powder_stairs
more_slabs_stairs_and_walls:black_concrete_powder_stairs_shaped | minecraft:crafting_shaped | minecraft:black_concrete_powder minecraft:crafting_shaped more_slabs_stairs_and_walls:black_concrete_powder_stairs
more_slabs_stairs_and_walls:black_concrete_powder_wall_from_black_concrete_powder_stonecutting | minecraft:stonecutting | minecraft:black_concrete_powder minecraft:stonecutting more_slabs_stairs_and_walls:black_concrete_powder_wall
more_slabs_stairs_and_walls:black_concrete_powder_wall_shaped | minecraft:crafting_shaped | minecraft:black_concrete_powder minecraft:crafting_shaped more_slabs_stairs_and_walls:black_concrete_powder_wall
more_slabs_stairs_and_walls:black_concrete_slab_from_black_concrete_stonecutting | minecraft:stonecutting | minecraft:black_concrete minecraft:stonecutting more_slabs_stairs_and_walls:black_concrete_slab
more_slabs_stairs_and_walls:black_concrete_slab_shaped | minecraft:crafting_shaped | minecraft:black_concrete minecraft:crafting_shaped more_slabs_stairs_and_walls:black_concrete_slab
more_slabs_stairs_and_walls:black_concrete_stairs_from_black_concrete_stonecutting | minecraft:stonecutting | minecraft:black_concrete minecraft:stonecutting more_slabs_stairs_and_walls:black_concrete_stairs
more_slabs_stairs_and_walls:black_concrete_stairs_shaped | minecraft:crafting_shaped | minecraft:black_concrete minecraft:crafting_shaped more_slabs_stairs_and_walls:black_concrete_stairs
more_slabs_stairs_and_walls:black_concrete_wall_from_black_concrete_stonecutting | minecraft:stonecutting | minecraft:black_concrete minecraft:stonecutting more_slabs_stairs_and_walls:black_concrete_wall
more_slabs_stairs_and_walls:black_concrete_wall_shaped | minecraft:crafting_shaped | minecraft:black_concrete minecraft:crafting_shaped more_slabs_stairs_and_walls:black_concrete_wall
more_slabs_stairs_and_walls:black_glazed_terracotta_slab_from_black_glazed_terracotta_stonecutting | minecraft:stonecutting | minecraft:black_glazed_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:black_glazed_terracotta_slab
more_slabs_stairs_and_walls:black_glazed_terracotta_slab_from_smelting_black_terracotta_slab | minecraft:smelting | minecraft:smelting more_slabs_stairs_and_walls:black_glazed_terracotta_slab more_slabs_stairs_and_walls:black_terracotta_slab
more_slabs_stairs_and_walls:black_glazed_terracotta_slab_shaped | minecraft:crafting_shaped | minecraft:black_glazed_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:black_glazed_terracotta_slab
more_slabs_stairs_and_walls:black_glazed_terracotta_stairs_from_black_glazed_terracotta_stonecutting | minecraft:stonecutting | minecraft:black_glazed_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:black_glazed_terracotta_stairs
more_slabs_stairs_and_walls:black_glazed_terracotta_stairs_from_smelting_black_terracotta_stairs | minecraft:smelting | minecraft:smelting more_slabs_stairs_and_walls:black_glazed_terracotta_stairs more_slabs_stairs_and_walls:black_terracotta_stairs
more_slabs_stairs_and_walls:black_glazed_terracotta_stairs_shaped | minecraft:crafting_shaped | minecraft:black_glazed_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:black_glazed_terracotta_stairs
more_slabs_stairs_and_walls:black_glazed_terracotta_wall_from_black_glazed_terracotta_stonecutting | minecraft:stonecutting | minecraft:black_glazed_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:black_glazed_terracotta_wall
more_slabs_stairs_and_walls:black_glazed_terracotta_wall_from_smelting_black_terracotta_wall | minecraft:smelting | minecraft:smelting more_slabs_stairs_and_walls:black_glazed_terracotta_wall more_slabs_stairs_and_walls:black_terracotta_wall
more_slabs_stairs_and_walls:black_glazed_terracotta_wall_shaped | minecraft:crafting_shaped | minecraft:black_glazed_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:black_glazed_terracotta_wall
more_slabs_stairs_and_walls:black_stained_glass_slab_from_black_stained_glass_stonecutting | minecraft:stonecutting | minecraft:black_stained_glass minecraft:stonecutting more_slabs_stairs_and_walls:black_stained_glass_slab
more_slabs_stairs_and_walls:black_stained_glass_slab_shaped | minecraft:crafting_shaped | minecraft:black_stained_glass minecraft:crafting_shaped more_slabs_stairs_and_walls:black_stained_glass_slab
more_slabs_stairs_and_walls:black_stained_glass_stairs_from_black_stained_glass_stonecutting | minecraft:stonecutting | minecraft:black_stained_glass minecraft:stonecutting more_slabs_stairs_and_walls:black_stained_glass_stairs
more_slabs_stairs_and_walls:black_stained_glass_stairs_shaped | minecraft:crafting_shaped | minecraft:black_stained_glass minecraft:crafting_shaped more_slabs_stairs_and_walls:black_stained_glass_stairs
more_slabs_stairs_and_walls:black_stained_glass_wall_from_black_stained_glass_stonecutting | minecraft:stonecutting | minecraft:black_stained_glass minecraft:stonecutting more_slabs_stairs_and_walls:black_stained_glass_wall
more_slabs_stairs_and_walls:black_terracotta_slab_from_black_terracotta_stonecutting | minecraft:stonecutting | minecraft:black_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:black_terracotta_slab
more_slabs_stairs_and_walls:black_terracotta_slab_shaped | minecraft:crafting_shaped | minecraft:black_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:black_terracotta_slab
more_slabs_stairs_and_walls:black_terracotta_stairs_from_black_terracotta_stonecutting | minecraft:stonecutting | minecraft:black_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:black_terracotta_stairs
more_slabs_stairs_and_walls:black_terracotta_stairs_shaped | minecraft:crafting_shaped | minecraft:black_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:black_terracotta_stairs
more_slabs_stairs_and_walls:black_terracotta_wall_from_black_terracotta_stonecutting | minecraft:stonecutting | minecraft:black_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:black_terracotta_wall
more_slabs_stairs_and_walls:black_terracotta_wall_shaped | minecraft:crafting_shaped | minecraft:black_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:black_terracotta_wall
more_slabs_stairs_and_walls:black_wool_slab_from_black_wool_stonecutting | minecraft:stonecutting | minecraft:black_wool minecraft:stonecutting more_slabs_stairs_and_walls:black_wool_slab
more_slabs_stairs_and_walls:black_wool_slab_from_dye | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless more_slabs_stairs_and_walls:black_wool_slab more_slabs_stairs_and_walls:wool_slabs
more_slabs_stairs_and_walls:black_wool_slab_shaped | minecraft:crafting_shaped | minecraft:black_wool minecraft:crafting_shaped more_slabs_stairs_and_walls:black_wool_slab
more_slabs_stairs_and_walls:black_wool_stairs_from_black_wool_stonecutting | minecraft:stonecutting | minecraft:black_wool minecraft:stonecutting more_slabs_stairs_and_walls:black_wool_stairs
more_slabs_stairs_and_walls:black_wool_stairs_from_dye | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless more_slabs_stairs_and_walls:black_wool_stairs more_slabs_stairs_and_walls:wool_stairs
more_slabs_stairs_and_walls:black_wool_stairs_shaped | minecraft:crafting_shaped | minecraft:black_wool minecraft:crafting_shaped more_slabs_stairs_and_walls:black_wool_stairs
more_slabs_stairs_and_walls:black_wool_wall_from_black_wool_stonecutting | minecraft:stonecutting | minecraft:black_wool minecraft:stonecutting more_slabs_stairs_and_walls:black_wool_wall
more_slabs_stairs_and_walls:black_wool_wall_from_dye | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless more_slabs_stairs_and_walls:black_wool_wall more_slabs_stairs_and_walls:wool_walls
more_slabs_stairs_and_walls:black_wool_wall_shaped | minecraft:crafting_shaped | minecraft:black_wool minecraft:crafting_shaped more_slabs_stairs_and_walls:black_wool_wall
more_slabs_stairs_and_walls:blue_concrete_powder_slab_from_blue_concrete_powder_stonecutting | minecraft:stonecutting | minecraft:blue_concrete_powder minecraft:stonecutting more_slabs_stairs_and_walls:blue_concrete_powder_slab
more_slabs_stairs_and_walls:blue_concrete_powder_slab_shaped | minecraft:crafting_shaped | minecraft:blue_concrete_powder minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_concrete_powder_slab
more_slabs_stairs_and_walls:blue_concrete_powder_stairs_from_blue_concrete_powder_stonecutting | minecraft:stonecutting | minecraft:blue_concrete_powder minecraft:stonecutting more_slabs_stairs_and_walls:blue_concrete_powder_stairs
more_slabs_stairs_and_walls:blue_concrete_powder_stairs_shaped | minecraft:crafting_shaped | minecraft:blue_concrete_powder minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_concrete_powder_stairs
more_slabs_stairs_and_walls:blue_concrete_powder_wall_from_blue_concrete_powder_stonecutting | minecraft:stonecutting | minecraft:blue_concrete_powder minecraft:stonecutting more_slabs_stairs_and_walls:blue_concrete_powder_wall
more_slabs_stairs_and_walls:blue_concrete_powder_wall_shaped | minecraft:crafting_shaped | minecraft:blue_concrete_powder minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_concrete_powder_wall
more_slabs_stairs_and_walls:blue_concrete_slab_from_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:blue_concrete minecraft:stonecutting more_slabs_stairs_and_walls:blue_concrete_slab
more_slabs_stairs_and_walls:blue_concrete_slab_shaped | minecraft:crafting_shaped | minecraft:blue_concrete minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_concrete_slab
more_slabs_stairs_and_walls:blue_concrete_stairs_from_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:blue_concrete minecraft:stonecutting more_slabs_stairs_and_walls:blue_concrete_stairs
more_slabs_stairs_and_walls:blue_concrete_stairs_shaped | minecraft:crafting_shaped | minecraft:blue_concrete minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_concrete_stairs
more_slabs_stairs_and_walls:blue_concrete_wall_from_blue_concrete_stonecutting | minecraft:stonecutting | minecraft:blue_concrete minecraft:stonecutting more_slabs_stairs_and_walls:blue_concrete_wall
more_slabs_stairs_and_walls:blue_concrete_wall_shaped | minecraft:crafting_shaped | minecraft:blue_concrete minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_concrete_wall
more_slabs_stairs_and_walls:blue_glazed_terracotta_slab_from_blue_glazed_terracotta_stonecutting | minecraft:stonecutting | minecraft:blue_glazed_terracotta minecraft:stonecutting more_slabs_stairs_and_walls:blue_glazed_terracotta_slab
more_slabs_stairs_and_walls:blue_glazed_terracotta_slab_from_smelting_blue_terracotta_slab | minecraft:smelting | minecraft:smelting more_slabs_stairs_and_walls:blue_glazed_terracotta_slab more_slabs_stairs_and_walls:blue_terracotta_slab
more_slabs_stairs_and_walls:blue_glazed_terracotta_slab_shaped | minecraft:crafting_shaped | minecraft:blue_glazed_terracotta minecraft:crafting_shaped more_slabs_stairs_and_walls:blue_glazed_terracotta_slab
