create_dragons_plus:crafting/blaze_upgrade_smithing_template | minecraft:crafting_shaped | create_dragons_plus:blaze_upgrade_smithing_template create_dragons_plus:config_feature create_dragons_plus:item/blaze_upgrade_smithing_template minecraft:blaze_rod minecraft:crafting_shaped minecraft:netherrack
create_dragons_plus:mixing/blue_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:blue_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:blue_dye neoforge:single
create_dragons_plus:mixing/blue_dye_from_item | create:mixing | create:mixing create_dragons_plus:blue_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:blue_dye minecraft:water neoforge:single
create_dragons_plus:mixing/brown_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:brown_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:brown_dye neoforge:single
create_dragons_plus:mixing/brown_dye_from_item | create:mixing | create:mixing create_dragons_plus:brown_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:brown_dye minecraft:water neoforge:single
create_dragons_plus:mixing/cyan_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:cyan_dye create_dragons_plus:fluid/dye minecraft:cyan_dye neoforge:single
create_dragons_plus:mixing/cyan_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:cyan_dye create_dragons_plus:fluid/dye minecraft:cyan_dye minecraft:water neoforge:single
create_dragons_plus:mixing/gray_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:gray_dye minecraft:gray_dye neoforge:single
create_dragons_plus:mixing/gray_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:gray_dye minecraft:gray_dye minecraft:water neoforge:single
create_dragons_plus:mixing/green_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:green_dye minecraft:green_dye neoforge:single
create_dragons_plus:mixing/green_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:green_dye minecraft:green_dye minecraft:water neoforge:single
create_dragons_plus:mixing/light_blue_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:light_blue_dye minecraft:light_blue_dye neoforge:single
create_dragons_plus:mixing/light_blue_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:light_blue_dye minecraft:light_blue_dye minecraft:water neoforge:single
create_dragons_plus:mixing/light_gray_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:light_gray_dye minecraft:light_gray_dye neoforge:single
create_dragons_plus:mixing/light_gray_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:light_gray_dye minecraft:light_gray_dye minecraft:water neoforge:single
create_dragons_plus:mixing/lime_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:lime_dye minecraft:lime_dye neoforge:single
create_dragons_plus:mixing/lime_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:lime_dye minecraft:lime_dye minecraft:water neoforge:single
create_dragons_plus:mixing/magenta_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:magenta_dye minecraft:magenta_dye neoforge:single
create_dragons_plus:mixing/magenta_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:magenta_dye minecraft:magenta_dye minecraft:water neoforge:single
create_dragons_plus:mixing/orange_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:orange_dye minecraft:orange_dye neoforge:single
create_dragons_plus:mixing/orange_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:orange_dye minecraft:orange_dye minecraft:water neoforge:single
create_dragons_plus:mixing/pink_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:pink_dye minecraft:pink_dye neoforge:single
create_dragons_plus:mixing/pink_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:pink_dye minecraft:pink_dye minecraft:water neoforge:single
create_dragons_plus:mixing/purple_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:purple_dye minecraft:purple_dye neoforge:single
create_dragons_plus:mixing/purple_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:purple_dye minecraft:purple_dye minecraft:water neoforge:single
create_dragons_plus:mixing/red_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:red_dye minecraft:red_dye neoforge:single
create_dragons_plus:mixing/red_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:red_dye minecraft:red_dye minecraft:water neoforge:single
create_dragons_plus:mixing/white_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:white_dye minecraft:white_dye neoforge:single
create_dragons_plus:mixing/white_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:white_dye minecraft:water minecraft:white_dye neoforge:single
create_dragons_plus:mixing/yellow_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:yellow_dye minecraft:yellow_dye neoforge:single
create_dragons_plus:mixing/yellow_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:yellow_dye minecraft:water minecraft:yellow_dye neoforge:single
