aeronautics_dyeable_components:black_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:black_large_tire aeronautics_dyeable_components:large_tires minecraft:black_dye minecraft:crafting_shapeless
aeronautics_dyeable_components:cyan_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:cyan_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:cyan_dye
aeronautics_dyeable_components:gray_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:gray_large_tire aeronautics_dyeable_components:large_tires minecraft:crafting_shapeless minecraft:gray_dye
aeronautics_dyeable_components:gray_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:gray_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:gray_dye
aeronautics_dyeable_components:gray_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:gray_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:gray_dye
aeronautics_dyeable_components:gray_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:gray_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:gray_dye
aeronautics_dyeable_components:green_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:green_large_tire aeronautics_dyeable_components:large_tires minecraft:crafting_shapeless minecraft:green_dye
aeronautics_dyeable_components:green_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:green_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:green_dye
aeronautics_dyeable_components:green_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:green_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:green_dye
aeronautics_dyeable_components:green_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:green_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:green_dye
aeronautics_dyeable_components:light_blue_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:light_blue_large_tire minecraft:crafting_shapeless minecraft:light_blue_dye
aeronautics_dyeable_components:light_blue_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:light_blue_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:light_blue_dye
aeronautics_dyeable_components:light_blue_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:light_blue_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:light_blue_dye
aeronautics_dyeable_components:light_blue_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:light_blue_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:light_blue_dye
aeronautics_dyeable_components:light_gray_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:light_gray_large_tire minecraft:crafting_shapeless minecraft:light_gray_dye
aeronautics_dyeable_components:light_gray_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:light_gray_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:light_gray_dye
aeronautics_dyeable_components:light_gray_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:light_gray_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:light_gray_dye
aeronautics_dyeable_components:light_gray_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:light_gray_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:light_gray_dye
aeronautics_dyeable_components:lime_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:lime_large_tire minecraft:crafting_shapeless minecraft:lime_dye
aeronautics_dyeable_components:lime_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:lime_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:lime_dye
aeronautics_dyeable_components:lime_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:lime_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:lime_dye
aeronautics_dyeable_components:lime_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:lime_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:lime_dye
aeronautics_dyeable_components:magenta_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:magenta_large_tire minecraft:crafting_shapeless minecraft:magenta_dye
aeronautics_dyeable_components:magenta_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:magenta_monstrous_tire aeronautics_dyeable_components:monstrous_tires minecraft:crafting_shapeless minecraft:magenta_dye
aeronautics_dyeable_components:magenta_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:magenta_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:magenta_dye
aeronautics_dyeable_components:magenta_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:magenta_tire aeronautics_dyeable_components:normal_tires minecraft:crafting_shapeless minecraft:magenta_dye
aeronautics_dyeable_components:orange_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:orange_large_tire minecraft:crafting_shapeless minecraft:orange_dye
aeronautics_dyeable_components:orange_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:monstrous_tires aeronautics_dyeable_components:orange_monstrous_tire minecraft:crafting_shapeless minecraft:orange_dye
aeronautics_dyeable_components:orange_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:orange_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:orange_dye
aeronautics_dyeable_components:orange_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:normal_tires aeronautics_dyeable_components:orange_tire minecraft:crafting_shapeless minecraft:orange_dye
aeronautics_dyeable_components:pink_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:pink_large_tire minecraft:crafting_shapeless minecraft:pink_dye
aeronautics_dyeable_components:pink_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:monstrous_tires aeronautics_dyeable_components:pink_monstrous_tire minecraft:crafting_shapeless minecraft:pink_dye
aeronautics_dyeable_components:pink_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:pink_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:pink_dye
aeronautics_dyeable_components:pink_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:normal_tires aeronautics_dyeable_components:pink_tire minecraft:crafting_shapeless minecraft:pink_dye
aeronautics_dyeable_components:purple_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:purple_large_tire minecraft:crafting_shapeless minecraft:purple_dye
aeronautics_dyeable_components:purple_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:monstrous_tires aeronautics_dyeable_components:purple_monstrous_tire minecraft:crafting_shapeless minecraft:purple_dye
aeronautics_dyeable_components:purple_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:purple_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:purple_dye
aeronautics_dyeable_components:purple_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:normal_tires aeronautics_dyeable_components:purple_tire minecraft:crafting_shapeless minecraft:purple_dye
aeronautics_dyeable_components:red_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:red_large_tire minecraft:crafting_shapeless minecraft:red_dye
aeronautics_dyeable_components:red_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:monstrous_tires aeronautics_dyeable_components:red_monstrous_tire minecraft:crafting_shapeless minecraft:red_dye
aeronautics_dyeable_components:red_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:red_small_tire aeronautics_dyeable_components:small_tires minecraft:crafting_shapeless minecraft:red_dye
aeronautics_dyeable_components:red_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:normal_tires aeronautics_dyeable_components:red_tire minecraft:crafting_shapeless minecraft:red_dye
aeronautics_dyeable_components:white_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:white_large_tire minecraft:crafting_shapeless minecraft:white_dye
aeronautics_dyeable_components:white_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:monstrous_tires aeronautics_dyeable_components:white_monstrous_tire minecraft:crafting_shapeless minecraft:white_dye
aeronautics_dyeable_components:white_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:small_tires aeronautics_dyeable_components:white_small_tire minecraft:crafting_shapeless minecraft:white_dye
aeronautics_dyeable_components:white_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:normal_tires aeronautics_dyeable_components:white_tire minecraft:crafting_shapeless minecraft:white_dye
aeronautics_dyeable_components:yellow_large_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:large_tires aeronautics_dyeable_components:yellow_large_tire minecraft:crafting_shapeless minecraft:yellow_dye
aeronautics_dyeable_components:yellow_monstrous_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:monstrous_tires aeronautics_dyeable_components:yellow_monstrous_tire minecraft:crafting_shapeless minecraft:yellow_dye
aeronautics_dyeable_components:yellow_small_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:small_tires aeronautics_dyeable_components:yellow_small_tire minecraft:crafting_shapeless minecraft:yellow_dye
aeronautics_dyeable_components:yellow_tire_recipe | minecraft:crafting_shapeless | aeronautics_dyeable_components:normal_tires aeronautics_dyeable_components:yellow_tire minecraft:crafting_shapeless minecraft:yellow_dye
