farmersdelight:acacia_cabinet | minecraft:crafting_shaped | farmersdelight:acacia_cabinet minecraft:acacia_slab minecraft:acacia_trapdoor minecraft:crafting_shaped
farmersdelight:chocolate_pie_from_slices | minecraft:crafting_shaped | farmersdelight:chocolate_pie farmersdelight:chocolate_pie_slice minecraft:crafting_shaped
farmersdelight:cod_roll | minecraft:crafting_shapeless | farmersdelight:cod_roll farmersdelight:cod_slice farmersdelight:cooked_rice minecraft:crafting_shapeless
farmersdelight:cooked_bacon | minecraft:smelting | farmersdelight:bacon farmersdelight:cooked_bacon minecraft:smelting
farmersdelight:cooked_bacon_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:bacon farmersdelight:cooked_bacon minecraft:campfire_cooking
farmersdelight:cooked_bacon_from_smoking | minecraft:smoking | farmersdelight:bacon farmersdelight:cooked_bacon minecraft:smoking
farmersdelight:cooked_chicken_cuts | minecraft:smelting | farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts minecraft:smelting
farmersdelight:cooked_chicken_cuts_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts minecraft:campfire_cooking
farmersdelight:cooked_chicken_cuts_from_smoking | minecraft:smoking | farmersdelight:chicken_cuts farmersdelight:cooked_chicken_cuts minecraft:smoking
farmersdelight:cooked_cod_slice | minecraft:smelting | farmersdelight:cod_slice farmersdelight:cooked_cod_slice minecraft:smelting
farmersdelight:cooked_cod_slice_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:cod_slice farmersdelight:cooked_cod_slice minecraft:campfire_cooking
farmersdelight:cooked_cod_slice_from_smoking | minecraft:smoking | farmersdelight:cod_slice farmersdelight:cooked_cod_slice minecraft:smoking
farmersdelight:cooked_mutton_chops | minecraft:smelting | farmersdelight:cooked_mutton_chops farmersdelight:mutton_chops minecraft:smelting
farmersdelight:cooked_mutton_chops_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:cooked_mutton_chops farmersdelight:mutton_chops minecraft:campfire_cooking
farmersdelight:cooked_mutton_chops_from_smoking | minecraft:smoking | farmersdelight:cooked_mutton_chops farmersdelight:mutton_chops minecraft:smoking
farmersdelight:cooked_salmon_slice | minecraft:smelting | farmersdelight:cooked_salmon_slice farmersdelight:salmon_slice minecraft:smelting
farmersdelight:cooked_salmon_slice_from_campfire_cooking | minecraft:campfire_cooking | farmersdelight:cooked_salmon_slice farmersdelight:salmon_slice minecraft:campfire_cooking
farmersdelight:cooked_salmon_slice_from_smoking | minecraft:smoking | farmersdelight:cooked_salmon_slice farmersdelight:salmon_slice minecraft:smoking
farmersdelight:cooking/apple_cider | farmersdelight:cooking | farmersdelight:apple_cider farmersdelight:cooking minecraft:apple minecraft:sugar
farmersdelight:cooking/baked_cod_stew | farmersdelight:cooking | c:crops/potato c:crops/tomato c:eggs c:foods/raw_cod farmersdelight:baked_cod_stew farmersdelight:cooking
farmersdelight:cooking/beef_stew | farmersdelight:cooking | c:crops/carrot c:crops/potato c:foods/raw_beef farmersdelight:beef_stew farmersdelight:cooking
farmersdelight:cooking/beetroot_soup | farmersdelight:cooking | c:crops/beetroot farmersdelight:cooking minecraft:beetroot_soup minecraft:bowl
farmersdelight:cooking/bone_broth | farmersdelight:cooking | c:bones c:mushrooms farmersdelight:bone_broth farmersdelight:cooking minecraft:glow_berries minecraft:glow_lichen minecraft:hanging_roots neoforge:compound
farmersdelight:cooking/cabbage_rolls | farmersdelight:cooking | c:crops/cabbage c:foods/raw_meat c:foods/safe_raw_fish c:foods/vegetable c:mushrooms farmersdelight:cabbage_rolls farmersdelight:cooking neoforge:compound
farmersdelight:cooking/chicken_soup | farmersdelight:cooking | c:crops/carrot c:foods/leafy_green c:foods/raw_chicken c:foods/vegetable farmersdelight:chicken_soup farmersdelight:cooking minecraft:melon_slice neoforge:difference
farmersdelight:cooking/cooked_rice | farmersdelight:cooking | c:crops/rice farmersdelight:cooked_rice farmersdelight:cooking
farmersdelight:cooking/dog_food | farmersdelight:cooking | c:crops/rice c:foods/raw_meat farmersdelight:cooking farmersdelight:dog_food minecraft:bone_meal minecraft:rotten_flesh
farmersdelight:cooking/dumplings | farmersdelight:cooking | c:crops/cabbage c:crops/onion c:foods/dough c:foods/raw_beef c:foods/raw_chicken c:foods/raw_pork farmersdelight:cooking farmersdelight:dumplings minecraft:brown_mushroom neoforge:compound
farmersdelight:cooking/fish_stew | farmersdelight:cooking | c:crops/onion c:foods/safe_raw_fish farmersdelight:cooking farmersdelight:fish_stew farmersdelight:tomato_sauce
farmersdelight:cooking/fried_rice | farmersdelight:cooking | c:crops/carrot c:crops/onion c:crops/rice c:eggs farmersdelight:cooking farmersdelight:fried_rice
farmersdelight:cooking/glow_berry_custard | farmersdelight:cooking | c:drinks/milk c:eggs farmersdelight:cooking farmersdelight:glow_berry_custard minecraft:glow_berries minecraft:sugar
farmersdelight:cooking/hot_cocoa | farmersdelight:cooking | c:drinks/milk farmersdelight:cooking farmersdelight:hot_cocoa minecraft:cocoa_beans minecraft:sugar
farmersdelight:cooking/mushroom_rice | farmersdelight:cooking | c:crops/rice farmersdelight:cooking farmersdelight:mushroom_rice minecraft:brown_mushroom minecraft:carrot minecraft:potato minecraft:red_mushroom neoforge:compound
farmersdelight:cooking/mushroom_stew | farmersdelight:cooking | farmersdelight:cooking minecraft:bowl minecraft:brown_mushroom minecraft:mushroom_stew minecraft:red_mushroom
farmersdelight:cooking/noodle_soup | farmersdelight:cooking | c:eggs c:foods/pasta c:foods/raw_pork farmersdelight:cooking farmersdelight:noodle_soup minecraft:dried_kelp
farmersdelight:cooking/onion_soup | farmersdelight:cooking | c:crops/onion c:drinks/milk c:foods/bread farmersdelight:cooking farmersdelight:onion_soup
farmersdelight:cooking/pasta_with_meatballs | farmersdelight:cooking | c:foods/pasta farmersdelight:cooking farmersdelight:minced_beef farmersdelight:pasta_with_meatballs farmersdelight:tomato_sauce
farmersdelight:cooking/pasta_with_mutton_chop | farmersdelight:cooking | c:foods/pasta c:foods/raw_mutton farmersdelight:cooking farmersdelight:pasta_with_mutton_chop farmersdelight:tomato_sauce
farmersdelight:cooking/pumpkin_soup | farmersdelight:cooking | c:drinks/milk c:foods/leafy_green c:foods/raw_pork farmersdelight:cooking farmersdelight:pumpkin_slice farmersdelight:pumpkin_soup
farmersdelight:cooking/rabbit_stew | farmersdelight:cooking | c:crops/carrot c:crops/potato farmersdelight:cooking minecraft:bowl minecraft:brown_mushroom minecraft:rabbit minecraft:rabbit_stew minecraft:red_mushroom neoforge:compound
farmersdelight:cooking/ratatouille | farmersdelight:cooking | c:crops/beetroot c:crops/onion c:crops/tomato c:foods/vegetable farmersdelight:cooking farmersdelight:ratatouille minecraft:melon_slice neoforge:difference
farmersdelight:cooking/squid_ink_pasta | farmersdelight:cooking | c:crops/tomato c:foods/pasta c:foods/safe_raw_fish farmersdelight:cooking farmersdelight:squid_ink_pasta minecraft:ink_sac
farmersdelight:cooking/stuffed_pumpkin_block | farmersdelight:cooking | c:crops/onion c:crops/potato c:crops/rice c:foods/berry c:foods/vegetable farmersdelight:cooking farmersdelight:stuffed_pumpkin_block minecraft:brown_mushroom minecraft:melon_slice minecraft:pumpkin neoforge:difference
farmersdelight:cooking/tomato_sauce | farmersdelight:cooking | c:crops/tomato farmersdelight:cooking farmersdelight:tomato_sauce
farmersdelight:cooking/vegetable_noodles | farmersdelight:cooking | c:crops/carrot c:foods/leafy_green c:foods/pasta c:foods/vegetable c:mushrooms farmersdelight:cooking farmersdelight:vegetable_noodles minecraft:melon_slice neoforge:difference
farmersdelight:cooking/vegetable_soup | farmersdelight:cooking | c:crops/beetroot c:crops/carrot c:crops/potato c:foods/leafy_green farmersdelight:cooking farmersdelight:vegetable_soup
farmersdelight:cooking_pot | minecraft:crafting_shaped | c:buckets/water c:ingots/iron farmersdelight:cooking_pot minecraft:brick minecraft:crafting_shaped minecraft:wooden_shovel
farmersdelight:crimson_cabinet | minecraft:crafting_shaped | farmersdelight:crimson_cabinet minecraft:crafting_shaped minecraft:crimson_slab minecraft:crimson_trapdoor
farmersdelight:cutting/acacia_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:acacia_log minecraft:axes minecraft:item.axe.strip minecraft:stripped_acacia_log
farmersdelight:cutting/acacia_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:acacia_wood minecraft:axes minecraft:item.axe.strip minecraft:stripped_acacia_wood
farmersdelight:cutting/allium | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:allium minecraft:magenta_dye
farmersdelight:cutting/apple_pie | farmersdelight:cutting | c:tools/knife farmersdelight:apple_pie farmersdelight:apple_pie_slice farmersdelight:cutting farmersdelight:item_ability
farmersdelight:cutting/azure_bluet | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:azure_bluet minecraft:light_gray_dye
farmersdelight:cutting/bamboo_basket | farmersdelight:cutting | farmersdelight:bamboo_basket farmersdelight:canvas farmersdelight:cutting farmersdelight:item_ability minecraft:axes minecraft:bamboo
farmersdelight:cutting/bamboo_block | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:straw minecraft:axes minecraft:bamboo_block minecraft:item.axe.strip minecraft:stripped_bamboo_block
farmersdelight:cutting/beef | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:minced_beef minecraft:beef
farmersdelight:cutting/birch_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:birch_log minecraft:item.axe.strip minecraft:stripped_birch_log
farmersdelight:cutting/birch_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:birch_wood minecraft:item.axe.strip minecraft:stripped_birch_wood
farmersdelight:cutting/blue_orchid | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:blue_orchid minecraft:light_blue_dye
farmersdelight:cutting/brown_mushroom_colony | farmersdelight:cutting | c:tools/knife farmersdelight:brown_mushroom_colony farmersdelight:cutting farmersdelight:item_ability minecraft:brown_mushroom
farmersdelight:cutting/cabbage | farmersdelight:cutting | c:tools/knife farmersdelight:cabbage farmersdelight:cabbage_leaf farmersdelight:cutting farmersdelight:item_ability
farmersdelight:cutting/cake | farmersdelight:cutting | c:tools/knife farmersdelight:cake_slice farmersdelight:cutting farmersdelight:item_ability minecraft:cake
farmersdelight:cutting/cherry_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:cherry_log minecraft:item.axe.strip minecraft:stripped_cherry_log
farmersdelight:cutting/cherry_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:cherry_wood minecraft:item.axe.strip minecraft:stripped_cherry_wood
farmersdelight:cutting/chicken | farmersdelight:cutting | c:tools/knife farmersdelight:chicken_cuts farmersdelight:cutting farmersdelight:item_ability minecraft:bone_meal minecraft:chicken
farmersdelight:cutting/chocolate_pie | farmersdelight:cutting | c:tools/knife farmersdelight:chocolate_pie farmersdelight:chocolate_pie_slice farmersdelight:cutting farmersdelight:item_ability
farmersdelight:cutting/clay | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:clay minecraft:clay_ball minecraft:shovels
farmersdelight:cutting/cod | farmersdelight:cutting | c:tools/knife farmersdelight:cod_slice farmersdelight:cutting farmersdelight:item_ability minecraft:bone_meal minecraft:cod
farmersdelight:cutting/cooked_chicken | farmersdelight:cutting | c:tools/knife farmersdelight:cooked_chicken_cuts farmersdelight:cutting farmersdelight:item_ability minecraft:bone_meal minecraft:cooked_chicken
farmersdelight:cutting/cooked_cod | farmersdelight:cutting | c:tools/knife farmersdelight:cooked_cod_slice farmersdelight:cutting farmersdelight:item_ability minecraft:bone_meal minecraft:cooked_cod
farmersdelight:cutting/cooked_mutton | farmersdelight:cutting | c:tools/knife farmersdelight:cooked_mutton_chops farmersdelight:cutting farmersdelight:item_ability minecraft:cooked_mutton
farmersdelight:cutting/cooked_salmon | farmersdelight:cutting | c:tools/knife farmersdelight:cooked_salmon_slice farmersdelight:cutting farmersdelight:item_ability minecraft:bone_meal minecraft:cooked_salmon
farmersdelight:cutting/cornflower | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:blue_dye minecraft:cornflower
farmersdelight:cutting/crimson_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:crimson_hyphae minecraft:item.axe.strip minecraft:stripped_crimson_hyphae
farmersdelight:cutting/crimson_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:crimson_stem minecraft:item.axe.strip minecraft:stripped_crimson_stem
farmersdelight:cutting/dandelion | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:dandelion minecraft:yellow_dye
farmersdelight:cutting/dark_oak_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:dark_oak_log minecraft:item.axe.strip minecraft:stripped_dark_oak_log
farmersdelight:cutting/dark_oak_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:dark_oak_wood minecraft:item.axe.strip minecraft:stripped_dark_oak_wood
farmersdelight:cutting/gravel | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability minecraft:flint minecraft:gravel minecraft:shovels
farmersdelight:cutting/ham | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:ham farmersdelight:item_ability minecraft:bone minecraft:porkchop
farmersdelight:cutting/ink_sac | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:black_dye minecraft:ink_sac
farmersdelight:cutting/jungle_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:jungle_log minecraft:stripped_jungle_log
farmersdelight:cutting/jungle_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:jungle_wood minecraft:stripped_jungle_wood
farmersdelight:cutting/kelp_roll | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:kelp_roll farmersdelight:kelp_roll_slice
farmersdelight:cutting/lily_of_the_valley | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:lily_of_the_valley minecraft:white_dye
farmersdelight:cutting/mangrove_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:mangrove_log minecraft:stripped_mangrove_log
farmersdelight:cutting/mangrove_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:mangrove_wood minecraft:stripped_mangrove_wood
farmersdelight:cutting/melon | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:melon minecraft:melon_slice
farmersdelight:cutting/mutton | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:mutton_chops minecraft:mutton
farmersdelight:cutting/oak_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:oak_log minecraft:stripped_oak_log
farmersdelight:cutting/oak_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:oak_wood minecraft:stripped_oak_wood
farmersdelight:cutting/orange_tulip | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:orange_dye minecraft:orange_tulip
farmersdelight:cutting/oxeye_daisy | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:light_gray_dye minecraft:oxeye_daisy
farmersdelight:cutting/pink_tulip | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:pink_dye minecraft:pink_tulip
farmersdelight:cutting/poppy | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:poppy minecraft:red_dye
farmersdelight:cutting/porkchop | farmersdelight:cutting | c:tools/knife farmersdelight:bacon farmersdelight:cutting farmersdelight:item_ability minecraft:porkchop
farmersdelight:cutting/pumpkin | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:pumpkin_slice minecraft:pumpkin
farmersdelight:cutting/pumpkin_pie | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:pumpkin_pie_slice minecraft:pumpkin_pie
farmersdelight:cutting/red_mushroom_colony | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:red_mushroom_colony minecraft:red_mushroom
farmersdelight:cutting/red_tulip | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:red_dye minecraft:red_tulip
farmersdelight:cutting/rice_panicle | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:rice farmersdelight:rice_panicle farmersdelight:straw
farmersdelight:cutting/salmon | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:salmon_slice minecraft:bone_meal minecraft:salmon
farmersdelight:cutting/smoked_ham | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:smoked_ham minecraft:bone minecraft:cooked_porkchop
farmersdelight:cutting/spruce_log | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:spruce_log minecraft:stripped_spruce_log
farmersdelight:cutting/spruce_wood | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:spruce_wood minecraft:stripped_spruce_wood
farmersdelight:cutting/sweet_berry_cheesecake | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:sweet_berry_cheesecake farmersdelight:sweet_berry_cheesecake_slice
farmersdelight:cutting/tag_dough | farmersdelight:cutting | c:foods/dough c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:raw_pasta
farmersdelight:cutting/torchflower | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:orange_dye minecraft:torchflower
farmersdelight:cutting/warped_hyphae | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:stripped_warped_hyphae minecraft:warped_hyphae
farmersdelight:cutting/warped_stem | farmersdelight:cutting | farmersdelight:cutting farmersdelight:item_ability farmersdelight:tree_bark minecraft:axes minecraft:item.axe.strip minecraft:stripped_warped_stem minecraft:warped_stem
farmersdelight:cutting/white_tulip | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:light_gray_dye minecraft:white_tulip
farmersdelight:cutting/wild_beetroots | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:wild_beetroots minecraft:beetroot_seeds minecraft:red_dye
farmersdelight:cutting/wild_cabbages | farmersdelight:cutting | c:tools/knife farmersdelight:cabbage_seeds farmersdelight:cutting farmersdelight:item_ability farmersdelight:wild_cabbages minecraft:yellow_dye
farmersdelight:cutting/wild_carrots | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:wild_carrots minecraft:carrot minecraft:light_gray_dye
farmersdelight:cutting/wild_onions | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:onion farmersdelight:wild_onions minecraft:lime_dye minecraft:magenta_dye
farmersdelight:cutting/wild_potatoes | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:wild_potatoes minecraft:potato minecraft:purple_dye
farmersdelight:cutting/wild_rice | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:rice farmersdelight:straw farmersdelight:wild_rice
farmersdelight:cutting/wild_tomatoes | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability farmersdelight:tomato farmersdelight:tomato_seeds farmersdelight:wild_tomatoes minecraft:green_dye
farmersdelight:cutting/wither_rose | farmersdelight:cutting | c:tools/knife farmersdelight:cutting farmersdelight:item_ability minecraft:black_dye minecraft:wither_rose
farmersdelight:cutting/wooden_basket | farmersdelight:cutting | farmersdelight:canvas farmersdelight:cutting farmersdelight:item_ability farmersdelight:wooden_basket minecraft:axes minecraft:stick
farmersdelight:cutting_board | minecraft:crafting_shaped | farmersdelight:cutting_board minecraft:crafting_shaped minecraft:planks minecraft:stick
farmersdelight:cyan_canvas_sign | minecraft:crafting_shapeless | c:dyes/cyan farmersdelight:canvas_signs farmersdelight:cyan_canvas_sign minecraft:crafting_shapeless
farmersdelight:cyan_hanging_canvas_sign | minecraft:crafting_shapeless | c:dyes/cyan farmersdelight:cyan_hanging_canvas_sign farmersdelight:hanging_canvas_signs minecraft:crafting_shapeless
farmersdelight:dark_oak_cabinet | minecraft:crafting_shaped | farmersdelight:dark_oak_cabinet minecraft:crafting_shaped minecraft:dark_oak_slab minecraft:dark_oak_trapdoor
farmersdelight:diamond_knife | minecraft:crafting_shaped | farmersdelight:diamond_knife minecraft:crafting_shaped minecraft:diamond minecraft:stick
farmersdelight:egg_sandwich | minecraft:crafting_shapeless | c:foods/bread c:foods/cooked_egg farmersdelight:egg_sandwich minecraft:crafting_shapeless
farmersdelight:flint_knife | minecraft:crafting_shaped | farmersdelight:flint_knife minecraft:crafting_shaped minecraft:flint minecraft:stick
