quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:building/chests/trapped_nether_brick_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:nether_brick_chest quark:trapped_nether_brick_chest zeta:flag
quark:building/chests/trapped_oak_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:oak_chest quark:trapped_oak_chest zeta:flag
quark:building/chests/trapped_prismarine_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:prismarine_chest quark:trapped_prismarine_chest zeta:flag
quark:building/chests/trapped_purpur_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:purpur_chest quark:trapped_purpur_chest zeta:flag
quark:building/chests/trapped_spruce_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:spruce_chest quark:trapped_spruce_chest zeta:flag
quark:building/chests/trapped_warped_chest | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:tripwire_hook quark:trapped_warped_chest quark:warped_chest zeta:flag
quark:building/chests/warped_chest_wood | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:warped_stems neoforge:and quark:warped_chest zeta:flag
quark:building/crafting/bamboo_mat | minecraft:crafting_shaped | minecraft:bamboo minecraft:crafting_shaped minecraft:stick quark:bamboo_mat zeta:flag
quark:building/crafting/bamboo_mat_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped quark:bamboo_mat quark:bamboo_mat_carpet zeta:flag
quark:building/crafting/blackstone_bricks | minecraft:crafting_shaped | minecraft:blackstone minecraft:crafting_shaped quark:blackstone_bricks quark:cobblestone_bricks zeta:flag
quark:building/crafting/blaze_lantern | minecraft:crafting_shaped | minecraft:blaze_powder minecraft:blaze_rod minecraft:crafting_shaped quark:blaze_lantern zeta:flag
quark:building/crafting/blue_nether_bricks | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:nether_bricks minecraft:warped_wart_block quark:blue_nether_bricks zeta:flag
quark:building/crafting/bookshelves/acacia_bookshelf | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:book minecraft:crafting_shaped quark:acacia_bookshelf zeta:flag
quark:building/crafting/bookshelves/bamboo_bookshelf | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:book minecraft:crafting_shaped quark:bamboo_bookshelf zeta:flag
quark:building/crafting/bookshelves/birch_bookshelf | minecraft:crafting_shaped | minecraft:birch_planks minecraft:book minecraft:crafting_shaped quark:birch_bookshelf zeta:flag
quark:building/crafting/bookshelves/blossom_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped neoforge:and quark:blossom_bookshelf quark:blossom_planks zeta:flag
quark:building/crafting/bookshelves/cherry_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:cherry_planks minecraft:crafting_shaped quark:cherry_bookshelf zeta:flag
quark:building/crafting/bookshelves/crimson_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:crimson_planks quark:crimson_bookshelf zeta:flag
quark:building/crafting/bookshelves/dark_oak_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:dark_oak_planks quark:dark_oak_bookshelf zeta:flag
quark:building/crafting/bookshelves/jungle_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:jungle_planks quark:jungle_bookshelf zeta:flag
quark:building/crafting/bookshelves/lectern_with_variant_bookshelves | minecraft:crafting_shaped | c:bookshelves minecraft:crafting_shaped minecraft:lectern minecraft:wooden_slabs zeta:flag
quark:building/crafting/bookshelves/mangrove_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:mangrove_planks quark:mangrove_bookshelf zeta:flag
quark:building/crafting/bookshelves/oak_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:bookshelf minecraft:crafting_shaped minecraft:oak_planks zeta:flag
quark:building/crafting/bookshelves/spruce_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:spruce_planks quark:spruce_bookshelf zeta:flag
quark:building/crafting/bookshelves/warped_bookshelf | minecraft:crafting_shaped | minecraft:book minecraft:crafting_shaped minecraft:warped_planks quark:warped_bookshelf zeta:flag
quark:building/crafting/carved_mud_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mud_brick_slab quark:carved_mud_bricks zeta:flag
quark:building/crafting/chest_revert | minecraft:crafting_shapeless | minecraft:chest minecraft:crafting_shapeless quark:revertable_chests zeta:flag
quark:building/crafting/chests/acacia_chest | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped quark:acacia_chest zeta:flag
quark:building/crafting/chests/bamboo_chest | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:crafting_shaped quark:bamboo_chest zeta:flag
quark:building/crafting/chests/birch_chest | minecraft:crafting_shaped | minecraft:birch_planks minecraft:crafting_shaped quark:birch_chest zeta:flag
quark:building/crafting/chests/cherry_chest | minecraft:crafting_shaped | minecraft:cherry_planks minecraft:crafting_shaped quark:cherry_chest zeta:flag
quark:building/crafting/chests/crimson_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_planks quark:crimson_chest zeta:flag
quark:building/crafting/chests/dark_oak_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_planks quark:dark_oak_chest zeta:flag
quark:building/crafting/chests/jungle_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_planks quark:jungle_chest zeta:flag
quark:building/crafting/chests/mangrove_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_planks quark:mangrove_chest zeta:flag
quark:building/crafting/chests/mixed_chest | quark:mixed_exclusion | minecraft:chest minecraft:oak_planks minecraft:planks quark:mixed_exclusion zeta:flag
quark:building/crafting/chests/mixed_chest_wood | quark:mixed_exclusion | minecraft:chest minecraft:logs minecraft:oak_log neoforge:and quark:mixed_exclusion zeta:flag
quark:building/crafting/chests/mixed_chest_wood_but_without_exclusions | quark:mixed_exclusion | minecraft:chest minecraft:logs minecraft:oak_log neoforge:and neoforge:not quark:mixed_exclusion zeta:flag
quark:building/crafting/chests/nether_brick_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:nether_bricks quark:nether_brick_chest zeta:flag
quark:building/crafting/chests/oak_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_planks quark:oak_chest zeta:flag
quark:building/crafting/chests/prismarine_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:prismarine quark:prismarine_chest zeta:flag
quark:building/crafting/chests/purpur_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purpur_block quark:purpur_chest zeta:flag
quark:building/crafting/chests/spruce_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_planks quark:spruce_chest zeta:flag
quark:building/crafting/chests/vanilla_trapped_chest | minecraft:crafting_shapeless | minecraft:chest minecraft:crafting_shapeless minecraft:trapped_chest minecraft:tripwire_hook zeta:flag
quark:building/crafting/chests/warped_chest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:warped_planks quark:warped_chest zeta:flag
quark:building/crafting/chiseled_soul_sandstone | minecraft:crafting_shaped | minecraft:crafting_shaped quark:chiseled_soul_sandstone quark:soul_sandstone zeta:flag
quark:building/crafting/cobblestone_bricks | minecraft:crafting_shaped | minecraft:cobblestone minecraft:crafting_shaped quark:cobblestone_bricks zeta:flag
quark:building/crafting/compressed/apple_crate | minecraft:crafting_shaped | minecraft:apple minecraft:crafting_shaped quark:apple_crate zeta:flag
quark:building/crafting/compressed/apple_crateuncompress | minecraft:crafting_shapeless | minecraft:apple minecraft:crafting_shapeless quark:apple_crate
quark:building/crafting/compressed/beetroot_crate | minecraft:crafting_shaped | minecraft:beetroot minecraft:crafting_shaped quark:beetroot_crate zeta:flag
quark:building/crafting/compressed/beetroot_crateuncompress | minecraft:crafting_shapeless | minecraft:beetroot minecraft:crafting_shapeless quark:beetroot_crate
quark:building/crafting/compressed/berry_sack | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sweet_berries quark:berry_sack zeta:flag
quark:building/crafting/compressed/berry_sackuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:sweet_berries quark:berry_sack
quark:building/crafting/compressed/bonded_leather | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:leather quark:bonded_leather zeta:flag
quark:building/crafting/compressed/bonded_leatheruncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:leather quark:bonded_leather
quark:building/crafting/compressed/bonded_rabbit_hide | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:rabbit_hide quark:bonded_rabbit_hide zeta:flag
quark:building/crafting/compressed/bonded_rabbit_hideuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:rabbit_hide quark:bonded_rabbit_hide
quark:building/crafting/compressed/cactus_block | minecraft:crafting_shaped | minecraft:cactus minecraft:crafting_shaped quark:cactus_block zeta:flag
quark:building/crafting/compressed/cactus_blockuncompress | minecraft:crafting_shapeless | minecraft:cactus minecraft:crafting_shapeless quark:cactus_block
quark:building/crafting/compressed/carrot_crate | minecraft:crafting_shaped | minecraft:carrot minecraft:crafting_shaped quark:carrot_crate zeta:flag
quark:building/crafting/compressed/carrot_crateuncompress | minecraft:crafting_shapeless | minecraft:carrot minecraft:crafting_shapeless quark:carrot_crate
quark:building/crafting/compressed/charcoal_block | minecraft:crafting_shaped | minecraft:charcoal minecraft:crafting_shaped quark:charcoal_block zeta:flag
quark:building/crafting/compressed/charcoal_blockuncompress | minecraft:crafting_shapeless | minecraft:charcoal minecraft:crafting_shapeless quark:charcoal_block
quark:building/crafting/compressed/chorus_fruit_block | minecraft:crafting_shaped | minecraft:chorus_fruit minecraft:crafting_shaped quark:chorus_fruit_block zeta:flag
quark:building/crafting/compressed/chorus_fruit_blockuncompress | minecraft:crafting_shapeless | minecraft:chorus_fruit minecraft:crafting_shapeless quark:chorus_fruit_block
quark:building/crafting/compressed/cocoa_beans_sack | minecraft:crafting_shaped | minecraft:cocoa_beans minecraft:crafting_shaped quark:cocoa_beans_sack zeta:flag
quark:building/crafting/compressed/cocoa_beans_sackuncompress | minecraft:crafting_shapeless | minecraft:cocoa_beans minecraft:crafting_shapeless quark:cocoa_beans_sack
quark:building/crafting/compressed/glowberry_sack | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glow_berries quark:glowberry_sack zeta:flag
quark:building/crafting/compressed/glowberry_sackuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:glow_berries quark:glowberry_sack
quark:building/crafting/compressed/golden_apple_crate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:golden_apple quark:golden_apple_crate zeta:flag
quark:building/crafting/compressed/golden_apple_crateuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:golden_apple quark:golden_apple_crate
quark:building/crafting/compressed/golden_carrot_crate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:golden_carrot quark:golden_carrot_crate zeta:flag
quark:building/crafting/compressed/golden_carrot_crateuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:golden_carrot quark:golden_carrot_crate
quark:building/crafting/compressed/gunpowder_sack | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gunpowder quark:gunpowder_sack zeta:flag
quark:building/crafting/compressed/gunpowder_sackuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gunpowder quark:gunpowder_sack
quark:building/crafting/compressed/nether_wart_sack | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:nether_wart quark:nether_wart_sack zeta:flag
quark:building/crafting/compressed/nether_wart_sackuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:nether_wart quark:nether_wart_sack
quark:building/crafting/compressed/potato_crate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:potato quark:potato_crate zeta:flag
quark:building/crafting/compressed/potato_crateuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:potato quark:potato_crate
quark:building/crafting/compressed/stick_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick quark:stick_block zeta:flag
quark:building/crafting/compressed/stick_blockuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:stick quark:stick_block
quark:building/crafting/compressed/sugar_cane_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sugar_cane quark:sugar_cane_block zeta:flag
quark:building/crafting/compressed/sugar_cane_blockuncompress | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:sugar_cane quark:sugar_cane_block
quark:building/crafting/compressed/vanilla_nether_wart_block_4x4 | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:nether_wart minecraft:nether_wart_block zeta:flag
quark:building/crafting/cut_soul_sandstone | minecraft:crafting_shaped | minecraft:crafting_shaped quark:cut_soul_sandstone quark:soul_sandstone zeta:flag
quark:building/crafting/dirt_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dirt quark:cobblestone_bricks quark:dirt_bricks zeta:flag
quark:building/crafting/duskbound_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purpur_block neoforge:and quark:duskbound_block quark:dusky_myalite zeta:flag
quark:building/crafting/duskbound_block_without_myalite | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:obsidian minecraft:purpur_block neoforge:and neoforge:not quark:duskbound_block zeta:flag
quark:building/crafting/duskbound_lantern | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ender_pearl quark:duskbound_block quark:duskbound_lantern zeta:flag
quark:building/crafting/furnaces/blackstone_blast_furnace | minecraft:crafting_shaped | c:ingots/iron minecraft:blast_furnace minecraft:crafting_shaped minecraft:smooth_stone quark:blackstone_furnace zeta:flag
quark:building/crafting/furnaces/blackstone_furnace | minecraft:crafting_shaped | minecraft:blackstone minecraft:crafting_shaped quark:blackstone_furnace zeta:flag
quark:building/crafting/furnaces/blackstone_minecarft_tweaked | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:furnace_minecart quark:blackstone_furnace zeta:flag
quark:building/crafting/furnaces/blackstone_minecart | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:furnace_minecart minecraft:minecart quark:blackstone_furnace zeta:flag
quark:building/crafting/furnaces/blackstone_smoker | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:logs minecraft:smoker quark:blackstone_furnace zeta:flag
quark:building/crafting/furnaces/deepslate_blast_furnace | minecraft:crafting_shaped | c:ingots/iron minecraft:blast_furnace minecraft:crafting_shaped minecraft:smooth_stone quark:deepslate_furnace zeta:flag
quark:building/crafting/furnaces/deepslate_furnace | minecraft:crafting_shaped | minecraft:cobbled_deepslate minecraft:crafting_shaped quark:deepslate_furnace zeta:flag
quark:building/crafting/furnaces/deepslate_minecarft_tweaked | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:furnace_minecart quark:deepslate_furnace zeta:flag
quark:building/crafting/furnaces/deepslate_minecart | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:furnace_minecart minecraft:minecart quark:deepslate_furnace zeta:flag
quark:building/crafting/furnaces/deepslate_smoker | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:logs minecraft:smoker quark:deepslate_furnace zeta:flag
quark:building/crafting/furnaces/mixed_furnace | quark:mixed_exclusion | minecraft:cobblestone minecraft:furnace minecraft:stone_crafting_materials quark:mixed_exclusion zeta:flag
quark:building/crafting/glass/black_framed_glass | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless quark:black_framed_glass quark:framed_glass zeta:flag
quark:building/crafting/glass/blue_framed_glass | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless quark:blue_framed_glass quark:framed_glass zeta:flag
quark:building/crafting/glass/brown_framed_glass | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless quark:brown_framed_glass quark:framed_glass zeta:flag
quark:building/crafting/glass/cyan_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye quark:cyan_framed_glass quark:framed_glass zeta:flag
quark:building/crafting/glass/framed_glass | minecraft:crafting_shaped | c:glass_blocks/colorless c:ingots/iron minecraft:crafting_shaped quark:framed_glass zeta:flag
quark:building/crafting/glass/gray_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye quark:framed_glass quark:gray_framed_glass zeta:flag
quark:building/crafting/glass/green_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye quark:framed_glass quark:green_framed_glass zeta:flag
quark:building/crafting/glass/light_blue_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye quark:framed_glass quark:light_blue_framed_glass zeta:flag
quark:building/crafting/glass/light_gray_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye quark:framed_glass quark:light_gray_framed_glass zeta:flag
quark:building/crafting/glass/lime_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye quark:framed_glass quark:lime_framed_glass zeta:flag
quark:building/crafting/glass/magenta_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye quark:framed_glass quark:magenta_framed_glass zeta:flag
quark:building/crafting/glass/orange_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye quark:framed_glass quark:orange_framed_glass zeta:flag
quark:building/crafting/glass/pink_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye quark:framed_glass quark:pink_framed_glass zeta:flag
quark:building/crafting/glass/purple_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye quark:framed_glass quark:purple_framed_glass zeta:flag
quark:building/crafting/glass/red_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye quark:framed_glass quark:red_framed_glass zeta:flag
quark:building/crafting/glass/white_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye quark:framed_glass quark:white_framed_glass zeta:flag
quark:building/crafting/glass/yellow_framed_glass | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye quark:framed_glass quark:yellow_framed_glass zeta:flag
quark:building/crafting/glass_item_frame | minecraft:crafting_shaped | c:glass_panes/colorless minecraft:crafting_shaped minecraft:item_frame quark:glass_item_frame zeta:flag
quark:building/crafting/glowing_glass_item_frame | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:glow_ink_sac quark:glass_item_frame quark:glowing_glass_item_frame zeta:flag
quark:building/crafting/gold_bars | minecraft:crafting_shaped | c:ingots/gold minecraft:crafting_shaped quark:gold_bars zeta:flag
quark:building/crafting/grate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_bars quark:grate zeta:flag
quark:building/crafting/hedges/acacia_hedge | minecraft:crafting_shaped | minecraft:acacia_leaves minecraft:acacia_logs minecraft:crafting_shaped quark:acacia_hedge zeta:flag
quark:building/crafting/hedges/azalea_hedge_oak | minecraft:crafting_shaped | minecraft:azalea_leaves minecraft:crafting_shaped minecraft:oak_logs neoforge:and neoforge:not quark:azalea_hedge zeta:flag
quark:building/crafting/hedges/birch_hedge | minecraft:crafting_shaped | minecraft:birch_leaves minecraft:birch_logs minecraft:crafting_shaped quark:birch_hedge zeta:flag
quark:building/crafting/hedges/cherry_hedge | minecraft:crafting_shaped | minecraft:cherry_leaves minecraft:cherry_logs minecraft:crafting_shaped quark:cherry_hedge zeta:flag
quark:building/crafting/hedges/dark_oak_hedge | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_leaves minecraft:dark_oak_logs quark:dark_oak_hedge zeta:flag
quark:building/crafting/hedges/flowering_azalea_hedge_oak | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:flowering_azalea_leaves minecraft:oak_logs neoforge:and neoforge:not quark:flowering_azalea_hedge zeta:flag
quark:building/crafting/hedges/jungle_hedge | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_leaves minecraft:jungle_logs quark:jungle_hedge zeta:flag
quark:building/crafting/hedges/mangrove_hedge | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_leaves minecraft:mangrove_logs quark:mangrove_hedge zeta:flag
quark:building/crafting/hedges/oak_hedge | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_leaves minecraft:oak_logs quark:oak_hedge zeta:flag
quark:building/crafting/hedges/spruce_hedge | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_leaves minecraft:spruce_logs quark:spruce_hedge zeta:flag
quark:building/crafting/hollowlogs/hollow_acacia_log | minecraft:crafting_shaped | minecraft:acacia_log minecraft:crafting_shaped quark:hollow_acacia_log zeta:flag
quark:building/crafting/hollowlogs/hollow_ancient_log | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:ancient_log quark:hollow_ancient_log zeta:flag
quark:building/crafting/hollowlogs/hollow_azalea_log | minecraft:crafting_shaped | minecraft:crafting_shaped neoforge:and quark:azalea_log quark:hollow_azalea_log zeta:flag
quark:building/crafting/hollowlogs/hollow_birch_log | minecraft:crafting_shaped | minecraft:birch_log minecraft:crafting_shaped quark:hollow_birch_log zeta:flag
quark:building/crafting/hollowlogs/hollow_blossom_log | minecraft:crafting_shaped | minecraft:crafting_shaped quark:blossom_log quark:hollow_blossom_log zeta:flag
quark:building/crafting/hollowlogs/hollow_cherry_log | minecraft:crafting_shaped | minecraft:cherry_log minecraft:crafting_shaped quark:hollow_cherry_log zeta:flag
quark:building/crafting/hollowlogs/hollow_crimson_stem | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_stem quark:hollow_crimson_stem zeta:flag
quark:building/crafting/hollowlogs/hollow_dark_oak_log | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_log quark:hollow_dark_oak_log zeta:flag
quark:building/crafting/hollowlogs/hollow_jungle_log | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_log quark:hollow_jungle_log zeta:flag
quark:building/crafting/hollowlogs/hollow_mangrove_log | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_log quark:hollow_mangrove_log zeta:flag
quark:building/crafting/hollowlogs/hollow_oak_log | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_log quark:hollow_oak_log zeta:flag
quark:building/crafting/hollowlogs/hollow_spruce_log | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_log quark:hollow_spruce_log zeta:flag
quark:building/crafting/hollowlogs/hollow_warped_stem | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:warped_stem quark:hollow_warped_stem zeta:flag
quark:building/crafting/iron_ladder | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron minecraft:crafting_shaped quark:iron_ladder zeta:flag
