create:cutting/shaft | create:cutting | create:cutting create:shaft create_connected:feature_enabled create_connected:shear_pin
create_connected:crafting/kinetics/empty_fan_catalyst_from_withering | minecraft:crafting_shapeless | create_connected:empty_fan_catalyst create_connected:fan_withering_catalyst create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/encased_chain_cogwheel | minecraft:crafting_shapeless | create:cogwheel create:encased_chain_drive create_connected:encased_chain_cogwheel create_connected:feature_enabled minecraft:crafting_shapeless
create_connected:crafting/kinetics/fluid_tank_from_conversion | minecraft:crafting_shapeless | create:fluid_tank create_connected:feature_enabled create_connected:fluid_vessel minecraft:crafting_shapeless
create_connected:crafting/kinetics/fluid_vessel | minecraft:crafting_shaped | c:barrels/wooden create:copper_sheet create_connected:feature_enabled create_connected:fluid_vessel minecraft:crafting_shaped
create_connected:crafting/kinetics/fluid_vessel_from_conversion | minecraft:crafting_shapeless | create:fluid_tank create_connected:feature_enabled create_connected:fluid_vessel minecraft:crafting_shapeless
create_connected:crafting/kinetics/freewheel_clutch | minecraft:crafting_shapeless | create:andesite_casing create:cogwheel create:iron_sheet create:shaft create_connected:feature_enabled create_connected:freewheel_clutch minecraft:crafting_shapeless
create_connected:crafting/kinetics/gearshift_from_conversion | minecraft:crafting_shapeless | create:gearshift create_connected:feature_enabled create_connected:inverted_gearshift minecraft:crafting_shapeless
create_connected:crafting/kinetics/inventory_access_port | minecraft:crafting_shaped | create:brass_casing create:chute create:electron_tube create_connected:feature_enabled create_connected:inventory_access_port minecraft:crafting_shaped
create_connected:crafting/kinetics/inventory_bridge | minecraft:crafting_shapeless | create_connected:feature_enabled create_connected:inventory_access_port create_connected:inventory_bridge minecraft:crafting_shapeless
create_connected:crafting/kinetics/inverted_clutch_from_conversion | minecraft:crafting_shapeless | create:clutch create_connected:feature_enabled create_connected:inverted_clutch minecraft:crafting_shapeless
create_connected:crafting/kinetics/inverted_gearshift_from_conversion | minecraft:crafting_shapeless | create:gearshift create_connected:feature_enabled create_connected:inverted_gearshift minecraft:crafting_shapeless
create_connected:crafting/kinetics/item_silo | minecraft:crafting_shaped | c:barrels/wooden create:iron_sheet create_connected:feature_enabled create_connected:item_silo minecraft:crafting_shaped
create_connected:crafting/kinetics/item_silo_from_conversion | minecraft:crafting_shapeless | create:item_vault create_connected:feature_enabled create_connected:item_silo minecraft:crafting_shapeless
create_connected:crafting/kinetics/item_vault_from_conversion | minecraft:crafting_shapeless | create:item_vault create_connected:feature_enabled create_connected:item_silo minecraft:crafting_shapeless
create_connected:crafting/kinetics/kinetic_battery | minecraft:crafting_shaped | create:brass_casing create:iron_sheet create:precision_mechanism create_connected:feature_enabled create_connected:kinetic_battery minecraft:crafting_shaped minecraft:redstone
create_connected:crafting/kinetics/kinetic_bridge | minecraft:crafting_shaped | create:brass_casing create:clutch create:shaft create_connected:feature_enabled create_connected:kinetic_bridge minecraft:crafting_shaped
create_connected:crafting/kinetics/large_crank_wheel | minecraft:crafting_shapeless | create:hand_crank create:large_cogwheel create_connected:feature_enabled create_connected:large_crank_wheel minecraft:crafting_shapeless
create_connected:crafting/kinetics/linked_transmitter_from_conversion | minecraft:crafting_shapeless | create:redstone_link create_connected:feature_enabled create_connected:linked_transmitter minecraft:crafting_shapeless
create_connected:crafting/kinetics/overstress_clutch | minecraft:crafting_shapeless | create:andesite_casing create:electron_tube create:iron_sheet create:shaft create_connected:feature_enabled create_connected:overstress_clutch minecraft:crafting_shapeless
create_connected:crafting/kinetics/parallel_gearbox | minecraft:crafting_shapeless | create:gearbox create:large_cogwheel create_connected:feature_enabled create_connected:parallel_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/parallel_gearbox_from_conversion | minecraft:crafting_shapeless | create_connected:feature_enabled create_connected:parallel_gearbox create_connected:vertical_parallel_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/redstone_link_from_conversion | minecraft:crafting_shapeless | create:redstone_link create_connected:feature_enabled create_connected:linked_transmitter minecraft:crafting_shapeless
create_connected:crafting/kinetics/redstone_link_wildcard | minecraft:crafting_shapeless | create:crafter_slot_cover create:transmitter create_connected:feature_enabled create_connected:redstone_link_wildcard minecraft:crafting_shapeless
create_connected:crafting/kinetics/sequenced_pulse_generator | minecraft:crafting_shaped | c:stones create:brass_sheet create:electron_tube create_connected:control_chip create_connected:feature_enabled create_connected:sequenced_pulse_generator minecraft:crafting_shaped minecraft:redstone_torch
create_connected:crafting/kinetics/six_way_gearbox | minecraft:crafting_shaped | create:andesite_casing create:cogwheel create:large_cogwheel create_connected:feature_enabled create_connected:six_way_gearbox minecraft:crafting_shaped
create_connected:crafting/kinetics/six_way_gearbox_from_conversion | minecraft:crafting_shapeless | create_connected:feature_enabled create_connected:six_way_gearbox create_connected:vertical_six_way_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/six_way_gearbox_from_gearbox | minecraft:crafting_shapeless | create:gearbox create:large_cogwheel create_connected:feature_enabled create_connected:six_way_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/six_way_gearbox_from_parallel | minecraft:crafting_shapeless | create:large_cogwheel create_connected:feature_enabled create_connected:parallel_gearbox create_connected:six_way_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/vertical_brass_gearbox_from_conversion | minecraft:crafting_shapeless | create_connected:brass_gearbox create_connected:feature_enabled create_connected:vertical_brass_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/vertical_parallel_gearbox_from_conversion | minecraft:crafting_shapeless | create_connected:feature_enabled create_connected:parallel_gearbox create_connected:vertical_parallel_gearbox minecraft:crafting_shapeless
create_connected:crafting/kinetics/vertical_six_way_gearbox_from_conversion | minecraft:crafting_shapeless | create_connected:feature_enabled create_connected:six_way_gearbox create_connected:vertical_six_way_gearbox minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_beam | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_beam create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_beam_compat | minecraft:crafting_shapeless | copycats:copycat_beam create_connected:copycat_beam create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_block | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_block create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_block_compat | minecraft:crafting_shapeless | copycats:copycat_block create_connected:copycat_block create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_block_from_slabs | minecraft:crafting_shaped | create_connected:copycat_block create_connected:copycat_slab create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shaped neoforge:not
create_connected:crafting/palettes/copycat_board | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_board create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_board_compat | minecraft:crafting_shapeless | copycats:copycat_board create_connected:copycat_board create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_box | minecraft:crafting_shaped | create_connected:copycat_board create_connected:copycat_box create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shaped neoforge:not
create_connected:crafting/palettes/copycat_catwalk | minecraft:crafting_shaped | create_connected:copycat_board create_connected:copycat_catwalk create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shaped neoforge:not
create_connected:crafting/palettes/copycat_fence | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_fence create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_fence_compat | minecraft:crafting_shapeless | copycats:copycat_fence create_connected:copycat_fence create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_fence_gate | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_fence_gate create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_fence_gate_compat | minecraft:crafting_shapeless | copycats:copycat_fence_gate create_connected:copycat_fence_gate create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_slab | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_slab create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_slab_compat | minecraft:crafting_shapeless | copycats:copycat_slab create_connected:copycat_slab create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_slab_from_beams | minecraft:crafting_shaped | create_connected:copycat_beam create_connected:copycat_slab create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shaped neoforge:not
create_connected:crafting/palettes/copycat_slab_from_panels | minecraft:crafting_shaped | create:copycat_panel create_connected:copycat_slab create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shaped neoforge:not
create_connected:crafting/palettes/copycat_slab_from_steps | minecraft:crafting_shaped | create:copycat_step create_connected:copycat_slab create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shaped neoforge:not
create_connected:crafting/palettes/copycat_stairs | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_stairs create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_stairs_compat | minecraft:crafting_shapeless | copycats:copycat_stairs create_connected:copycat_stairs create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_step_from_conversion | minecraft:crafting_shapeless | create:copycat_step create_connected:copycat_vertical_step create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless neoforge:not
create_connected:crafting/palettes/copycat_vertical_step | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_vertical_step create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_vertical_step_compat | minecraft:crafting_shapeless | copycats:copycat_vertical_step create_connected:copycat_vertical_step create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:crafting/palettes/copycat_vertical_step_from_conversion | minecraft:crafting_shapeless | create:copycat_step create_connected:copycat_vertical_step create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless neoforge:not
create_connected:crafting/palettes/copycat_wall | minecraft:stonecutting | c:ingots/zinc create_connected:copycat_wall create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:stonecutting neoforge:not
create_connected:crafting/palettes/copycat_wall_compat | minecraft:crafting_shapeless | copycats:copycat_wall create_connected:copycat_wall create_connected:feature_enabled create_connected:feature_enabled_in_copycats minecraft:crafting_shapeless
create_connected:filling/fan_blasting_catalyst | create:filling | create:filling create_connected:empty_fan_catalyst create_connected:fan_blasting_catalyst create_connected:feature_enabled minecraft:lava neoforge:single
create_connected:filling/fan_ending_catalyst_dragons_breath | create:filling | create:filling create_connected:empty_fan_catalyst create_connected:fan_ending_catalyst_dragons_breath create_connected:feature_enabled create_dragons_plus:fan_processing_catalysts/ending neoforge:mod_loaded neoforge:tag
create_connected:filling/fan_splashing_catalyst | create:filling | create:filling create_connected:empty_fan_catalyst create_connected:fan_splashing_catalyst create_connected:feature_enabled minecraft:water neoforge:single
create_connected:item_application/blasting_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_blasting_catalyst create_connected:feature_enabled minecraft:lava_bucket
create_connected:item_application/ending_catalyst_dragon_head_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_ending_catalyst_dragon_head create_connected:feature_enabled minecraft:dragon_head neoforge:mod_loaded
create_connected:item_application/ending_catalyst_dragons_breath_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_ending_catalyst_dragons_breath create_connected:feature_enabled create_dragons_plus:dragon_breath_bucket neoforge:compound neoforge:mod_loaded
create_connected:item_application/enriched_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_enriched_catalyst create_connected:feature_enabled createnuclear:enriched_soul_soil neoforge:compound neoforge:mod_loaded
create_connected:item_application/freezing_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_freezing_catalyst create_connected:feature_enabled minecraft:powder_snow_bucket neoforge:mod_loaded neoforge:or
create_connected:item_application/haunting_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_haunting_catalyst create_connected:feature_enabled minecraft:soul_sand
create_connected:item_application/sanding_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_sanding_catalyst create_connected:feature_enabled minecraft:sand neoforge:mod_loaded neoforge:or
create_connected:item_application/seething_catalyst_from_empty | create:item_application | create:blaze_cake create:item_application create_connected:empty_fan_catalyst create_connected:fan_seething_catalyst create_connected:feature_enabled neoforge:mod_loaded
create_connected:item_application/smoking_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_smoking_catalyst create_connected:feature_enabled minecraft:netherrack
create_connected:item_application/splashing_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_splashing_catalyst create_connected:feature_enabled minecraft:water_bucket
create_connected:item_application/withering_catalyst_from_empty | create:item_application | create:item_application create_connected:empty_fan_catalyst create_connected:fan_withering_catalyst create_connected:feature_enabled minecraft:wither_rose neoforge:false
create_connected:sequenced_assembly/control_chip | create:sequenced_assembly | create:crushed_raw_gold create:deploying create:electron_tube create:golden_sheet create:iron_sheet create:pressing create:sequenced_assembly create_connected:control_chip create_connected:incomplete_control_chip minecraft:compass minecraft:gold_nugget minecraft:quartz minecraft:redstone
