butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
create:mixing/butterscotch | create:mixing | c:butter create:mixing extradelight:butterscotch extradelight:sweetener neoforge:mod_loaded
create:mixing/cactus_salad | create:mixing | c:cactus/cooked c:cheese create:mixing extradelight:cactus_salad extradelight:processed/onion extradelight:processed/tomato minecraft:bowl neoforge:mod_loaded
create:mixing/cactus_soup | create:mixing | create:mixing extradelight:broth extradelight:cactus_soup extradelight:cooked_cactus extradelight:processed/onion extradelight:processed/tomato minecraft:bowl neoforge:mod_loaded
create:mixing/candied_ginger | create:mixing | create:mixing extradelight:candied_ginger extradelight:processed/ginger extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_apple | create:mixing | c:candy create:mixing extradelight:candy_apple minecraft:apple minecraft:stick neoforge:mod_loaded
create:mixing/candy_apple_sugar | create:mixing | create:mixing extradelight:candy_apple extradelight:sweetener minecraft:apple minecraft:stick neoforge:mod_loaded
create:mixing/candy_bar_salad | create:mixing | c:apple/sliced c:chocolate/bar c:foods/custard c:marshmallow create:mixing extradelight:candy_bar_salad extradelight:caramel_sauce_fluid extradelight:whipped_cream_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/candy_black | create:mixing | c:dyes/black create:mixing extradelight:candy_black extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_blue | create:mixing | c:dyes/blue create:mixing extradelight:candy_blue extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_brown | create:mixing | c:dyes/brown create:mixing extradelight:candy_brown extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_cyan | create:mixing | c:dyes/cyan create:mixing extradelight:candy_cyan extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_golden_apple | create:mixing | c:candy create:mixing extradelight:candy_golden_apple minecraft:golden_apple minecraft:stick neoforge:mod_loaded
create:mixing/candy_golden_apple_sugar | create:mixing | create:mixing extradelight:candy_golden_apple extradelight:sweetener minecraft:golden_apple minecraft:stick neoforge:mod_loaded
create:mixing/candy_gray | create:mixing | c:dyes/gray create:mixing extradelight:candy_gray extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_green | create:mixing | c:dyes/green create:mixing extradelight:candy_green extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_light_blue | create:mixing | c:dyes/light_blue create:mixing extradelight:candy_light_blue extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_light_gray | create:mixing | c:dyes/light_gray create:mixing extradelight:candy_light_gray extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_lime | create:mixing | c:dyes/lime create:mixing extradelight:candy_lime extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_magenta | create:mixing | c:dyes/magenta create:mixing extradelight:candy_magenta extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_orange | create:mixing | c:dyes/orange create:mixing extradelight:candy_orange extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_pink | create:mixing | c:dyes/pink create:mixing extradelight:candy_pink extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_purple | create:mixing | c:dyes/purple create:mixing extradelight:candy_purple extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_red | create:mixing | c:dyes/red create:mixing extradelight:candy_red extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_white | create:mixing | c:dyes/white create:mixing extradelight:candy_white extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/candy_yellow | create:mixing | c:dyes/yellow create:mixing extradelight:candy_yellow extradelight:sweetener minecraft:paper neoforge:mod_loaded
create:mixing/caramel_apple | create:mixing | create:mixing extradelight:caramel_apple extradelight:caramel_sauce minecraft:apple minecraft:stick neoforge:mod_loaded
create:mixing/caramel_candy | create:mixing | create:mixing extradelight:caramel_candy extradelight:caramel_sauce minecraft:paper neoforge:mod_loaded
create:mixing/caramel_custard | create:mixing | c:eggs c:foods/milk create:mixing extradelight:caramel_custard extradelight:caramel_sauce extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/caramel_golden_apple | create:mixing | create:mixing extradelight:caramel_golden_apple extradelight:caramel_sauce minecraft:golden_apple minecraft:stick neoforge:mod_loaded
create:mixing/caramel_sauce | create:mixing | c:butter c:foods/milk create:mixing extradelight:caramel_sauce extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/carrot_salad | create:mixing | c:carrot/grated create:mixing extradelight:carrot_salad extradelight:mayo_fluid extradelight:processed/apple minecraft:bowl neoforge:mod_loaded
create:mixing/carrot_soup | create:mixing | c:crops/carrot c:crops/onion c:foods/milk create:mixing extradelight:broth extradelight:carrot_soup minecraft:bowl neoforge:mod_loaded
create:mixing/cheese_vinegar | create:mixing | c:vinegar create:mixing extradelight:cheese minecraft:milk_bucket neoforge:mod_loaded
create:mixing/chicken_alfredo | create:mixing | c:alfredo_sauce c:foods/cooked_chicken create:mixing extradelight:chicken_alfredo extradelight:cooked_pasta minecraft:bowl neoforge:mod_loaded
create:mixing/chicken_fried_steak | create:mixing | create:mixing extradelight:breading_misanplas extradelight:chicken_fried_steak extradelight:gravy_boat_item minecraft:beef neoforge:mod_loaded
create:mixing/chicken_stew | create:mixing | c:crops/onion c:flour create:mixing extradelight:broth extradelight:chicken_stew_feast minecraft:carrot minecraft:chicken minecraft:potato neoforge:mod_loaded
create:mixing/chili_con_carne | create:mixing | c:chili/powder c:meat create:mixing extradelight:broth extradelight:chili_con_carne_feast extradelight:processed/vegetable farmersdelight:tomato_sauce neoforge:mod_loaded
create:mixing/chips | create:mixing | create:mixing extradelight:frying_oil extradelight:potato_chips extradelight:sliced_potato neoforge:mod_loaded
create:mixing/chocolate_chip_cookie_dough | create:mixing | c:butter c:chocolate/chips c:eggs c:flour create:mixing extradelight:chocolate_chip_cookie_dough extradelight:sweetener neoforge:mod_loaded
create:mixing/chocolate_chip_cookie_dough_sugar | create:mixing | c:chocolate/chips c:cookie_dough/sugar create:mixing extradelight:chocolate_chip_cookie_dough neoforge:mod_loaded
create:mixing/chocolate_cookie_dough | create:mixing | c:butter c:cocoa/powder c:eggs c:flour create:mixing extradelight:chocolate_cookie_dough extradelight:sweetener neoforge:mod_loaded
create:mixing/chocolate_cookie_dough_sugar | create:mixing | c:cocoa/powder c:cookie_dough/sugar create:mixing extradelight:chocolate_cookie_dough neoforge:mod_loaded
create:mixing/chocolate_custard | create:mixing | c:cocoa/powder c:eggs c:foods/milk create:mixing extradelight:chocolate_custard extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/chocolate_milkshake | create:mixing | c:cocoa/powder create:mixing extradelight:chocolate_milkshake extradelight:ice_cream minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/chocolate_milkshake_ice_cream | create:mixing | create:mixing extradelight:chocolate_ice_cream extradelight:chocolate_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/coffee | create:mixing | c:crops/coffee/ground create:mixing extradelight:coffee minecraft:glass_bottle neoforge:mod_loaded
create:mixing/coffee_jelly | create:mixing | c:gelatin create:mixing extradelight:coffee_fluid extradelight:coffee_jelly extradelight:sweetener extradelight:whipped_cream_fluid minecraft:glass_bottle neoforge:mod_loaded
create:mixing/congee | create:mixing | c:crops/rice create:mixing extradelight:congee extradelight:processed/ginger minecraft:bowl neoforge:mod_loaded
create:mixing/cooked_pasta | create:mixing | c:foods/pasta create:mixing extradelight:cooked_pasta minecraft:bowl neoforge:mod_loaded
create:mixing/cookie_dough_milkshake | create:mixing | c:cookie_dough create:mixing extradelight:cookie_dough_milkshake extradelight:ice_cream minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/cookie_dough_milkshake_ice_cream | create:mixing | create:mixing extradelight:cookie_dough_ice_cream extradelight:cookie_dough_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/corn | create:mixing | create:mixing extradelight:cooked_corn extradelight:corn_seeds minecraft:bowl neoforge:mod_loaded
create:mixing/corn_chowder | create:mixing | c:foods/cooked_bacon c:foods/milk c:foods/raw_bacon create:mixing extradelight:broth extradelight:cooked_corn extradelight:corn_chowder extradelight:processed/onion extradelight:processed/potato minecraft:bowl neoforge:mod_loaded
create:mixing/corn_fritters | create:mixing | c:flour create:mixing extradelight:cooked_corn extradelight:corn_fritters extradelight:egg_mix extradelight:frying_oil extradelight:processed/onion extradelight:sweetener minecraft:bowl neoforge:mod_loaded
create:mixing/cream_corn | create:mixing | c:butter c:foods/milk create:mixing extradelight:cooked_corn extradelight:cream_corn minecraft:bowl neoforge:mod_loaded
create:mixing/crisp_rice_treats | create:mixing | c:butter c:marshmallow c:puffed_rice create:mixing extradelight:crisp_rice_treats_block neoforge:mod_loaded
create:mixing/curry | create:mixing | c:crops/onion c:foods/raw_chicken create:mixing extradelight:broth extradelight:curry_feast extradelight:curry_powder extradelight:serving_pot neoforge:mod_loaded
create:mixing/dalgona_coffee_mixing | create:mixing | c:crops/coffee/ground create:mixing extradelight:dalgona_coffee extradelight:sweetener minecraft:glass_bottle minecraft:milk minecraft:water neoforge:mod_loaded
create:mixing/dark_chocolate | create:mixing | c:cocoa/solids create:mixing extradelight:cocoa_butter_fluid extradelight:dark_chocolate_syrup_bottle extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/devilled_sausages | create:mixing | c:sausage/raw create:mixing extradelight:broth extradelight:devilled_sausages extradelight:processed/apple extradelight:processed/garlic extradelight:processed/onion minecraft:bowl neoforge:mod_loaded
create:mixing/egg_mix | create:mixing | c:eggs create:mixing extradelight:egg_mix minecraft:bowl minecraft:milk neoforge:mod_loaded
create:mixing/egg_salad | create:mixing | c:eggs/boiled create:mixing extradelight:egg_salad extradelight:mayo_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/eggnog | create:mixing | c:cinnamon/ground c:eggs create:mixing extradelight:eggnog extradelight:sweetener farmersdelight:milk_bottle minecraft:glass_bottle neoforge:mod_loaded
create:mixing/eton_mess_mixing | create:mixing | c:foods/berry create:mixing extradelight:eton_mess extradelight:lemon_zest extradelight:meringue extradelight:processed/orange extradelight:sweetener extradelight:whipped_cream_fluid minecraft:bowl minecraft:glow_berries neoforge:difference neoforge:mod_loaded
create:mixing/fish_cakes | create:mixing | c:crops/onion c:foods/cooked_fish create:mixing extradelight:breading_misanplas extradelight:fish_cakes extradelight:grated_potato neoforge:mod_loaded
create:mixing/fish_salad | create:mixing | c:foods/cooked_fish create:mixing extradelight:fish_salad extradelight:mayo_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/fish_soup | create:mixing | c:crops/onion create:mixing extradelight:broth extradelight:fish_soup minecraft:bowl minecraft:dried_kelp minecraft:fishes neoforge:mod_loaded
create:mixing/fish_stew | create:mixing | c:crops/onion c:flour c:foods/safe_raw_fish create:mixing extradelight:broth extradelight:fish_stew_feast minecraft:carrot minecraft:potato neoforge:mod_loaded
create:mixing/fried_brains | create:mixing | c:brain create:mixing extradelight:breading_misanplas extradelight:fried_brains neoforge:mod_loaded
create:mixing/fried_chicken | create:mixing | create:mixing extradelight:breading_misanplas extradelight:fried_chicken farmersdelight:chicken_cuts neoforge:mod_loaded
create:mixing/fried_fish | create:mixing | create:mixing extradelight:breading_misanplas extradelight:fried_fish minecraft:fishes neoforge:mod_loaded
create:mixing/fried_mushrooms | create:mixing | c:mushrooms create:mixing extradelight:breading_misanplas extradelight:fried_mushrooms neoforge:mod_loaded
create:mixing/fries | create:mixing | create:mixing extradelight:french_fries extradelight:frying_oil extradelight:potato_sticks neoforge:mod_loaded
create:mixing/frosting_black | create:mixing | c:dyes/black create:mixing extradelight:butter extradelight:frosting_black extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_blue | create:mixing | c:dyes/blue create:mixing extradelight:butter extradelight:frosting_blue extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_brown | create:mixing | c:dyes/brown create:mixing extradelight:butter extradelight:frosting_brown extradelight:sweetener neoforge:mod_loaded
create:mixing/frosting_cyan | create:mixing | c:dyes/cyan create:mixing extradelight:butter extradelight:frosting_cyan extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_gray | create:mixing | c:dyes/gray create:mixing extradelight:butter extradelight:frosting_gray extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_green | create:mixing | c:dyes/green create:mixing extradelight:butter extradelight:frosting_green extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_light_blue | create:mixing | c:dyes/light_blue create:mixing extradelight:butter extradelight:frosting_light_blue extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_light_gray | create:mixing | c:dyes/light_gray create:mixing extradelight:butter extradelight:frosting_light_gray extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_lime | create:mixing | c:dyes/lime create:mixing extradelight:butter extradelight:frosting_lime extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_magenta | create:mixing | c:dyes/magenta create:mixing extradelight:butter extradelight:frosting_magenta extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_orange | create:mixing | c:dyes/orange create:mixing extradelight:butter extradelight:frosting_orange extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_pink | create:mixing | c:dyes/pink create:mixing extradelight:butter extradelight:frosting_pink extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_purple | create:mixing | c:dyes/purple create:mixing extradelight:butter extradelight:frosting_purple extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_red | create:mixing | c:dyes/red create:mixing extradelight:butter extradelight:frosting_red extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_white | create:mixing | c:dyes/white create:mixing extradelight:butter extradelight:frosting_white extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/frosting_yellow | create:mixing | c:dyes/yellow create:mixing extradelight:butter extradelight:frosting_yellow extradelight:sweetener extradelight:whipped_cream_fluid neoforge:mod_loaded
create:mixing/fruit_jam | create:mixing | c:jammable create:mixing extradelight:jam extradelight:sweetener minecraft:enchanted_golden_apple minecraft:glass_bottle minecraft:glow_berries minecraft:golden_apple neoforge:difference neoforge:mod_loaded
create:mixing/furikake | create:mixing | c:fish_flakes create:mixing extradelight:furikake minecraft:bowl minecraft:kelp neoforge:mod_loaded
create:mixing/ginger_beer | create:mixing | create:mixing extradelight:ginger_beer extradelight:processed/ginger extradelight:sweetener extradelight:yeast minecraft:glass_bottle neoforge:mod_loaded
create:mixing/gingerbread_cookie_dough | create:mixing | c:butter c:cinnamon/ground c:eggs c:flour create:mixing extradelight:gingerbread_cookie_dough extradelight:grated_ginger extradelight:sweetener neoforge:mod_loaded
create:mixing/gingerbread_cookie_dough_sugar | create:mixing | c:cinnamon/ground c:cookie_dough/sugar create:mixing extradelight:gingerbread_cookie_dough extradelight:grated_ginger neoforge:mod_loaded
create:mixing/glazed_carrot | create:mixing | create:mixing extradelight:butter extradelight:glazed_carrot extradelight:sweetener minecraft:bowl minecraft:carrot neoforge:mod_loaded
create:mixing/glow_berry_cookie_dough | create:mixing | c:butter c:eggs c:flour create:mixing extradelight:glow_berry_cookie_dough extradelight:sweetener minecraft:glow_berries neoforge:mod_loaded
create:mixing/glow_berry_cookie_dough_sugar | create:mixing | c:cookie_dough/sugar create:mixing extradelight:glow_berry_cookie_dough minecraft:glow_berries neoforge:mod_loaded
create:mixing/glow_berry_jam | create:mixing | create:mixing extradelight:glow_berry_jam extradelight:sweetener minecraft:glass_bottle minecraft:glow_berries neoforge:mod_loaded
create:mixing/glow_berry_milkshake | create:mixing | create:mixing extradelight:glow_berry_milkshake extradelight:ice_cream minecraft:glass_bottle minecraft:glow_berries minecraft:milk neoforge:mod_loaded
create:mixing/glow_berry_milkshake_ice_cream | create:mixing | create:mixing extradelight:glow_berry_ice_cream extradelight:glow_berry_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/golden_apple_jam | create:mixing | create:mixing extradelight:golden_apple_jam extradelight:sweetener minecraft:glass_bottle minecraft:golden_apple neoforge:mod_loaded
create:mixing/grapefruit_beetroot_salad_mixing | create:mixing | c:salt create:mixing extradelight:grapefruit_beetroot_salad extradelight:oil_fluid extradelight:processed/beetroot extradelight:processed/grapefruit minecraft:bowl minecraft:honey_bottle neoforge:mod_loaded
create:mixing/gravy_boat | create:mixing | c:flour create:mixing extradelight:broth extradelight:gravy_boat_item minecraft:bowl neoforge:mod_loaded
create:mixing/gummies | create:mixing | c:dyes c:gelatin create:mixing extradelight:gummies extradelight:sweetener minecraft:water neoforge:mod_loaded
create:mixing/hash | create:mixing | c:crops/onion c:meat create:mixing extradelight:frying_oil extradelight:grated_potato extradelight:hash_block_item minecraft:bowl neoforge:mod_loaded
create:mixing/hazelnut_soup | create:mixing | c:butter c:crops/hazelnut/cooked c:foods/cooked_bacon c:foods/milk create:mixing extradelight:hazelnut_soup extradelight:processed/onion extradelight:processed/potato minecraft:bowl neoforge:mod_loaded
create:mixing/hazelnut_spread | create:mixing | c:chocolate create:mixing extradelight:hazelnut_spread_bottle extradelight:nut_butter_fluid extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/honey_cookie_dough | create:mixing | c:butter c:eggs c:flour create:mixing extradelight:honey_cookie_dough extradelight:sweetener minecraft:honey_bottle neoforge:mod_loaded
create:mixing/honey_cookie_dough_sugar | create:mixing | c:cookie_dough/sugar create:mixing extradelight:honey_cookie_dough minecraft:honey_bottle neoforge:mod_loaded
create:mixing/honey_custard | create:mixing | c:eggs c:foods/milk create:mixing extradelight:honey_custard extradelight:sweetener minecraft:glass_bottle minecraft:honey_bottle neoforge:mod_loaded
create:mixing/honey_milkshake | create:mixing | create:mixing extradelight:honey_milkshake extradelight:ice_cream minecraft:glass_bottle minecraft:honey_bottle minecraft:milk neoforge:mod_loaded
create:mixing/honey_milkshake_ice_cream | create:mixing | create:mixing extradelight:honey_ice_cream extradelight:honey_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/horchata | create:mixing | c:cinnamon/ground c:crops/rice c:foods/milk create:mixing extradelight:horchata extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/hot_cocoa | create:mixing | c:foods/milk c:liquid_chocolate create:mixing extradelight:sweetener farmersdelight:hot_cocoa minecraft:glass_bottle neoforge:mod_loaded
create:mixing/ketchup_jar | create:mixing | c:foods/tomato c:vinegar create:mixing extradelight:ketchup_jar_item extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/liver_onions | create:mixing | c:liver create:mixing extradelight:liver_onions extradelight:processed/onion minecraft:bowl neoforge:mod_loaded
create:mixing/lugaw | create:mixing | c:crops/rice c:foods/cooked_chicken create:mixing extradelight:boiled_egg extradelight:broth extradelight:lugaw extradelight:processed/ginger extradelight:processed/onion minecraft:bowl neoforge:mod_loaded
create:mixing/macaroni_cheese | create:mixing | c:butter c:cheese c:foods/milk create:mixing extradelight:macaroni extradelight:macaroni_cheese_feast neoforge:mod_loaded
create:mixing/marshmallow | create:mixing | c:eggs c:mallowroot/powder create:mixing extradelight:marshmallow extradelight:sweetener minecraft:water neoforge:mod_loaded
create:mixing/mashed_potato_gravy_feast | create:mixing | c:butter c:foods/milk create:mixing extradelight:gravy_boat_item extradelight:mashed_potato_gravy_block_item minecraft:bowl minecraft:potato neoforge:mod_loaded
create:mixing/mayo | create:mixing | c:eggs create:mixing extradelight:mayo_jar_item extradelight:oil_fluid extradelight:vinegar_fluid minecraft:glass_bottle neoforge:mod_loaded
create:mixing/melon_fruit_salad_lime_mixing | create:mixing | c:foods/berry create:mixing extradelight:lime_juice_fluid extradelight:melon_fruit_salad_item extradelight:processed/apple extradelight:processed/melon extradelight:processed/orange minecraft:bowl minecraft:honey_bottle minecraft:melon
create:mixing/melon_fruit_salad_mixing | create:mixing | c:foods/berry create:mixing extradelight:lemon_juice_fluid extradelight:melon_fruit_salad_item extradelight:processed/apple extradelight:processed/melon extradelight:processed/orange minecraft:honey_bottle minecraft:melon neoforge:mod_loaded
create:mixing/milk_chocolate | create:mixing | c:cocoa/solids create:mixing extradelight:cocoa_butter_fluid extradelight:milk_chocolate_syrup_bottle extradelight:sweetener minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/milkshake | create:mixing | create:mixing extradelight:ice_cream extradelight:milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/mint_candy_blue | create:mixing | c:dyes/blue c:mint create:mixing extradelight:mint_candy_blue extradelight:sweetener neoforge:mod_loaded
create:mixing/mint_candy_green | create:mixing | c:dyes/green c:mint create:mixing extradelight:mint_candy_green extradelight:sweetener neoforge:mod_loaded
create:mixing/mint_candy_red | create:mixing | c:dyes/red c:mint create:mixing extradelight:mint_candy_red extradelight:sweetener neoforge:mod_loaded
create:mixing/mint_chip_milkshake | create:mixing | c:chocolate/chips c:mint create:mixing extradelight:ice_cream extradelight:mint_chip_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/mint_chip_milkshake_ice_cream | create:mixing | create:mixing extradelight:mint_chip_ice_cream extradelight:mint_chip_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/mint_jelly | create:mixing | c:mint create:mixing extradelight:mint_jelly extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/mulligatawny_soup | create:mixing | c:apple/sliced c:foods/raw_chicken create:mixing extradelight:broth extradelight:curry_powder extradelight:mulligatawny_soup extradelight:processed/onion farmersdelight:rice minecraft:bowl neoforge:mod_loaded
create:mixing/mushroom_risotto | create:mixing | c:butter c:cheese c:crops/rice c:mushrooms create:mixing extradelight:broth extradelight:mushroom_risotto extradelight:processed/onion minecraft:bowl neoforge:mod_loaded
create:mixing/mutton_stew | create:mixing | c:crops/onion c:flour create:mixing extradelight:broth extradelight:lamb_stew_feast minecraft:carrot minecraft:mutton minecraft:potato neoforge:mod_loaded
create:mixing/nougat | create:mixing | c:butter c:eggs c:nuts/cooked create:mixing extradelight:nougat extradelight:sweetener minecraft:water neoforge:mod_loaded
create:mixing/nut_butter_cookie_dough | create:mixing | c:butter c:eggs c:flour create:mixing extradelight:nut_butter_cookie_dough extradelight:nut_butter_fluid extradelight:sweetener neoforge:mod_loaded
create:mixing/nut_butter_cookie_dough_sugar | create:mixing | c:cookie_dough/sugar create:mixing extradelight:nut_butter_cookie_dough extradelight:nut_butter_fluid neoforge:mod_loaded
create:mixing/nut_butter_custard | create:mixing | c:eggs c:foods/milk c:nut_butter create:mixing extradelight:nut_butter_custard extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/nut_butter_milkshake | create:mixing | create:mixing extradelight:ice_cream extradelight:nut_butter_fluid extradelight:nut_butter_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
