bakery:baking_station | minecraft:crafting_shaped | bakery:baker_station minecraft:bricks minecraft:crafting_shaped minecraft:sugar minecraft:wooden_slabs
bakery:rolling_pin | minecraft:crafting_shaped | bakery:rolling_pin minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs
bakery:sandwich | minecraft:crafting_shapeless | bakery:bread bakery:cooked_beef bakery:sandwich farm_and_charm:cabbage minecraft:crafting_shapeless
bakery:small_cooking_pot | minecraft:crafting_shaped | bakery:small_cooking_pot minecraft:crafting_shaped minecraft:iron_ingot minecraft:wooden_slabs
bakery:street_sign | minecraft:crafting_shaped | bakery:street_sign minecraft:crafting_shaped minecraft:paper minecraft:planks
bakery:tray | minecraft:crafting_shaped | bakery:tray minecraft:crafting_shaped minecraft:planks minecraft:wooden_slabs
bakery:vegetable_sandwich | minecraft:crafting_shapeless | bakery:bread bakery:vegetable_sandwich farm_and_charm:cabbage farm_and_charm:tomato minecraft:beetroot minecraft:carrot minecraft:crafting_shapeless
bakery:wall_cabinet | minecraft:crafting_shaped | bakery:wall_cabinet minecraft:barrel minecraft:crafting_shaped minecraft:wooden_slabs
bakery:wall_display | minecraft:crafting_shaped | bakery:wall_display minecraft:crafting_shaped minecraft:stick minecraft:wooden_slabs
farm_and_charm:crafting_bowl/cake_dough | farm_and_charm:crafting_bowl | bakery:cake_dough bakery:eggs bakery:milk farm_and_charm:crafting_bowl farm_and_charm:flour minecraft:sugar
farm_and_charm:crafting_bowl/sweet_dough | farm_and_charm:crafting_bowl | bakery:eggs bakery:sweet_dough bakery:water_bottles farm_and_charm:crafting_bowl farm_and_charm:flour minecraft:sugar
farm_and_charm:pot_cooking/apple_jam | farm_and_charm:pot_cooking | bakery:apple_jam bakery:jar farm_and_charm:pot_cooking minecraft:apple minecraft:sugar
farm_and_charm:pot_cooking/beetroot_soup | farm_and_charm:pot_cooking | farm_and_charm:pot_cooking minecraft:beetroot minecraft:beetroot_soup minecraft:bowl
farm_and_charm:pot_cooking/chocolate | farm_and_charm:pot_cooking | bakery:chocolate_truffle bakery:jar bakery:milk farm_and_charm:pot_cooking minecraft:cocoa_beans minecraft:sugar
farm_and_charm:pot_cooking/chocolate_jam | farm_and_charm:pot_cooking | bakery:chocolate bakery:chocolate_jam bakery:jar bakery:milk farm_and_charm:pot_cooking minecraft:sugar
farm_and_charm:pot_cooking/glowberry_jam | farm_and_charm:pot_cooking | bakery:glowberry_jam bakery:jar farm_and_charm:pot_cooking minecraft:glow_berries minecraft:sugar
farm_and_charm:pot_cooking/pudding | farm_and_charm:pot_cooking | bakery:eggs bakery:jam bakery:jar bakery:milk bakery:pudding farm_and_charm:pot_cooking
farm_and_charm:pot_cooking/rabbit_stew | farm_and_charm:pot_cooking | farm_and_charm:pot_cooking minecraft:bowl minecraft:brown_mushroom minecraft:carrot minecraft:potato minecraft:rabbit minecraft:rabbit_stew
farm_and_charm:pot_cooking/strawberry_jam | farm_and_charm:pot_cooking | bakery:jar bakery:strawberry_jam farm_and_charm:pot_cooking farm_and_charm:strawberry minecraft:sugar
farm_and_charm:pot_cooking/sweetberry_jam | farm_and_charm:pot_cooking | bakery:jar bakery:sweetberry_jam farm_and_charm:pot_cooking minecraft:sugar minecraft:sweet_berries
farm_and_charm:stove/apple_pie | farm_and_charm:stove | bakery:apple_pie bakery:sweet_dough farm_and_charm:stove minecraft:apple minecraft:sugar
farm_and_charm:stove/baguette | farm_and_charm:stove | bakery:baguette bakery:dough bakery:sweet_dough farm_and_charm:stove farm_and_charm:yeast
farm_and_charm:stove/braided_bread | farm_and_charm:stove | bakery:braided_bread bakery:dough bakery:sweet_dough farm_and_charm:stove minecraft:sugar
farm_and_charm:stove/bread | farm_and_charm:stove | bakery:bread bakery:dough bakery:water_bottles farm_and_charm:stove minecraft:sugar
farm_and_charm:stove/bun | farm_and_charm:stove | bakery:bun bakery:eggs farm_and_charm:dough farm_and_charm:stove farm_and_charm:yeast
farm_and_charm:stove/bundt_cake | farm_and_charm:stove | bakery:bundt_cake bakery:eggs farm_and_charm:stove farm_and_charm:yeast minecraft:sugar
farm_and_charm:stove/chocolate_tart | farm_and_charm:stove | bakery:chocolate bakery:chocolate_tart bakery:sweet_dough farm_and_charm:stove farm_and_charm:yeast
farm_and_charm:stove/cornet | farm_and_charm:stove | bakery:cornet bakery:sweet_dough farm_and_charm:stove minecraft:milk_bucket minecraft:sugar
farm_and_charm:stove/croissant | farm_and_charm:stove | bakery:croissant bakery:sweet_dough farm_and_charm:stove farm_and_charm:yeast minecraft:sugar
farm_and_charm:stove/crusty_bread | farm_and_charm:stove | bakery:crusty_bread bakery:dough bakery:water_bottles farm_and_charm:stove farm_and_charm:yeast
farm_and_charm:stove/glowberry_tart | farm_and_charm:stove | bakery:glowberry_tart bakery:sweet_dough farm_and_charm:stove minecraft:glow_berries minecraft:sugar
farm_and_charm:stove/grilled_bacon_sandwich | farm_and_charm:stove | bakery:bread bakery:grilled_bacon_sandwich farm_and_charm:raw_bacon farm_and_charm:stove
farm_and_charm:stove/grilled_salmon_sandwich | farm_and_charm:stove | bakery:bread bakery:grilled_salmon_sandwich farm_and_charm:cabbage farm_and_charm:stove minecraft:salmon
farm_and_charm:stove/improved_bread | farm_and_charm:stove | bakery:wheat farm_and_charm:stove minecraft:bread
farm_and_charm:stove/jam_roll | farm_and_charm:stove | bakery:jam bakery:jam_roll bakery:sweet_dough farm_and_charm:stove minecraft:sugar
farm_and_charm:stove/linzer_tart | farm_and_charm:stove | bakery:linzer_tart bakery:sweet_dough farm_and_charm:stove farm_and_charm:strawberry minecraft:sugar
farm_and_charm:stove/misslilitu_biscuit | farm_and_charm:stove | bakery:misslilitu_biscuit bakery:sweet_dough farm_and_charm:stove minecraft:red_dye minecraft:white_dye
farm_and_charm:stove/toast | farm_and_charm:stove | bakery:dough bakery:milk bakery:toast farm_and_charm:stove minecraft:sugar
farm_and_charm:stove/waffle | farm_and_charm:stove | bakery:eggs bakery:sweet_dough bakery:waffle farm_and_charm:stove minecraft:sugar
minecraft:bread | minecraft:crafting_shaped | bakery:wheat minecraft:bread minecraft:crafting_shaped
minecraft:cake | minecraft:crafting_shaped | bakery:eggs bakery:milk bakery:wheat minecraft:cake minecraft:crafting_shaped minecraft:sugar
minecraft:cookie | minecraft:crafting_shaped | bakery:wheat minecraft:cocoa_beans minecraft:cookie minecraft:crafting_shaped
minecraft:packed_mud | minecraft:crafting_shapeless | bakery:wheat minecraft:crafting_shapeless minecraft:mud minecraft:packed_mud
