createfisheryindustry:bait_trap | minecraft:crafting_shapeless | createfisheryindustry:bait_trap createfisheryindustry:mesh_trap minecraft:crafting_shapeless minecraft:lantern
createfisheryindustry:fish_skin_to_leather | minecraft:crafting_shaped | createfisheryindustry:fish_skin minecraft:crafting_shaped minecraft:leather
createfisheryindustry:frame_trap | minecraft:crafting_shapeless | c:plates/zinc c:strings createfisheryindustry:frame_trap minecraft:crafting_shapeless
createfisheryindustry:harpoon | minecraft:crafting_shaped | c:ingots/zinc c:nuggets/zinc createfisheryindustry:harpoon minecraft:crafting_shaped
createfisheryindustry:harpoon_pouch | minecraft:crafting_shapeless | c:strings createfisheryindustry:harpoon_pouch createfisheryindustry:waxed_leather minecraft:crafting_shapeless
createfisheryindustry:mechanical_crafting/pneumatic_harpoon_gun | create:mechanical_crafting | c:ingots/zinc c:plates/zinc create:andesite_alloy create:mechanical_crafting createfisheryindustry:harpoon createfisheryindustry:pneumatic_harpoon_gun createfisheryindustry:pneumatic_mechanism minecraft:chain minecraft:tripwire_hook
createfisheryindustry:mechanical_peeler | minecraft:crafting_shaped | c:plates/iron create:andesite_casing createfisheryindustry:mechanical_peeler minecraft:crafting_shaped
createfisheryindustry:mesh_trap | minecraft:crafting_shaped | c:plates/zinc createfisheryindustry:mesh_trap minecraft:crafting_shaped minecraft:wool
createfisheryindustry:mixing/lobster_soup | create:mixing | c:milk create:mixing createfisheryindustry:lobster_soup createfisheryindustry:raw_lobster minecraft:kelp neoforge:tag
createfisheryindustry:mixing/mussel_soup | create:mixing | c:milk c:mussels create:mixing createfisheryindustry:mussel_soup neoforge:tag
createfisheryindustry:mixing/seafood_chowder_from_raw | create:mixing | c:milk c:mussels c:raw_fish_steaks create:mixing createfisheryindustry:raw_lobster createfisheryindustry:seafood_chowder minecraft:kelp neoforge:tag
createfisheryindustry:mixing/seafood_chowder_from_soups | create:mixing | c:raw_fish_steaks create:mixing createfisheryindustry:lobster_soup createfisheryindustry:mussel_soup createfisheryindustry:seafood_chowder neoforge:single
createfisheryindustry:netherite_diving_leggings_from_copper.json | minecraft:smithing_transform | c:ingots/netherite createfisheryindustry:copper_diving_leggings createfisheryindustry:netherite_diving_leggings minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
createfisheryindustry:netherite_diving_leggings_from_netherite | minecraft:smithing_transform | createfisheryindustry:copper_diving_leggings createfisheryindustry:netherite_diving_leggings minecraft:netherite_leggings minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
createfisheryindustry:peeling/andesite_clear_glass_casing | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:andesite_clear_glass_casing createprism:andesite_glass_casing neoforge:mod_loaded
createfisheryindustry:peeling/andesite_clear_glass_scaffolding | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:andesite_clear_glass_scaffolding createprism:andesite_glass_scaffolding neoforge:mod_loaded
createfisheryindustry:peeling/brass_clear_glass_casing | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:brass_clear_glass_casing createprism:brass_glass_casing neoforge:mod_loaded
createfisheryindustry:peeling/brass_clear_glass_scaffolding | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:brass_clear_glass_scaffolding createprism:brass_glass_scaffolding neoforge:mod_loaded
createfisheryindustry:peeling/cod | createfisheryindustry:peeling | createfisheryindustry:cod_steak createfisheryindustry:fish_skin createfisheryindustry:peeling minecraft:cod
createfisheryindustry:peeling/copper_clear_glass_casing | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:copper_clear_glass_casing createprism:copper_glass_casing neoforge:mod_loaded
createfisheryindustry:peeling/copper_clear_glass_scaffolding | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:copper_clear_glass_scaffolding createprism:copper_glass_scaffolding neoforge:mod_loaded
createfisheryindustry:peeling/crying_obsdian | createfisheryindustry:peeling | create:powdered_obsidian createfisheryindustry:peeling minecraft:crying_obsidian minecraft:obsidian
createfisheryindustry:peeling/deadrock_powder_from_cracked | createfisheryindustry:peeling | create_shimmer:thorn_flour createfisheryindustry:peeling neoforge:mod_loaded twilightforest:cracked_deadrock twilightforest:deadrock
createfisheryindustry:peeling/deadrock_powder_from_deadrock | createfisheryindustry:peeling | create_shimmer:thorn_flour createfisheryindustry:peeling neoforge:mod_loaded twilightforest:cracked_deadrock twilightforest:weathered_deadrock
createfisheryindustry:peeling/deadrock_powder_from_weathered | createfisheryindustry:peeling | create_shimmer:thorn_flour createfisheryindustry:peeling neoforge:mod_loaded twilightforest:weathered_deadrock
createfisheryindustry:peeling/leather_boots_peeling | createfisheryindustry:peeling | createfisheryindustry:peeling minecraft:leather minecraft:leather_boots
createfisheryindustry:peeling/leather_chestplate_peeling | createfisheryindustry:peeling | createfisheryindustry:peeling minecraft:leather minecraft:leather_chestplate
createfisheryindustry:peeling/leather_helmet_peeling | createfisheryindustry:peeling | createfisheryindustry:peeling minecraft:leather minecraft:leather_helmet
createfisheryindustry:peeling/leather_leggings_peeling | createfisheryindustry:peeling | createfisheryindustry:peeling minecraft:leather minecraft:leather_leggings
createfisheryindustry:peeling/netherrack_peeling | createfisheryindustry:peeling | create:cinder_flour createfisheryindustry:peeling minecraft:netherrack
createfisheryindustry:peeling/obsidian_peeling | createfisheryindustry:peeling | create:powdered_obsidian createfisheryindustry:peeling minecraft:obsidian
createfisheryindustry:peeling/rose_quartz_peeling | createfisheryindustry:peeling | create:polished_rose_quartz create:rose_quartz createfisheryindustry:peeling
createfisheryindustry:peeling/salmon | createfisheryindustry:peeling | createfisheryindustry:fish_skin createfisheryindustry:peeling createfisheryindustry:salmon_steak minecraft:salmon
createfisheryindustry:peeling/train_clear_glass_casing | createfisheryindustry:peeling | createfisheryindustry:peeling createprism:train_clear_glass_casing createprism:train_glass_casing neoforge:mod_loaded
createfisheryindustry:peeling/worn_harpoon_peeling | createfisheryindustry:peeling | createfisheryindustry:harpoon createfisheryindustry:peeling createfisheryindustry:worn_harpoon
createfisheryindustry:pressing/zinc_plate | create:pressing | c:ingots/zinc create:pressing createfisheryindustry:zinc_sheet
createfisheryindustry:sandpaper_polishing/worn_harpoon | create:sandpaper_polishing | create:sandpaper_polishing createfisheryindustry:harpoon createfisheryindustry:worn_harpoon
createfisheryindustry:seafood_steak | minecraft:crafting_shapeless | c:cooked_fish_steaks createfisheryindustry:cooked_lobster createfisheryindustry:seafood_steak minecraft:cooked_beef minecraft:crafting_shapeless
createfisheryindustry:sequenced_assembly/pneumatic_mechanism | create:sequenced_assembly | c:nuggets/iron c:plates/zinc create:andesite_alloy create:cogwheel create:crushed_raw_zinc create:deploying create:propeller create:sequenced_assembly create:shaft create:zinc_nugget createfisheryindustry:incomplete_pneumatic_mechanism createfisheryindustry:pneumatic_mechanism createfisheryindustry:zinc_sheet minecraft:iron_ingot
createfisheryindustry:smart_mesh | minecraft:crafting_shaped | c:plates/brass create:electron_tube createfisheryindustry:smart_mesh minecraft:crafting_shaped minecraft:wool
createfisheryindustry:smart_nozzle | minecraft:crafting_shaped | c:plates/brass create:nozzle createfisheryindustry:smart_nozzle minecraft:crafting_shaped
createfisheryindustry:smelting/cook_cod_steak | minecraft:smelting | createfisheryindustry:cod_steak createfisheryindustry:cooked_cod_steak minecraft:smelting
createfisheryindustry:smelting/cook_salmon_steak | minecraft:smelting | createfisheryindustry:cooked_salmon_steak createfisheryindustry:salmon_steak minecraft:smelting
createfisheryindustry:smelting/cooked_blue_mussel | minecraft:smelting | createfisheryindustry:cooked_blue_mussel createfisheryindustry:raw_blue_mussel minecraft:smelting
createfisheryindustry:smelting/cooked_lobster | minecraft:smelting | createfisheryindustry:cooked_lobster createfisheryindustry:raw_lobster minecraft:smelting
createfisheryindustry:smelting/cooked_mediterranean_mussel | minecraft:smelting | createfisheryindustry:cooked_mediterranean_mussel createfisheryindustry:raw_mediterranean_mussel minecraft:smelting
createfisheryindustry:smelting/roast_fish_skin | minecraft:smelting | createfisheryindustry:fish_skin createfisheryindustry:roasted_fish_skin minecraft:smelting
createfisheryindustry:smelting/zinc_nuggets_from_harpoon | minecraft:smelting | create:zinc_nugget createfisheryindustry:harpoon minecraft:smelting
createfisheryindustry:smelting/zinc_nuggets_from_worn_harpoon | minecraft:smelting | create:zinc_nugget createfisheryindustry:worn_harpoon minecraft:smelting
createfisheryindustry:smoking/cook_cod_steak | minecraft:smoking | createfisheryindustry:cod_steak createfisheryindustry:cooked_cod_steak minecraft:smoking
createfisheryindustry:smoking/cook_salmon_steak | minecraft:smoking | createfisheryindustry:cooked_salmon_steak createfisheryindustry:salmon_steak minecraft:smoking
createfisheryindustry:smoking/cooked_blue_mussel | minecraft:smoking | createfisheryindustry:cooked_blue_mussel createfisheryindustry:raw_blue_mussel minecraft:smoking
createfisheryindustry:smoking/cooked_lobster | minecraft:smoking | createfisheryindustry:cooked_lobster createfisheryindustry:raw_lobster minecraft:smoking
createfisheryindustry:smoking/cooked_mediterranean_mussel | minecraft:smoking | createfisheryindustry:cooked_mediterranean_mussel createfisheryindustry:raw_mediterranean_mussel minecraft:smoking
createfisheryindustry:smoking/roast_fish_skin | minecraft:smoking | createfisheryindustry:fish_skin createfisheryindustry:roasted_fish_skin minecraft:smoking
createfisheryindustry:trap_bearing | minecraft:crafting_shaped | create:shaft create:zinc_block createfisheryindustry:trap_bearing minecraft:crafting_shaped minecraft:wooden_slabs
createfisheryindustry:trap_nozzle | minecraft:crafting_shaped | c:plates/zinc create:nozzle createfisheryindustry:trap_nozzle minecraft:crafting_shaped
createfisheryindustry:trapping/carrot_to_rabbit | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap minecraft:carrot minecraft:rabbit minecraft:rabbit_hide
createfisheryindustry:trapping/cod_steak_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:cod_steak createfisheryindustry:raw_lobster
createfisheryindustry:trapping/cod_to_lobster | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster minecraft:cod
createfisheryindustry:trapping/cooked_blue_mussel_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:cooked_blue_mussel createfisheryindustry:raw_lobster
createfisheryindustry:trapping/cooked_cod_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster minecraft:cooked_cod
createfisheryindustry:trapping/cooked_cod_steak_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:cooked_cod_steak createfisheryindustry:raw_lobster
createfisheryindustry:trapping/cooked_mediterranean_mussel_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:cooked_mediterranean_mussel createfisheryindustry:raw_lobster
createfisheryindustry:trapping/cooked_salmon_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster minecraft:cooked_salmon
createfisheryindustry:trapping/cooked_salmon_steak_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:cooked_salmon_steak createfisheryindustry:raw_lobster
createfisheryindustry:trapping/fish_skin_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:fish_skin createfisheryindustry:raw_lobster
createfisheryindustry:trapping/pufferfish_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster minecraft:pufferfish
createfisheryindustry:trapping/raw_blue_mussel_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_blue_mussel createfisheryindustry:raw_lobster
createfisheryindustry:trapping/raw_mediterranean_mussel_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster createfisheryindustry:raw_mediterranean_mussel
createfisheryindustry:trapping/raw_salmon_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster minecraft:salmon
createfisheryindustry:trapping/roasted_fish_skin_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster createfisheryindustry:roasted_fish_skin
createfisheryindustry:trapping/salmon_steak_lobster_trap | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap createfisheryindustry:raw_lobster createfisheryindustry:salmon_steak
createfisheryindustry:trapping/seeds_chicken | createfisheryindustry:bait_trap | createfisheryindustry:bait_trap minecraft:chicken minecraft:feather minecraft:wheat_seeds
createfisheryindustry:waxed_cardboard | minecraft:crafting_shapeless | create:cardboard createfisheryindustry:waxed_cardboard minecraft:crafting_shapeless minecraft:honeycomb
createfisheryindustry:waxed_leather | minecraft:crafting_shapeless | createfisheryindustry:waxed_leather minecraft:crafting_shapeless minecraft:honeycomb minecraft:leather
