beachparty:banner_from_smithing_table | minecraft:smithing_transform | beachparty:beachparty_banner minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
beachparty:palm_fence_gate | minecraft:crafting_shaped | beachparty:palm_fence_gate beachparty:palm_planks minecraft:crafting_shaped minecraft:stick
beachparty:palm_floorboard | minecraft:crafting_shaped | beachparty:palm_floorboard beachparty:palm_planks beachparty:palm_slab minecraft:crafting_shaped
beachparty:palm_glass | minecraft:crafting_shaped | beachparty:palm_glass beachparty:palm_planks minecraft:crafting_shaped minecraft:glass
beachparty:palm_glass_pane | minecraft:crafting_shaped | beachparty:palm_glass_pane beachparty:palm_planks minecraft:crafting_shaped minecraft:glass_pane
beachparty:palm_glass_pane_from_palm_glass | minecraft:crafting_shaped | beachparty:palm_glass beachparty:palm_glass_pane minecraft:crafting_shaped
beachparty:palm_hanging_sign | minecraft:crafting_shaped | beachparty:palm_hanging_sign beachparty:stripped_palm_log minecraft:chain minecraft:crafting_shaped
beachparty:palm_planks | minecraft:crafting_shapeless | beachparty:palm_logs beachparty:palm_planks minecraft:crafting_shapeless
beachparty:palm_pressure_plate | minecraft:crafting_shaped | beachparty:palm_planks beachparty:palm_pressure_plate minecraft:crafting_shaped
beachparty:palm_sign | minecraft:crafting_shaped | beachparty:palm_planks beachparty:palm_sign minecraft:crafting_shaped minecraft:stick
beachparty:palm_slab | minecraft:crafting_shaped | beachparty:palm_planks beachparty:palm_slab minecraft:crafting_shaped
beachparty:palm_stairs | minecraft:crafting_shaped | beachparty:palm_planks beachparty:palm_stairs minecraft:crafting_shaped
beachparty:palm_table | minecraft:crafting_shaped | beachparty:palm_planks beachparty:palm_slab beachparty:palm_table minecraft:crafting_shaped minecraft:stick
beachparty:palm_torch_item | minecraft:crafting_shaped | beachparty:palm_torch_item minecraft:bamboo minecraft:charcoal minecraft:coal minecraft:crafting_shaped
beachparty:palm_trapdoor | minecraft:crafting_shaped | beachparty:palm_planks beachparty:palm_trapdoor minecraft:crafting_shaped
beachparty:palm_wood | minecraft:crafting_shaped | beachparty:palm_log beachparty:palm_wood minecraft:crafting_shaped
beachparty:radio | minecraft:crafting_shaped | beachparty:overgrown_disc beachparty:radio minecraft:crafting_shaped minecraft:note_block
beachparty:stripped_palm_wood | minecraft:crafting_shaped | beachparty:stripped_palm_log beachparty:stripped_palm_wood minecraft:crafting_shaped
beachparty:tall_tiki_torch | minecraft:crafting_shaped | beachparty:tall_palm_torch minecraft:bamboo minecraft:charcoal minecraft:coal minecraft:crafting_shaped
beachparty:thatch_slab | minecraft:crafting_shaped | beachparty:thatch beachparty:thatch_slab minecraft:crafting_shaped
beachparty:thatch_stairs | minecraft:crafting_shaped | beachparty:thatch beachparty:thatch_stairs minecraft:crafting_shaped
