pantographsandwires:blasting/coal_coke | minecraft:blasting | minecraft:blasting minecraft:coals pantographsandwires:coal_coke
pantographsandwires:cutting/power_line_bracket_oxidized | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:h_beam_mast_oxidized pantographsandwires:power_line_bracket_oxidized
pantographsandwires:cutting/power_line_bracket_weathered | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:h_beam_mast_weathered pantographsandwires:power_line_bracket_weathered
pantographsandwires:cutting/waxed_concrete_post | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_concrete_pillar pantographsandwires:waxed_concrete_post
pantographsandwires:cutting/waxed_concrete_post_exposed | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_concrete_pillar_exposed pantographsandwires:waxed_concrete_post_exposed
pantographsandwires:cutting/waxed_concrete_post_oxidized | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_concrete_pillar_oxidized pantographsandwires:waxed_concrete_post_oxidized
pantographsandwires:cutting/waxed_concrete_post_weathered | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_concrete_pillar_weathered pantographsandwires:waxed_concrete_post_weathered
pantographsandwires:cutting/waxed_power_line_bracket | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_h_beam_mast pantographsandwires:waxed_power_line_bracket
pantographsandwires:cutting/waxed_power_line_bracket_exposed | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_h_beam_mast_exposed pantographsandwires:waxed_power_line_bracket_exposed
pantographsandwires:cutting/waxed_power_line_bracket_oxidized | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_h_beam_mast_oxidized pantographsandwires:waxed_power_line_bracket_oxidized
pantographsandwires:cutting/waxed_power_line_bracket_weathered | minecraft:stonecutting | minecraft:stonecutting pantographsandwires:waxed_h_beam_mast_weathered pantographsandwires:waxed_power_line_bracket_weathered
pantographsandwires:deploying/copper_wire | create:deploying | c:plates/copper c:tools/shear create:deploying pantographsandwires:copper_wire
pantographsandwires:empty_wire_coil | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:wooden_slabs pantographsandwires:empty_wire_coil
pantographsandwires:flat_lattice_mast | minecraft:crafting_shaped | minecraft:crafting_shaped pantographsandwires:flat_lattice_mast pantographsandwires:iron_strip
pantographsandwires:flat_lattice_mast_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast pantographsandwires:flat_lattice_mast_diagonal
pantographsandwires:flat_lattice_mast_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast pantographsandwires:flat_lattice_mast_diagonal
pantographsandwires:flat_lattice_variants/exposed_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_exposed pantographsandwires:flat_lattice_mast_exposed
pantographsandwires:flat_lattice_variants/exposed_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_exposed pantographsandwires:flat_lattice_mast_exposed
pantographsandwires:flat_lattice_variants/galvanized_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_galvanized pantographsandwires:flat_lattice_mast_galvanized
pantographsandwires:flat_lattice_variants/galvanized_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_galvanized pantographsandwires:flat_lattice_mast_galvanized
pantographsandwires:flat_lattice_variants/normal_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast pantographsandwires:flat_lattice_mast_diagonal
pantographsandwires:flat_lattice_variants/normal_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast pantographsandwires:flat_lattice_mast_diagonal
pantographsandwires:flat_lattice_variants/oxidized_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_oxidized pantographsandwires:flat_lattice_mast_oxidized
pantographsandwires:flat_lattice_variants/oxidized_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_oxidized pantographsandwires:flat_lattice_mast_oxidized
pantographsandwires:flat_lattice_variants/waxed_exposed_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast_diagonal_exposed pantographsandwires:waxed_flat_lattice_mast_exposed
pantographsandwires:flat_lattice_variants/waxed_exposed_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast_diagonal_exposed pantographsandwires:waxed_flat_lattice_mast_exposed
pantographsandwires:flat_lattice_variants/waxed_normal_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast pantographsandwires:waxed_flat_lattice_mast_diagonal
pantographsandwires:flat_lattice_variants/waxed_normal_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast pantographsandwires:waxed_flat_lattice_mast_diagonal
pantographsandwires:flat_lattice_variants/waxed_oxidized_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast_diagonal_oxidized pantographsandwires:waxed_flat_lattice_mast_oxidized
pantographsandwires:flat_lattice_variants/waxed_oxidized_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast_diagonal_oxidized pantographsandwires:waxed_flat_lattice_mast_oxidized
pantographsandwires:flat_lattice_variants/waxed_weathered_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast_diagonal_weathered pantographsandwires:waxed_flat_lattice_mast_weathered
pantographsandwires:flat_lattice_variants/waxed_weathered_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:waxed_flat_lattice_mast_diagonal_weathered pantographsandwires:waxed_flat_lattice_mast_weathered
pantographsandwires:flat_lattice_variants/weathered_from_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_weathered pantographsandwires:flat_lattice_mast_weathered
pantographsandwires:flat_lattice_variants/weathered_to_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:flat_lattice_mast_diagonal_weathered pantographsandwires:flat_lattice_mast_weathered
pantographsandwires:graphite_block | minecraft:crafting_shaped | c:ingots/graphite minecraft:crafting_shaped pantographsandwires:graphite_block
pantographsandwires:graphite_ingot | minecraft:crafting_shapeless | minecraft:crafting_shapeless pantographsandwires:graphite_block pantographsandwires:graphite_ingot
pantographsandwires:green_insulator | minecraft:crafting_shaped | create:andesite_alloy minecraft:crafting_shaped minecraft:green_stained_glass pantographsandwires:insulator_green
pantographsandwires:iron_rod_bundle | minecraft:crafting_shapeless | c:rods/iron minecraft:crafting_shapeless pantographsandwires:iron_rod_bundle
pantographsandwires:lattice_mast | minecraft:crafting_shaped | c:rods/iron minecraft:crafting_shaped pantographsandwires:iron_strip pantographsandwires:lattice_mast
pantographsandwires:mechanical_crafting/pantograph | create:mechanical_crafting | c:ingots/graphite c:ingots/iron c:nuggets/iron c:rods/iron create:mechanical_crafting pantographsandwires:insulator_brown pantographsandwires:iron_rod_bundle pantographsandwires:pantograph
pantographsandwires:mechanical_crafting/tensioning_device | create:mechanical_crafting | c:wires/copper create:cogwheel create:mechanical_crafting minecraft:stone_bricks pantographsandwires:iron_strip pantographsandwires:tensioning_device
pantographsandwires:milling/crushed_coal_coke | create:milling | c:coal_coke create:milling pantographsandwires:crushed_coal_coke
pantographsandwires:mixing/cantilever_bracket_galvanized | create:mixing | c:nuggets/zinc create:mixing pantographsandwires:cantilever_bracket pantographsandwires:cantilever_bracket_galvanized
pantographsandwires:mixing/concrete_pillar | create:mixing | c:gravels c:sands create:mixing minecraft:water pantographsandwires:concrete_pillar
pantographsandwires:mixing/flat_lattice_mast_diagonal_galvanized | create:mixing | c:nuggets/zinc create:mixing pantographsandwires:flat_lattice_mast_diagonal pantographsandwires:flat_lattice_mast_diagonal_galvanized
pantographsandwires:mixing/flat_lattice_mast_galvanized | create:mixing | c:nuggets/zinc create:mixing pantographsandwires:flat_lattice_mast pantographsandwires:flat_lattice_mast_galvanized
pantographsandwires:mixing/h_beam_mast_galvanized | create:mixing | c:nuggets/zinc create:mixing pantographsandwires:h_beam_mast pantographsandwires:h_beam_mast_galvanized
pantographsandwires:mixing/lattice_mast_galvanized | create:mixing | c:nuggets/zinc create:mixing pantographsandwires:lattice_mast pantographsandwires:lattice_mast_galvanized
pantographsandwires:mixing/power_line_bracket_galvanized | create:mixing | c:nuggets/zinc create:mixing pantographsandwires:power_line_bracket pantographsandwires:power_line_bracket_galvanized
pantographsandwires:pencil | minecraft:crafting_shaped | c:ingots/graphite c:rods/wooden minecraft:crafting_shaped pantographsandwires:pencil
pantographsandwires:sequenced_assembly/brown_cantilever | create:sequenced_assembly | c:nuggets/zinc create:deploying create:pressing create:sequenced_assembly pantographsandwires:cantilever_brown pantographsandwires:cantilever_incomplete pantographsandwires:insulator_brown pantographsandwires:iron_rod_bundle
pantographsandwires:sequenced_assembly/green_cantilever | create:sequenced_assembly | c:nuggets/zinc create:deploying create:pressing create:sequenced_assembly pantographsandwires:cantilever_green pantographsandwires:cantilever_incomplete pantographsandwires:insulator_green pantographsandwires:iron_rod_bundle
pantographsandwires:u_insulator_brown | minecraft:crafting_shaped | c:nuggets/iron c:rods/iron minecraft:crafting_shaped pantographsandwires:insulator_brown pantographsandwires:u_insulator_brown
pantographsandwires:u_insulator_green | minecraft:crafting_shaped | c:nuggets/iron c:rods/iron minecraft:crafting_shaped pantographsandwires:insulator_green pantographsandwires:u_insulator_green
pantographsandwires:v_insulator_brown | minecraft:crafting_shaped | c:nuggets/iron minecraft:crafting_shaped pantographsandwires:insulator_brown pantographsandwires:v_insulator_brown
pantographsandwires:v_insulator_green | minecraft:crafting_shaped | c:nuggets/iron minecraft:crafting_shaped pantographsandwires:insulator_green pantographsandwires:v_insulator_green
pantographsandwires:waxing/cantilever_bracket | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:cantilever_bracket pantographsandwires:waxed_cantilever_bracket
pantographsandwires:waxing/cantilever_bracket_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:cantilever_bracket_exposed pantographsandwires:waxed_cantilever_bracket_exposed
pantographsandwires:waxing/cantilever_bracket_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:cantilever_bracket_oxidized pantographsandwires:waxed_cantilever_bracket_oxidized
pantographsandwires:waxing/cantilever_bracket_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:cantilever_bracket_weathered pantographsandwires:waxed_cantilever_bracket_weathered
pantographsandwires:waxing/concrete_pillar | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_pillar pantographsandwires:waxed_concrete_pillar
pantographsandwires:waxing/concrete_pillar_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_pillar_exposed pantographsandwires:waxed_concrete_pillar_exposed
pantographsandwires:waxing/concrete_pillar_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_pillar_oxidized pantographsandwires:waxed_concrete_pillar_oxidized
pantographsandwires:waxing/concrete_pillar_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_pillar_weathered pantographsandwires:waxed_concrete_pillar_weathered
pantographsandwires:waxing/concrete_post | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_post pantographsandwires:waxed_concrete_post
pantographsandwires:waxing/concrete_post_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_post_exposed pantographsandwires:waxed_concrete_post_exposed
pantographsandwires:waxing/concrete_post_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_post_oxidized pantographsandwires:waxed_concrete_post_oxidized
pantographsandwires:waxing/concrete_post_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:concrete_post_weathered pantographsandwires:waxed_concrete_post_weathered
pantographsandwires:waxing/flat_lattice_mast | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast pantographsandwires:waxed_flat_lattice_mast
pantographsandwires:waxing/flat_lattice_mast_diagonal | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_diagonal pantographsandwires:waxed_flat_lattice_mast_diagonal
pantographsandwires:waxing/flat_lattice_mast_diagonal_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_diagonal_exposed pantographsandwires:waxed_flat_lattice_mast_diagonal_exposed
pantographsandwires:waxing/flat_lattice_mast_diagonal_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_diagonal_oxidized pantographsandwires:waxed_flat_lattice_mast_diagonal_oxidized
pantographsandwires:waxing/flat_lattice_mast_diagonal_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_diagonal_weathered pantographsandwires:waxed_flat_lattice_mast_diagonal_weathered
pantographsandwires:waxing/flat_lattice_mast_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_exposed pantographsandwires:waxed_flat_lattice_mast_exposed
pantographsandwires:waxing/flat_lattice_mast_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_oxidized pantographsandwires:waxed_flat_lattice_mast_oxidized
pantographsandwires:waxing/flat_lattice_mast_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:flat_lattice_mast_weathered pantographsandwires:waxed_flat_lattice_mast_weathered
pantographsandwires:waxing/h_beam_mast | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:h_beam_mast pantographsandwires:waxed_h_beam_mast
pantographsandwires:waxing/h_beam_mast_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:h_beam_mast_exposed pantographsandwires:waxed_h_beam_mast_exposed
pantographsandwires:waxing/h_beam_mast_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:h_beam_mast_oxidized pantographsandwires:waxed_h_beam_mast_oxidized
pantographsandwires:waxing/h_beam_mast_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:h_beam_mast_weathered pantographsandwires:waxed_h_beam_mast_weathered
pantographsandwires:waxing/lattice_mast | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:lattice_mast pantographsandwires:waxed_lattice_mast
pantographsandwires:waxing/lattice_mast_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:lattice_mast_exposed pantographsandwires:waxed_lattice_mast_exposed
pantographsandwires:waxing/lattice_mast_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:lattice_mast_oxidized pantographsandwires:waxed_lattice_mast_oxidized
pantographsandwires:waxing/lattice_mast_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:lattice_mast_weathered pantographsandwires:waxed_lattice_mast_weathered
pantographsandwires:waxing/power_line_bracket | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:power_line_bracket pantographsandwires:waxed_power_line_bracket
pantographsandwires:waxing/power_line_bracket_exposed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:power_line_bracket_exposed pantographsandwires:waxed_power_line_bracket_exposed
pantographsandwires:waxing/power_line_bracket_oxidized | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:power_line_bracket_oxidized pantographsandwires:waxed_power_line_bracket_oxidized
pantographsandwires:waxing/power_line_bracket_weathered | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honeycomb pantographsandwires:power_line_bracket_weathered pantographsandwires:waxed_power_line_bracket_weathered
pantographsandwires:wire_coil | minecraft:crafting_shaped | c:wires/copper minecraft:crafting_shaped pantographsandwires:empty_wire_coil pantographsandwires:wire_coil
