meadow:alpine_salt_from_blasting_alpine_salt_ore | minecraft:blasting | meadow:alpine_salt meadow:alpine_salt_ore minecraft:blasting
meadow:cheese_tart_slice | minecraft:crafting_shapeless | meadow:cheese_tart meadow:cheese_tart_slice minecraft:crafting_shapeless
meadow:cheesecake | minecraft:crafting_shaped | c:cheese c:eggs c:wheat meadow:cheesecake minecraft:crafting_shaped
meadow:cheesecake_slice | minecraft:crafting_shapeless | meadow:cheesecake meadow:cheesecake_slice minecraft:crafting_shapeless
meadow:chiseled_limestone | minecraft:crafting_shaped | meadow:chiseled_limestone meadow:limestone_brick_slab minecraft:crafting_shaped
meadow:chiseled_limestone_from_limestone_bricks_stonecutting | minecraft:stonecutting | meadow:chiseled_limestone meadow:limestone_bricks minecraft:stonecutting
meadow:chiseled_limestone_limestone_from_stonecutting | minecraft:stonecutting | meadow:chiseled_limestone meadow:limestone minecraft:stonecutting
meadow:climbing_rope_topmount | minecraft:crafting_shaped | meadow:climbing_rope minecraft:crafting_shaped minecraft:iron_ingot minecraft:lead
meadow:coal_from_blasting_alpine_coal_ore | minecraft:blasting | meadow:alpine_coal_ore minecraft:blasting minecraft:coal
meadow:coal_from_smelting_alpine_coal_ore | minecraft:smelting | meadow:alpine_coal_ore minecraft:coal minecraft:smelting
meadow:cobbled_limestone_slab | minecraft:crafting_shaped | meadow:cobbled_limestone meadow:cobbled_limestone_slab minecraft:crafting_shaped
meadow:cobbled_limestone_slab_from_cobbled_limestone_stonecutting | minecraft:stonecutting | meadow:cobbled_limestone meadow:cobbled_limestone_slab minecraft:stonecutting
meadow:cobbled_limestone_stairs | minecraft:crafting_shaped | meadow:cobbled_limestone meadow:cobbled_limestone_stairs minecraft:crafting_shaped
meadow:cobbled_limestone_stairs_from_cobbled_limestone_stonecutting | minecraft:stonecutting | meadow:cobbled_limestone meadow:cobbled_limestone_stairs minecraft:stonecutting
meadow:cobbled_limestone_wall | minecraft:crafting_shaped | meadow:cobbled_limestone meadow:cobbled_limestone_wall minecraft:crafting_shaped
meadow:cobbled_limestone_wall_from_cobbled_limestone_stonecutting | minecraft:stonecutting | meadow:cobbled_limestone meadow:cobbled_limestone_wall minecraft:stonecutting
meadow:cooking_frame | minecraft:crafting_shaped | meadow:cooking_frame minecraft:campfire minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick
meadow:cooking_pot/alpine_salt_from_calcite | meadow:cooking | meadow:alpine_salt meadow:cooking minecraft:calcite
meadow:cooking_pot/alpine_salt_from_limestone | meadow:cooking | meadow:alpine_salt meadow:cooking meadow:limestone
meadow:cooking_pot/amethyst_milk | meadow:cooking | c:milks c:salts meadow:cooking meadow:wooden_amethyst_milk_bucket minecraft:amethyst_cluster
meadow:cooking_pot/baked_potato | meadow:cooking | c:salts meadow:cooking minecraft:baked_potato minecraft:potato
meadow:cooking_pot/beetroot_soup | meadow:cooking | meadow:cooking minecraft:beetroot minecraft:beetroot_soup minecraft:bowl
meadow:cooking_pot/cooked_beef | meadow:cooking | c:salts meadow:cooking minecraft:beef minecraft:cooked_beef
meadow:cooking_pot/cooked_buffalo_meat | meadow:cooking | c:salts meadow:cooked_buffalo_meat meadow:cooking meadow:raw_buffalo_meat
meadow:cooking_pot/cooked_chicken | meadow:cooking | c:salts meadow:cooking minecraft:chicken minecraft:cooked_chicken
meadow:cooking_pot/cooked_cod | meadow:cooking | c:salts meadow:cooking minecraft:cod minecraft:cooked_cod
meadow:cooking_pot/cooked_mutton | meadow:cooking | c:salts meadow:cooking minecraft:cooked_mutton minecraft:mutton
meadow:cooking_pot/cooked_porkchop | meadow:cooking | c:salts meadow:cooking minecraft:cooked_porkchop minecraft:porkchop
meadow:cooking_pot/cooked_rabbit | meadow:cooking | c:salts meadow:cooking minecraft:cooked_rabbit minecraft:rabbit
meadow:cooking_pot/cooked_salmon | meadow:cooking | c:salts meadow:cooking minecraft:cooked_salmon minecraft:salmon
meadow:cooking_pot/grain_milk | meadow:cooking | c:wheat meadow:cooking meadow:wooden_bucket meadow:wooden_grain_milk_bucket
meadow:cooking_pot/ham_cheese | meadow:cooking | c:cheese c:salts meadow:cooking meadow:raw_buffalo_meat meadow:sausage_with_cheese
meadow:cooking_pot/leather | meadow:cooking | meadow:cooking minecraft:leather minecraft:rotten_flesh
meadow:cooking_pot/rabbit_stew_from_cheese | meadow:cooking | c:cheese meadow:cooking minecraft:baked_potato minecraft:bowl minecraft:carrot minecraft:cooked_rabbit minecraft:rabbit_stew
meadow:cooking_pot/rennet | meadow:cooking | c:eggs c:salts meadow:cooking meadow:rennet minecraft:glass_bottle
meadow:cooking_pot/roasted_buffalo_ham | meadow:cooking | c:salts meadow:cooking meadow:raw_buffalo_meat meadow:roasted_buffalo_ham minecraft:carrot minecraft:potato
meadow:cookpot | minecraft:crafting_shaped | meadow:cookpot minecraft:copper_ingot minecraft:crafting_shaped minecraft:iron_ingot
meadow:copper_ingot_from_blasting_alpine_copper_ore | minecraft:blasting | meadow:alpine_copper_ore minecraft:blasting minecraft:copper_ingot
meadow:copper_ingot_from_smelting_alpine_copper_ore | minecraft:smelting | meadow:alpine_copper_ore minecraft:copper_ingot minecraft:smelting
meadow:cracked_limestone_bricks | minecraft:smelting | meadow:cracked_limestone_bricks meadow:limestone_bricks minecraft:smelting
meadow:diamond_from_blasting_alpine_diamond_ore | minecraft:blasting | meadow:alpine_diamond_ore minecraft:blasting minecraft:diamond
meadow:diamond_from_smelting_alpine_diamond_ore | minecraft:smelting | meadow:alpine_diamond_ore minecraft:diamond minecraft:smelting
meadow:doormat | minecraft:crafting_shaped | c:wheat meadow:doormat minecraft:crafting_shaped
meadow:emerald_from_blasting_alpine_emerald_ore | minecraft:blasting | meadow:alpine_emerald_ore minecraft:blasting minecraft:emerald
meadow:emerald_from_smelting_alpine_emerald_ore | minecraft:smelting | meadow:alpine_emerald_ore minecraft:emerald minecraft:smelting
meadow:felting/chambray_wool | meadow:felting | meadow:chambray_wool meadow:felting minecraft:blue_wool
meadow:felting/jacquard_wool | meadow:felting | meadow:felting meadow:jacquard_wool minecraft:gray_wool
meadow:felting/linen | meadow:felting | meadow:felting meadow:linen minecraft:light_gray_wool
meadow:felting/plaid_wool | meadow:felting | meadow:felting meadow:plaid_wool minecraft:white_wool
meadow:felting/rustic_wool | meadow:felting | meadow:felting meadow:rustic_wool minecraft:brown_wool
meadow:felting/tweed_wool | meadow:felting | meadow:felting meadow:tweed_wool minecraft:black_wool
meadow:felting/warped_wool | meadow:felting | meadow:felting meadow:warped_wool minecraft:cyan_wool
meadow:felting_needle | minecraft:crafting_shaped | meadow:felting_needle minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick
meadow:firewood | minecraft:crafting_shaped | meadow:firewood meadow:pine_log minecraft:crafting_shaped
meadow:fondue_pot | minecraft:crafting_shaped | meadow:fondue_pot minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick
meadow:fur_boots | minecraft:crafting_shaped | meadow:fur_boots minecraft:crafting_shaped minecraft:leather minecraft:rabbit_hide
meadow:fur_chestplate | minecraft:crafting_shaped | meadow:fur_chestplate minecraft:crafting_shaped minecraft:feather minecraft:leather minecraft:rabbit_hide
meadow:fur_helmet | minecraft:crafting_shaped | meadow:fur_helmet minecraft:crafting_shaped minecraft:feather minecraft:leather minecraft:rabbit_hide
meadow:fur_leggings | minecraft:crafting_shaped | meadow:fur_leggings minecraft:crafting_shaped minecraft:leather minecraft:rabbit_hide
meadow:gold_ingot_from_blasting_alpine_gold_ore | minecraft:blasting | meadow:alpine_gold_ore minecraft:blasting minecraft:gold_ingot
meadow:gold_ingot_from_smelting_alpine_gold_ore | minecraft:smelting | meadow:alpine_gold_ore minecraft:gold_ingot minecraft:smelting
meadow:green_dye_from_small_fir | minecraft:crafting_shapeless | meadow:small_fir minecraft:crafting_shapeless minecraft:green_dye
meadow:iron_ingot_from_blasting_alpine_iron_ore | minecraft:blasting | meadow:alpine_iron_ore minecraft:blasting minecraft:iron_ingot
meadow:iron_ingot_from_smelting_alpine_iron_ore | minecraft:smelting | meadow:alpine_iron_ore minecraft:iron_ingot minecraft:smelting
meadow:jacquard_bed | minecraft:crafting_shaped | meadow:jacquard_bed meadow:jacquard_wool minecraft:crafting_shaped minecraft:planks
meadow:jacquard_carpet | minecraft:crafting_shaped | meadow:jacquard_carpet meadow:jacquard_wool minecraft:crafting_shaped
meadow:lapis_lazuli_from_blasting_alpine_lapis_ore | minecraft:blasting | meadow:alpine_lapis_ore minecraft:blasting minecraft:lapis_lazuli
meadow:lapis_lazuli_from_smelting_alpine_lapis_ore | minecraft:smelting | meadow:alpine_lapis_ore minecraft:lapis_lazuli minecraft:smelting
meadow:limestone | minecraft:smelting | meadow:cobbled_limestone meadow:limestone minecraft:smelting
meadow:limestone_brick_slab | minecraft:crafting_shaped | meadow:limestone_brick_slab meadow:limestone_bricks minecraft:crafting_shaped
meadow:limestone_brick_slab_from_limestone_bricks_stonecutting | minecraft:stonecutting | meadow:limestone_brick_slab meadow:limestone_bricks minecraft:stonecutting
meadow:limestone_brick_slab_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_brick_slab minecraft:stonecutting
meadow:limestone_brick_stairs | minecraft:crafting_shaped | meadow:limestone_brick_stairs meadow:limestone_bricks minecraft:crafting_shaped
meadow:limestone_brick_stairs_from_limestone_bricks_stonecutting | minecraft:stonecutting | meadow:limestone_brick_stairs meadow:limestone_bricks minecraft:stonecutting
meadow:limestone_brick_stairs_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_brick_stairs minecraft:stonecutting
meadow:limestone_brick_wall | minecraft:crafting_shaped | meadow:limestone_brick_wall meadow:limestone_bricks minecraft:crafting_shaped
meadow:limestone_brick_wall_from_limestone_bricks_stonecutting | minecraft:stonecutting | meadow:limestone_brick_wall meadow:limestone_bricks minecraft:stonecutting
meadow:limestone_brick_walls_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_brick_wall minecraft:stonecutting
meadow:limestone_bricks | minecraft:crafting_shaped | meadow:limestone meadow:limestone_bricks minecraft:crafting_shaped
meadow:limestone_bricks_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_brick_wall minecraft:stonecutting
meadow:limestone_bricks_stairs | minecraft:stonecutting | meadow:limestone meadow:limestone_brick_stairs minecraft:stonecutting
meadow:limestone_slab | minecraft:crafting_shaped | meadow:limestone meadow:limestone_slab minecraft:crafting_shaped
meadow:limestone_slab_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_slab minecraft:stonecutting
meadow:limestone_stairs | minecraft:crafting_shaped | meadow:limestone meadow:limestone_stairs minecraft:crafting_shaped
meadow:limestone_stairs_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_stairs minecraft:stonecutting
meadow:limestone_wall | minecraft:crafting_shaped | meadow:limestone meadow:limestone_wall minecraft:crafting_shaped
meadow:limestone_wall_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:limestone_stairs minecraft:stonecutting
meadow:linen_bed | minecraft:crafting_shaped | meadow:linen meadow:linen_bed minecraft:crafting_shaped minecraft:planks
meadow:linen_carpet | minecraft:crafting_shaped | meadow:linen meadow:linen_carpet minecraft:crafting_shaped
meadow:milk_can | minecraft:crafting_shaped | meadow:milk_can minecraft:crafting_shaped minecraft:iron_ingot
meadow:mossy_cobbled_limestone_from_moss_block | minecraft:crafting_shapeless | meadow:cobbled_limestone meadow:mossy_cobbled_limestone minecraft:crafting_shapeless minecraft:moss_block
meadow:mossy_cobbled_limestone_from_vine | minecraft:crafting_shapeless | meadow:cobbled_limestone meadow:mossy_cobbled_limestone minecraft:crafting_shapeless minecraft:vine
meadow:mossy_cobbled_limestone_slab | minecraft:crafting_shaped | meadow:mossy_cobbled_limestone meadow:mossy_cobbled_limestone_slab minecraft:crafting_shaped
meadow:mossy_cobbled_limestone_slab_from_mossy_cobbled_limestone_stonecutting | minecraft:stonecutting | meadow:mossy_cobbled_limestone meadow:mossy_cobbled_limestone_slab minecraft:stonecutting
meadow:mossy_cobbled_limestone_stairs | minecraft:crafting_shaped | meadow:mossy_cobbled_limestone meadow:mossy_cobbled_limestone_stairs minecraft:crafting_shaped
meadow:mossy_cobbled_limestone_stairs_from_mossy_cobbled_limestone_stonecutting | minecraft:stonecutting | meadow:mossy_cobbled_limestone meadow:mossy_cobbled_limestone_stairs minecraft:stonecutting
meadow:mossy_cobbled_limestone_wall | minecraft:crafting_shaped | meadow:mossy_cobbled_limestone meadow:mossy_cobbled_limestone_wall minecraft:crafting_shaped
meadow:mossy_cobbled_limestone_wall_from_mossy_cobbled_limestone_stonecutting | minecraft:stonecutting | meadow:mossy_cobbled_limestone meadow:mossy_cobbled_limestone_stairs minecraft:stonecutting
meadow:mossy_limestone_brick_slab | minecraft:crafting_shaped | meadow:mossy_limestone_brick_slab meadow:mossy_limestone_bricks minecraft:crafting_shaped
meadow:mossy_limestone_brick_slab_from_mossy_limestone_brick_stonecutting | minecraft:stonecutting | meadow:mossy_limestone_brick_slab meadow:mossy_limestone_bricks minecraft:stonecutting
meadow:mossy_limestone_brick_stairs | minecraft:crafting_shaped | meadow:mossy_limestone_brick_stairs meadow:mossy_limestone_bricks minecraft:crafting_shaped
meadow:mossy_limestone_brick_stairs_from_mossy_limestone_brick_stonecutting | minecraft:stonecutting | meadow:mossy_limestone_brick_stairs meadow:mossy_limestone_bricks minecraft:stonecutting
meadow:mossy_limestone_brick_wall | minecraft:crafting_shaped | meadow:mossy_limestone_brick_wall meadow:mossy_limestone_bricks minecraft:crafting_shaped
meadow:mossy_limestone_brick_wall_from_mossy_limestone_brick_stonecutting | minecraft:stonecutting | meadow:mossy_limestone_brick_stairs meadow:mossy_limestone_bricks minecraft:stonecutting
meadow:mossy_limestone_bricks_from_moss_block | minecraft:crafting_shapeless | meadow:limestone_bricks meadow:mossy_limestone_bricks minecraft:crafting_shapeless minecraft:moss_block
meadow:mossy_limestone_bricks_from_vine | minecraft:crafting_shapeless | meadow:limestone_bricks meadow:mossy_limestone_bricks minecraft:crafting_shapeless minecraft:vine
meadow:oil_lantern | minecraft:crafting_shaped | meadow:oil_lantern minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_nugget minecraft:torch
meadow:orange_dye_from_fire_lily | minecraft:crafting_shapeless | meadow:fire_lily minecraft:crafting_shapeless minecraft:yellow_dye
meadow:ornate_glass_window | minecraft:crafting_shaped | meadow:ornate_glass_window meadow:pine_planks minecraft:crafting_shaped minecraft:red_stained_glass
meadow:ornate_glass_window_pane | minecraft:crafting_shaped | meadow:ornate_glass_window meadow:ornate_glass_window_pane minecraft:crafting_shaped
meadow:piece_of_buffalo_cheese | minecraft:crafting_shapeless | meadow:buffalo_cheese_slice meadow:buffalo_cheese_wheel minecraft:crafting_shapeless
meadow:piece_of_cheese | minecraft:crafting_shapeless | meadow:cheese_slice meadow:cheese_wheel minecraft:crafting_shapeless
meadow:piece_of_goat_cheese | minecraft:crafting_shapeless | meadow:goat_cheese_slice meadow:goat_cheese_wheel minecraft:crafting_shapeless
meadow:piece_of_lavender_cheese | minecraft:crafting_shapeless | meadow:amethyst_cheese_slice meadow:amethyst_cheese_wheel minecraft:crafting_shapeless
meadow:piece_of_oat_cheese | minecraft:crafting_shapeless | meadow:grain_cheese_slice meadow:grain_cheese_wheel minecraft:crafting_shapeless
meadow:piece_of_sheep_cheese | minecraft:crafting_shapeless | meadow:sheep_cheese_slice meadow:sheep_cheese_wheel minecraft:crafting_shapeless
meadow:pine_beam | minecraft:crafting_shaped | meadow:pine_beam meadow:pine_log minecraft:crafting_shaped
meadow:pine_bench | minecraft:crafting_shaped | meadow:pine_bench meadow:pine_slab minecraft:crafting_shaped minecraft:stick
meadow:pine_boat | minecraft:crafting_shaped | meadow:pine_boat meadow:pine_planks minecraft:crafting_shaped
meadow:pine_button | minecraft:crafting_shapeless | meadow:pine_button meadow:pine_planks minecraft:crafting_shapeless
meadow:pine_cabinet | minecraft:crafting_shaped | meadow:pine_cabinet meadow:pine_planks meadow:pine_slab minecraft:crafting_shaped
meadow:pine_chair | minecraft:crafting_shaped | meadow:pine_chair meadow:pine_slab minecraft:crafting_shaped minecraft:stick
meadow:pine_cheese_rack | minecraft:crafting_shaped | meadow:pine_cheese_rack meadow:pine_planks meadow:pine_slab minecraft:crafting_shaped
meadow:pine_chest_boat | minecraft:crafting_shapeless | meadow:pine_boat meadow:pine_chest_boat minecraft:chest minecraft:crafting_shapeless
meadow:pine_door | minecraft:crafting_shaped | meadow:pine_door meadow:pine_planks minecraft:crafting_shaped
meadow:pine_dresser | minecraft:crafting_shapeless | meadow:pine_cabinet meadow:pine_dresser meadow:pine_table minecraft:crafting_shapeless
meadow:pine_fence | minecraft:crafting_shaped | meadow:pine_fence meadow:pine_planks minecraft:crafting_shaped minecraft:stick
meadow:pine_fence_gate | minecraft:crafting_shaped | meadow:pine_fence_gate meadow:pine_planks minecraft:crafting_shaped minecraft:stick
meadow:pine_hanging_sign | minecraft:crafting_shaped | meadow:pine_hanging_sign meadow:stripped_pine_log minecraft:chain minecraft:crafting_shaped
meadow:pine_planks | minecraft:crafting_shapeless | meadow:pine_logs meadow:pine_planks minecraft:crafting_shapeless
meadow:pine_pressure_plate | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_pressure_plate minecraft:crafting_shaped
meadow:pine_railing | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_railing meadow:pine_slab minecraft:crafting_shaped
meadow:pine_shutter | minecraft:crafting_shaped | meadow:pine_shutter meadow:pine_slab minecraft:crafting_shaped
meadow:pine_sign | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_sign minecraft:crafting_shaped minecraft:stick
meadow:pine_slab | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_slab minecraft:crafting_shaped
meadow:pine_sofa_chambray | minecraft:crafting_shaped | meadow:chambray_wool meadow:pine_planks meadow:pine_sofa_chambray minecraft:crafting_shaped
meadow:pine_sofa_jacquard | minecraft:crafting_shaped | meadow:jacquard_wool meadow:pine_planks meadow:pine_sofa_jacquard minecraft:crafting_shaped
meadow:pine_sofa_linen | minecraft:crafting_shaped | meadow:linen meadow:pine_planks meadow:pine_sofa_linen minecraft:crafting_shaped
meadow:pine_sofa_plaid | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_sofa_plaid meadow:plaid_wool minecraft:crafting_shaped
meadow:pine_sofa_rustic | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_sofa_rustic meadow:rustic_wool minecraft:crafting_shaped
meadow:pine_sofa_tweed | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_sofa_tweed meadow:tweed_wool minecraft:crafting_shaped
meadow:pine_sofa_warped | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_sofa_warped meadow:warped_wool minecraft:crafting_shaped
meadow:pine_stairs | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_stairs minecraft:crafting_shaped
meadow:pine_table | minecraft:crafting_shaped | meadow:pine_slab meadow:pine_table minecraft:crafting_shaped minecraft:stick
meadow:pine_trapdoor | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_trapdoor minecraft:crafting_shaped
meadow:pine_wall_cabinet | minecraft:crafting_shapeless | meadow:pine_cabinet meadow:pine_wall_cabinet minecraft:crafting_shapeless
meadow:pine_wardrobe | minecraft:crafting_shapeless | meadow:pine_cabinet meadow:pine_wardrobe minecraft:crafting_shapeless
meadow:pine_window | minecraft:crafting_shaped | meadow:pine_planks meadow:pine_window minecraft:crafting_shaped minecraft:glass
meadow:pine_window_pane | minecraft:crafting_shaped | meadow:pine_window meadow:pine_window_pane minecraft:crafting_shaped
meadow:pine_wood | minecraft:crafting_shaped | meadow:pine_log meadow:pine_wood minecraft:crafting_shaped
meadow:pink_dye_from_delphinium | minecraft:crafting_shapeless | meadow:delphinium minecraft:crafting_shapeless minecraft:pink_dye
meadow:pink_dye_from_saxifrage | minecraft:crafting_shapeless | meadow:saxifrage minecraft:crafting_shapeless minecraft:pink_dye
meadow:plaid_bed | minecraft:crafting_shaped | meadow:plaid_bed meadow:plaid_wool minecraft:crafting_shaped minecraft:planks
meadow:plaid_carpet | minecraft:crafting_shaped | meadow:plaid_carpet meadow:plaid_wool minecraft:crafting_shaped
meadow:polished_limestone | minecraft:smelting | meadow:chiseled_limestone meadow:polished_limestone minecraft:smelting
meadow:polished_limestone_from_limestone_stonecutting | minecraft:stonecutting | meadow:limestone meadow:polished_limestone minecraft:stonecutting
meadow:redstone_from_blasting_alpine_redstone_ore | minecraft:blasting | meadow:alpine_redstone_ore minecraft:blasting minecraft:redstone
meadow:redstone_from_smelting_alpine_redstone_ore | minecraft:smelting | meadow:alpine_redstone_ore minecraft:redstone minecraft:smelting
meadow:rustic_bed | minecraft:crafting_shaped | meadow:rustic_bed meadow:rustic_wool minecraft:crafting_shaped minecraft:planks
meadow:rustic_carpet | minecraft:crafting_shaped | meadow:rustic_carpet meadow:rustic_wool minecraft:crafting_shaped
meadow:stone_bench | minecraft:crafting_shaped | meadow:polished_limestone meadow:stone_bench minecraft:crafting_shaped
meadow:stone_table | minecraft:crafting_shaped | meadow:limestone_slab meadow:polished_limestone meadow:stone_table minecraft:crafting_shaped
meadow:stove_tiles | minecraft:crafting_shaped | meadow:limestone_bricks meadow:stove_tiles minecraft:crafting_shaped minecraft:iron_ingot
meadow:stove_tiles_bench | minecraft:crafting_shaped | meadow:limestone_bricks meadow:stove_tiles_bench minecraft:crafting_shaped minecraft:iron_ingot
meadow:stove_tiles_lid | minecraft:crafting_shaped | meadow:limestone_bricks meadow:stove_tiles_lid minecraft:crafting_shaped minecraft:iron_ingot minecraft:iron_trapdoor
meadow:stove_tiles_wood | minecraft:crafting_shaped | meadow:firewood meadow:limestone_bricks meadow:stove_tiles_wood minecraft:crafting_shaped minecraft:iron_ingot
meadow:straw_bed | minecraft:crafting_shaped | c:wheat meadow:straw_bed minecraft:crafting_shaped minecraft:planks
meadow:stripped_pine_wood | minecraft:crafting_shaped | meadow:stripped_pine_log meadow:stripped_pine_wood minecraft:crafting_shaped
meadow:tweed_bed | minecraft:crafting_shaped | meadow:tweed_bed meadow:tweed_wool minecraft:crafting_shaped minecraft:planks
meadow:tweed_carpet | minecraft:crafting_shaped | meadow:tweed_carpet meadow:tweed_wool minecraft:crafting_shaped
meadow:warped_bed | minecraft:crafting_shaped | meadow:warped_bed meadow:warped_wool minecraft:crafting_shaped minecraft:planks
meadow:warped_carpet | minecraft:crafting_shaped | meadow:warped_carpet meadow:warped_wool minecraft:crafting_shaped
meadow:warped_cheese_slice | minecraft:crafting_shapeless | meadow:warped_cheese_slice meadow:warped_cheese_wheel minecraft:crafting_shapeless
meadow:watering_can | minecraft:crafting_shaped | meadow:watering_can meadow:wooden_water_bucket minecraft:crafting_shaped minecraft:planks
meadow:wheelbarrow | minecraft:crafting_shaped | meadow:polished_limestone meadow:wheelbarrow meadow:wooden_cauldron minecraft:crafting_shaped minecraft:stick
meadow:white_dye_from_eriophorum | minecraft:crafting_shapeless | meadow:eriophorum minecraft:crafting_shapeless minecraft:white_dye
meadow:wood_cutter/acacia/acacia_button_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_button minecraft:acacia_logs
meadow:wood_cutter/acacia/acacia_door_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_door minecraft:acacia_logs
meadow:wood_cutter/acacia/acacia_fence_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_fence minecraft:acacia_logs
meadow:wood_cutter/acacia/acacia_fencegate_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_fence_gate minecraft:acacia_logs
meadow:wood_cutter/acacia/acacia_planks_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_logs minecraft:acacia_planks
meadow:wood_cutter/acacia/acacia_pp_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_logs minecraft:acacia_pressure_plate
meadow:wood_cutter/acacia/acacia_sign_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_logs minecraft:acacia_sign
meadow:wood_cutter/acacia/acacia_slabs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_logs minecraft:acacia_slab
meadow:wood_cutter/acacia/acacia_stairs_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_logs minecraft:acacia_stairs
meadow:wood_cutter/acacia/acacia_trapdoor_woodcutter | meadow:woodcutting | meadow:woodcutting minecraft:acacia_logs minecraft:acacia_trapdoor
