create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:blasting/ingot_uranium_compat_ic2 | minecraft:blasting | create:crushed_raw_uranium ic2:ingot_uranium minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_uranium_compat_immersiveengineering | minecraft:blasting | create:crushed_raw_uranium immersiveengineering:ingot_uranium minecraft:blasting neoforge:mod_loaded
create:blasting/ingot_uranium_compat_mekanism | minecraft:blasting | create:crushed_raw_uranium mekanism:ingot_uranium minecraft:blasting neoforge:mod_loaded
create:blasting/iron_ingot_from_crushed | minecraft:blasting | create:crushed_raw_iron minecraft:blasting minecraft:iron_ingot
create:blasting/lead_ingot_compat_oreganized | minecraft:blasting | create:crushed_raw_lead minecraft:blasting neoforge:mod_loaded oreganized:lead_ingot
create:blasting/lead_ingot_compat_thermal | minecraft:blasting | create:crushed_raw_lead minecraft:blasting neoforge:mod_loaded thermal:lead_ingot
create:blasting/nickel_ingot_compat_thermal | minecraft:blasting | create:crushed_raw_nickel minecraft:blasting neoforge:mod_loaded thermal:nickel_ingot
create:blasting/silver_ingot_compat_galosphere | minecraft:blasting | create:crushed_raw_silver galosphere:silver_ingot minecraft:blasting neoforge:mod_loaded
create:blasting/silver_ingot_compat_iceandfire | minecraft:blasting | create:crushed_raw_silver iceandfire:silver_ingot minecraft:blasting neoforge:mod_loaded
create:blasting/silver_ingot_compat_oreganized | minecraft:blasting | create:crushed_raw_silver minecraft:blasting neoforge:mod_loaded oreganized:silver_ingot
create:blasting/silver_ingot_compat_thermal | minecraft:blasting | create:crushed_raw_silver minecraft:blasting neoforge:mod_loaded thermal:silver_ingot
create:blasting/tin_ingot_compat_thermal | minecraft:blasting | create:crushed_raw_tin minecraft:blasting neoforge:mod_loaded thermal:tin_ingot
create:blasting/zinc_ingot_from_crushed | minecraft:blasting | create:crushed_raw_zinc create:zinc_ingot minecraft:blasting
create:blasting/zinc_ingot_from_ore | minecraft:blasting | c:ores/zinc create:zinc_ingot minecraft:blasting
create:blasting/zinc_ingot_from_raw_ore | minecraft:blasting | c:raw_materials/zinc create:zinc_ingot minecraft:blasting
create:brass_bars_from_ingots_brass_stonecutting | minecraft:stonecutting | c:ingots/brass create:brass_bars minecraft:stonecutting
create:brass_ladder_from_ingots_brass_stonecutting | minecraft:stonecutting | c:ingots/brass create:brass_ladder minecraft:stonecutting
create:brass_scaffolding_from_ingots_brass_stonecutting | minecraft:stonecutting | c:ingots/brass create:brass_scaffolding minecraft:stonecutting
create:brass_table_cloth_from_ingots_brass_stonecutting | minecraft:stonecutting | c:ingots/brass create:brass_table_cloth minecraft:stonecutting
create:calcite_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:stone_types/calcite minecraft:calcite minecraft:stonecutting
create:calcite_pillar_from_stone_types_calcite_stonecutting | minecraft:stonecutting | create:calcite_pillar create:stone_types/calcite minecraft:stonecutting
create:campfire_cooking/bread | minecraft:campfire_cooking | create:dough minecraft:bread minecraft:campfire_cooking
create:cherry_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:cherry_window minecraft:cherry_planks minecraft:crafting_shaped
create:cherry_window_pane | minecraft:crafting_shaped | create:cherry_window create:cherry_window_pane minecraft:crafting_shaped
create:compacting/andesite_from_flint | create:compacting | create:compacting minecraft:andesite minecraft:flint minecraft:gravel minecraft:lava neoforge:single
create:compacting/blaze_cake | create:compacting | c:eggs create:blaze_cake_base create:cinder_flour create:compacting minecraft:sugar
create:compacting/chocolate | create:compacting | create:bar_of_chocolate create:chocolate create:compacting neoforge:single
create:compacting/diorite_from_flint | create:compacting | create:compacting minecraft:calcite minecraft:diorite minecraft:flint minecraft:lava neoforge:single
create:compacting/granite_from_flint | create:compacting | create:compacting minecraft:flint minecraft:granite minecraft:lava minecraft:red_sand neoforge:single
create:compacting/honey | create:compacting | c:honey create:compacting minecraft:honey_block neoforge:tag
create:compacting/ice | create:compacting | create:compacting minecraft:ice minecraft:snow_block
create:copper_bars_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper create:copper_bars minecraft:stonecutting
create:copper_ladder_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper create:copper_ladder minecraft:stonecutting
create:copper_scaffolding_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper create:copper_scaffolding minecraft:stonecutting
create:copper_shingle_slab | minecraft:crafting_shaped | create:copper_shingle_slab create:copper_shingles minecraft:crafting_shaped
create:copper_shingle_slab_from_copper_shingles_stonecutting | minecraft:stonecutting | create:copper_shingle_slab create:copper_shingles minecraft:stonecutting
create:copper_shingle_stairs | minecraft:crafting_shaped | create:copper_shingle_stairs create:copper_shingles minecraft:crafting_shaped
create:copper_shingle_stairs_from_copper_shingles_stonecutting | minecraft:stonecutting | create:copper_shingle_stairs create:copper_shingles minecraft:stonecutting
create:copper_shingles_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper create:copper_shingles minecraft:stonecutting
create:copper_table_cloth_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper create:copper_table_cloth minecraft:stonecutting
create:copper_tile_slab | minecraft:crafting_shaped | create:copper_tile_slab create:copper_tiles minecraft:crafting_shaped
create:copper_tile_slab_from_copper_tiles_stonecutting | minecraft:stonecutting | create:copper_tile_slab create:copper_tiles minecraft:stonecutting
create:copper_tile_stairs | minecraft:crafting_shaped | create:copper_tile_stairs create:copper_tiles minecraft:crafting_shaped
create:copper_tile_stairs_from_copper_tiles_stonecutting | minecraft:stonecutting | create:copper_tile_stairs create:copper_tiles minecraft:stonecutting
create:copper_tiles_from_ingots_copper_stonecutting | minecraft:stonecutting | c:ingots/copper create:copper_tiles minecraft:stonecutting
create:copycat_panel_from_ingots_zinc_stonecutting | minecraft:stonecutting | c:ingots/zinc create:copycat_panel minecraft:stonecutting
create:copycat_step_from_ingots_zinc_stonecutting | minecraft:stonecutting | c:ingots/zinc create:copycat_step minecraft:stonecutting
create:crafting/appliances/attribute_filter_clear | minecraft:crafting_shapeless | create:attribute_filter minecraft:crafting_shapeless
create:crafting/appliances/book | minecraft:crafting_shapeless | create:cardboard minecraft:book minecraft:crafting_shapeless minecraft:paper
create:crafting/appliances/cardboard_boots | minecraft:crafting_shaped | create:cardboard create:cardboard_boots minecraft:crafting_shaped
create:crafting/appliances/cardboard_chestplate | minecraft:crafting_shaped | create:cardboard create:cardboard_chestplate minecraft:crafting_shaped
create:crafting/appliances/cardboard_helmet | minecraft:crafting_shaped | create:cardboard create:cardboard_helmet minecraft:crafting_shaped
create:crafting/appliances/cardboard_leggings | minecraft:crafting_shaped | create:cardboard create:cardboard_leggings minecraft:crafting_shaped
create:crafting/appliances/cardboard_sword | minecraft:crafting_shaped | c:rods/wooden create:cardboard create:cardboard_sword minecraft:crafting_shaped
create:crafting/appliances/chain_from_zinc | minecraft:crafting_shaped | c:ingots/zinc c:nuggets/zinc minecraft:chain minecraft:crafting_shaped
create:crafting/appliances/clipboard | minecraft:crafting_shaped | create:andesite_alloy create:clipboard minecraft:crafting_shaped minecraft:paper minecraft:planks
create:crafting/appliances/clipboard_clear | minecraft:crafting_shapeless | create:clipboard minecraft:crafting_shapeless
create:crafting/appliances/copper_backtank | minecraft:crafting_shaped | c:ingots/copper c:storage_blocks/copper create:andesite_alloy create:copper_backtank create:shaft minecraft:crafting_shaped
create:crafting/appliances/copper_diving_boots | minecraft:crafting_shaped | c:ingots/copper create:andesite_alloy create:copper_diving_boots minecraft:crafting_shaped
create:crafting/appliances/copper_diving_helmet | minecraft:crafting_shaped | c:glass_blocks c:ingots/copper create:copper_diving_helmet minecraft:crafting_shaped
create:crafting/appliances/crafting_blueprint | minecraft:crafting_shapeless | create:crafting_blueprint minecraft:crafting_shapeless minecraft:crafting_table minecraft:painting
create:crafting/appliances/dough | minecraft:crafting_shapeless | c:flours/wheat create:dough minecraft:crafting_shapeless minecraft:water_bucket
create:crafting/appliances/filter_clear | minecraft:crafting_shapeless | create:filter minecraft:crafting_shapeless
create:crafting/appliances/item_frame | minecraft:crafting_shaped | c:rods/wooden create:cardboard minecraft:crafting_shaped minecraft:item_frame
create:crafting/appliances/linked_controller | minecraft:crafting_shaped | create:linked_controller create:redstone_link minecraft:crafting_shaped minecraft:wooden_buttons
create:crafting/appliances/name_tag | minecraft:crafting_shapeless | c:dyes/black c:strings create:cardboard minecraft:crafting_shapeless minecraft:name_tag
create:crafting/appliances/netherite_backtank | minecraft:smithing_transform | c:ingots/netherite create:copper_backtank create:netherite_backtank minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create:crafting/appliances/netherite_backtank_from_netherite | minecraft:smithing_transform | create:copper_backtank create:netherite_backtank minecraft:netherite_chestplate minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create:crafting/appliances/netherite_diving_boots | minecraft:smithing_transform | c:ingots/netherite create:copper_diving_boots create:netherite_diving_boots minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create:crafting/appliances/netherite_diving_boots_from_netherite | minecraft:smithing_transform | create:copper_diving_boots create:netherite_diving_boots minecraft:netherite_boots minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create:crafting/appliances/netherite_diving_helmet | minecraft:smithing_transform | c:ingots/netherite create:copper_diving_helmet create:netherite_diving_helmet minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create:crafting/appliances/netherite_diving_helmet_from_netherite | minecraft:smithing_transform | create:copper_diving_helmet create:netherite_diving_helmet minecraft:netherite_helmet minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
create:crafting/appliances/package_filter_clear | minecraft:crafting_shapeless | create:package_filter minecraft:crafting_shapeless
create:crafting/appliances/schedule_clear | minecraft:crafting_shapeless | create:schedule minecraft:crafting_shapeless
create:crafting/appliances/slime_ball | minecraft:crafting_shapeless | c:dyes/lime create:dough minecraft:crafting_shapeless minecraft:slime_ball
create:crafting/appliances/tree_fertilizer | minecraft:crafting_shapeless | create:tree_fertilizer minecraft:bone_meal minecraft:brain_coral minecraft:bubble_coral minecraft:crafting_shapeless minecraft:fire_coral minecraft:horn_coral minecraft:small_flowers minecraft:tube_coral
create:crafting/copper/waxed_copper_shingle_slab_from_honeycomb | minecraft:crafting_shapeless | create:copper_shingle_slab create:waxed_copper_shingle_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_copper_shingle_stairs_from_honeycomb | minecraft:crafting_shapeless | create:copper_shingle_stairs create:waxed_copper_shingle_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_copper_shingles_from_honeycomb | minecraft:crafting_shapeless | create:copper_shingles create:waxed_copper_shingles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_copper_tile_slab_from_honeycomb | minecraft:crafting_shapeless | create:copper_tile_slab create:waxed_copper_tile_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_copper_tile_stairs_from_honeycomb | minecraft:crafting_shapeless | create:copper_tile_stairs create:waxed_copper_tile_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_copper_tiles_from_honeycomb | minecraft:crafting_shapeless | create:copper_tiles create:waxed_copper_tiles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_exposed_copper_shingle_slab_from_honeycomb | minecraft:crafting_shapeless | create:exposed_copper_shingle_slab create:waxed_exposed_copper_shingle_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_exposed_copper_shingle_stairs_from_honeycomb | minecraft:crafting_shapeless | create:exposed_copper_shingle_stairs create:waxed_exposed_copper_shingle_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_exposed_copper_shingles_from_honeycomb | minecraft:crafting_shapeless | create:exposed_copper_shingles create:waxed_exposed_copper_shingles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_exposed_copper_tile_slab_from_honeycomb | minecraft:crafting_shapeless | create:exposed_copper_tile_slab create:waxed_exposed_copper_tile_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_exposed_copper_tile_stairs_from_honeycomb | minecraft:crafting_shapeless | create:exposed_copper_tile_stairs create:waxed_exposed_copper_tile_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_exposed_copper_tiles_from_honeycomb | minecraft:crafting_shapeless | create:exposed_copper_tiles create:waxed_exposed_copper_tiles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_oxidized_copper_shingle_slab_from_honeycomb | minecraft:crafting_shapeless | create:oxidized_copper_shingle_slab create:waxed_oxidized_copper_shingle_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_oxidized_copper_shingle_stairs_from_honeycomb | minecraft:crafting_shapeless | create:oxidized_copper_shingle_stairs create:waxed_oxidized_copper_shingle_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_oxidized_copper_shingles_from_honeycomb | minecraft:crafting_shapeless | create:oxidized_copper_shingles create:waxed_oxidized_copper_shingles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_oxidized_copper_tile_slab_from_honeycomb | minecraft:crafting_shapeless | create:oxidized_copper_tile_slab create:waxed_oxidized_copper_tile_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_oxidized_copper_tile_stairs_from_honeycomb | minecraft:crafting_shapeless | create:oxidized_copper_tile_stairs create:waxed_oxidized_copper_tile_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_oxidized_copper_tiles_from_honeycomb | minecraft:crafting_shapeless | create:oxidized_copper_tiles create:waxed_oxidized_copper_tiles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_weathered_copper_shingle_slab_from_honeycomb | minecraft:crafting_shapeless | create:waxed_weathered_copper_shingle_slab create:weathered_copper_shingle_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_weathered_copper_shingle_stairs_from_honeycomb | minecraft:crafting_shapeless | create:waxed_weathered_copper_shingle_stairs create:weathered_copper_shingle_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_weathered_copper_shingles_from_honeycomb | minecraft:crafting_shapeless | create:waxed_weathered_copper_shingles create:weathered_copper_shingles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_weathered_copper_tile_slab_from_honeycomb | minecraft:crafting_shapeless | create:waxed_weathered_copper_tile_slab create:weathered_copper_tile_slab minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_weathered_copper_tile_stairs_from_honeycomb | minecraft:crafting_shapeless | create:waxed_weathered_copper_tile_stairs create:weathered_copper_tile_stairs minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/copper/waxed_weathered_copper_tiles_from_honeycomb | minecraft:crafting_shapeless | create:waxed_weathered_copper_tiles create:weathered_copper_tiles minecraft:crafting_shapeless minecraft:honeycomb
create:crafting/curiosities/brown_toolbox | minecraft:crafting_shaped | c:chests/wooden c:leathers c:plates/gold create:brown_toolbox create:cogwheel minecraft:crafting_shaped
create:crafting/curiosities/cake | minecraft:crafting_shaped | c:eggs c:foods/dough minecraft:cake minecraft:crafting_shaped minecraft:milk_bucket minecraft:sugar
create:crafting/curiosities/item_copying | create:item_copying | create:item_copying
create:crafting/curiosities/minecart_coupling | minecraft:crafting_shaped | c:plates/iron create:andesite_alloy create:minecart_coupling minecraft:crafting_shaped
create:crafting/curiosities/peculiar_bell | minecraft:crafting_shaped | c:plates/brass c:storage_blocks/brass create:peculiar_bell minecraft:crafting_shaped
create:crafting/curiosities/toolbox_dyeing | create:toolbox_dyeing | create:toolbox_dyeing
create:crafting/kinetics/adjustable_chain_gearshift | minecraft:crafting_shapeless | create:adjustable_chain_gearshift create:electron_tube create:encased_chain_drive minecraft:crafting_shapeless
create:crafting/kinetics/analog_lever | minecraft:crafting_shaped | c:rods/wooden create:analog_lever create:andesite_casing minecraft:crafting_shaped
create:crafting/kinetics/andesite_door | minecraft:crafting_shapeless | create:andesite_casing create:andesite_door minecraft:crafting_shapeless minecraft:wooden_doors
create:crafting/kinetics/attribute_filter | minecraft:crafting_shaped | c:nuggets/brass create:attribute_filter minecraft:crafting_shaped minecraft:wool
create:crafting/kinetics/basin | minecraft:crafting_shaped | create:andesite_alloy create:basin minecraft:crafting_shaped
create:crafting/kinetics/belt_connector | minecraft:crafting_shaped | create:belt_connector minecraft:crafting_shaped minecraft:dried_kelp
create:crafting/kinetics/black_seat | minecraft:crafting_shapeless | create:black_seat minecraft:black_wool minecraft:crafting_shapeless minecraft:wooden_slabs
create:crafting/kinetics/black_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/black create:black_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/black_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/black create:black_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/blue_seat | minecraft:crafting_shapeless | create:blue_seat minecraft:blue_wool minecraft:crafting_shapeless minecraft:wooden_slabs
create:crafting/kinetics/blue_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/blue create:blue_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/blue_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/blue create:blue_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/brass_door | minecraft:crafting_shapeless | create:brass_casing create:brass_door minecraft:crafting_shapeless minecraft:wooden_doors
create:crafting/kinetics/brass_hand | minecraft:crafting_shaped | c:plates/brass create:andesite_alloy create:brass_hand minecraft:crafting_shaped
create:crafting/kinetics/brown_seat | minecraft:crafting_shapeless | create:brown_seat minecraft:brown_wool minecraft:crafting_shapeless minecraft:wooden_slabs
create:crafting/kinetics/brown_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/brown create:brown_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/brown_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/brown create:brown_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/cart_assembler | minecraft:crafting_shaped | c:dusts/redstone create:andesite_alloy create:cart_assembler minecraft:crafting_shaped minecraft:logs
create:crafting/kinetics/chain_conveyor | minecraft:crafting_shaped | create:andesite_casing create:chain_conveyor create:large_cogwheel minecraft:crafting_shaped
create:crafting/kinetics/chute | minecraft:crafting_shaped | c:ingots/iron c:plates/iron create:chute minecraft:crafting_shaped
create:crafting/kinetics/clockwork_bearing | minecraft:crafting_shaped | create:brass_casing create:clockwork_bearing create:electron_tube minecraft:crafting_shaped minecraft:wooden_slabs
create:crafting/kinetics/clutch | minecraft:crafting_shapeless | c:dusts/redstone create:andesite_casing create:clutch create:shaft minecraft:crafting_shapeless
create:crafting/kinetics/cogwheel | minecraft:crafting_shapeless | create:cogwheel create:shaft minecraft:crafting_shapeless minecraft:planks
create:crafting/kinetics/contraption_controls | minecraft:crafting_shaped | create:andesite_casing create:contraption_controls create:electron_tube minecraft:buttons minecraft:crafting_shaped
create:crafting/kinetics/controller_rail | minecraft:crafting_shaped | c:ingots/gold c:rods/wooden create:controller_rail create:electron_tube minecraft:crafting_shaped
create:crafting/kinetics/controls | minecraft:crafting_shaped | create:controls create:precision_mechanism create:railway_casing minecraft:crafting_shaped minecraft:lever
create:crafting/kinetics/copper_door | minecraft:crafting_shapeless | create:copper_casing create:copper_door minecraft:crafting_shapeless minecraft:wooden_doors
create:crafting/kinetics/copper_valve_handle | minecraft:crafting_shaped | c:plates/copper create:andesite_alloy create:copper_valve_handle minecraft:crafting_shaped
create:crafting/kinetics/copper_valve_handle_from_others | minecraft:crafting_shapeless | create:copper_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/crafter_slot_cover | minecraft:crafting_shaped | c:nuggets/brass create:crafter_slot_cover minecraft:crafting_shaped
create:crafting/kinetics/cuckoo_clock | minecraft:crafting_shaped | create:andesite_casing create:cuckoo_clock minecraft:clock minecraft:crafting_shaped minecraft:planks
create:crafting/kinetics/cyan_seat | minecraft:crafting_shapeless | create:cyan_seat minecraft:crafting_shapeless minecraft:cyan_wool minecraft:wooden_slabs
create:crafting/kinetics/cyan_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/cyan create:cyan_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/cyan_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/cyan create:cyan_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/deployer | minecraft:crafting_shaped | create:andesite_casing create:brass_hand create:deployer create:electron_tube minecraft:crafting_shaped
create:crafting/kinetics/depot | minecraft:crafting_shapeless | create:andesite_alloy create:andesite_casing create:depot minecraft:crafting_shapeless
create:crafting/kinetics/display_board | minecraft:crafting_shaped | create:andesite_alloy create:display_board create:electron_tube minecraft:crafting_shaped
create:crafting/kinetics/elevator_pulley | minecraft:crafting_shaped | c:plates/iron create:brass_casing create:elevator_pulley minecraft:crafting_shaped minecraft:dried_kelp_block
create:crafting/kinetics/empty_blaze_burner | minecraft:crafting_shaped | c:netherracks c:plates/iron create:empty_blaze_burner minecraft:crafting_shaped
create:crafting/kinetics/encased_chain_drive | minecraft:crafting_shapeless | c:nuggets/iron create:andesite_casing create:encased_chain_drive minecraft:crafting_shapeless
create:crafting/kinetics/encased_chain_drive_from_zinc | minecraft:crafting_shapeless | c:nuggets/zinc create:andesite_casing create:encased_chain_drive minecraft:crafting_shapeless
create:crafting/kinetics/encased_fan | minecraft:crafting_shaped | create:andesite_casing create:encased_fan create:propeller create:shaft minecraft:crafting_shaped
create:crafting/kinetics/filter | minecraft:crafting_shaped | c:nuggets/iron create:filter minecraft:crafting_shaped minecraft:wool
create:crafting/kinetics/fluid_pipe | minecraft:crafting_shaped | c:ingots/copper c:plates/copper create:fluid_pipe minecraft:crafting_shaped
create:crafting/kinetics/fluid_pipe_vertical | minecraft:crafting_shaped | c:ingots/copper c:plates/copper create:fluid_pipe minecraft:crafting_shaped
create:crafting/kinetics/fluid_tank | minecraft:crafting_shaped | c:barrels/wooden c:plates/copper create:fluid_tank minecraft:crafting_shaped
create:crafting/kinetics/fluid_valve | minecraft:crafting_shapeless | c:plates/iron create:fluid_pipe create:fluid_valve minecraft:crafting_shapeless
create:crafting/kinetics/flywheel | minecraft:crafting_shaped | c:ingots/brass create:flywheel create:shaft minecraft:crafting_shaped
create:crafting/kinetics/framed_glass_door | minecraft:crafting_shapeless | create:framed_glass create:framed_glass_door minecraft:crafting_shapeless minecraft:wooden_doors
create:crafting/kinetics/framed_glass_trapdoor | minecraft:crafting_shapeless | create:framed_glass create:framed_glass_trapdoor minecraft:crafting_shapeless minecraft:wooden_trapdoors
create:crafting/kinetics/furnace_minecart_from_contraption_cart | minecraft:crafting_shapeless | create:furnace_minecart_contraption minecraft:crafting_shapeless minecraft:furnace_minecart
create:crafting/kinetics/gantry_carriage | minecraft:crafting_shaped | create:andesite_casing create:cogwheel create:gantry_carriage minecraft:crafting_shaped minecraft:wooden_slabs
create:crafting/kinetics/gantry_shaft | minecraft:crafting_shaped | c:dusts/redstone create:andesite_alloy create:gantry_shaft minecraft:crafting_shaped
create:crafting/kinetics/gearbox | minecraft:crafting_shaped | create:andesite_casing create:cogwheel create:gearbox minecraft:crafting_shaped
create:crafting/kinetics/gearbox_from_conversion | minecraft:crafting_shapeless | create:gearbox create:vertical_gearbox minecraft:crafting_shapeless
create:crafting/kinetics/gearshift | minecraft:crafting_shapeless | c:dusts/redstone create:andesite_casing create:cogwheel create:gearshift minecraft:crafting_shapeless
create:crafting/kinetics/goggles | minecraft:crafting_shaped | c:glass_blocks c:plates/gold c:strings create:goggles minecraft:crafting_shaped
create:crafting/kinetics/gray_seat | minecraft:crafting_shapeless | create:gray_seat minecraft:crafting_shapeless minecraft:gray_wool minecraft:wooden_slabs
create:crafting/kinetics/gray_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/gray create:gray_seat create:seats minecraft:crafting_shapeless
