touhou_little_maid:altar_recipe/bookshelf | touhou_little_maid:altar_recipe_serializers | c:gems/diamond minecraft:book minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:bookshelf
touhou_little_maid:altar_recipe/nimble_fabric | touhou_little_maid:altar_recipe_serializers | c:ender_pearls minecraft:item minecraft:wool touhou_little_maid:altar_recipe_serializers touhou_little_maid:nimble_fabric
touhou_little_maid:altar_recipe/picnic_basket | touhou_little_maid:altar_recipe_serializers | c:chests/wooden minecraft:bamboo minecraft:item minecraft:wool_carpets touhou_little_maid:altar_recipe_serializers touhou_little_maid:picnic_basket
touhou_little_maid:altar_recipe/projectile_protect_bauble | touhou_little_maid:altar_recipe_serializers | c:crops/nether_wart c:dyes/blue minecraft:item minecraft:shield touhou_little_maid:altar_recipe_serializers touhou_little_maid:projectile_protect_bauble
touhou_little_maid:altar_recipe/reborn_maid | touhou_little_maid:altar_recipe_serializers | c:dusts/redstone c:gems/lapis c:ingots/gold c:ingots/iron minecraft:coal touhou_little_maid:altar_recipe_serializers touhou_little_maid:entity_placeholder touhou_little_maid:film touhou_little_maid:maid
touhou_little_maid:altar_recipe/red_fox_scroll | touhou_little_maid:altar_recipe_serializers | c:dyes/red c:gems/diamond minecraft:item minecraft:paper touhou_little_maid:altar_recipe_serializers touhou_little_maid:red_fox_scroll
touhou_little_maid:altar_recipe/sanae_gohei | touhou_little_maid:altar_recipe_serializers | c:rods/wooden minecraft:item minecraft:paper touhou_little_maid:altar_recipe_serializers touhou_little_maid:sanae_gohei
touhou_little_maid:altar_recipe/scarecrow | touhou_little_maid:altar_recipe_serializers | c:dusts/redstone minecraft:granite minecraft:hay_block minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:scarecrow
touhou_little_maid:altar_recipe/servant_bell | touhou_little_maid:altar_recipe_serializers | c:ingots/gold c:nuggets/gold c:rods/wooden minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:servant_bell
touhou_little_maid:altar_recipe/snack_cabinet | touhou_little_maid:altar_recipe_serializers | c:glass_panes minecraft:barrel minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:snack_cabinet
touhou_little_maid:altar_recipe/spawn_box | touhou_little_maid:altar_recipe_serializers | c:dusts/redstone c:gems/diamond c:gems/lapis c:ingots/gold c:ingots/iron minecraft:coal touhou_little_maid:altar_recipe_serializers touhou_little_maid:box touhou_little_maid:entity_placeholder
touhou_little_maid:altar_recipe/spawn_lightning_bolt | touhou_little_maid:altar_recipe_serializers | c:gunpowders minecraft:blaze_powder minecraft:lightning_bolt touhou_little_maid:altar_recipe_serializers touhou_little_maid:entity_placeholder
touhou_little_maid:altar_recipe/tank_backpack | touhou_little_maid:altar_recipe_serializers | minecraft:bucket minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:maid_backpack_middle touhou_little_maid:tank_backpack
touhou_little_maid:altar_recipe/trumpet | touhou_little_maid:altar_recipe_serializers | c:ingots/gold c:ingots/iron minecraft:item minecraft:note_block touhou_little_maid:altar_recipe_serializers touhou_little_maid:trumpet
touhou_little_maid:altar_recipe/ultramarine_orb_elixir | touhou_little_maid:altar_recipe_serializers | c:dyes/cyan c:ender_pearls c:gems/emerald minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:ultramarine_orb_elixir
touhou_little_maid:altar_recipe/wchess | touhou_little_maid:altar_recipe_serializers | c:dyes/black c:dyes/white c:gems/emerald minecraft:item minecraft:planks touhou_little_maid:altar_recipe_serializers touhou_little_maid:wchess
touhou_little_maid:altar_recipe/white_fox_scroll | touhou_little_maid:altar_recipe_serializers | c:dyes/white c:gems/diamond minecraft:item minecraft:paper touhou_little_maid:altar_recipe_serializers touhou_little_maid:white_fox_scroll
touhou_little_maid:altar_recipe/wireless_io | touhou_little_maid:altar_recipe_serializers | c:chests/wooden c:ender_pearls minecraft:hopper minecraft:item touhou_little_maid:altar_recipe_serializers touhou_little_maid:wireless_io
touhou_little_maid:chair | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:planks minecraft:wool touhou_little_maid:chair
touhou_little_maid:chair_show | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped minecraft:planks minecraft:wool touhou_little_maid:chair_show
touhou_little_maid:entity_id_copy | minecraft:crafting_shapeless | c:leathers minecraft:crafting_shapeless minecraft:paper touhou_little_maid:entity_id_copy
touhou_little_maid:hakurei_gohei | minecraft:crafting_shaped | c:gems/diamond c:rods/wooden minecraft:crafting_shaped minecraft:paper touhou_little_maid:hakurei_gohei
touhou_little_maid:memorizable_gensokyo | minecraft:crafting_shapeless | c:dyes/red c:dyes/white minecraft:book minecraft:crafting_shapeless neoforge:mod_loaded patchouli:guide_book touhou_little_maid:memorizable_gensokyo
touhou_little_maid:sanae_gohei | minecraft:crafting_shaped | c:gems/diamond c:rods/wooden minecraft:crafting_shaped minecraft:paper touhou_little_maid:sanae_gohei
