createoreexcavation:crushing/redstone_crushing | create:crushing | create:crushing createoreexcavation:raw_redstone minecraft:redstone
createoreexcavation:ore_vein_type/lapis | createoreexcavation:vein | createoreexcavation:vein minecraft:is_overworld minecraft:lapis_lazuli
createoreexcavation:ore_vein_type/nether_gold | createoreexcavation:vein | createoreexcavation:vein minecraft:gold_nugget minecraft:is_nether
createoreexcavation:ore_vein_type/netherite | createoreexcavation:vein | createoreexcavation:vein minecraft:ancient_debris minecraft:is_nether
createoreexcavation:ore_vein_type/quartz | createoreexcavation:vein | createoreexcavation:vein minecraft:is_nether minecraft:quartz
createoreexcavation:ore_vein_type/redstone | createoreexcavation:vein | createoreexcavation:raw_redstone createoreexcavation:vein minecraft:is_overworld
createoreexcavation:ore_vein_type/water | createoreexcavation:vein | createoreexcavation:vein minecraft:is_overworld minecraft:water_bucket
createoreexcavation:ore_vein_type/zinc | createoreexcavation:vein | create:raw_zinc createoreexcavation:vein minecraft:is_overworld
createoreexcavation:sample_drill | create:mechanical_crafting | c:plates/brass create:brass_casing create:electron_tube create:mechanical_crafting create:mechanical_drill create:precision_mechanism create:sturdy_sheet createoreexcavation:sample_drill
createoreexcavation:vein_atlas | minecraft:crafting_shaped | c:chests c:gems/amethyst createoreexcavation:vein_atlas minecraft:crafting_shaped minecraft:map minecraft:writable_book
createoreexcavation:vein_finder | minecraft:crafting_shaped | c:gems/amethyst c:ores/redstone c:rods/wooden createoreexcavation:vein_finder minecraft:crafting_shaped minecraft:ender_eye
minecraft:netherite_drill_smithing | minecraft:smithing_transform | createoreexcavation:diamond_drill createoreexcavation:netherite_drill minecraft:netherite_ingot minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform
