railways:benchcart | minecraft:crafting_shapeless | c:workbench minecraft:crafting_shapeless minecraft:minecart railways:benchcart
railways:crafting/palettes/dyeing_1x/brown_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/brown_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/brown_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/brown_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/brown_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/brown_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/brown_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/brown_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/brown_locometal_boiler | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/brown_locometal_pillar | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/brown_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/brown_plated_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/brown_riveted_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/brown_slashed_locometal | minecraft:crafting_shapeless | c:dyes/brown minecraft:crafting_shapeless railways:brown_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/cyan_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/cyan_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/cyan_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/cyan_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/cyan_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/cyan_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/cyan_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/cyan_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/cyan_locometal_boiler | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/cyan_locometal_pillar | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/cyan_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/cyan_plated_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/cyan_riveted_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/cyan_slashed_locometal | minecraft:crafting_shapeless | c:dyes/cyan minecraft:crafting_shapeless railways:cyan_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/gray_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/gray_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/gray_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/gray_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/gray_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/gray_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/gray_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/gray_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/gray_locometal_boiler | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/gray_locometal_pillar | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/gray_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/gray_plated_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/gray_riveted_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/gray_slashed_locometal | minecraft:crafting_shapeless | c:dyes/gray minecraft:crafting_shapeless railways:gray_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/green_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/green_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/green_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/green_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/green_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/green_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/green_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/green_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/green_locometal_boiler | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/green_locometal_pillar | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/green_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/green_plated_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/green_riveted_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/green_slashed_locometal | minecraft:crafting_shapeless | c:dyes/green minecraft:crafting_shapeless railways:green_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/light_blue_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/light_blue_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/light_blue_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/light_blue_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/light_blue_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/light_blue_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/light_blue_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/light_blue_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/light_blue_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/light_blue_locometal_pillar | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/light_blue_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/light_blue_plated_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/light_blue_riveted_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/light_blue_slashed_locometal | minecraft:crafting_shapeless | c:dyes/light_blue minecraft:crafting_shapeless railways:light_blue_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/light_gray_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/light_gray_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/light_gray_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/light_gray_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/light_gray_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/light_gray_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/light_gray_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/light_gray_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/light_gray_locometal_boiler | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/light_gray_locometal_pillar | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/light_gray_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/light_gray_plated_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/light_gray_riveted_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_riveted_locometal railways:palettes/dye_groups/riveted
railways:crafting/palettes/dyeing_1x/light_gray_slashed_locometal | minecraft:crafting_shapeless | c:dyes/light_gray minecraft:crafting_shapeless railways:light_gray_slashed_locometal railways:palettes/dye_groups/slashed
railways:crafting/palettes/dyeing_1x/lime_brass_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_brass_wrapped_locometal railways:palettes/dye_groups/brass_wrapped_slashed
railways:crafting/palettes/dyeing_1x/lime_brass_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_brass_wrapped_locometal_boiler railways:palettes/dye_groups/brass_wrapped_boiler
railways:crafting/palettes/dyeing_1x/lime_copper_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_copper_wrapped_locometal railways:palettes/dye_groups/copper_wrapped_slashed
railways:crafting/palettes/dyeing_1x/lime_copper_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_copper_wrapped_locometal_boiler railways:palettes/dye_groups/copper_wrapped_boiler
railways:crafting/palettes/dyeing_1x/lime_flat_riveted_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_flat_riveted_locometal railways:palettes/dye_groups/flat_riveted
railways:crafting/palettes/dyeing_1x/lime_flat_slashed_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_flat_slashed_locometal railways:palettes/dye_groups/flat_slashed
railways:crafting/palettes/dyeing_1x/lime_iron_wrapped_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_iron_wrapped_locometal railways:palettes/dye_groups/iron_wrapped_slashed
railways:crafting/palettes/dyeing_1x/lime_iron_wrapped_locometal_boiler | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_iron_wrapped_locometal_boiler railways:palettes/dye_groups/iron_wrapped_boiler
railways:crafting/palettes/dyeing_1x/lime_locometal_boiler | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_locometal_boiler railways:palettes/dye_groups/boiler
railways:crafting/palettes/dyeing_1x/lime_locometal_pillar | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_locometal_pillar railways:palettes/dye_groups/pillar
railways:crafting/palettes/dyeing_1x/lime_locometal_smokebox | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_locometal_smokebox railways:palettes/dye_groups/smokebox
railways:crafting/palettes/dyeing_1x/lime_plated_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_plated_locometal railways:palettes/dye_groups/plated
railways:crafting/palettes/dyeing_1x/lime_riveted_locometal | minecraft:crafting_shapeless | c:dyes/lime minecraft:crafting_shapeless railways:lime_riveted_locometal railways:palettes/dye_groups/riveted
