travelersbackpack:backpack_tank | minecraft:crafting_shaped | c:glass_blocks/colorless c:ingots/iron minecraft:crafting_shaped travelersbackpack:backpack_tank
travelersbackpack:coal_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:coal
travelersbackpack:cow | travelersbackpack:backpack_shaped | c:leathers minecraft:beef minecraft:milk_bucket travelersbackpack:backpack_shaped travelersbackpack:cow travelersbackpack:standard
travelersbackpack:cow_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:cow
travelersbackpack:crafting_upgrade | minecraft:crafting_shaped | c:chests/wooden c:player_workstations/crafting_tables minecraft:crafting_shaped travelersbackpack:blank_upgrade travelersbackpack:crafting_upgrade
travelersbackpack:creeper | travelersbackpack:backpack_shaped | minecraft:creeper_head minecraft:gunpowder minecraft:tnt travelersbackpack:backpack_shaped travelersbackpack:creeper travelersbackpack:standard
travelersbackpack:creeper_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:creeper
travelersbackpack:cyan_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_wool minecraft:white_wool travelersbackpack:cyan_sleeping_bag
travelersbackpack:diamond | travelersbackpack:backpack_shaped | c:gems/diamond travelersbackpack:backpack_shaped travelersbackpack:diamond travelersbackpack:standard
travelersbackpack:diamond_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:diamond
travelersbackpack:diamond_tier_upgrade | travelersbackpack:backpack_shaped | c:gems/diamond travelersbackpack:backpack_shaped travelersbackpack:blank_upgrade travelersbackpack:diamond_tier_upgrade
travelersbackpack:dragon | travelersbackpack:backpack_shaped | c:end_stones c:ender_pearls minecraft:dragon_breath minecraft:dragon_head travelersbackpack:backpack_shaped travelersbackpack:dragon travelersbackpack:standard
travelersbackpack:dragon_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:dragon
travelersbackpack:dye_black_sleeping_bag | minecraft:crafting_shapeless | minecraft:black_dye minecraft:crafting_shapeless travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_blue_sleeping_bag | minecraft:crafting_shapeless | minecraft:blue_dye minecraft:crafting_shapeless travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_brown_sleeping_bag | minecraft:crafting_shapeless | minecraft:brown_dye minecraft:crafting_shapeless travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_cyan_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_gray_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_green_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_light_blue_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_light_gray_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_lime_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_magenta_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_orange_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:orange_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_pink_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:pink_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_purple_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:purple_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_red_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_white_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:dye_yellow_sleeping_bag | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye travelersbackpack:black_sleeping_bag travelersbackpack:blue_sleeping_bag travelersbackpack:brown_sleeping_bag travelersbackpack:cyan_sleeping_bag travelersbackpack:gray_sleeping_bag travelersbackpack:green_sleeping_bag travelersbackpack:light_blue_sleeping_bag travelersbackpack:light_gray_sleeping_bag travelersbackpack:lime_sleeping_bag travelersbackpack:magenta_sleeping_bag travelersbackpack:orange_sleeping_bag travelersbackpack:pink_sleeping_bag travelersbackpack:purple_sleeping_bag travelersbackpack:red_sleeping_bag travelersbackpack:white_sleeping_bag travelersbackpack:yellow_sleeping_bag
travelersbackpack:emerald | travelersbackpack:backpack_shaped | c:gems/emerald travelersbackpack:backpack_shaped travelersbackpack:emerald travelersbackpack:standard
travelersbackpack:emerald_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:emerald
travelersbackpack:end | travelersbackpack:backpack_shaped | c:end_stones minecraft:ender_eye travelersbackpack:backpack_shaped travelersbackpack:end travelersbackpack:standard
travelersbackpack:end_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:end
travelersbackpack:enderman | travelersbackpack:backpack_shaped | c:ender_pearls travelersbackpack:backpack_shaped travelersbackpack:enderman travelersbackpack:standard
travelersbackpack:enderman_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:enderman
travelersbackpack:feeding_upgrade | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:golden_apple minecraft:golden_carrot travelersbackpack:blank_upgrade travelersbackpack:feeding_upgrade
travelersbackpack:fox | travelersbackpack:backpack_shaped | minecraft:sweet_berries travelersbackpack:backpack_shaped travelersbackpack:fox travelersbackpack:standard
travelersbackpack:fox_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:fox
travelersbackpack:furnace_upgrade | minecraft:crafting_shaped | c:chests/wooden minecraft:crafting_shaped minecraft:furnace travelersbackpack:blank_upgrade travelersbackpack:furnace_upgrade
travelersbackpack:ghast | travelersbackpack:backpack_shaped | c:gunpowders minecraft:fire_charge minecraft:ghast_tear travelersbackpack:backpack_shaped travelersbackpack:ghast travelersbackpack:standard
travelersbackpack:ghast_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:ghast
travelersbackpack:gold | travelersbackpack:backpack_shaped | c:ingots/gold travelersbackpack:backpack_shaped travelersbackpack:gold travelersbackpack:standard
travelersbackpack:gold_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:gold
travelersbackpack:gold_tier_upgrade | travelersbackpack:backpack_shaped | c:ingots/gold travelersbackpack:backpack_shaped travelersbackpack:blank_upgrade travelersbackpack:gold_tier_upgrade
travelersbackpack:gray_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_wool minecraft:white_wool travelersbackpack:gray_sleeping_bag
travelersbackpack:green_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_wool minecraft:white_wool travelersbackpack:green_sleeping_bag
travelersbackpack:hay | travelersbackpack:backpack_shaped | c:crops/wheat travelersbackpack:backpack_shaped travelersbackpack:hay travelersbackpack:standard
travelersbackpack:hay_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:hay
travelersbackpack:horse | travelersbackpack:backpack_shaped | c:crops/wheat c:leathers minecraft:apple travelersbackpack:backpack_shaped travelersbackpack:horse travelersbackpack:standard
travelersbackpack:horse_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:horse
travelersbackpack:hose | minecraft:crafting_shaped | c:dyes/green minecraft:crafting_shaped travelersbackpack:hose travelersbackpack:hose_nozzle
travelersbackpack:hose_nozzle | minecraft:crafting_shaped | c:ingots/gold c:ingots/iron minecraft:crafting_shaped travelersbackpack:hose_nozzle
travelersbackpack:iron | travelersbackpack:backpack_shaped | c:ingots/iron travelersbackpack:backpack_shaped travelersbackpack:iron travelersbackpack:standard
travelersbackpack:iron_golem_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:iron_golem
travelersbackpack:iron_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:iron
travelersbackpack:iron_tier_upgrade | travelersbackpack:backpack_shaped | c:ingots/iron travelersbackpack:backpack_shaped travelersbackpack:blank_upgrade travelersbackpack:iron_tier_upgrade
travelersbackpack:jukebox_upgrade | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:jukebox travelersbackpack:blank_upgrade travelersbackpack:jukebox_upgrade
travelersbackpack:lapis | travelersbackpack:backpack_shaped | c:gems/lapis c:storage_blocks/lapis travelersbackpack:backpack_shaped travelersbackpack:lapis travelersbackpack:standard
travelersbackpack:lapis_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:lapis
travelersbackpack:light_blue_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_wool minecraft:white_wool travelersbackpack:light_blue_sleeping_bag
travelersbackpack:light_gray_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_wool minecraft:white_wool travelersbackpack:light_gray_sleeping_bag
travelersbackpack:lime_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_wool minecraft:white_wool travelersbackpack:lime_sleeping_bag
travelersbackpack:magenta_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_wool minecraft:white_wool travelersbackpack:magenta_sleeping_bag
travelersbackpack:magma_cube | travelersbackpack:backpack_shaped | minecraft:lava_bucket minecraft:magma_cream travelersbackpack:backpack_shaped travelersbackpack:magma_cube travelersbackpack:standard
travelersbackpack:magma_cube_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:magma_cube
travelersbackpack:magnet_upgrade | minecraft:crafting_shaped | c:dusts/redstone c:ender_pearls c:gems/lapis c:ingots/iron minecraft:crafting_shaped travelersbackpack:blank_upgrade travelersbackpack:magnet_upgrade
travelersbackpack:melon | travelersbackpack:backpack_shaped | minecraft:melon_seeds minecraft:melon_slice travelersbackpack:backpack_shaped travelersbackpack:melon travelersbackpack:standard
travelersbackpack:melon_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:melon
travelersbackpack:nether | travelersbackpack:backpack_shaped | c:crops/nether_wart c:gems/quartz c:netherracks minecraft:blackstone minecraft:lava_bucket travelersbackpack:backpack_shaped travelersbackpack:nether travelersbackpack:standard
travelersbackpack:nether_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:nether
travelersbackpack:netherite | minecraft:smithing_transform | c:ingots/netherite minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform travelersbackpack:diamond travelersbackpack:netherite
travelersbackpack:netherite_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:netherite
travelersbackpack:netherite_tier_upgrade | minecraft:smithing_transform | c:ingots/netherite minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform travelersbackpack:blank_upgrade travelersbackpack:netherite_tier_upgrade
travelersbackpack:ocelot | travelersbackpack:backpack_shaped | minecraft:cod travelersbackpack:backpack_shaped travelersbackpack:ocelot travelersbackpack:standard
travelersbackpack:ocelot_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:ocelot
travelersbackpack:orange_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_wool minecraft:white_wool travelersbackpack:orange_sleeping_bag
travelersbackpack:pickup_upgrade | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:hopper travelersbackpack:blank_upgrade travelersbackpack:pickup_upgrade
travelersbackpack:pig | travelersbackpack:backpack_shaped | c:crops/carrot minecraft:porkchop travelersbackpack:backpack_shaped travelersbackpack:pig travelersbackpack:standard
travelersbackpack:pig_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:pig
travelersbackpack:pink_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_wool minecraft:white_wool travelersbackpack:pink_sleeping_bag
travelersbackpack:pumpkin | travelersbackpack:backpack_shaped | c:seeds/pumpkin minecraft:carved_pumpkin minecraft:pumpkin travelersbackpack:backpack_shaped travelersbackpack:pumpkin travelersbackpack:standard
travelersbackpack:pumpkin_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:pumpkin
travelersbackpack:purple_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_wool minecraft:white_wool travelersbackpack:purple_sleeping_bag
travelersbackpack:quartz | travelersbackpack:backpack_shaped | c:gems/quartz minecraft:quartz_block travelersbackpack:backpack_shaped travelersbackpack:quartz travelersbackpack:standard
travelersbackpack:quartz_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:quartz
travelersbackpack:red_sleeping_bag | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_wool minecraft:white_wool travelersbackpack:red_sleeping_bag
travelersbackpack:redstone | travelersbackpack:backpack_shaped | c:dusts/redstone travelersbackpack:backpack_shaped travelersbackpack:redstone travelersbackpack:standard
travelersbackpack:redstone_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:redstone
travelersbackpack:refill_upgrade | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped minecraft:dropper travelersbackpack:blank_upgrade travelersbackpack:refill_upgrade
travelersbackpack:sandstone | travelersbackpack:backpack_shaped | minecraft:chiseled_sandstone minecraft:sandstone travelersbackpack:backpack_shaped travelersbackpack:sandstone travelersbackpack:standard
travelersbackpack:sandstone_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:sandstone
travelersbackpack:sheep | travelersbackpack:backpack_shaped | minecraft:mutton minecraft:white_wool travelersbackpack:backpack_shaped travelersbackpack:sheep travelersbackpack:standard
travelersbackpack:sheep_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:sheep
travelersbackpack:skeleton | travelersbackpack:backpack_shaped | minecraft:arrow minecraft:bone minecraft:bow travelersbackpack:backpack_shaped travelersbackpack:skeleton travelersbackpack:standard
travelersbackpack:skeleton_smithing | travelersbackpack:backpack_upgrade | c:leathers travelersbackpack:backpack_upgrade travelersbackpack:backpack_upgrades travelersbackpack:skeleton
