mffs:anti_friendly_module | minecraft:crafting_shaped | c:leathers c:slimeballs mffs:anti_friendly_module mffs:focus_matrix minecraft:cooked_porkchop minecraft:crafting_shaped minecraft:wool
mffs:rotation_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:rotation_module minecraft:crafting_shaped
mffs:scale_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:scale_module minecraft:crafting_shaped
mffs:shock_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:shock_module minecraft:crafting_shaped minecraft:diamond
mffs:silence_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:silence_module minecraft:crafting_shaped minecraft:note_block
mffs:speed_module | minecraft:crafting_shaped | c:dusts/redstone mffs:focus_matrix mffs:speed_module minecraft:crafting_shaped
mffs:sphere_mode | minecraft:crafting_shaped | mffs:focus_matrix mffs:sphere_mode minecraft:crafting_shaped
mffs:sponge_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:sponge_module minecraft:crafting_shaped minecraft:sponge
mffs:stabilization_module | minecraft:crafting_shaped | c:gems/diamond mffs:focus_matrix mffs:stabilization_module minecraft:crafting_shaped minecraft:diamond_axe minecraft:diamond_pickaxe minecraft:diamond_shovel
mffs:steel_compound | minecraft:crafting_shaped | c:ingots/iron mffs:steel_compound minecraft:coals minecraft:crafting_shaped
mffs:steel_ingot | minecraft:smelting | mffs:steel_compound mffs:steel_ingot minecraft:smelting
mffs:translation_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:scale_module mffs:translation_module minecraft:crafting_shaped
mffs:tube_mode | minecraft:crafting_shaped | mffs:focus_matrix mffs:tube_mode minecraft:crafting_shaped
mffs:warn_module | minecraft:crafting_shaped | mffs:focus_matrix mffs:warn_module minecraft:crafting_shaped minecraft:note_block
mffs:handbook | patchouli:shapeless_book_recipe | forge:ingots/iron mffs:handbook minecraft:book neoforge:mod_loaded patchouli:shapeless_book_recipe
