securitycraft:acacia_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:acacia_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_acacia_planks securitycraft:security_sea_boats
securitycraft:crystal_quartz_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:crystal_quartz securitycraft:crystal_quartz_pillar
securitycraft:crystal_quartz_pillar_from_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:crystal_quartz securitycraft:crystal_quartz_pillar
securitycraft:crystal_quartz_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:chiseled_crystal_quartz securitycraft:crystal_quartz securitycraft:crystal_quartz_pillar securitycraft:crystal_quartz_slab
securitycraft:crystal_quartz_slab_from_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:crystal_quartz securitycraft:crystal_quartz_slab
securitycraft:crystal_quartz_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:chiseled_crystal_quartz securitycraft:crystal_quartz securitycraft:crystal_quartz_pillar securitycraft:crystal_quartz_stairs
securitycraft:crystal_quartz_stairs_from_crystal_quartz_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:crystal_quartz securitycraft:crystal_quartz_stairs
securitycraft:cyan_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_cyan_stained_glass_pane
securitycraft:dark_oak_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:dark_oak_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_dark_oak_planks securitycraft:security_sea_boats
securitycraft:deepslate_coal_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_coal_ore securitycraft:block_mines securitycraft:deepslate_coal_mine securitycraft:mine
securitycraft:deepslate_copper_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_copper_ore securitycraft:block_mines securitycraft:deepslate_copper_mine securitycraft:mine
securitycraft:deepslate_diamond_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_diamond_ore securitycraft:block_mines securitycraft:deepslate_diamond_mine securitycraft:mine
securitycraft:deepslate_emerald_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_emerald_ore securitycraft:block_mines securitycraft:deepslate_emerald_mine securitycraft:mine
securitycraft:deepslate_gold_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_gold_ore securitycraft:block_mines securitycraft:deepslate_gold_mine securitycraft:mine
securitycraft:deepslate_iron_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_iron_ore securitycraft:block_mines securitycraft:deepslate_iron_mine securitycraft:mine
securitycraft:deepslate_lapis_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_lapis_ore securitycraft:block_mines securitycraft:deepslate_lapis_mine securitycraft:mine
securitycraft:deepslate_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate securitycraft:block_mines securitycraft:deepslate_mine securitycraft:mine
securitycraft:deepslate_redstone_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:deepslate_redstone_ore securitycraft:block_mines securitycraft:deepslate_redstone_mine securitycraft:mine
securitycraft:diamond_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:diamond_ore securitycraft:block_mines securitycraft:diamond_mine securitycraft:mine
securitycraft:dirt_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dirt securitycraft:block_mines securitycraft:dirt_mine securitycraft:mine
securitycraft:disguise_module | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:painting minecraft:paper securitycraft:disguise_module securitycraft:modules
securitycraft:display_case | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:item_frame securitycraft:display_case securitycraft:reinforced_glass_pane
securitycraft:door_indestructible_iron_item | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:iron_door securitycraft:door_indestructible_iron_item
securitycraft:electrified_iron_fence | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped securitycraft:electrified_iron_fence securitycraft:reinforced/wooden_fences
securitycraft:emerald_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:emerald_ore securitycraft:block_mines securitycraft:emerald_mine securitycraft:mine
securitycraft:end_stone_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:end_stone securitycraft:block_mines securitycraft:end_stone_mine securitycraft:mine
securitycraft:floor_trap | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped securitycraft:floor_trap securitycraft:reinforced/stone_pressure_plates securitycraft:reinforced_piston
securitycraft:furnace_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:furnace securitycraft:block_mines securitycraft:furnace_mine securitycraft:mine
securitycraft:gilded_blackstone_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gilded_blackstone securitycraft:block_mines securitycraft:gilded_blackstone_mine securitycraft:mine
securitycraft:glow_display_case | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:glow_item_frame securitycraft:glow_display_case securitycraft:reinforced_glass_pane
securitycraft:gold_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gold_ore securitycraft:block_mines securitycraft:gold_mine securitycraft:mine
securitycraft:gravel_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gravel securitycraft:block_mines securitycraft:gravel_mine securitycraft:mine
securitycraft:gray_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_gray_stained_glass_pane
securitycraft:green_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_green_stained_glass_pane
securitycraft:harming_module | minecraft:crafting_shaped | c:ingots/iron minecraft:arrows minecraft:crafting_shaped minecraft:paper securitycraft:harming_module securitycraft:modules
securitycraft:ims | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:bouncing_betty securitycraft:ims securitycraft:portable_radar securitycraft:reinforced_iron_block
securitycraft:incognito_mask | minecraft:crafting_shaped | c:leathers c:strings minecraft:crafting_shaped securitycraft:incognito_mask
securitycraft:inventory_scanner | minecraft:crafting_shaped | c:chests/ender minecraft:crafting_shaped securitycraft:inventory_scanner securitycraft:laser_block securitycraft:reinforced/stone_crafting_materials
securitycraft:iron_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:iron_ore securitycraft:block_mines securitycraft:iron_mine securitycraft:mine
securitycraft:jungle_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:jungle_security_sea_boat securitycraft:keypad_chest securitycraft:reinforced_jungle_planks securitycraft:security_sea_boats
securitycraft:keycard_holder | minecraft:crafting_shaped | c:ingots/iron c:leathers minecraft:crafting_shaped securitycraft:keycard_holder securitycraft:reinforced_hopper
securitycraft:keycard_lock | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped securitycraft:keycard_lock securitycraft:reinforced/stone_crafting_materials securitycraft:reinforced_blackstone_slab securitycraft:reinforced_cobbled_deepslate_slab securitycraft:reinforced_cobblestone_slab
securitycraft:keycard_lv1 | minecraft:crafting_shaped | c:ingots/gold c:ingots/iron minecraft:crafting_shaped securitycraft:keycard_lv1 securitycraft:keycards
securitycraft:keycard_lv1_reset | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:keycard_lv1
securitycraft:keycard_lv2 | minecraft:crafting_shaped | c:bricks/normal c:ingots/iron minecraft:crafting_shaped securitycraft:keycard_lv2 securitycraft:keycards
securitycraft:keycard_lv2_reset | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:keycard_lv2
securitycraft:keycard_lv3 | minecraft:crafting_shaped | c:bricks/nether c:ingots/iron minecraft:crafting_shaped securitycraft:keycard_lv3 securitycraft:keycards
securitycraft:keycard_lv3_reset | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:keycard_lv3
securitycraft:keycard_lv4 | minecraft:crafting_shaped | c:dyes/magenta c:ingots/iron minecraft:crafting_shaped securitycraft:keycard_lv4 securitycraft:keycards
securitycraft:keycard_lv4_reset | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:keycard_lv4
securitycraft:keycard_lv5 | minecraft:crafting_shaped | c:dyes/purple c:ingots/iron minecraft:crafting_shaped securitycraft:keycard_lv5 securitycraft:keycards
securitycraft:keycard_lv5_reset | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:keycard_lv5
securitycraft:keycard_reader | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped securitycraft:keycard_reader securitycraft:reinforced/stone_crafting_materials securitycraft:reinforced_blackstone_slab securitycraft:reinforced_cobbled_deepslate_slab securitycraft:reinforced_cobblestone_slab securitycraft:reinforced_hopper
securitycraft:keypad_door_item | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:door_indestructible_iron_item securitycraft:keypad securitycraft:keypad_door_item
securitycraft:keypad_frame | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped securitycraft:keypad_frame
securitycraft:keypad_item | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:heavy_weighted_pressure_plate securitycraft:keypad_item securitycraft:reinforced_stone_button
securitycraft:lapis_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lapis_ore securitycraft:block_mines securitycraft:lapis_mine securitycraft:mine
securitycraft:laser_block | minecraft:crafting_shaped | c:glass_panes/colorless c:storage_blocks/redstone minecraft:crafting_shaped minecraft:stone_crafting_materials securitycraft:laser_block
securitycraft:lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_glass_pane
securitycraft:light_blue_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_light_blue_stained_glass_pane
securitycraft:light_gray_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_light_gray_stained_glass_pane
securitycraft:lime_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_lime_stained_glass_pane
securitycraft:limited_use_keycard | minecraft:crafting_shaped | c:gems/lapis c:ingots/iron minecraft:crafting_shaped securitycraft:keycards securitycraft:limited_use_keycard
securitycraft:limited_use_keycards | securitycraft:limited_use_keycard_recipe | securitycraft:limited_use_keycard_recipe
securitycraft:magenta_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_magenta_stained_glass_pane
securitycraft:mangrove_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:keypad_chest securitycraft:mangrove_security_sea_boat securitycraft:reinforced_mangrove_planks securitycraft:security_sea_boats
securitycraft:mine | minecraft:crafting_shaped | c:gunpowders c:ingots/iron minecraft:crafting_shaped securitycraft:mine
securitycraft:motion_activated_light | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:redstone_lamp securitycraft:motion_activated_light securitycraft:portable_radar
securitycraft:nether_gold_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:nether_gold_ore securitycraft:block_mines securitycraft:mine securitycraft:nether_gold_mine
securitycraft:netherrack_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:netherrack securitycraft:block_mines securitycraft:mine securitycraft:netherrack_mine
securitycraft:oak_security_sea_boat | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:keypad_chest securitycraft:oak_security_sea_boat securitycraft:reinforced_oak_planks securitycraft:security_sea_boats
securitycraft:orange_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_orange_stained_glass_pane
securitycraft:panic_button | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped securitycraft:panic_button securitycraft:reinforced_stone_button
securitycraft:pink_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_pink_stained_glass_pane
securitycraft:portable_radar | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped minecraft:redstone_torch securitycraft:portable_radar
securitycraft:portable_tune_player | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped minecraft:note_block securitycraft:portable_tune_player
securitycraft:projector | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped securitycraft:projector securitycraft:reinforced_glass_pane securitycraft:reinforced_iron_block securitycraft:reinforced_redstone_lamp
securitycraft:protecto | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:daylight_detector minecraft:ender_eye securitycraft:protecto securitycraft:reinforced_obsidian
securitycraft:purple_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_purple_stained_glass_pane
securitycraft:quartz_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:nether_quartz_ore securitycraft:block_mines securitycraft:mine securitycraft:quartz_mine
securitycraft:red_lens | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:lens securitycraft:reinforced_red_stained_glass_pane
securitycraft:redstone_mine | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:redstone_ore securitycraft:block_mines securitycraft:mine securitycraft:redstone_mine
securitycraft:redstone_module | minecraft:crafting_shaped | c:dusts/redstone c:ingots/iron minecraft:crafting_shaped minecraft:paper securitycraft:modules securitycraft:redstone_module
securitycraft:reinforced_acacia_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced_acacia_button securitycraft:reinforced_acacia_planks securitycraft:wooden_buttons
securitycraft:reinforced_acacia_fence | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_acacia_fence securitycraft:reinforced_acacia_planks securitycraft:reinforced_fences
securitycraft:reinforced_acacia_fence_gate | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_acacia_fence_gate securitycraft:reinforced_acacia_planks securitycraft:reinforced_fence_gates
securitycraft:reinforced_acacia_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced/acacia_logs securitycraft:reinforced_acacia_planks securitycraft:reinforced_planks
securitycraft:reinforced_acacia_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_acacia_planks securitycraft:reinforced_acacia_pressure_plate securitycraft:wooden_pressure_plates
securitycraft:reinforced_acacia_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_acacia_planks securitycraft:reinforced_acacia_slab securitycraft:wooden_slab
securitycraft:reinforced_acacia_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_acacia_planks securitycraft:reinforced_acacia_stairs securitycraft:wooden_stairs
securitycraft:reinforced_acacia_wood | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:bark securitycraft:reinforced_acacia_log securitycraft:reinforced_acacia_wood
securitycraft:reinforced_andesite | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced_andesite securitycraft:reinforced_cobblestone securitycraft:reinforced_diorite
securitycraft:reinforced_andesite_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_andesite securitycraft:reinforced_andesite_slab
securitycraft:reinforced_andesite_slab_from_reinforced_andesite_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_andesite securitycraft:reinforced_andesite_slab
securitycraft:reinforced_andesite_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_andesite securitycraft:reinforced_andesite_stairs
securitycraft:reinforced_andesite_stairs_from_reinforced_andesite_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_andesite securitycraft:reinforced_andesite_stairs
securitycraft:reinforced_andesite_wall | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_andesite securitycraft:reinforced_andesite_wall
securitycraft:reinforced_andesite_wall_from_reinforced_andesite_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_andesite securitycraft:reinforced_andesite_wall
securitycraft:reinforced_andesite_with_vanilla_cobblestone | minecraft:crafting_shapeless | minecraft:cobblestone minecraft:crafting_shapeless securitycraft:reinforced_andesite securitycraft:reinforced_diorite
securitycraft:reinforced_andesite_with_vanilla_diorite | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:diorite securitycraft:reinforced_andesite securitycraft:reinforced_cobblestone
securitycraft:reinforced_bamboo_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced_bamboo_button securitycraft:reinforced_bamboo_planks securitycraft:wooden_buttons
securitycraft:reinforced_bamboo_fence | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_bamboo_fence securitycraft:reinforced_bamboo_planks securitycraft:reinforced_fences
securitycraft:reinforced_bamboo_fence_gate | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_bamboo_fence_gate securitycraft:reinforced_bamboo_planks securitycraft:reinforced_fence_gates
securitycraft:reinforced_bamboo_mosaic | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_bamboo_mosaic securitycraft:reinforced_bamboo_mosaic_slab
securitycraft:reinforced_bamboo_mosaic_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_bamboo_mosaic securitycraft:reinforced_bamboo_mosaic_slab
securitycraft:reinforced_bamboo_mosaic_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_bamboo_mosaic securitycraft:reinforced_bamboo_mosaic_stairs
securitycraft:reinforced_bamboo_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced/bamboo_blocks securitycraft:reinforced_bamboo_planks securitycraft:reinforced_planks
securitycraft:reinforced_bamboo_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_bamboo_planks securitycraft:reinforced_bamboo_pressure_plate securitycraft:wooden_pressure_plates
securitycraft:reinforced_bamboo_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_bamboo_planks securitycraft:reinforced_bamboo_slab securitycraft:wooden_slab
securitycraft:reinforced_bamboo_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_bamboo_planks securitycraft:reinforced_bamboo_stairs securitycraft:wooden_stairs
securitycraft:reinforced_birch_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced_birch_button securitycraft:reinforced_birch_planks securitycraft:wooden_buttons
securitycraft:reinforced_birch_fence | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_birch_fence securitycraft:reinforced_birch_planks securitycraft:reinforced_fences
securitycraft:reinforced_birch_fence_gate | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped securitycraft:reinforced_birch_fence_gate securitycraft:reinforced_birch_planks securitycraft:reinforced_fence_gates
securitycraft:reinforced_birch_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless securitycraft:reinforced/birch_logs securitycraft:reinforced_birch_planks securitycraft:reinforced_planks
securitycraft:reinforced_birch_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_birch_planks securitycraft:reinforced_birch_pressure_plate securitycraft:wooden_pressure_plates
securitycraft:reinforced_birch_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_birch_planks securitycraft:reinforced_birch_slab securitycraft:wooden_slab
securitycraft:reinforced_birch_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_birch_planks securitycraft:reinforced_birch_stairs securitycraft:wooden_stairs
securitycraft:reinforced_birch_wood | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:bark securitycraft:reinforced_birch_log securitycraft:reinforced_birch_wood
securitycraft:reinforced_black_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_black_carpet securitycraft:reinforced_black_wool securitycraft:reinforced_carpets
securitycraft:reinforced_black_carpet_from_dye | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless securitycraft:reinforced/wool_carpets securitycraft:reinforced_black_carpet securitycraft:reinforced_carpets
securitycraft:reinforced_black_glazed_terracotta | minecraft:smelting | minecraft:smelting securitycraft:reinforced_black_glazed_terracotta securitycraft:reinforced_black_terracotta
securitycraft:reinforced_black_stained_glass | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped securitycraft:reinforced_black_stained_glass securitycraft:reinforced_glass
securitycraft:reinforced_black_stained_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_black_stained_glass securitycraft:reinforced_black_stained_glass_pane securitycraft:reinforced_glass_panes
securitycraft:reinforced_black_stained_glass_pane_from_dye | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped securitycraft:reinforced_black_stained_glass_pane securitycraft:reinforced_glass_pane securitycraft:reinforced_glass_panes
securitycraft:reinforced_black_terracotta | minecraft:crafting_shaped | c:dyes/black minecraft:crafting_shaped securitycraft:reinforced_black_terracotta securitycraft:reinforced_hardened_clay securitycraft:reinforced_terracotta
securitycraft:reinforced_black_wool | minecraft:crafting_shapeless | c:dyes/black minecraft:crafting_shapeless securitycraft:reinforced/wool securitycraft:reinforced_black_wool securitycraft:reinforced_wool
securitycraft:reinforced_blackstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_blackstone securitycraft:reinforced_blackstone_slab
securitycraft:reinforced_blackstone_slab_from_reinforced_blackstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting securitycraft:reinforced_blackstone securitycraft:reinforced_blackstone_slab
securitycraft:reinforced_blackstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped securitycraft:reinforced_blackstone securitycraft:reinforced_blackstone_stairs
