create_dragons_plus:crafting/blaze_upgrade_smithing_template | minecraft:crafting_shaped | create_dragons_plus:blaze_upgrade_smithing_template create_dragons_plus:config_feature create_dragons_plus:item/blaze_upgrade_smithing_template minecraft:blaze_rod minecraft:crafting_shaped minecraft:netherrack
create_dragons_plus:mixing/arts_and_crafts_bleached_dye_from_item | create:mixing | create:mixing create_dragons_plus:arts_and_crafts_bleached_dye create_dragons_plus:config_feature create_dragons_plus:dyes/arts_and_crafts/bleached create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/black_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:black_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:black_dye neoforge:single
create_dragons_plus:mixing/black_dye_from_item | create:mixing | create:mixing create_dragons_plus:black_dye create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/black create_dragons_plus:fluid/dye minecraft:water neoforge:single
create_dragons_plus:mixing/blue_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:blue_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:blue_dye neoforge:single
create_dragons_plus:mixing/blue_dye_from_item | create:mixing | create:mixing create_dragons_plus:blue_dye create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/blue create_dragons_plus:fluid/dye minecraft:water neoforge:single
create_dragons_plus:mixing/brown_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:brown_dye create_dragons_plus:config_feature create_dragons_plus:fluid/dye minecraft:brown_dye neoforge:single
create_dragons_plus:mixing/brown_dye_from_item | create:mixing | create:mixing create_dragons_plus:brown_dye create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/brown create_dragons_plus:fluid/dye minecraft:water neoforge:single
create_dragons_plus:mixing/cyan_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:cyan_dye create_dragons_plus:fluid/dye minecraft:cyan_dye neoforge:single
create_dragons_plus:mixing/cyan_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:cyan_dye create_dragons_plus:dyes/minecraft/cyan create_dragons_plus:fluid/dye minecraft:water neoforge:single
create_dragons_plus:mixing/dye_depot_amber_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_amber_dye create_dragons_plus:fluid/dye dye_depot:amber_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_amber_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_amber_dye create_dragons_plus:dyes/dye_depot/amber create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_aqua_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_aqua_dye create_dragons_plus:fluid/dye dye_depot:aqua_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_aqua_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_aqua_dye create_dragons_plus:dyes/dye_depot/aqua create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_beige_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_beige_dye create_dragons_plus:fluid/dye dye_depot:beige_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_beige_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_beige_dye create_dragons_plus:dyes/dye_depot/beige create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_coral_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_coral_dye create_dragons_plus:fluid/dye dye_depot:coral_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_coral_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_coral_dye create_dragons_plus:dyes/dye_depot/coral create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_forest_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_forest_dye create_dragons_plus:fluid/dye dye_depot:forest_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_forest_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_forest_dye create_dragons_plus:dyes/dye_depot/forest create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_ginger_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_ginger_dye create_dragons_plus:fluid/dye dye_depot:ginger_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_ginger_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_ginger_dye create_dragons_plus:dyes/dye_depot/ginger create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_indigo_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_indigo_dye create_dragons_plus:fluid/dye dye_depot:indigo_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_indigo_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_indigo_dye create_dragons_plus:dyes/dye_depot/indigo create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_maroon_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_maroon_dye create_dragons_plus:fluid/dye dye_depot:maroon_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_maroon_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_maroon_dye create_dragons_plus:dyes/dye_depot/maroon create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_mint_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_mint_dye create_dragons_plus:fluid/dye dye_depot:mint_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_mint_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_mint_dye create_dragons_plus:dyes/dye_depot/mint create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_navy_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_navy_dye create_dragons_plus:fluid/dye dye_depot:navy_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_navy_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_navy_dye create_dragons_plus:dyes/dye_depot/navy create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_olive_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_olive_dye create_dragons_plus:fluid/dye dye_depot:olive_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_olive_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_olive_dye create_dragons_plus:dyes/dye_depot/olive create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_rose_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_rose_dye create_dragons_plus:fluid/dye dye_depot:rose_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_rose_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_rose_dye create_dragons_plus:dyes/dye_depot/rose create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_slate_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_slate_dye create_dragons_plus:fluid/dye dye_depot:slate_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_slate_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_slate_dye create_dragons_plus:dyes/dye_depot/slate create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_tan_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_tan_dye create_dragons_plus:fluid/dye dye_depot:tan_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_tan_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_tan_dye create_dragons_plus:dyes/dye_depot/tan create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_teal_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_teal_dye create_dragons_plus:fluid/dye dye_depot:teal_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_teal_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_teal_dye create_dragons_plus:dyes/dye_depot/teal create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_verdant_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_verdant_dye create_dragons_plus:fluid/dye dye_depot:verdant_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dye_depot_verdant_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dye_depot_verdant_dye create_dragons_plus:dyes/dye_depot/verdant create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_amber_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_amber_dye create_dragons_plus:fluid/dye dyenamics:amber_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_amber_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_amber_dye create_dragons_plus:dyes/dyenamics/amber create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_aquamarine_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_aquamarine_dye create_dragons_plus:fluid/dye dyenamics:aquamarine_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_aquamarine_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_aquamarine_dye create_dragons_plus:dyes/dyenamics/aquamarine create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_bubblegum_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_bubblegum_dye create_dragons_plus:fluid/dye dyenamics:bubblegum_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_bubblegum_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_bubblegum_dye create_dragons_plus:dyes/dyenamics/bubblegum create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_cherenkov_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_cherenkov_dye create_dragons_plus:fluid/dye dyenamics:cherenkov_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_cherenkov_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_cherenkov_dye create_dragons_plus:dyes/dyenamics/cherenkov create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_conifer_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_conifer_dye create_dragons_plus:fluid/dye dyenamics:conifer_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_conifer_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_conifer_dye create_dragons_plus:dyes/dyenamics/conifer create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_fluorescent_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_fluorescent_dye create_dragons_plus:fluid/dye dyenamics:fluorescent_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_fluorescent_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_fluorescent_dye create_dragons_plus:dyes/dyenamics/fluorescent create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_honey_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_honey_dye create_dragons_plus:fluid/dye dyenamics:honey_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_honey_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_honey_dye create_dragons_plus:dyes/dyenamics/honey create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_icy_blue_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_icy_blue_dye create_dragons_plus:fluid/dye dyenamics:icy_blue_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_icy_blue_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_icy_blue_dye create_dragons_plus:dyes/dyenamics/icy_blue create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_lavender_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_lavender_dye create_dragons_plus:fluid/dye dyenamics:lavender_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_lavender_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_lavender_dye create_dragons_plus:dyes/dyenamics/lavender create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_maroon_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_maroon_dye create_dragons_plus:fluid/dye dyenamics:maroon_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_maroon_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_maroon_dye create_dragons_plus:dyes/dyenamics/maroon create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_mint_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_mint_dye create_dragons_plus:fluid/dye dyenamics:mint_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_mint_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_mint_dye create_dragons_plus:dyes/dyenamics/mint create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_navy_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_navy_dye create_dragons_plus:fluid/dye dyenamics:navy_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_navy_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_navy_dye create_dragons_plus:dyes/dyenamics/navy create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_peach_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_peach_dye create_dragons_plus:fluid/dye dyenamics:peach_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_peach_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_peach_dye create_dragons_plus:dyes/dyenamics/peach create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_persimmon_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_persimmon_dye create_dragons_plus:fluid/dye dyenamics:persimmon_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_persimmon_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_persimmon_dye create_dragons_plus:dyes/dyenamics/persimmon create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_rose_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_rose_dye create_dragons_plus:fluid/dye dyenamics:rose_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_rose_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_rose_dye create_dragons_plus:dyes/dyenamics/rose create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_spring_green_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_spring_green_dye create_dragons_plus:fluid/dye dyenamics:spring_green_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_spring_green_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_spring_green_dye create_dragons_plus:dyes/dyenamics/spring_green create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_ultramarine_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_ultramarine_dye create_dragons_plus:fluid/dye dyenamics:ultramarine_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_ultramarine_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_ultramarine_dye create_dragons_plus:dyes/dyenamics/ultramarine create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_wine_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_wine_dye create_dragons_plus:fluid/dye dyenamics:wine_dye neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/dyenamics_wine_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyenamics_wine_dye create_dragons_plus:dyes/dyenamics/wine create_dragons_plus:fluid/dye minecraft:water neoforge:mod_loaded neoforge:single
create_dragons_plus:mixing/gray_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:gray_dye minecraft:gray_dye neoforge:single
create_dragons_plus:mixing/gray_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/gray create_dragons_plus:fluid/dye create_dragons_plus:gray_dye minecraft:water neoforge:single
create_dragons_plus:mixing/green_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:green_dye minecraft:green_dye neoforge:single
create_dragons_plus:mixing/green_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/green create_dragons_plus:fluid/dye create_dragons_plus:green_dye minecraft:water neoforge:single
create_dragons_plus:mixing/light_blue_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:light_blue_dye minecraft:light_blue_dye neoforge:single
create_dragons_plus:mixing/light_blue_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/light_blue create_dragons_plus:fluid/dye create_dragons_plus:light_blue_dye minecraft:water neoforge:single
create_dragons_plus:mixing/light_gray_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:light_gray_dye minecraft:light_gray_dye neoforge:single
create_dragons_plus:mixing/light_gray_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/light_gray create_dragons_plus:fluid/dye create_dragons_plus:light_gray_dye minecraft:water neoforge:single
create_dragons_plus:mixing/lime_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:lime_dye minecraft:lime_dye neoforge:single
create_dragons_plus:mixing/lime_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/lime create_dragons_plus:fluid/dye create_dragons_plus:lime_dye minecraft:water neoforge:single
create_dragons_plus:mixing/magenta_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:magenta_dye minecraft:magenta_dye neoforge:single
create_dragons_plus:mixing/magenta_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/magenta create_dragons_plus:fluid/dye create_dragons_plus:magenta_dye minecraft:water neoforge:single
create_dragons_plus:mixing/orange_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:orange_dye minecraft:orange_dye neoforge:single
create_dragons_plus:mixing/orange_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/orange create_dragons_plus:fluid/dye create_dragons_plus:orange_dye minecraft:water neoforge:single
create_dragons_plus:mixing/pink_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:pink_dye minecraft:pink_dye neoforge:single
create_dragons_plus:mixing/pink_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/pink create_dragons_plus:fluid/dye create_dragons_plus:pink_dye minecraft:water neoforge:single
create_dragons_plus:mixing/purple_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:purple_dye minecraft:purple_dye neoforge:single
create_dragons_plus:mixing/purple_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/purple create_dragons_plus:fluid/dye create_dragons_plus:purple_dye minecraft:water neoforge:single
create_dragons_plus:mixing/red_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:red_dye minecraft:red_dye neoforge:single
create_dragons_plus:mixing/red_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/red create_dragons_plus:fluid/dye create_dragons_plus:red_dye minecraft:water neoforge:single
create_dragons_plus:mixing/white_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:white_dye minecraft:white_dye neoforge:single
create_dragons_plus:mixing/white_dye_from_item | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:dyes/minecraft/white create_dragons_plus:fluid/dye create_dragons_plus:white_dye minecraft:water neoforge:single
create_dragons_plus:mixing/yellow_dye_from_fluid | create:mixing | create:mixing create_dragons_plus:config_feature create_dragons_plus:fluid/dye create_dragons_plus:yellow_dye minecraft:yellow_dye neoforge:single
