comforts:dye_hammock_black | minecraft:crafting_shapeless | c:dyes/black comforts:hammock comforts:hammock_black comforts:hammock_blue comforts:hammock_brown comforts:hammock_cyan comforts:hammock_enabled comforts:hammock_gray comforts:hammock_green comforts:hammock_light_blue comforts:hammock_light_gray comforts:hammock_lime comforts:hammock_magenta comforts:hammock_orange comforts:hammock_pink comforts:hammock_purple comforts:hammock_red comforts:hammock_white comforts:hammock_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_gray | minecraft:crafting_shapeless | c:dyes/gray comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_green | minecraft:crafting_shapeless | c:dyes/green comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_light_blue | minecraft:crafting_shapeless | c:dyes/light_blue comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_light_gray | minecraft:crafting_shapeless | c:dyes/light_gray comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_lime | minecraft:crafting_shapeless | c:dyes/lime comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_magenta | minecraft:crafting_shapeless | c:dyes/magenta comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_orange | minecraft:crafting_shapeless | c:dyes/orange comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_pink | minecraft:crafting_shapeless | c:dyes/pink comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_purple | minecraft:crafting_shapeless | c:dyes/purple comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_red | minecraft:crafting_shapeless | c:dyes/red comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_white | minecraft:crafting_shapeless | c:dyes/white comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:dye_sleeping_bag_yellow | minecraft:crafting_shapeless | c:dyes/yellow comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_blue comforts:sleeping_bag_brown comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled comforts:sleeping_bag_gray comforts:sleeping_bag_green comforts:sleeping_bag_light_blue comforts:sleeping_bag_light_gray comforts:sleeping_bag_lime comforts:sleeping_bag_magenta comforts:sleeping_bag_orange comforts:sleeping_bag_pink comforts:sleeping_bag_purple comforts:sleeping_bag_red comforts:sleeping_bag_white comforts:sleeping_bag_yellow minecraft:crafting_shapeless
comforts:hammock_black | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_black comforts:hammock_enabled minecraft:black_wool minecraft:crafting_shaped
comforts:hammock_blue | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_blue comforts:hammock_enabled minecraft:blue_wool minecraft:crafting_shaped
comforts:hammock_brown | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_brown comforts:hammock_enabled minecraft:brown_wool minecraft:crafting_shaped
comforts:hammock_cyan | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_cyan comforts:hammock_enabled minecraft:crafting_shaped minecraft:cyan_wool
comforts:hammock_gray | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_gray minecraft:crafting_shaped minecraft:gray_wool
comforts:hammock_green | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_green minecraft:crafting_shaped minecraft:green_wool
comforts:hammock_light_blue | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_light_blue minecraft:crafting_shaped minecraft:light_blue_wool
comforts:hammock_light_gray | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_light_gray minecraft:crafting_shaped minecraft:light_gray_wool
comforts:hammock_lime | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_lime minecraft:crafting_shaped minecraft:lime_wool
comforts:hammock_magenta | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_magenta minecraft:crafting_shaped minecraft:magenta_wool
comforts:hammock_orange | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_orange minecraft:crafting_shaped minecraft:orange_wool
comforts:hammock_pink | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_pink minecraft:crafting_shaped minecraft:pink_wool
comforts:hammock_purple | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_purple minecraft:crafting_shaped minecraft:purple_wool
comforts:hammock_red | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_red minecraft:crafting_shaped minecraft:red_wool
comforts:hammock_white | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_white minecraft:crafting_shaped minecraft:white_wool
comforts:hammock_yellow | minecraft:crafting_shaped | c:rods/wooden c:strings comforts:hammock comforts:hammock_enabled comforts:hammock_yellow minecraft:crafting_shaped minecraft:yellow_wool
comforts:rope_and_nail | minecraft:crafting_shaped | c:ingots/iron c:strings comforts:hammock_enabled comforts:rope_and_nail minecraft:crafting_shaped
comforts:shapeless_rope_and_nail | minecraft:crafting_shapeless | c:ingots/iron c:ropes comforts:hammock_enabled comforts:rope_and_nail minecraft:crafting_shapeless neoforge:and neoforge:not neoforge:tag_empty
comforts:sleeping_bag_black | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_black comforts:sleeping_bag_enabled minecraft:black_wool minecraft:crafting_shaped
comforts:sleeping_bag_blue | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_blue comforts:sleeping_bag_enabled minecraft:blue_wool minecraft:crafting_shaped
comforts:sleeping_bag_brown | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_brown comforts:sleeping_bag_enabled minecraft:brown_wool minecraft:crafting_shaped
comforts:sleeping_bag_cyan | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_cyan comforts:sleeping_bag_enabled minecraft:crafting_shaped minecraft:cyan_wool
comforts:sleeping_bag_gray | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_gray minecraft:crafting_shaped minecraft:gray_wool
comforts:sleeping_bag_green | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_green minecraft:crafting_shaped minecraft:green_wool
comforts:sleeping_bag_light_blue | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_light_blue minecraft:crafting_shaped minecraft:light_blue_wool
comforts:sleeping_bag_light_gray | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_light_gray minecraft:crafting_shaped minecraft:light_gray_wool
comforts:sleeping_bag_lime | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_lime minecraft:crafting_shaped minecraft:lime_wool
comforts:sleeping_bag_magenta | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_magenta minecraft:crafting_shaped minecraft:magenta_wool
comforts:sleeping_bag_orange | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_orange minecraft:crafting_shaped minecraft:orange_wool
comforts:sleeping_bag_pink | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_pink minecraft:crafting_shaped minecraft:pink_wool
comforts:sleeping_bag_purple | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_purple minecraft:crafting_shaped minecraft:purple_wool
comforts:sleeping_bag_red | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_red minecraft:crafting_shaped minecraft:red_wool
comforts:sleeping_bag_white | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_white minecraft:crafting_shaped minecraft:white_wool
comforts:sleeping_bag_yellow | minecraft:crafting_shaped | comforts:sleeping_bag comforts:sleeping_bag_enabled comforts:sleeping_bag_yellow minecraft:crafting_shaped minecraft:yellow_wool
