createmetalwork:create/compacting/andesite_alloy_from_compacting_heated | create:compacting | c:andesite_alloy_nuggets c:crushed_raw_materials/andesite create:andesite_alloy create:compacting
createmetalwork:create/compat/create_simple_ore_doubling/compacting/crushed_raw_tin_from_compacting | create:compacting | c:mod_loaded c:not c:raw_materials/tin c:tag_empty create:compacting create:crushed_raw_tin create_simple_ore_doubling:slag minecraft:lava neoforge:mod_loaded
createmetalwork:create/compat/create_simple_ore_doubling/compacting/crushed_raw_tin_from_compacting_heated | create:compacting | c:mod_loaded c:not c:raw_materials/tin c:tag_empty create:compacting create:crushed_raw_tin create_simple_ore_doubling:slag neoforge:mod_loaded
createmetalwork:create/crushing/crushed_andesite_from_crushing | create:crushing | create:crushing create:experience_nugget createmetalwork:crushed_andesite minecraft:andesite
createmetalwork:create/crushing/crushed_netherite_scrap_from_crushing | create:crushing | create:crushing create:experience_nugget createmetalwork:crushed_netherite_scrap minecraft:netherite_scrap
createmetalwork:create/crushing/crushed_raw_gold_from_crushing_nether_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget minecraft:nether_gold_ore minecraft:netherrack
createmetalwork:create/mixing/ingot_melting/molten_andesite_alloy_from_melting | create:mixing | create:andesite_alloy create:mixing createmetalwork:molten_andesite_alloy
createmetalwork:create/mixing/ingot_melting/molten_brass_from_melting | create:mixing | c:ingots/brass create:mixing createmetalwork:molten_brass
createmetalwork:create/mixing/ingot_melting/molten_copper_from_melting | create:mixing | c:ingots/copper create:mixing createmetalwork:molten_copper
createmetalwork:create/mixing/ingot_melting/molten_gold_from_melting | create:mixing | c:ingots/gold create:mixing createmetalwork:molten_gold
createmetalwork:create/mixing/ingot_melting/molten_iron_from_melting | create:mixing | c:ingots/iron create:mixing createmetalwork:molten_iron
createmetalwork:create/mixing/ingot_melting/molten_netherite_from_melting | create:mixing | c:ingots/netherite create:mixing createmetalwork:molten_netherite
createmetalwork:create/mixing/ingot_melting/molten_zinc_from_melting | create:mixing | c:ingots/zinc create:mixing createmetalwork:molten_zinc
createmetalwork:create/mixing/molten_andesite_alloy_from_mixing_heated | create:mixing | c:andesite_alloy_nuggets c:crushed_raw_materials/andesite create:mixing createmetalwork:molten_andesite_alloy
createmetalwork:create/mixing/molten_andesite_alloy_from_mixing_heated_molten_iron | create:mixing | c:molten_andesite c:molten_iron create:mixing createmetalwork:molten_andesite_alloy
createmetalwork:create/mixing/molten_andesite_alloy_from_mixing_heated_molten_zinc | create:mixing | c:molten_andesite c:molten_zinc create:mixing createmetalwork:molten_andesite_alloy
createmetalwork:create/mixing/molten_andesite_from_mixing_heated | create:mixing | c:crushed_raw_materials/andesite create:mixing createmetalwork:molten_andesite
createmetalwork:create/mixing/molten_andesite_from_mixing_heated_alt | create:mixing | create:mixing createmetalwork:molten_andesite minecraft:andesite
createmetalwork:create/mixing/molten_brass_from_mixing_heated | create:mixing | c:crushed_raw_materials/copper c:crushed_raw_materials/zinc create:mixing createmetalwork:molten_brass
createmetalwork:create/mixing/molten_brass_from_mixing_heated_molten | create:mixing | c:molten_copper c:molten_zinc create:mixing createmetalwork:molten_brass
createmetalwork:create/mixing/molten_copper_from_mixing_heated | create:mixing | c:crushed_raw_materials/copper create:mixing createmetalwork:molten_copper
createmetalwork:create/mixing/molten_gold_from_mixing_heated | create:mixing | c:crushed_raw_materials/gold create:mixing createmetalwork:molten_gold
createmetalwork:create/mixing/molten_iron_from_mixing_heated | create:mixing | c:crushed_raw_materials/iron create:mixing createmetalwork:molten_iron
createmetalwork:create/mixing/molten_netherite_from_mixing_heated | create:mixing | c:crushed_raw_materials/gold c:crushed_raw_materials/netherite_scrap create:mixing createmetalwork:molten_netherite
createmetalwork:create/mixing/molten_netherite_from_mixing_heated_molten | create:mixing | c:crushed_raw_materials/netherite_scrap c:molten_gold create:mixing createmetalwork:molten_netherite
createmetalwork:create/mixing/molten_zinc_from_mixing_heated | create:mixing | c:crushed_raw_materials/zinc create:mixing createmetalwork:molten_zinc
