createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bacon_sandwich_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:bread_slice_bacon c:bread_slice_lettuce createfood:bacon_sandwich_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bacon_sandwich_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_bacon_lettuce_tomato createfood:enabled fabric:all_mods_loaded farmersdelight:bacon_sandwich minecraft:crafting_shaped neoforge:mod_loaded
createfood:crafting/shaped/baked_potato_butter_bacon_from_shaped | minecraft:crafting_shaped | c:baked_potato_butter c:cooked_pork createfood:baked_potato_butter_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/baked_potato_butter_cheese_from_shaped | minecraft:crafting_shaped | c:baked_potato_butter c:cheeses createfood:baked_potato_butter_cheese createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/baked_potato_butter_fish_from_shaped | minecraft:crafting_shaped | c:baked_potato_butter c:cooked_fishes createfood:baked_potato_butter_fish createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/baked_potato_butter_fried_egg_from_shaped | minecraft:crafting_shaped | c:baked_potato_butter c:cooked_eggs createfood:baked_potato_butter_fried_egg createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/baked_potato_butter_from_shaped | minecraft:crafting_shaped | c:butter createfood:baked_potato_butter createfood:enabled minecraft:baked_potato minecraft:crafting_shaped
createfood:crafting/shaped/baked_potato_butter_mushroom_from_shaped | minecraft:crafting_shaped | c:baked_potato_butter c:mushrooms createfood:baked_potato_butter_mushroom createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/baked_potato_butter_sour_cream_from_shaped | minecraft:crafting_shaped | c:baked_potato_butter c:sour_cream_bottle createfood:baked_potato_butter_sour_cream createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun c:cooked_pork createfood:beef_bun_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_bacon c:foods/leafy_green createfood:beef_bun_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_lettuce c:cooked_pork createfood:beef_bun_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_bacon_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_bacon_lettuce c:tomato createfood:beef_bun_bacon_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_bacon_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_lettuce_tomato c:cooked_pork createfood:beef_bun_bacon_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese c:cooked_pork createfood:beef_bun_cheese_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_bacon_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_bacon c:cheeses createfood:beef_bun_cheese_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_bacon c:foods/leafy_green createfood:beef_bun_cheese_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_bacon_lettuce c:cheeses createfood:beef_bun_cheese_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_bacon_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_bacon_lettuce c:tomato createfood:beef_bun_cheese_bacon_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_bacon_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_bacon_lettuce_tomato c:cheeses createfood:beef_bun_cheese_bacon_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_from_shaped | minecraft:crafting_shaped | c:beef_bun c:cheeses createfood:beef_bun_cheese createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese c:foods/leafy_green createfood:beef_bun_cheese_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_lettuce c:cheeses createfood:beef_bun_cheese_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_lettuce c:tomato createfood:beef_bun_cheese_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_lettuce_tomato c:cheeses createfood:beef_bun_cheese_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion c:cooked_pork createfood:beef_bun_cheese_onion_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_bacon_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_onion_bacon c:cheeses createfood:beef_bun_cheese_onion_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion_bacon c:foods/leafy_green createfood:beef_bun_cheese_onion_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_onion_bacon_lettuce c:cheeses createfood:beef_bun_cheese_onion_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese c:onion createfood:beef_bun_cheese_onion createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_onion c:cheeses createfood:beef_bun_cheese_onion createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion c:foods/leafy_green createfood:beef_bun_cheese_onion_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_onion_lettuce c:cheeses createfood:beef_bun_cheese_onion_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion_lettuce c:tomato createfood:beef_bun_cheese_onion_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_onion_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_onion_lettuce_tomato c:cheeses createfood:beef_bun_cheese_onion_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese c:tomato createfood:beef_bun_cheese_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_cheese_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_tomato c:cheeses createfood:beef_bun_cheese_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_crimson_fungus_from_shaped | minecraft:crafting_shaped | c:beef_bun c:crimson_fungus createfood:beef_bun_crimson_fungus createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_from_shaped | minecraft:crafting_shaped | c:bun c:cooked_beef createfood:beef_bun createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun c:foods/leafy_green createfood:beef_bun_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_lettuce c:tomato createfood:beef_bun_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_tomato c:foods/leafy_green createfood:beef_bun_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun_onion c:cooked_pork createfood:beef_bun_onion_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_bacon_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_bacon c:onion createfood:beef_bun_onion_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_onion_bacon c:foods/leafy_green createfood:beef_bun_onion_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_onion_lettuce c:cooked_pork createfood:beef_bun_onion_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_from_shaped | minecraft:crafting_shaped | c:beef_bun c:onion createfood:beef_bun_onion createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_onion c:foods/leafy_green createfood:beef_bun_onion_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_lettuce c:onion createfood:beef_bun_onion_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_onion_lettuce c:tomato createfood:beef_bun_onion_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_onion_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_lettuce_tomato c:onion createfood:beef_bun_onion_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_peanut_butter_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun_peanut_butter c:cooked_pork c:peanut_butter createfood:beef_bun_peanut_butter_bacon createfood:enabled fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/beef_bun_peanut_butter_bacon_from_shaped_alt_2 | minecraft:crafting_shaped | c:beef_bun_bacon c:peanut_butter createfood:beef_bun_peanut_butter_bacon createfood:enabled fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/beef_bun_peanut_butter_from_shaped | minecraft:crafting_shaped | c:beef_bun c:peanut_butter createfood:beef_bun_peanut_butter createfood:enabled fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/beef_bun_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun c:tomato createfood:beef_bun_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_bun_warped_fungus_from_shaped | minecraft:crafting_shaped | c:beef_bun c:warped_fungus createfood:beef_bun_warped_fungus createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_meatball_sandwich_from_shaped | minecraft:crafting_shaped | c:small_beef_meatballs createfood:beef_meatball_sandwich createfood:enabled minecraft:bread minecraft:crafting_shaped
createfood:crafting/shaped/beef_meatball_stick_1_from_shaped | minecraft:crafting_shaped | c:beef_meatball createfood:beef_meatball_stick_1 createfood:enabled minecraft:crafting_shaped minecraft:stick
createfood:crafting/shaped/beef_meatball_stick_2_from_shaped | minecraft:crafting_shaped | c:beef_meatball createfood:beef_meatball_stick_1 createfood:beef_meatball_stick_2 createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_meatball_stick_3_from_shaped | minecraft:crafting_shaped | c:beef_meatball createfood:beef_meatball_stick_2 createfood:beef_meatball_stick_3 createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_taco_from_shaped | minecraft:crafting_shaped | c:cooked_beef c:taco_shell createfood:beef_taco createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_taco_lettuce_from_shaped_alt | minecraft:crafting_shaped | c:beef_taco c:foods/leafy_green createfood:beef_taco_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/beef_taco_lettuce_taco_sauce_from_shaped_alt | minecraft:crafting_shaped | c:beef_taco_lettuce c:taco_sauce_bottle createfood:beef_taco_lettuce_taco_sauce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_cake_chorus_fruit_from_shaped | minecraft:crafting_shaped | c:berry_cream_cake c:chorus_fruit createfood:berry_cream_cake_chorus_fruit createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_cake_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting_piping_bag c:cake_base createfood:berry_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_cake_glow_berry_from_shaped | minecraft:crafting_shaped | c:berry_cream_cake createfood:berry_cream_cake_glow_berry createfood:enabled minecraft:crafting_shaped minecraft:glow_berries
createfood:crafting/shaped/berry_cream_cake_sweet_berry_from_shaped | minecraft:crafting_shaped | c:berry_cream_cake createfood:berry_cream_cake_sweet_berry createfood:enabled minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/berry_cream_chocolate_cupcake_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:chocolate_cupcake_base createfood:berry_cream_chocolate_cupcake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_chocolate_donut_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:chocolate_donut_base createfood:berry_cream_chocolate_donut createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_chocolate_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:hollow_chocolate createfood:berry_cream_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:chocolate_pastry_base createfood:berry_cream_chocolate_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_chocolate_sweet_roll_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:chocolate_sweet_roll_base createfood:berry_cream_chocolate_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_chocolate_sweet_roll_sweet_berry_from_shaped | minecraft:crafting_shaped | c:berry_cream_chocolate_sweet_roll createfood:berry_cream_chocolate_sweet_roll_sweet_berry createfood:enabled minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/berry_cream_cupcake_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:cupcake_base createfood:berry_cream_cupcake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_dark_chocolate_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:hollow_dark_chocolate createfood:berry_cream_dark_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_donut_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:donut_base createfood:berry_cream_donut createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_mini_waffle_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:mini_waffle createfood:berry_cream_mini_waffle createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_mini_waffle_sweet_berry_from_shaped | minecraft:crafting_shaped | c:berry_cream_mini_waffle createfood:berry_cream_mini_waffle_sweet_berry createfood:enabled minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/berry_cream_pastry_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:pastry_base createfood:berry_cream_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_sweet_roll_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:sweet_roll_base createfood:berry_cream_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_cream_sweet_roll_sweet_berry_from_shaped | minecraft:crafting_shaped | c:berry_cream_sweet_roll createfood:berry_cream_sweet_roll_sweet_berry createfood:enabled minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/berry_cream_white_chocolate_from_shaped | minecraft:crafting_shaped | c:berry_cream_frosting c:hollow_white_chocolate createfood:berry_cream_white_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_ice_cream_cone_from_shaped | minecraft:crafting_shaped | c:berry_ice_cream_stick c:waffle_cone createfood:berry_ice_cream_cone createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_ice_cream_sandwich_from_shaped | minecraft:crafting_shaped | c:chocolate_graham_cracker c:chocolate_graham_cracker_berry_ice_cream createfood:berry_ice_cream_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/berry_jam_sandwich_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_berry_jam createfood:berry_jam_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/black_gelatin_dessert_block_from_shaped_alt | minecraft:crafting_shaped | c:dyes/black c:gelatin_dessert_block createfood:black_gelatin_dessert_block createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/blue_gelatin_dessert_block_from_shaped_alt | minecraft:crafting_shaped | c:dyes/blue c:gelatin_dessert_block createfood:blue_gelatin_dessert_block createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/boiled_egg_peeled_salt_from_shaped | minecraft:crafting_shaped | c:boiled_egg_peeled c:salt createfood:boiled_egg_peeled_salt createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_carrot_from_shaped | minecraft:crafting_shaped | c:carrot createfood:bread_carrot createfood:enabled minecraft:bread minecraft:crafting_shaped
createfood:crafting/shaped/bread_fried_egg_from_shaped | minecraft:crafting_shaped | c:cooked_eggs createfood:bread_fried_egg createfood:enabled minecraft:bread minecraft:crafting_shaped
createfood:crafting/shaped/bread_lettuce_carrot_from_shaped | minecraft:crafting_shaped | c:bread_lettuce c:carrot createfood:bread_lettuce_carrot createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_lettuce_carrot_from_shaped_alt_2 | minecraft:crafting_shaped | c:bread_carrot c:foods/leafy_green createfood:bread_lettuce_carrot createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_lettuce_from_shaped | minecraft:crafting_shaped | c:foods/leafy_green createfood:bread_lettuce createfood:enabled minecraft:bread minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_apple_jam_from_shaped | minecraft:crafting_shaped | c:apple_jam_bottle c:bread_slice createfood:bread_slice_apple_jam createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_bacon_from_shaped | minecraft:crafting_shaped | c:bread_slice c:cooked_pork createfood:bread_slice_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:bread_slice_lettuce c:cooked_pork createfood:bread_slice_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_bacon_lettuce_from_shaped_alt | minecraft:crafting_shaped | c:bread_slice_bacon c:foods/leafy_green createfood:bread_slice_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:bread_slice_bacon c:foods/leafy_green createfood:bread_slice_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_bacon_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:bread_slice_lettuce_tomato c:cooked_pork createfood:bread_slice_bacon_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_beetroot_from_shaped | minecraft:crafting_shaped | c:beetroot c:bread_slice createfood:bread_slice_beetroot createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_beetroot_lettuce_from_shaped | minecraft:crafting_shaped | c:bread_slice_beetroot c:foods/leafy_green createfood:bread_slice_beetroot_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_beetroot_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:beetroot c:bread_slice_lettuce createfood:bread_slice_beetroot_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_berry_jam_from_shaped | minecraft:crafting_shaped | c:berry_jam_bottle c:bread_slice createfood:bread_slice_berry_jam createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_cheese_from_shaped | minecraft:crafting_shaped | c:bread_slice c:cheeses createfood:bread_slice_cheese createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_chorus_fruit_jam_from_shaped | minecraft:crafting_shaped | c:bread_slice c:chorus_fruit_jam_bottle createfood:bread_slice_chorus_fruit_jam createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_glow_berry_jam_from_shaped | minecraft:crafting_shaped | c:bread_slice c:glow_berry_jam_bottle createfood:bread_slice_glow_berry_jam createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_honey_from_shaped | minecraft:crafting_shaped | c:bread_slice createfood:bread_slice_honey createfood:enabled minecraft:crafting_shaped minecraft:honey_bottle
createfood:crafting/shaped/bread_slice_lettuce_from_shaped | minecraft:crafting_shaped | c:bread_slice c:foods/leafy_green createfood:bread_slice_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:bread_slice_lettuce c:tomato createfood:bread_slice_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:bread_slice_tomato c:foods/leafy_green createfood:bread_slice_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_melon_jam_from_shaped | minecraft:crafting_shaped | c:bread_slice c:melon_jam_bottle createfood:bread_slice_melon_jam createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_mutton_beetroot_from_shaped | minecraft:crafting_shaped | c:beetroot c:bread_slice_mutton createfood:bread_slice_mutton_beetroot createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_mutton_beetroot_from_shaped_alt_2 | minecraft:crafting_shaped | c:bread_slice_beetroot c:cooked_mutton createfood:bread_slice_mutton_beetroot createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_mutton_from_shaped | minecraft:crafting_shaped | c:bread_slice c:cooked_mutton createfood:bread_slice_mutton createfood:enabled minecraft:crafting_shaped
