occultengineering:blasting/brass_ingot_from_crushed | minecraft:blasting | create:brass_ingot minecraft:blasting occultengineering:brass_dust
occultengineering:mixing/book_of_binding_marid_from_empty | create:mixing | create:mixing minecraft:orange_dye minecraft:purple_dye occultism:book_of_binding_empty occultism:book_of_binding_marid
occultengineering:mixing/book_of_binding_puca | create:mixing | create:mixing minecraft:red_dye neoforge:single occultengineering:book_of_binding_puca occultengineering:spirit_solution occultism:awakened_feather occultism:purified_ink occultism:taboo_book
occultengineering:mixing/book_of_binding_puca_from_empty | create:mixing | create:mixing minecraft:red_dye neoforge:single occultengineering:book_of_binding_puca occultengineering:spirit_solution occultism:book_of_binding_empty
occultengineering:mixing/silver_phlogistate | create:mixing | create:mixing occultengineering:phlogiston occultengineering:silver_phlogistate occultengineering:sterling_silver_ingot
occultengineering:mixing/spirit_solution_from_essence | create:mixing | create:mixing minecraft:water neoforge:single occultengineering:spirit_solution occultism:otherworld_essence
occultengineering:mixing/spirit_solution_from_fruit | create:mixing | create:mixing minecraft:water neoforge:single occultengineering:spirit_solution occultism:datura
occultengineering:mixing/sterling_silver_ingot | create:mixing | c:dusts/copper c:dusts/silver create:mixing occultengineering:sterling_silver_ingot
occultengineering:pressing/mechanical_upgrade_empty | create:pressing | create:pressing occultengineering:mechanical_upgrade_empty occultism:otherrock
occultengineering:ritual/craft_mechanical_chamber | occultism:ritual | create:cogwheel minecraft:bone_block occultengineering:mechanical_chamber occultengineering:ritual_dummy_craft_mechanical_chamber occultengineering:sterling_silver_block occultism:book_of_binding_bound_foliot occultism:craft occultism:craft_foliot occultism:golden_sacrificial_bowl occultism:ritual
occultengineering:ritual/craft_mechanical_upgrade_afrit | occultism:ritual | c:dusts/amethyst c:dusts/brass c:dusts/emerald c:dusts/iesnium c:dusts/lapis c:dusts/obsidian c:dusts/zinc occultengineering:mechanical_upgrade_afrit occultengineering:mechanical_upgrade_empty occultengineering:ritual_dummy_craft_mechanical_upgrade_afrit occultism:book_of_binding_bound_afrit occultism:craft occultism:craft_afrit occultism:ritual
occultengineering:ritual/craft_mechanical_upgrade_djinni | occultism:ritual | c:dusts/copper c:dusts/gold c:dusts/iron c:dusts/silver c:dusts/zinc occultengineering:mechanical_upgrade_djinni occultengineering:mechanical_upgrade_empty occultengineering:ritual_dummy_craft_mechanical_upgrade_djinni occultism:book_of_binding_bound_djinni occultism:craft occultism:craft_djinni occultism:ritual
occultengineering:ritual/craft_mechanical_upgrade_marid | occultism:ritual | c:dusts/brass c:dusts/zinc c:storage_blocks/diamond c:storage_blocks/emerald c:storage_blocks/iesnium c:storage_blocks/netherite minecraft:ghast_tear occultengineering:mechanical_upgrade_empty occultengineering:mechanical_upgrade_marid occultengineering:ritual_dummy_craft_mechanical_upgrade_marid occultism:book_of_binding_bound_marid occultism:craft occultism:craft_marid occultism:ritual
occultengineering:ritual/craft_otherworld_detector | occultism:ritual | minecraft:observer occultengineering:book_of_binding_bound_puca occultengineering:craft_puca occultengineering:otherworld_detector occultengineering:ritual_dummy_craft_otherworld_detector occultism:craft occultism:otherstone occultism:otherworld_essence occultism:ritual
occultengineering:ritual/craft_phlogiport | occultism:ritual | create:transmitter minecraft:gold_block occultengineering:book_of_binding_bound_puca occultengineering:craft_puca occultengineering:phlogiport occultengineering:ritual_dummy_craft_phlogiport occultengineering:silver_phlogistate occultengineering:sterling_silver_block occultism:craft occultism:ritual
occultengineering:smelting/brass_ingot_from_crushed | minecraft:smelting | create:brass_ingot minecraft:smelting occultengineering:brass_dust
occultengineering:smelting/silver_ingot | minecraft:smelting | create:crushed_raw_silver minecraft:smelting occultism:silver_ingot
occultengineering:smelting/zinc_ingot_from_crushed | minecraft:smelting | create:zinc_ingot minecraft:smelting occultengineering:zinc_dust
occultengineering:spirit_fire/chalk_brass | occultism:spirit_fire | occultengineering:chalk_brass occultengineering:chalk_brass_impure occultism:spirit_fire
occultengineering:spirit_fire/chalk_copper | occultism:spirit_fire | occultengineering:chalk_copper occultengineering:chalk_copper_impure occultism:spirit_fire
occultengineering:spirit_fire/chalk_zinc | occultism:spirit_fire | occultengineering:chalk_zinc occultengineering:chalk_zinc_impure occultism:spirit_fire
