supplementaries:altimeter | minecraft:crafting_shaped | c:ingots/copper minecraft:crafting_shaped minecraft:redstone supplementaries:altimeter supplementaries:flag
supplementaries:candle_holders/candle_holder_pink | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:pink_candle supplementaries:candle_holder_pink supplementaries:flag
supplementaries:candle_holders/candle_holder_pink_dye | minecraft:crafting_shapeless | c:dyes/pink minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_pink supplementaries:flag
supplementaries:candle_holders/candle_holder_purple | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:purple_candle supplementaries:candle_holder_purple supplementaries:flag
supplementaries:candle_holders/candle_holder_purple_dye | minecraft:crafting_shapeless | c:dyes/purple minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_purple supplementaries:flag
supplementaries:candle_holders/candle_holder_red | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:red_candle supplementaries:candle_holder_red supplementaries:flag
supplementaries:candle_holders/candle_holder_red_dye | minecraft:crafting_shapeless | c:dyes/red minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_red supplementaries:flag
supplementaries:candle_holders/candle_holder_soul | minecraft:crafting_shaped | buzzier_bees:soul_candle c:ingots/iron fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:candle_holder_soul supplementaries:flag
supplementaries:candle_holders/candle_holder_spectacle | minecraft:crafting_shaped | c:ingots/iron cave_enhancements:spectacle_candle fabric:mod_loaded minecraft:crafting_shaped neoforge:mod_loaded supplementaries:candle_holder_spectacle supplementaries:flag
supplementaries:candle_holders/candle_holder_white | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:white_candle supplementaries:candle_holder_white supplementaries:flag
supplementaries:candle_holders/candle_holder_white_dye | minecraft:crafting_shapeless | c:dyes/white minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_white supplementaries:flag
supplementaries:candle_holders/candle_holder_yellow | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:yellow_candle supplementaries:candle_holder_yellow supplementaries:flag
supplementaries:candle_holders/candle_holder_yellow_dye | minecraft:crafting_shapeless | c:dyes/yellow minecraft:crafting_shapeless supplementaries:candle_holder supplementaries:candle_holder_yellow supplementaries:flag
supplementaries:candy | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:honey_bottle minecraft:paper minecraft:sugar supplementaries:candy supplementaries:flag
supplementaries:cannon | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:dispenser minecraft:planks supplementaries:cannon supplementaries:flag
supplementaries:cannon_2 | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped minecraft:planks minecraft:redstone supplementaries:cannon supplementaries:flag supplementaries:slingshot
supplementaries:cannon_boat_bamboo | minecraft:crafting_shapeless | minecraft:bamboo_raft minecraft:crafting_shapeless supplementaries:cannon supplementaries:cannon_boat_bamboo supplementaries:flag
supplementaries:cannon_boat_oak | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:oak_boat supplementaries:cannon supplementaries:cannon_boat_oak supplementaries:flag
supplementaries:cannonball | minecraft:crafting_shaped | c:storage_blocks/lead fabric:tag_empty minecraft:crafting_shaped minecraft:iron_block neoforge:tag_empty supplementaries:cannonball supplementaries:flag
supplementaries:cannonball_2 | minecraft:crafting_shaped | c:storage_blocks/lead fabric:not fabric:tag_empty minecraft:crafting_shaped neoforge:not neoforge:tag_empty supplementaries:cannonball supplementaries:flag
supplementaries:checker | minecraft:crafting_shaped | minecraft:blackstone minecraft:cobblestone minecraft:crafting_shaped supplementaries:checker_block supplementaries:flag
supplementaries:checker_slab | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:checker_block supplementaries:checker_slab supplementaries:flag
supplementaries:clock_block | minecraft:crafting_shaped | minecraft:clock minecraft:crafting_shaped minecraft:planks supplementaries:clock_block supplementaries:flag
supplementaries:cog_block | minecraft:crafting_shaped | c:ingots/copper minecraft:crafting_shaped minecraft:redstone_block supplementaries:cog_block supplementaries:flag
supplementaries:confetti_popper | minecraft:crafting_shaped | c:dyes minecraft:crafting_shaped minecraft:gunpowder minecraft:paper supplementaries:confetti_popper supplementaries:flag
supplementaries:confetti_popper_dye | supplementaries:confetti_dye | supplementaries:confetti_dye supplementaries:confetti_popper supplementaries:flag
supplementaries:crank | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:stone supplementaries:crank supplementaries:flag
supplementaries:crystal_display | minecraft:crafting_shaped | minecraft:amethyst_shard minecraft:crafting_shaped minecraft:deepslate supplementaries:crystal_display supplementaries:flag
supplementaries:daub | minecraft:crafting_shaped | minecraft:clay_ball minecraft:crafting_shaped supplementaries:daub supplementaries:flag supplementaries:straw
supplementaries:daub_brace | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:daub supplementaries:daub_brace supplementaries:flag
supplementaries:daub_cross_brace | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:daub supplementaries:daub_cross_brace supplementaries:flag
supplementaries:daub_frame | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped supplementaries:daub supplementaries:daub_frame supplementaries:flag
supplementaries:deepslate_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:deepslate minecraft:torch supplementaries:deepslate_lamp supplementaries:flag
supplementaries:dispenser_minecart | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dispenser minecraft:minecart supplementaries:dispenser_minecart supplementaries:flag
supplementaries:dispenser_minecart_quark | minecraft:crafting_shaped | c:ingots/iron fabric:mod_loaded minecraft:crafting_shaped minecraft:dispenser neoforge:mod_loaded supplementaries:dispenser_minecart supplementaries:flag
supplementaries:doormat_2 | minecraft:crafting_shaped | c:crops/flax minecraft:crafting_shaped supplementaries:doormat supplementaries:flag
supplementaries:dragon_banner_pattern | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:dragon_head minecraft:paper supplementaries:dragon_banner_pattern supplementaries:flag
supplementaries:end_stone_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:end_rod minecraft:end_stone supplementaries:end_stone_lamp supplementaries:flag
supplementaries:faucet | minecraft:crafting_shaped | c:ingots/iron c:rods/wooden minecraft:crafting_shaped supplementaries:faucet supplementaries:flag
supplementaries:feather_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:feather supplementaries:feather_block supplementaries:flag
supplementaries:feather_block_uncrafting | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:feather supplementaries:feather_block supplementaries:flag
supplementaries:fine_wood | minecraft:crafting_shaped | fabric:mod_loaded fabric:not minecraft:crafting_shaped minecraft:honeycomb minecraft:logs neoforge:mod_loaded neoforge:not supplementaries:fine_wood supplementaries:flag
supplementaries:fine_wood_2 | minecraft:crafting_shaped | fabric:mod_loaded minecraft:crafting_shaped minecraft:logs minecraft:resin_clump neoforge:mod_loaded supplementaries:fine_wood supplementaries:flag
supplementaries:fine_wood_slab | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:fine_wood supplementaries:fine_wood_slab supplementaries:flag
supplementaries:fine_wood_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped supplementaries:fine_wood supplementaries:fine_wood_stairs supplementaries:flag
supplementaries:fire_pit | minecraft:crafting_shaped | c:ingots/copper minecraft:crafting_shaped supplementaries:fire_pit supplementaries:flag supplementaries:lumisene_bottle
supplementaries:fire_pit_2 | minecraft:crafting_shaped | c:ingots/copper fabric:not minecraft:coals minecraft:crafting_shaped neoforge:not supplementaries:fire_pit supplementaries:flag
supplementaries:flags/flag_black | minecraft:crafting_shaped | c:rods/wooden minecraft:black_wool minecraft:crafting_shaped supplementaries:flag supplementaries:flag_black
supplementaries:flags/flag_blue | minecraft:crafting_shaped | c:rods/wooden minecraft:blue_wool minecraft:crafting_shaped supplementaries:flag supplementaries:flag_blue
