born_in_chaos_v1:argillite_lamp_k | minecraft:crafting_shaped | born_in_chaos_v1:argillite_lamp born_in_chaos_v1:fired_black_argillite minecraft:crafting_shaped minecraft:glass_pane minecraft:glowstone_dust
born_in_chaos_v1:black_argillite_column_slab_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_column born_in_chaos_v1:black_argillite_column_slab minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_column_slab_k_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_column born_in_chaos_v1:black_argillite_column_slab minecraft:stonecutting
born_in_chaos_v1:black_argillite_pressure_plate_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillitepressureplate minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_sk | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_stairs minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_sk_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_stairs minecraft:stonecutting
born_in_chaos_v1:black_argillite_sl_k | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_slab minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_sl_k_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_slab minecraft:stonecutting
born_in_chaos_v1:black_argillite_wk | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_wall minecraft:crafting_shaped
born_in_chaos_v1:black_argillite_wk_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite born_in_chaos_v1:black_argillite_wall minecraft:stonecutting
born_in_chaos_v1:blackargillitebrickslk | minecraft:crafting_shaped | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:black_argillite_brick_slab minecraft:crafting_shaped
born_in_chaos_v1:blackargillitebrickslk_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:black_argillite_brick_slab minecraft:stonecutting
born_in_chaos_v1:blackargillitebrickstk_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:black_argillite_brick_stairs minecraft:stonecutting
born_in_chaos_v1:blackargillitecolumnslabk_3 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_column_slab born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:bone_handle_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:dark_rod minecraft:bone minecraft:crafting_shaped
born_in_chaos_v1:bone_heart_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_heart born_in_chaos_v1:fused_bone minecraft:bone minecraft:crafting_shaped
born_in_chaos_v1:bundleof_bones_k | minecraft:crafting_shapeless | born_in_chaos_v1:bundle_of_bones minecraft:bone minecraft:crafting_shapeless
born_in_chaos_v1:bundleof_bones_l | minecraft:crafting_shaped | born_in_chaos_v1:bundle_of_bones minecraft:bone minecraft:crafting_shaped minecraft:string
born_in_chaos_v1:carrotsword_craft | minecraft:smithing_transform | born_in_chaos_v1:carrot_sword born_in_chaos_v1:sweet_sword born_in_chaos_v1:transformative_flower minecraft:carrot minecraft:smithing_transform
born_in_chaos_v1:carved_black_argillite_k | minecraft:stonecutting | born_in_chaos_v1:carved_black_argillite born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:chipped_black_argillite_brick_k | minecraft:smelting | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:chipped_black_argillite_brick minecraft:smelting
born_in_chaos_v1:chipped_black_argillite_brick_k_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:chipped_black_argillite_brick minecraft:stonecutting
born_in_chaos_v1:chipped_black_argillite_brick_k_3 | minecraft:stonecutting | born_in_chaos_v1:chipped_black_argillite_brick born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:cobwebcover_craft | minecraft:crafting_shaped | born_in_chaos_v1:cobweb_cover minecraft:cobweb minecraft:crafting_shaped minecraft:string
born_in_chaos_v1:creepy_cookies_with_milk_craft | minecraft:crafting_shapeless | born_in_chaos_v1:creepy_cookies_with_milk minecraft:crafting_shapeless minecraft:glass_bottle minecraft:milk_bucket minecraft:sweet_berries minecraft:wheat
born_in_chaos_v1:creepy_nutcracker_craft | minecraft:crafting_shaped | born_in_chaos_v1:creepy_nutcracker born_in_chaos_v1:permafrost_shard minecraft:black_wool minecraft:crafting_shaped minecraft:logs minecraft:red_wool minecraft:yellow_wool
born_in_chaos_v1:creepy_snowman_head_craft | minecraft:crafting_shapeless | born_in_chaos_v1:permafrost_shard born_in_chaos_v1:spooky_snowman_head minecraft:crafting_shapeless minecraft:snow_block minecraft:stick
born_in_chaos_v1:cultivated_pumpkin_k | minecraft:crafting_shapeless | born_in_chaos_v1:cultivated_pumpkin minecraft:bone_meal minecraft:crafting_shapeless minecraft:pumpkin
born_in_chaos_v1:cultivated_pumpkink_2 | minecraft:crafting_shapeless | born_in_chaos_v1:cultivated_pumpkin minecraft:crafting_shapeless minecraft:pumpkin_seeds
born_in_chaos_v1:cultivated_pumpkink_3 | minecraft:crafting_shaped | born_in_chaos_v1:cultivated_pumpkin minecraft:crafting_shaped minecraft:egg minecraft:pumpkin_pie minecraft:sugar
born_in_chaos_v1:dark_atrium_craft | minecraft:crafting_shaped | born_in_chaos_v1:bone_heart born_in_chaos_v1:dark_atrium born_in_chaos_v1:lifestealer_bone minecraft:crafting_shaped
born_in_chaos_v1:dark_grid_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_grid born_in_chaos_v1:dark_metal_ingot minecraft:crafting_shaped
born_in_chaos_v1:dark_metal_block_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_block born_in_chaos_v1:dark_metal_ingot minecraft:crafting_shaped
born_in_chaos_v1:dark_metal_nugget_craft | minecraft:crafting_shapeless | born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:dark_metal_nugget minecraft:crafting_shapeless
born_in_chaos_v1:dark_metal_nugget_craft_2 | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:dark_metal_nugget minecraft:crafting_shaped
born_in_chaos_v1:dark_metal_nugget_craft_4 | minecraft:blasting | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:pieceofdarkmetal minecraft:blasting
born_in_chaos_v1:dark_metalngot_k | minecraft:blasting | born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:pileof_dark_metal minecraft:blasting
born_in_chaos_v1:dark_ritual_dagger_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:dark_ritual_dagger born_in_chaos_v1:nightmare_claw born_in_chaos_v1:seedof_chaos minecraft:crafting_shaped
born_in_chaos_v1:dark_stained_glass_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_stained_glass born_in_chaos_v1:fired_black_argillite minecraft:crafting_shaped minecraft:glass minecraft:gray_stained_glass
born_in_chaos_v1:dark_stained_glass_panel_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_stained_glass born_in_chaos_v1:dark_stained_glass_panel minecraft:crafting_shaped
born_in_chaos_v1:darkcharge_k | minecraft:crafting_shapeless | born_in_chaos_v1:dark_charge born_in_chaos_v1:dark_rod minecraft:crafting_shapeless
born_in_chaos_v1:darkmetalblockk_2 | minecraft:crafting_shapeless | born_in_chaos_v1:dark_metal_block born_in_chaos_v1:dark_metal_ingot minecraft:crafting_shapeless
born_in_chaos_v1:darkupgradek | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:dark_upgrade born_in_chaos_v1:seedof_chaos minecraft:crafting_shaped
born_in_chaos_v1:death_totem_k | minecraft:crafting_shaped | born_in_chaos_v1:death_totem born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull minecraft:crafting_shaped
born_in_chaos_v1:diamond_thermite_shard_k | minecraft:crafting_shaped | born_in_chaos_v1:diamond_termite_shard minecraft:crafting_shaped minecraft:diamond
born_in_chaos_v1:eternalcandy_craft | minecraft:crafting_shaped | born_in_chaos_v1:caramel_pepper born_in_chaos_v1:chocolate_heart born_in_chaos_v1:coffee_candy born_in_chaos_v1:eternal_candy born_in_chaos_v1:gummy_vampire_teeth born_in_chaos_v1:mint_candy born_in_chaos_v1:transmuting_elixir minecraft:crafting_shaped minecraft:stick
born_in_chaos_v1:evilometer_craft | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:evilometer born_in_chaos_v1:spiritual_dust minecraft:crafting_shaped
born_in_chaos_v1:fel_lamp_k | minecraft:crafting_shaped | born_in_chaos_v1:empty_fel_lamp born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:fel_lamp born_in_chaos_v1:orbofthe_summoner minecraft:crafting_shaped
born_in_chaos_v1:fire_dust_k_1 | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust minecraft:crafting_shaped minecraft:stick minecraft:torch
born_in_chaos_v1:fire_dust_k_2 | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust minecraft:crafting_shaped minecraft:soul_sand minecraft:soul_torch minecraft:stick
born_in_chaos_v1:fire_dust_k_3 | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust minecraft:crafting_shaped minecraft:soul_soil minecraft:soul_torch minecraft:stick
born_in_chaos_v1:fire_dust_k_4 | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust minecraft:campfire minecraft:crafting_shaped minecraft:logs minecraft:stick
born_in_chaos_v1:fire_light_dust_k | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust minecraft:blaze_powder minecraft:crafting_shaped minecraft:fire_charge minecraft:gunpowder
born_in_chaos_v1:fired_black_argillite_k | minecraft:smelting | born_in_chaos_v1:black_argillite born_in_chaos_v1:fired_black_argillite minecraft:smelting
born_in_chaos_v1:fired_black_argillite_k_1 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:fired_black_argillite_k_2 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick_stairs born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:fired_black_argillite_k_3 | minecraft:stonecutting | born_in_chaos_v1:black_argillite_brick_slab born_in_chaos_v1:fired_black_argillite minecraft:stonecutting
born_in_chaos_v1:flaming_evil_pumpkin_k | minecraft:crafting_shapeless | born_in_chaos_v1:evil_carved_pumpkin born_in_chaos_v1:flaming_evil_pumpkin minecraft:candles minecraft:crafting_shapeless
born_in_chaos_v1:fried_maggot_k | minecraft:smelting | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:fried_maggot minecraft:smelting
born_in_chaos_v1:fried_maggot_k_2 | minecraft:smoking | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:fried_maggot minecraft:smoking
born_in_chaos_v1:fried_maggot_k_3 | minecraft:campfire_cooking | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:fried_maggot minecraft:campfire_cooking
born_in_chaos_v1:frostbitten_blade_craft | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:frostbitten_blade born_in_chaos_v1:permafrost_shard minecraft:crafting_shaped
born_in_chaos_v1:fused_bone_k | minecraft:crafting_shapeless | born_in_chaos_v1:fused_bone minecraft:bone_meal minecraft:crafting_shapeless
born_in_chaos_v1:gnawed_bones_k | minecraft:crafting_shapeless | born_in_chaos_v1:gnawed_bones minecraft:bone minecraft:crafting_shapeless
born_in_chaos_v1:great_dark_crusher_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_block born_in_chaos_v1:darkwarblade minecraft:crafting_shaped
born_in_chaos_v1:great_reaper_ax_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:great_reaper_axe minecraft:crafting_shaped
born_in_chaos_v1:green_stained_glass_k | minecraft:crafting_shaped | born_in_chaos_v1:fired_black_argillite born_in_chaos_v1:green_stained_glass minecraft:black_stained_glass minecraft:crafting_shaped minecraft:green_stained_glass
born_in_chaos_v1:green_stained_glass_panel_k | minecraft:crafting_shaped | born_in_chaos_v1:green_stained_glass born_in_chaos_v1:green_stained_glass_panel minecraft:crafting_shaped
born_in_chaos_v1:houndtrapk | minecraft:crafting_shaped | born_in_chaos_v1:fangofthe_hound_leader born_in_chaos_v1:hound_trap minecraft:crafting_shaped minecraft:heavy_weighted_pressure_plate minecraft:iron_ingot
born_in_chaos_v1:icy_sweetness_craft | minecraft:smithing_transform | born_in_chaos_v1:frostbitten_blade born_in_chaos_v1:icy_sweetness born_in_chaos_v1:transformative_flower minecraft:smithing_transform minecraft:sugar
born_in_chaos_v1:infernal_evil_pumpkin_k_2 | minecraft:crafting_shapeless | born_in_chaos_v1:flaming_evil_pumpkin born_in_chaos_v1:infernal_evil_pumpkin born_in_chaos_v1:smoldering_infernal_ember minecraft:crafting_shapeless
born_in_chaos_v1:infernal_evil_pumpkink | minecraft:crafting_shapeless | born_in_chaos_v1:evil_carved_pumpkin born_in_chaos_v1:infernal_evil_pumpkin born_in_chaos_v1:smoldering_infernal_ember minecraft:candles minecraft:crafting_shapeless
born_in_chaos_v1:intoxicatind_bomb_k | minecraft:crafting_shapeless | born_in_chaos_v1:fire_dust born_in_chaos_v1:intoxicatind_bomb born_in_chaos_v1:intoxicating_decoction minecraft:crafting_shapeless minecraft:gunpowder minecraft:string
born_in_chaos_v1:intoxicating_dagger_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:intoxicating_dagger born_in_chaos_v1:intoxicating_decoction minecraft:crafting_shaped
born_in_chaos_v1:lordpumpkinheadslampk | minecraft:crafting_shaped | born_in_chaos_v1:ethereal_spirit born_in_chaos_v1:lord_pumpkinheads_empty_lamp born_in_chaos_v1:lord_pumpkinheads_lamp born_in_chaos_v1:orbofthe_summoner minecraft:crafting_shaped
born_in_chaos_v1:marigolds_k | minecraft:crafting_shapeless | born_in_chaos_v1:marigolds minecraft:crafting_shapeless minecraft:orange_dye
born_in_chaos_v1:mint_candy_k | minecraft:crafting_shaped | born_in_chaos_v1:mint_candy born_in_chaos_v1:river_mint minecraft:crafting_shaped minecraft:sugar
born_in_chaos_v1:minticecream_k | minecraft:crafting_shaped | born_in_chaos_v1:mint_ice_cream born_in_chaos_v1:river_mint minecraft:crafting_shaped minecraft:snowball minecraft:sugar
born_in_chaos_v1:monster_skin_k | minecraft:crafting_shapeless | born_in_chaos_v1:monster_skin minecraft:crafting_shapeless minecraft:leather
born_in_chaos_v1:mossy_black_argillite_brick_k | minecraft:crafting_shapeless | born_in_chaos_v1:black_argillite_brick born_in_chaos_v1:mossy_black_argillite_brick minecraft:crafting_shapeless
born_in_chaos_v1:nightmare_boots_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_mantleofthe_night_boots minecraft:crafting_shaped
born_in_chaos_v1:nightmare_mask_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_mantleofthe_night_helmet born_in_chaos_v1:nightmare_stalker_skull minecraft:crafting_shaped
born_in_chaos_v1:nightmare_pantsk | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_mantleofthe_night_leggings minecraft:crafting_shaped
born_in_chaos_v1:nightmare_robe_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:monster_skin born_in_chaos_v1:nightmare_mantleofthe_night_chestplate minecraft:crafting_shaped
born_in_chaos_v1:nightmare_scythe_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:nightmare_claw born_in_chaos_v1:nightmare_scythe minecraft:crafting_shaped
born_in_chaos_v1:nightmarestalkerskullk | minecraft:crafting_shapeless | born_in_chaos_v1:nightmare_stalker_skull minecraft:bone_meal minecraft:crafting_shapeless
born_in_chaos_v1:nut_hammer_craft | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:nut_hammer minecraft:crafting_shaped minecraft:logs minecraft:stick
born_in_chaos_v1:orange_stained_glass_k | minecraft:crafting_shaped | born_in_chaos_v1:fired_black_argillite born_in_chaos_v1:orange_stained_glass minecraft:black_stained_glass minecraft:crafting_shaped minecraft:orange_stained_glass
born_in_chaos_v1:orange_stained_glass_panel_k | minecraft:crafting_shaped | born_in_chaos_v1:orange_stained_glass born_in_chaos_v1:orange_stained_glass_panel minecraft:crafting_shaped
born_in_chaos_v1:permafrost_shard_craft | minecraft:crafting_shaped | born_in_chaos_v1:permafrost_shard minecraft:blue_ice minecraft:crafting_shaped
born_in_chaos_v1:phantom_bomb_k | minecraft:crafting_shaped | born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:phantom_bomb born_in_chaos_v1:phantom_powder minecraft:crafting_shaped minecraft:string
born_in_chaos_v1:phantom_powder_k | minecraft:crafting_shapeless | born_in_chaos_v1:phantom_powder minecraft:crafting_shapeless minecraft:gunpowder
born_in_chaos_v1:pileof_dark_metal_d | minecraft:crafting_shaped | born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal minecraft:crafting_shaped
born_in_chaos_v1:pileof_dark_metal_k_2 | minecraft:crafting_shapeless | born_in_chaos_v1:pieceofdarkmetal born_in_chaos_v1:pileof_dark_metal minecraft:crafting_shapeless
born_in_chaos_v1:pileof_skulls_k | minecraft:crafting_shaped | born_in_chaos_v1:pile_of_skulls born_in_chaos_v1:shattered_skull minecraft:crafting_shaped
born_in_chaos_v1:pileof_skulls_k_2 | minecraft:crafting_shapeless | born_in_chaos_v1:pile_of_skulls born_in_chaos_v1:shattered_skull minecraft:crafting_shapeless
born_in_chaos_v1:pumpkin_bullet_k | minecraft:crafting_shaped | born_in_chaos_v1:cultivated_pumpkin born_in_chaos_v1:pumpkin_bullet minecraft:crafting_shaped minecraft:gunpowder
born_in_chaos_v1:purple_stained_glass_k | minecraft:crafting_shaped | born_in_chaos_v1:fired_black_argillite born_in_chaos_v1:purple_stained_glass minecraft:black_stained_glass minecraft:crafting_shaped minecraft:purple_stained_glass
born_in_chaos_v1:purple_stained_glass_panel_k | minecraft:crafting_shaped | born_in_chaos_v1:purple_stained_glass born_in_chaos_v1:purple_stained_glass_panel minecraft:crafting_shaped
born_in_chaos_v1:rotten_soil_k | minecraft:crafting_shapeless | born_in_chaos_v1:corpse_maggot born_in_chaos_v1:rotten_soil minecraft:crafting_shapeless minecraft:dirt minecraft:rotten_flesh
born_in_chaos_v1:rotteninfernalpumpkin_craft | minecraft:crafting_shapeless | born_in_chaos_v1:infernal_evil_pumpkin born_in_chaos_v1:rotten_infernal_pumpkin minecraft:crafting_shapeless minecraft:rotten_flesh
born_in_chaos_v1:scarlet_stained_glass_k | minecraft:crafting_shaped | born_in_chaos_v1:fired_black_argillite born_in_chaos_v1:scarlet_stained_glass minecraft:black_stained_glass minecraft:crafting_shaped minecraft:red_stained_glass
born_in_chaos_v1:scarlet_stained_glass_panel_k | minecraft:crafting_shaped | born_in_chaos_v1:scarlet_stained_glass born_in_chaos_v1:scarlet_stained_glass_panel minecraft:crafting_shaped
born_in_chaos_v1:scorched_log_k | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust born_in_chaos_v1:scorched_log minecraft:crafting_shaped minecraft:logs
born_in_chaos_v1:scorched_planks_button_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_button minecraft:crafting_shaped
born_in_chaos_v1:scorched_planks_door_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_door minecraft:crafting_shaped
born_in_chaos_v1:scorched_planks_fence_gate_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_fence_gate minecraft:crafting_shaped minecraft:stick
born_in_chaos_v1:scorched_planks_fence_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_fence minecraft:crafting_shaped minecraft:stick
born_in_chaos_v1:scorched_planks_k | minecraft:crafting_shapeless | born_in_chaos_v1:scorched_planks minecraft:crafting_shapeless
born_in_chaos_v1:scorched_planks_pressure_plates_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_pressure_plates minecraft:crafting_shaped
born_in_chaos_v1:scorched_planks_slab_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_slab minecraft:crafting_shaped
born_in_chaos_v1:scorched_planks_stairs_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_stairs minecraft:crafting_shaped
born_in_chaos_v1:scorched_planks_trapdoor_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_planks born_in_chaos_v1:scorched_planks_trapdoor minecraft:crafting_shaped
born_in_chaos_v1:scorched_wood_k | minecraft:crafting_shaped | born_in_chaos_v1:scorched_log born_in_chaos_v1:scorched_wood minecraft:crafting_shaped
born_in_chaos_v1:seedof_chaos_k_1 | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:seedof_chaos born_in_chaos_v1:shattered_skull born_in_chaos_v1:staff_of_magic_arrows minecraft:crafting_shaped
born_in_chaos_v1:sharpened_darketal_sword_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:sharpened_dark_metal_sword minecraft:crafting_shaped
born_in_chaos_v1:shattered_skull_k_1 | minecraft:crafting_shapeless | born_in_chaos_v1:shattered_skull minecraft:bone_meal minecraft:crafting_shapeless
born_in_chaos_v1:shellmace_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:shell_mace born_in_chaos_v1:spiny_shell minecraft:crafting_shaped
born_in_chaos_v1:skull_crusher_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_block born_in_chaos_v1:skullbreaker_hammer minecraft:crafting_shaped
born_in_chaos_v1:smoked_flesh_k | minecraft:smoking | born_in_chaos_v1:smoked_flesh minecraft:rotten_flesh minecraft:smoking
born_in_chaos_v1:smoked_monster_flesh_k | minecraft:smoking | born_in_chaos_v1:monster_flesh born_in_chaos_v1:smoked_monster_flesh minecraft:smoking
born_in_chaos_v1:smoked_monster_flesh_k_2 | minecraft:campfire_cooking | born_in_chaos_v1:monster_flesh born_in_chaos_v1:smoked_monster_flesh minecraft:campfire_cooking
born_in_chaos_v1:smokedfish_k | minecraft:smoking | born_in_chaos_v1:rotten_fish born_in_chaos_v1:smoked_fish minecraft:smoking
born_in_chaos_v1:smoldering_infernal_ember_craft | minecraft:crafting_shaped | born_in_chaos_v1:fel_soil born_in_chaos_v1:smoldering_infernal_ember minecraft:crafting_shaped
born_in_chaos_v1:smoldering_scorche_log_k | minecraft:crafting_shaped | born_in_chaos_v1:fire_dust born_in_chaos_v1:scorched_log born_in_chaos_v1:smoldering_scorched_log minecraft:crafting_shaped
born_in_chaos_v1:smoldering_scorched_wood_k | minecraft:crafting_shaped | born_in_chaos_v1:smoldering_scorched_log born_in_chaos_v1:smoldering_scorched_wood minecraft:crafting_shaped
born_in_chaos_v1:solsendk | minecraft:crafting_shaped | born_in_chaos_v1:ethereal_spirit minecraft:crafting_shaped minecraft:sand minecraft:soul_sand
born_in_chaos_v1:solsoil_k | minecraft:crafting_shaped | born_in_chaos_v1:ethereal_spirit minecraft:crafting_shaped minecraft:dirt minecraft:soul_soil
born_in_chaos_v1:soul_saber_k | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:dark_metal_nugget born_in_chaos_v1:nightmare_claw born_in_chaos_v1:soul_cutlass minecraft:crafting_shaped
born_in_chaos_v1:spider_bite_craft | minecraft:crafting_shaped | born_in_chaos_v1:bone_handle born_in_chaos_v1:dark_metal_ingot born_in_chaos_v1:spider_bite_sword born_in_chaos_v1:spider_mandible minecraft:crafting_shaped
