copycats:crafting/copycat_block_from_slabs | minecraft:crafting_shaped | copycats:copycat_block copycats:copycat_slab copycats:feature_enabled minecraft:crafting_shaped
copycats:crafting/copycat_slab_from_beams | minecraft:crafting_shaped | copycats:copycat_beam copycats:copycat_slab copycats:feature_enabled minecraft:crafting_shaped
copycats:crafting/copycat_slab_from_panels | minecraft:crafting_shaped | copycats:copycat_slab copycats:feature_enabled create:copycat_panel minecraft:crafting_shaped
copycats:crafting/copycat_slab_from_steps | minecraft:crafting_shaped | copycats:copycat_slab copycats:feature_enabled create:copycat_step minecraft:crafting_shaped
copycats:crafting/copycat_slice_from_conversion | minecraft:crafting_shapeless | copycats:copycat_slice copycats:copycat_vertical_slice copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_sliding_door_from_conversion | minecraft:crafting_shapeless | copycats:copycat_folding_door copycats:copycat_sliding_door copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_slope_from_conversion | minecraft:crafting_shapeless | copycats:copycat_slope copycats:copycat_vertical_slope copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_stacked_half_layer_from_conversion | minecraft:crafting_shapeless | copycats:copycat_stacked_half_layer copycats:copycat_vertical_half_layer copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_stairs_from_conversion | minecraft:crafting_shapeless | copycats:copycat_stairs copycats:copycat_vertical_stairs copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_step_from_conversion | minecraft:crafting_shapeless | copycats:copycat_vertical_step copycats:feature_enabled create:copycat_step minecraft:crafting_shapeless
copycats:crafting/copycat_trapdoor_from_conversion | minecraft:crafting_shapeless | copycats:copycat_trapdoor copycats:feature_enabled create:copycat_panel minecraft:crafting_shapeless
copycats:crafting/copycat_vertical_half_layer_from_conversion | minecraft:crafting_shapeless | copycats:copycat_half_layer copycats:copycat_vertical_half_layer copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_vertical_slice_from_conversion | minecraft:crafting_shapeless | copycats:copycat_slice copycats:copycat_vertical_slice copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_vertical_slope_from_conversion | minecraft:crafting_shapeless | copycats:copycat_slope copycats:copycat_vertical_slope copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_vertical_stairs_from_conversion | minecraft:crafting_shapeless | copycats:copycat_stairs copycats:copycat_vertical_stairs copycats:feature_enabled minecraft:crafting_shapeless
copycats:crafting/copycat_vertical_step_from_conversion | minecraft:crafting_shapeless | copycats:copycat_vertical_step copycats:feature_enabled create:copycat_step minecraft:crafting_shapeless
copycats:stonecutting/copycat_beam | minecraft:stonecutting | c:ingots/zinc copycats:copycat_beam copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_block | minecraft:stonecutting | c:ingots/zinc copycats:copycat_block copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_board | minecraft:stonecutting | c:ingots/zinc copycats:copycat_board copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_byte | minecraft:stonecutting | c:ingots/zinc copycats:copycat_byte copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_byte_panel | minecraft:stonecutting | c:ingots/zinc copycats:copycat_byte_panel copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_corner_slice | minecraft:stonecutting | c:ingots/zinc copycats:copycat_corner_slice copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_door | minecraft:stonecutting | c:ingots/zinc copycats:copycat_door copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_fence | minecraft:stonecutting | c:ingots/zinc copycats:copycat_fence copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_fence_gate | minecraft:stonecutting | c:ingots/zinc copycats:copycat_fence_gate copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_flat_pane | minecraft:stonecutting | c:ingots/zinc copycats:copycat_flat_pane copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_folding_door | minecraft:stonecutting | c:ingots/zinc copycats:copycat_folding_door copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_ghost_block | minecraft:stonecutting | c:ingots/zinc copycats:copycat_ghost_block copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_half_layer | minecraft:stonecutting | c:ingots/zinc copycats:copycat_half_layer copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_half_panel | minecraft:stonecutting | c:ingots/zinc copycats:copycat_half_panel copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_heavy_weighted_pressure_plate | minecraft:stonecutting | c:ingots/zinc copycats:copycat_heavy_weighted_pressure_plate copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_iron_trapdoor | minecraft:stonecutting | c:ingots/zinc copycats:copycat_iron_trapdoor copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_ladder | minecraft:stonecutting | c:ingots/zinc copycats:copycat_ladder copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_layer | minecraft:stonecutting | c:ingots/zinc copycats:copycat_layer copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_light_weighted_pressure_plate | minecraft:stonecutting | c:ingots/zinc copycats:copycat_light_weighted_pressure_plate copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_pane | minecraft:stonecutting | c:ingots/zinc copycats:copycat_pane copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_shaft | minecraft:stonecutting | c:ingots/zinc copycats:copycat_shaft copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_slab | minecraft:stonecutting | c:ingots/zinc copycats:copycat_slab copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_slice | minecraft:stonecutting | c:ingots/zinc copycats:copycat_slice copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_sliding_door | minecraft:stonecutting | c:ingots/zinc copycats:copycat_sliding_door copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_slope | minecraft:stonecutting | c:ingots/zinc copycats:copycat_slope copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_slope_layer | minecraft:stonecutting | c:ingots/zinc copycats:copycat_slope_layer copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_stacked_half_layer | minecraft:stonecutting | c:ingots/zinc copycats:copycat_stacked_half_layer copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_stairs | minecraft:stonecutting | c:ingots/zinc copycats:copycat_stairs copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_stone_button | minecraft:stonecutting | c:ingots/zinc copycats:copycat_stone_button copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_stone_pressure_plate | minecraft:stonecutting | c:ingots/zinc copycats:copycat_stone_pressure_plate copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_trapdoor | minecraft:stonecutting | c:ingots/zinc copycats:copycat_trapdoor copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_vertical_half_layer | minecraft:stonecutting | c:ingots/zinc copycats:copycat_vertical_half_layer copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_vertical_slice | minecraft:stonecutting | c:ingots/zinc copycats:copycat_vertical_slice copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_vertical_slope | minecraft:stonecutting | c:ingots/zinc copycats:copycat_vertical_slope copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_vertical_stairs | minecraft:stonecutting | c:ingots/zinc copycats:copycat_vertical_stairs copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_vertical_step | minecraft:stonecutting | c:ingots/zinc copycats:copycat_vertical_step copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_wall | minecraft:stonecutting | c:ingots/zinc copycats:copycat_wall copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_wooden_button | minecraft:stonecutting | c:ingots/zinc copycats:copycat_wooden_button copycats:feature_enabled minecraft:stonecutting
copycats:stonecutting/copycat_wooden_pressure_plate | minecraft:stonecutting | c:ingots/zinc copycats:copycat_wooden_pressure_plate copycats:feature_enabled minecraft:stonecutting
