createimmersivetacz:ammo/40mmhe_casing | create:cutting | create:brass_sheet create:cutting createimmersivetacz:40mmhe_casing
createimmersivetacz:attachments/muzzle_refit_energy_blade | create:mechanical_crafting | create:mechanical_crafting create_armorer:muzzle_refit_energy_blade minecraft:diamond tacz:attachment
createimmersivetacz:attachments/shaft_grip | create:mechanical_crafting | create:andesite_alloy create:mechanical_crafting create:shaft create_armorer:grip_shaft tacz:attachment
createimmersivetacz:attachments/sight_reflex | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:sight_reflex minecraft:glass_pane minecraft:redstone tacz:attachment
createimmersivetacz:attachments/simple_mechanical_sight | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create:shaft create_armorer:sight_simple tacz:attachment
createimmersivetacz:attachments/standard_scope | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:sight_standard minecraft:glass_pane tacz:attachment
createimmersivetacz:attachments/telephoto_scope | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create_armorer:scope_telephoto minecraft:glass_pane tacz:attachment
createimmersivetacz:attachments/wooden_grip | create:mechanical_crafting | create:mechanical_crafting create_armorer:grip_wooden minecraft:planks tacz:attachment
createimmersivetacz:attachments/wrench_iron_spike | create:mechanical_crafting | create:mechanical_crafting create_armorer:muzzle_refit_iron_spike minecraft:iron_ingot tacz:attachment
createimmersivetacz:firing_mechanism | create:mechanical_crafting | create:cogwheel create:deployer create:large_cogwheel create:mechanical_crafting create:rotation_speed_controller createimmersivetacz:firing_mechanism minecraft:flint_and_steel
createimmersivetacz:gun_barrel | create:mechanical_crafting | c:ingots/iron create:mechanical_crafting createimmersivetacz:gun_barrel
createimmersivetacz:gun_trigger | create:mechanical_crafting | create:brass_sheet create:mechanical_crafting create:precision_mechanism createimmersivetacz:gun_trigger minecraft:lever
createimmersivetacz:gunpowder_fluid | create:mixing | create:mixing createimmersivetacz:gunpowder_fluid minecraft:gunpowder
createimmersivetacz:guns/assault_rifle | create:mechanical_crafting | create:mechanical_crafting create:precision_mechanism create_armorer:rifle_assult_crane createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:iron_ingot minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/double_barrel_shotgun | create:mechanical_crafting | create:brass_block create:mechanical_crafting create_armorer:shotgun_db_stone createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/field_gun | create:mechanical_crafting | create:cogwheel create:mechanical_crafting create_armorer:cannon_40mm_salamander createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:iron_ingot minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/grenade_launcher | create:mechanical_crafting | create:cogwheel create:mechanical_crafting create_armorer:gl_revolver_devastator createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/melee_wrench | create:mechanical_crafting | create:mechanical_crafting create:wrench create_armorer:special_melee_wrench tacz:modern_kinetic_gun
createimmersivetacz:guns/pistol | create:mechanical_crafting | create:brass_block create:mechanical_crafting create_armorer:pistol_auto_stress createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/pump_shotgun | create:mechanical_crafting | create:brass_block create:cogwheel create:mechanical_crafting create_armorer:shotgun_pump_bearing createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/revolver | create:mechanical_crafting | create:cogwheel create:mechanical_crafting create_armorer:pistol_revolver_torque createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/roller | create:mechanical_crafting | create:flywheel create:mechanical_crafting create:precision_mechanism create_armorer:rifle_assult_roller createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:iron_ingot minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/semi_rifle | create:mechanical_crafting | create:cogwheel create:mechanical_crafting create_armorer:sniper_semi_m1 createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:iron_ingot minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/smg | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting create_armorer:smg_auto_crank createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:iron_ingot minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/sniper | create:mechanical_crafting | create:cogwheel create:mechanical_crafting create_armorer:sniper_semi_clockwork createimmersivetacz:firing_mechanism createimmersivetacz:gun_barrel createimmersivetacz:gun_trigger minecraft:iron_ingot minecraft:planks tacz:modern_kinetic_gun
createimmersivetacz:guns/special_melee_atomic | create:mechanical_crafting | create:brass_ingot create:mechanical_crafting create_armorer:special_melee_atomic minecraft:diamond minecraft:stick tacz:modern_kinetic_gun
createimmersivetacz:guns/unmelee_wrench | create:mechanical_crafting | create:mechanical_crafting create:wrench tacz:modern_kinetic_gun
createimmersivetacz:nitropowder_fluid | create:mixing | create:mixing createbigcannons:nitropowder createimmersivetacz:nitropowder_fluid
createimmersivetacz:primer | create:filling | create:andesite_alloy create:filling createimmersivetacz:gunpowder_fluid createimmersivetacz:primer
createimmersivetacz:primer_from_nitropowder | create:filling | create:andesite_alloy create:filling createimmersivetacz:nitropowder_fluid createimmersivetacz:primer
