create:crushing/basalt | create:crushing | create:crushing minecraft:basalt northstar:salt
northstar:blasting/mercury_deep_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:mercury_deep_diamond_ore
northstar:blasting/mercury_deep_glowstone_ore | minecraft:blasting | minecraft:blasting minecraft:glowstone_dust northstar:mercury_deep_glowstone_ore
northstar:blasting/mercury_deep_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:mercury_deep_gold_ore
northstar:blasting/mercury_deep_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:mercury_deep_iron_ore
northstar:blasting/mercury_deep_lapis_ore | minecraft:blasting | minecraft:blasting minecraft:lapis_lazuli northstar:mercury_deep_lapis_ore
northstar:blasting/mercury_deep_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:mercury_deep_redstone_ore
northstar:blasting/mercury_deep_titanium_ore | minecraft:blasting | minecraft:blasting northstar:mercury_deep_titanium_ore northstar:titanium_ingot
northstar:blasting/mercury_deep_tungsten_ore | minecraft:blasting | minecraft:blasting northstar:mercury_deep_tungsten_ore northstar:tungsten_ingot
northstar:blasting/mercury_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:mercury_diamond_ore
northstar:blasting/mercury_glowstone_ore | minecraft:blasting | minecraft:blasting minecraft:glowstone_dust northstar:mercury_glowstone_ore
northstar:blasting/mercury_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:mercury_gold_ore
northstar:blasting/mercury_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:mercury_iron_ore
northstar:blasting/mercury_lapis_ore | minecraft:blasting | minecraft:blasting minecraft:lapis_lazuli northstar:mercury_lapis_ore
northstar:blasting/mercury_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:mercury_redstone_ore
northstar:blasting/mercury_titanium_ore | minecraft:blasting | minecraft:blasting northstar:mercury_titanium_ore northstar:titanium_ingot
northstar:blasting/mercury_tungsten_ore | minecraft:blasting | minecraft:blasting northstar:mercury_tungsten_ore northstar:tungsten_ingot
northstar:blasting/moon_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:moon_copper_ore
northstar:blasting/moon_deep_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:moon_deep_copper_ore
northstar:blasting/moon_deep_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:moon_deep_diamond_ore
northstar:blasting/moon_deep_glowstone_ore | minecraft:blasting | minecraft:blasting minecraft:glowstone_dust northstar:moon_deep_glowstone_ore
northstar:blasting/moon_deep_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:moon_deep_gold_ore
northstar:blasting/moon_deep_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:moon_deep_iron_ore
northstar:blasting/moon_deep_lapis_ore | minecraft:blasting | minecraft:blasting minecraft:lapis_lazuli northstar:moon_deep_lapis_ore
northstar:blasting/moon_deep_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:moon_deep_redstone_ore
northstar:blasting/moon_deep_titanium_ore | minecraft:blasting | minecraft:blasting northstar:moon_deep_titanium_ore northstar:titanium_ingot
northstar:blasting/moon_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:moon_diamond_ore
northstar:blasting/moon_glowstone_ore | minecraft:blasting | minecraft:blasting minecraft:glowstone_dust northstar:moon_glowstone_ore
northstar:blasting/moon_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:moon_gold_ore
northstar:blasting/moon_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:moon_iron_ore
northstar:blasting/moon_lapis_ore | minecraft:blasting | minecraft:blasting minecraft:lapis_lazuli northstar:moon_lapis_ore
northstar:blasting/moon_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:moon_redstone_ore
northstar:blasting/moon_titanium_ore | minecraft:blasting | minecraft:blasting northstar:moon_titanium_ore northstar:titanium_ingot
northstar:blasting/titanium_ingot_from_raw | minecraft:blasting | minecraft:blasting northstar:raw_titanium_ore northstar:titanium_ingot
northstar:blasting/tungsten_ingot_from_crushed | minecraft:blasting | minecraft:blasting northstar:crushed_raw_tungsten northstar:tungsten_ingot
northstar:blasting/tungsten_ingot_from_raw | minecraft:blasting | minecraft:blasting northstar:raw_tungsten_ore northstar:tungsten_ingot
northstar:blasting/venus_coal_ore | minecraft:blasting | minecraft:blasting minecraft:coal northstar:venus_coal_ore
northstar:blasting/venus_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:venus_copper_ore
northstar:blasting/venus_deep_copper_ore | minecraft:blasting | minecraft:blasting minecraft:copper_ingot northstar:venus_deep_copper_ore
northstar:blasting/venus_deep_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:venus_deep_diamond_ore
northstar:blasting/venus_deep_glowstone_ore | minecraft:blasting | minecraft:blasting minecraft:glowstone_dust northstar:venus_deep_glowstone_ore
northstar:blasting/venus_deep_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:venus_deep_gold_ore
northstar:blasting/venus_deep_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:venus_deep_iron_ore
northstar:blasting/venus_deep_quartz_ore | minecraft:blasting | minecraft:blasting minecraft:quartz northstar:venus_deep_quartz_ore
northstar:blasting/venus_deep_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:venus_deep_redstone_ore
northstar:blasting/venus_deep_titanium_ore | minecraft:blasting | minecraft:blasting northstar:titanium_ingot northstar:venus_deep_titanium_ore
northstar:blasting/venus_diamond_ore | minecraft:blasting | minecraft:blasting minecraft:diamond northstar:venus_diamond_ore
northstar:blasting/venus_glowstone_ore | minecraft:blasting | minecraft:blasting minecraft:glowstone_dust northstar:venus_glowstone_ore
northstar:blasting/venus_gold_ore | minecraft:blasting | minecraft:blasting minecraft:gold_ingot northstar:venus_gold_ore
northstar:blasting/venus_iron_ore | minecraft:blasting | minecraft:blasting minecraft:iron_ingot northstar:venus_iron_ore
northstar:blasting/venus_quartz_ore | minecraft:blasting | minecraft:blasting minecraft:quartz northstar:venus_quartz_ore
northstar:blasting/venus_redstone_ore | minecraft:blasting | minecraft:blasting minecraft:redstone northstar:venus_redstone_ore
northstar:blasting/venus_titanium_ore | minecraft:blasting | minecraft:blasting northstar:titanium_ingot northstar:venus_titanium_ore
northstar:calorian_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:calorian_logs northstar:calorian_planks
northstar:calorian_slab | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:calorian_planks northstar:calorian_slab
northstar:calorian_slab_from_calorian_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:calorian_planks northstar:calorian_slab
northstar:calorian_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:calorian_planks northstar:calorian_stairs
northstar:calorian_stairs_from_calorian_planks_stonecutting | minecraft:stonecutting | minecraft:stonecutting northstar:calorian_planks northstar:calorian_stairs
northstar:campfire_cooking/dry_plant_fiber | minecraft:campfire_cooking | minecraft:bamboo minecraft:campfire_cooking northstar:dry_plant_fiber
northstar:campfire_cooking/ice_cream_cone | minecraft:campfire_cooking | minecraft:campfire_cooking northstar:ice_cream_cone northstar:raw_ice_cream_cone
northstar:chiseled_mars_stone | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:chiseled_mars_stone northstar:mars_stone_brick_slab
northstar:chiseled_mercury_stone | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:chiseled_mercury_stone northstar:mercury_stone_brick_slab
northstar:chiseled_moon_stone | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:chiseled_moon_stone northstar:moon_stone_brick_slab
northstar:chiseled_venus_stone | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:chiseled_venus_stone northstar:venus_stone_brick_slab
northstar:coiler_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:coiler_logs northstar:coiler_planks
northstar:compacting/biofuel_from_dried_kelp | create:compacting | create:compacting minecraft:bone_meal minecraft:dried_kelp northstar:biofuel
northstar:compacting/biofuel_from_dry_plant_fiber | create:compacting | create:compacting minecraft:bone_meal northstar:biofuel northstar:dry_plant_fiber
northstar:compacting/biofuel_from_mekanism | create:compacting | create:compacting mekanism:bio_fuel neoforge:compound neoforge:mod_loaded northstar:biofuel
northstar:compacting/brine_to_salt | create:compacting | c:brine create:compacting neoforge:tag northstar:salt
northstar:compacting/carbon_from_biodiesel | create:compacting | create:compacting neoforge:mod_loaded neoforge:tag northstar:carbon northstar:compat_cdg_biodiesel
northstar:compacting/carbon_from_biofuel | create:compacting | c:biofuel create:compacting neoforge:tag northstar:carbon
northstar:compacting/carbon_from_coal | create:compacting | create:compacting minecraft:coal northstar:carbon
northstar:compacting/carbon_from_moon_sand | create:compacting | create:compacting northstar:carbon northstar:moon_sand
northstar:compacting/carbon_from_venus_gravel | create:compacting | create:compacting northstar:carbon northstar:venus_gravel
northstar:compacting/martian_steel_ingot | create:compacting | c:ingots/titanium create:compacting northstar:martian_steel northstar:raw_martian_iron_ore northstar:volcanic_ash_item
northstar:compacting/sodium_from_bloom_fungus | create:compacting | create:compacting northstar:bloom_fungus_block northstar:sodium
northstar:compacting/sodium_from_plate_fungus | create:compacting | create:compacting northstar:plate_fungus_stem_block northstar:sodium
northstar:compacting/sodium_from_spike_fungus | create:compacting | create:compacting northstar:sodium northstar:spike_fungus_block
northstar:compacting/sodium_from_tower_fungus | create:compacting | create:compacting northstar:sodium northstar:tower_fungus_stem_block
northstar:crafting/amethyst_crystal | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_ingot minecraft:redstone northstar:amethyst_crystal northstar:polished_amethyst
northstar:crafting/astronomy_table | minecraft:crafting_shaped | c:stripped_logs minecraft:crafting_shaped minecraft:iron_ingot minecraft:paper minecraft:wooden_slabs northstar:astronomy_table
northstar:crafting/combustion_engine | minecraft:crafting_shaped | c:plates/titanium create:industrial_iron_block minecraft:crafting_shaped minecraft:piston northstar:combustion_engine northstar:rocket_combustion_chamber
northstar:crafting/durable_fabric | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:string minecraft:wool northstar:durable_fabric
northstar:crafting/fan_blade | minecraft:crafting_shaped | c:plates/titanium minecraft:crafting_shaped northstar:fan_blade
northstar:crafting/frost | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:ice northstar:frost
northstar:crafting/glowstone_lamp | minecraft:crafting_shaped | c:plates/titanium minecraft:crafting_shaped minecraft:glowstone northstar:glowstone_lamp
northstar:crafting/glowstone_lantern | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glowstone_dust minecraft:iron_nugget northstar:glowstone_lantern
northstar:crafting/glowstone_torch | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glowstone_dust minecraft:iron_ingot northstar:glowstone_torch
northstar:crafting/ice_box | minecraft:crafting_shaped | c:plates/iron create:basin minecraft:blue_ice minecraft:crafting_shaped northstar:ice_box
northstar:crafting/iron_cogwheel | minecraft:crafting_shapeless | create:industrial_iron_block create:shaft minecraft:crafting_shapeless northstar:iron_cogwheel
northstar:crafting/iron_large_cogwheel | minecraft:crafting_shapeless | create:industrial_iron_block create:shaft minecraft:crafting_shapeless northstar:iron_large_cogwheel
northstar:crafting/iron_large_cogwheel_from_small | minecraft:crafting_shapeless | create:industrial_iron_block minecraft:crafting_shapeless northstar:iron_cogwheel northstar:iron_large_cogwheel
northstar:crafting/iron_space_suit_boots | minecraft:crafting_shaped | c:plates/iron minecraft:crafting_shaped minecraft:iron_boots northstar:durable_fabric northstar:iron_space_suit_boots
northstar:crafting/iron_space_suit_chestpiece | minecraft:crafting_shaped | c:plates/iron create:copper_backtank minecraft:crafting_shaped minecraft:iron_chestplate northstar:durable_fabric northstar:iron_space_suit_chestpiece
northstar:crafting/iron_space_suit_helmet | minecraft:crafting_shaped | c:plates/iron minecraft:crafting_shaped minecraft:iron_helmet minecraft:tinted_glass northstar:iron_space_suit_helmet
northstar:crafting/iron_space_suit_leggings | minecraft:crafting_shaped | c:plates/iron minecraft:crafting_shaped minecraft:iron_leggings northstar:durable_fabric northstar:iron_space_suit_leggings
northstar:crafting/jet_engine | minecraft:crafting_shaped | c:plates/titanium create:propeller minecraft:crafting_shaped northstar:jet_engine northstar:rocket_combustion_chamber
northstar:crafting/large_fan | minecraft:crafting_shaped | c:ingots/titanium c:plates/titanium create:shaft minecraft:crafting_shaped northstar:large_fan
northstar:crafting/lunar_sapphire_block | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:lunar_sapphire_block northstar:lunar_sapphire_shard
northstar:crafting/lunar_sapphire_crystal | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_ingot minecraft:redstone northstar:lunar_sapphire_crystal northstar:polished_lunar_sapphire
northstar:crafting/mars_stone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_stone northstar:mars_stone_bricks
northstar:crafting/mars_stone_bricks_deep | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mars_deep_stone northstar:mars_stone_bricks
northstar:crafting/mars_stone_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glowstone northstar:mars_stone northstar:mars_stone_lamp
northstar:crafting/martian_axe | minecraft:crafting_shaped | create:zinc_ingot minecraft:crafting_shaped northstar:martian_axe northstar:martian_steel
northstar:crafting/martian_hoe | minecraft:crafting_shaped | create:zinc_ingot minecraft:crafting_shaped northstar:martian_hoe northstar:martian_steel
northstar:crafting/martian_pickaxe | minecraft:crafting_shaped | create:zinc_ingot minecraft:crafting_shaped northstar:martian_pickaxe northstar:martian_steel
northstar:crafting/martian_shovel | minecraft:crafting_shaped | create:zinc_ingot minecraft:crafting_shaped northstar:martian_shovel northstar:martian_steel
northstar:crafting/martian_steel_block_from_ingot | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel northstar:martian_steel_block
northstar:crafting/martian_steel_blue_lamp | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped minecraft:sea_lantern northstar:martian_steel_blue_lamp
northstar:crafting/martian_steel_boots | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel northstar:martian_steel_boots
northstar:crafting/martian_steel_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel northstar:martian_steel_chestplate
northstar:crafting/martian_steel_from_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:martian_steel northstar:martian_steel_block
northstar:crafting/martian_steel_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel northstar:martian_steel_helmet
northstar:crafting/martian_steel_lamp | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped minecraft:glowstone northstar:martian_steel_lamp
northstar:crafting/martian_steel_large_plating_from_martian_steel_plating | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:martian_steel_large_plating northstar:martian_steel_plating
northstar:crafting/martian_steel_leggings | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:martian_steel northstar:martian_steel_leggings
northstar:crafting/martian_steel_plating_from_martian_steel_large_plating | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:martian_steel_large_plating northstar:martian_steel_plating
northstar:crafting/martian_steel_space_suit_boots | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped northstar:durable_fabric northstar:martian_steel_boots northstar:martian_steel_space_suit_boots
northstar:crafting/martian_steel_space_suit_chestpiece | minecraft:crafting_shaped | c:plates/martian_steel create:copper_backtank minecraft:crafting_shaped northstar:durable_fabric northstar:martian_steel_chestplate northstar:martian_steel_space_suit_chestpiece
northstar:crafting/martian_steel_space_suit_helmet | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped minecraft:tinted_glass northstar:martian_steel_helmet northstar:martian_steel_space_suit_helmet
northstar:crafting/martian_steel_space_suit_leggings | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped northstar:durable_fabric northstar:martian_steel_leggings northstar:martian_steel_space_suit_leggings
northstar:crafting/martian_sword | minecraft:crafting_shaped | create:zinc_ingot minecraft:crafting_shaped northstar:martian_steel northstar:martian_sword
northstar:crafting/mercury_stone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_stone northstar:mercury_stone_bricks
northstar:crafting/mercury_stone_bricks_deep | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:mercury_deep_stone northstar:mercury_stone_bricks
northstar:crafting/mercury_stone_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glowstone northstar:mercury_stone northstar:mercury_stone_lamp
northstar:crafting/moon_sand_paper | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:paper northstar:moon_sand northstar:moon_sand_paper
northstar:crafting/moon_stone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_stone northstar:moon_stone_bricks
northstar:crafting/moon_stone_bricks_deep | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:moon_deep_stone northstar:moon_stone_bricks
northstar:crafting/moon_stone_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glowstone northstar:moon_stone northstar:moon_stone_lamp
northstar:crafting/oxygen_detector | minecraft:crafting_shaped | c:plates/martian_steel minecraft:crafting_shaped minecraft:observer minecraft:wool northstar:advanced_circuit northstar:oxygen_detector
northstar:crafting/oxygen_filler | minecraft:crafting_shaped | c:plates/iron c:plates/titanium minecraft:crafting_shaped northstar:circuit northstar:oxygen_filler northstar:oxygen_separator
northstar:crafting/oxygen_separator | minecraft:crafting_shaped | c:plates/iron create:electron_tube create:fluid_pipe minecraft:crafting_shaped northstar:oxygen_separator
northstar:crafting/raw_ice_cream_cone | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:flattened_dough northstar:raw_ice_cream_cone
northstar:crafting/rocket_combustion_chamber | minecraft:crafting_shaped | c:plates/titanium create:propeller minecraft:crafting_shaped northstar:hardened_precision_mechanism northstar:oxygen_separator northstar:rocket_combustion_chamber
northstar:crafting/telescope | minecraft:crafting_shaped | c:ingots/brass minecraft:amethyst_shard minecraft:crafting_shaped minecraft:stick northstar:telescope
northstar:crafting/titanium_block_from_ingot | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_block northstar:titanium_ingot
northstar:crafting/titanium_ingot_from_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:titanium_block northstar:titanium_ingot
northstar:crafting/titanium_ingot_from_nuggets | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:titanium_ingot northstar:titanium_nugget
northstar:crafting/titanium_nugget_from_ingot | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:titanium_ingot northstar:titanium_nugget
northstar:crafting/titanium_space_door | minecraft:crafting_shaped | c:plates/titanium minecraft:crafting_shaped minecraft:glass northstar:circuit northstar:titanium_space_door
northstar:crafting/tungsten_block_from_ingot | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_block northstar:tungsten_ingot
northstar:crafting/tungsten_ingot_from_block | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:tungsten_block northstar:tungsten_ingot
northstar:crafting/tungsten_ingot_from_nuggets | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:tungsten_ingot northstar:tungsten_nugget
northstar:crafting/tungsten_nugget_from_ingot | minecraft:crafting_shapeless | minecraft:crafting_shapeless northstar:tungsten_ingot northstar:tungsten_nugget
northstar:crafting/vent | minecraft:crafting_shaped | c:ingots/titanium c:plates/titanium minecraft:crafting_shaped northstar:vent
northstar:crafting/venus_stone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_stone northstar:venus_stone_bricks
northstar:crafting/venus_stone_bricks_deep | minecraft:crafting_shaped | minecraft:crafting_shaped northstar:venus_deep_stone northstar:venus_stone_bricks
northstar:crafting/venus_stone_lamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:glowstone northstar:venus_stone northstar:venus_stone_lamp
northstar:crushing/mars_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:mars_copper_ore northstar:mars_stone
northstar:crushing/mars_deep_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:mars_deep_copper_ore northstar:mars_deep_stone
northstar:crushing/mars_deep_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:mars_deep_diamond_ore northstar:mars_deep_stone
northstar:crushing/mars_deep_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:mars_deep_gold_ore northstar:mars_deep_stone
northstar:crushing/mars_deep_iron_ore | create:crushing | create:crushing create:experience_nugget northstar:mars_deep_iron_ore northstar:mars_deep_stone northstar:raw_martian_iron_ore
northstar:crushing/mars_deep_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:quartz northstar:mars_deep_quartz_ore northstar:mars_deep_stone
northstar:crushing/mars_deep_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:mars_deep_redstone_ore northstar:mars_deep_stone
northstar:crushing/mars_deep_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:mars_deep_stone northstar:mars_deep_titanium_ore northstar:raw_titanium_ore
northstar:crushing/mars_deep_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:mars_deep_stone northstar:mars_deep_zinc_ore
northstar:crushing/mars_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:mars_diamond_ore northstar:mars_stone
northstar:crushing/mars_gold_ore | create:crushing | create:crushed_raw_gold create:crushing create:experience_nugget northstar:mars_gold_ore northstar:mars_stone
northstar:crushing/mars_iron_ore | create:crushing | create:crushing create:experience_nugget northstar:mars_iron_ore northstar:mars_stone northstar:raw_martian_iron_ore
northstar:crushing/mars_quartz_ore | create:crushing | create:crushing create:experience_nugget minecraft:quartz northstar:mars_quartz_ore northstar:mars_stone
northstar:crushing/mars_redstone_ore | create:crushing | create:crushing create:experience_nugget minecraft:redstone northstar:mars_redstone_ore northstar:mars_stone
northstar:crushing/mars_titanium_ore | create:crushing | create:crushing create:experience_nugget northstar:mars_stone northstar:mars_titanium_ore northstar:raw_titanium_ore
northstar:crushing/mars_zinc_ore | create:crushing | create:crushing create:experience_nugget minecraft:iron_ingot northstar:mars_stone northstar:mars_zinc_ore
northstar:crushing/mercury_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:mercury_copper_ore northstar:mercury_stone
northstar:crushing/mercury_deep_copper_ore | create:crushing | create:crushed_raw_copper create:crushing create:experience_nugget northstar:mercury_deep_copper_ore northstar:mercury_deep_stone
northstar:crushing/mercury_deep_diamond_ore | create:crushing | create:crushing create:experience_nugget minecraft:diamond northstar:mercury_deep_diamond_ore northstar:mercury_deep_stone
northstar:crushing/mercury_deep_glowstone_ore | create:crushing | create:crushing create:experience_nugget northstar:mercury_deep_glowstone_ore northstar:mercury_deep_stone northstar:raw_glowstone_ore
