s_a_b:badlandsbase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bush s_a_b:steelblockgrass s_a_b:steelblockgrassbadlands
s_a_b:lightskyhard | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:hardsteelblockcamosky s_a_b:hardsteelblocklightsky s_a_b:whitehardsteelblock
s_a_b:lightskylight | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:lightsteelblockcamosky s_a_b:lightsteelblocklightsky s_a_b:whitelightsteelblock
s_a_b:myceliumbase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mycelium s_a_b:steelblock s_a_b:steelblockmycelium
s_a_b:myceliumdouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mycelium s_a_b:doublesteelblock s_a_b:doublesteelblockmycelium
s_a_b:myceliumhard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mycelium s_a_b:hardsteelblock s_a_b:hardsteelblockmycelium
s_a_b:myceliumlight | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mycelium s_a_b:lightsteelblock s_a_b:lightsteelblockmycelium
s_a_b:olivedouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:limedoublesteelblock s_a_b:olivedoublesteel s_a_b:yellowdoublesteelblock
s_a_b:olivehard | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:limehardsteelblock s_a_b:olivehardsteel s_a_b:yellowhardsteelblock
s_a_b:olivelight | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:limelightsteelblock s_a_b:olivelightsteel s_a_b:yellowlightsteelblock
s_a_b:olivesb | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:limesteelblock s_a_b:olivesteelblock s_a_b:yellowsteelblock
s_a_b:podzolbase | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:podzol s_a_b:steelblock s_a_b:steelblockpodzol
s_a_b:podzoldouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:podzol s_a_b:doublesteelblock s_a_b:doublesteelblockpodzol
s_a_b:podzolhard | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:podzol s_a_b:hardsteelblock s_a_b:hardsteelblockpodzol
s_a_b:podzollight | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:podzol s_a_b:lightsteelblock s_a_b:lightsteelblockpodzol
s_a_b:psc | minecraft:crafting_shapeless | minecraft:candles minecraft:crafting_shapeless minecraft:paper s_a_b:puritysealsolo
s_a_b:reddesertbase | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_sand s_a_b:steelblock s_a_b:steelblockcamoreddesert
s_a_b:reddesertdouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_sand s_a_b:doublesteelblock s_a_b:doublesteelblockcamoreddesert
s_a_b:reddeserthard | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_sand s_a_b:hardsteelblock s_a_b:hardsteelblockcamoreddesert
s_a_b:reddesertlight | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:red_sand s_a_b:lightsteelblock s_a_b:lightsteelblockcamoreddesert
s_a_b:sandbagrecipe | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sand minecraft:white_carpet s_a_b:sandbag
s_a_b:savannabase | minecraft:crafting_shaped | minecraft:acacia_sapling minecraft:crafting_shaped s_a_b:steelblockgrass s_a_b:steelblockgrasssvanna
s_a_b:savannadouble | minecraft:crafting_shaped | minecraft:acacia_sapling minecraft:crafting_shaped s_a_b:doublesteelblockgrass s_a_b:doublesteelblockgrasssvanna
s_a_b:savannahard | minecraft:crafting_shaped | minecraft:acacia_sapling minecraft:crafting_shaped s_a_b:hardsteelblockgrass s_a_b:hardsteelblockgrasssvanna
s_a_b:savannalight | minecraft:crafting_shaped | minecraft:acacia_sapling minecraft:crafting_shaped s_a_b:lightsteelblockgrass s_a_b:lightsteelblockgrasssvanna
s_a_b:skybase | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:lightbluesteelblock s_a_b:steelblockcamosky s_a_b:whitesteelblock
s_a_b:skydouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockcamosky s_a_b:lightbluedoublesteelblock s_a_b:whitedoublesteelblock
s_a_b:skyhard | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:hardsteelblockcamosky s_a_b:lightbluehardsteelblock s_a_b:whitehardsteelblock
s_a_b:skylight | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:lightbluelightsteelblock s_a_b:lightsteelblockcamosky s_a_b:whitelightsteelblock
s_a_b:snowybase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:steelblockgrass s_a_b:steelgrasssnowy
s_a_b:snowydouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:doublesteelblockgrass s_a_b:doublesteelgrasssnowy
s_a_b:snowyhard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:hardsteelblockgrass s_a_b:hardsteelgrasssnowy
s_a_b:snowylight | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:lightsteelblockgrass s_a_b:lightsteelgrasssnowy
s_a_b:swampbase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:steelblockgrass s_a_b:steelblockgrassswamp
s_a_b:swampdouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:doublesteelblockgrass s_a_b:doublesteelblockgrassswamp
s_a_b:swamphard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:hardsteelblockgrass s_a_b:hardsteelblockgrassswamp
s_a_b:swamplight | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:lightsteelblockgrass s_a_b:lightsteelblockgrassswamp
s_a_b:taigabase | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:steelblockgrass s_a_b:steelblockgrasstaiga
s_a_b:taigadouble | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:doublesteelblockgrass s_a_b:doublesteelblockgrasstaiga
s_a_b:taigahard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:hardsteelblockgrass s_a_b:hardsteelblockgrasstaiga
s_a_b:taigalight | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:lightsteelblockgrass s_a_b:lightsteelblockgrasstaiga
s_a_b:wadendouble | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluedoublesteelblock s_a_b:cyandoublesteelblock s_a_b:wardendoublesteelblock
s_a_b:wardenbase | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluesteelblock s_a_b:cyansteelblock s_a_b:wardensteelblock
s_a_b:wardenhard | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluehardsteelblock s_a_b:cyanhardsteelblock s_a_b:wardenhardsteelblock
s_a_b:wardenlight | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluelightsteelblock s_a_b:cyanlightsteelblock s_a_b:wardenlightsteelblock
s_a_b:compacting/double_steel_block | create:compacting | create:compacting s_a_b:doublesteelblock s_a_b:steelblock tfmg:heavy_plate
s_a_b:compacting/hard_steel_block | create:compacting | create:compacting s_a_b:hardsteelblock s_a_b:steelblock tfmg:heavy_plate
s_a_b:compacting/light_steel_block | create:compacting | create:compacting s_a_b:lightsteelblock tfmg:heavy_plate
s_a_b:compacting/steel_block | create:compacting | create:compacting s_a_b:lightsteelblock s_a_b:steelblock
s_a_b:crafting/camos/double/double_steel_block_camo_desert | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sand s_a_b:doublesteelblock s_a_b:doublesteelblockcamodesert
s_a_b:crafting/camos/double/double_steel_block_camo_forest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_sapling s_a_b:doublesteelblock s_a_b:doublesteelblockcamoforest
s_a_b:crafting/camos/double/double_steel_block_camo_jungle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:doublesteelblock s_a_b:doublesteelblockcamojungle
s_a_b:crafting/camos/double/double_steel_block_camo_mesa | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_sand s_a_b:doublesteelblock s_a_b:doublesteelblockcamomesa
s_a_b:crafting/camos/double/double_steel_block_camo_plains | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:grass s_a_b:doublesteelblock s_a_b:doublesteelblockcamoplains
s_a_b:crafting/camos/double/double_steel_block_camo_snow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:doublesteelblock s_a_b:doublesteelblockcamosnow
s_a_b:crafting/camos/double/double_steel_block_camo_swamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:doublesteelblock s_a_b:doublesteelblockcamoswamp
s_a_b:crafting/camos/double/double_steel_block_camo_taiga | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:doublesteelblock s_a_b:doublesteelblockcamotaiga
s_a_b:crafting/camos/hard/hard_steel_block_camo_desert | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sand s_a_b:hardsteelblock s_a_b:hardsteelblockcamodesert
s_a_b:crafting/camos/hard/hard_steel_block_camo_forest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_sapling s_a_b:hardsteelblock s_a_b:hardsteelblockcamoforest
s_a_b:crafting/camos/hard/hard_steel_block_camo_jungle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:hardsteelblock s_a_b:hardsteelblockcamojungle
s_a_b:crafting/camos/hard/hard_steel_block_camo_mesa | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_sand s_a_b:hardsteelblock s_a_b:hardsteelblockcamomesa
s_a_b:crafting/camos/hard/hard_steel_block_camo_plains | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:grass s_a_b:hardsteelblock s_a_b:hardsteelblockcamoplains
s_a_b:crafting/camos/hard/hard_steel_block_camo_snow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:hardsteelblock s_a_b:hardsteelblockcamosnow
s_a_b:crafting/camos/hard/hard_steel_block_camo_swamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:hardsteelblock s_a_b:hardsteelblockcamoswamp
s_a_b:crafting/camos/hard/hard_steel_block_camo_taiga | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:hardsteelblock s_a_b:hardsteelblockcamotaiga
s_a_b:crafting/camos/light/light_steel_block_camo_desert | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sand s_a_b:lightsteelblock s_a_b:lightsteelcamodesert
s_a_b:crafting/camos/light/light_steel_block_camo_forest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_sapling s_a_b:lightsteelblock s_a_b:lightsteelcamoforest
s_a_b:crafting/camos/light/light_steel_block_camo_jungle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:lightsteelblock s_a_b:lightsteelcamojungle
s_a_b:crafting/camos/light/light_steel_block_camo_mesa | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_sand s_a_b:lightsteelblock s_a_b:lightsteelcamomesa
s_a_b:crafting/camos/light/light_steel_block_camo_plains | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:grass s_a_b:lightsteelblock s_a_b:lightsteelblockcamoplains
s_a_b:crafting/camos/light/light_steel_block_camo_snow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:lightsteelblock s_a_b:lightsteelcamosnow
s_a_b:crafting/camos/light/light_steel_block_camo_swamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:lightsteelblock s_a_b:lightsteelcamoswamp
s_a_b:crafting/camos/light/light_steel_block_camo_taiga | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:lightsteelblock s_a_b:lightsteelcamotaiga
s_a_b:crafting/camos/normal/steel_block_camo_desert | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:sand s_a_b:steelblock s_a_b:steelblockcamodesert
s_a_b:crafting/camos/normal/steel_block_camo_forest | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_sapling s_a_b:steelblock s_a_b:steelblockcamoforest
s_a_b:crafting/camos/normal/steel_block_camo_jungle | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_sapling s_a_b:steelblock s_a_b:steelblockcamojungle
s_a_b:crafting/camos/normal/steel_block_camo_mesa | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_sand s_a_b:steelblock s_a_b:steelblockcamomesa
s_a_b:crafting/camos/normal/steel_block_camo_plains | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:grass s_a_b:steelblock s_a_b:steelblockcamoplains
s_a_b:crafting/camos/normal/steel_block_camo_snow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:snow_block s_a_b:steelblock s_a_b:steelblockcamosnow
s_a_b:crafting/camos/normal/steel_block_camo_swamp | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:vine s_a_b:steelblock s_a_b:steelblockcamoswamp
s_a_b:crafting/camos/normal/steel_block_camo_taiga | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_sapling s_a_b:steelblock s_a_b:steelblockcamotaiga
s_a_b:crafting/colored/double/double_steel_block_29 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluedoublesteelblock s_a_b:cyandoublesteelblock s_a_b:doublesteelblockcolored_29
s_a_b:crafting/colored/double/double_steel_block_31 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyandoublesteelblock s_a_b:doublesteelblockcolored_31 s_a_b:lightgraydoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_32 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyandoublesteelblock s_a_b:doublesteelblockcolored_32 s_a_b:graydoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_33 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyandoublesteelblock s_a_b:doublesteelblockcolored_33 s_a_b:lightbluedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_4bo | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblock_4bo s_a_b:greendoublesteelblock s_a_b:limedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_black | minecraft:crafting_shaped | minecraft:black_dye minecraft:crafting_shaped s_a_b:blackdoublesteelblock s_a_b:doublesteelblock
s_a_b:crafting/colored/double/double_steel_block_blue | minecraft:crafting_shaped | minecraft:blue_dye minecraft:crafting_shaped s_a_b:bluedoublesteelblock s_a_b:doublesteelblock
s_a_b:crafting/colored/double/double_steel_block_brown | minecraft:crafting_shaped | minecraft:brown_dye minecraft:crafting_shaped s_a_b:browndoublesteelblock s_a_b:doublesteelblock
s_a_b:crafting/colored/double/double_steel_block_cyan | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_dye s_a_b:cyandoublesteelblock s_a_b:doublesteelblock
s_a_b:crafting/colored/double/double_steel_block_gelb | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockgelb s_a_b:whitedoublesteelblock s_a_b:yellowdoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_grau | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockpanzergrau s_a_b:lightgraydoublesteelblock s_a_b:whitedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_gray | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_dye s_a_b:doublesteelblock s_a_b:graydoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_green | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_dye s_a_b:doublesteelblock s_a_b:greendoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_light_blue | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_dye s_a_b:doublesteelblock s_a_b:lightbluedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_light_gray | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_dye s_a_b:doublesteelblock s_a_b:lightgraydoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_lime | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_dye s_a_b:doublesteelblock s_a_b:limedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_magenta | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_dye s_a_b:doublesteelblock s_a_b:magentadoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_orange | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_dye s_a_b:doublesteelblock s_a_b:orangedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_parade | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockcoloredparade s_a_b:graydoublesteelblock s_a_b:greendoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_pink | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_dye s_a_b:doublesteelblock s_a_b:pinkdoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_purple | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_dye s_a_b:doublesteelblock s_a_b:purpledoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_red | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_dye s_a_b:doublesteelblock s_a_b:reddoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_rotbraun | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockrotbraun s_a_b:reddoublesteelblock s_a_b:whitedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_ship_bottom | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:doublesteelblockshipbottom s_a_b:reddoublesteelblock s_a_b:whitedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_white | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_dye s_a_b:doublesteelblock s_a_b:whitedoublesteelblock
s_a_b:crafting/colored/double/double_steel_block_yellow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:yellow_dye s_a_b:doublesteelblock s_a_b:yellowdoublesteelblock
s_a_b:crafting/colored/hard/hard_steel_block_29 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluehardsteelblock s_a_b:cyanhardsteelblock s_a_b:hardsteelblockcolored_29
s_a_b:crafting/colored/hard/hard_steel_block_31 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyanhardsteelblock s_a_b:hardsteelblockcolored_31 s_a_b:lightgrayhardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_32 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyanhardsteelblock s_a_b:grayhardsteelblock s_a_b:hardsteelblockcolored_32
s_a_b:crafting/colored/hard/hard_steel_block_33 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyanhardsteelblock s_a_b:hardsteelblockcolored_33 s_a_b:lightbluehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_4bo | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:greenhardsteelblock s_a_b:hardsteelblock_4bo s_a_b:limehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_black | minecraft:crafting_shaped | minecraft:black_dye minecraft:crafting_shaped s_a_b:blackhardsteelblock s_a_b:hardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_blue | minecraft:crafting_shaped | minecraft:blue_dye minecraft:crafting_shaped s_a_b:bluehardsteelblock s_a_b:hardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_brown | minecraft:crafting_shaped | minecraft:brown_dye minecraft:crafting_shaped s_a_b:brownhardsteelblock s_a_b:hardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_cyan | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:cyan_dye s_a_b:cyanhardsteelblock s_a_b:hardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_gelb | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:hardsteelblockgelb s_a_b:whitehardsteelblock s_a_b:yellowhardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_grau | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:hardsteelblockpanzergrau s_a_b:lightgrayhardsteelblock s_a_b:whitehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_gray | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gray_dye s_a_b:grayhardsteelblock s_a_b:hardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_green | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:green_dye s_a_b:greenhardsteelblock s_a_b:hardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_light_blue | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_blue_dye s_a_b:hardsteelblock s_a_b:lightbluehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_light_gray | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:light_gray_dye s_a_b:hardsteelblock s_a_b:lightgrayhardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_lime | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lime_dye s_a_b:hardsteelblock s_a_b:limehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_magenta | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magenta_dye s_a_b:hardsteelblock s_a_b:magentahardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_orange | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:orange_dye s_a_b:hardsteelblock s_a_b:orange
s_a_b:crafting/colored/hard/hard_steel_block_parade | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:grayhardsteelblock s_a_b:greenhardsteelblock s_a_b:hardsteelblockcoloredparade
s_a_b:crafting/colored/hard/hard_steel_block_pink | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pink_dye s_a_b:hardsteelblock s_a_b:pinkhardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_purple | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:purple_dye s_a_b:hardsteelblock s_a_b:purplehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_red | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:red_dye s_a_b:hardsteelblock s_a_b:redhardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_rotbraun | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:hardsteelblockrotbraun s_a_b:redhardsteelblock s_a_b:whitehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_ship_bottom | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:hardsteelblockshipbottom s_a_b:redhardsteelblock s_a_b:whitehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_white | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:white_dye s_a_b:hardsteelblock s_a_b:whitehardsteelblock
s_a_b:crafting/colored/hard/hard_steel_block_yellow | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:yellow_dye s_a_b:hardsteelblock s_a_b:yellowhardsteelblock
s_a_b:crafting/colored/light/light_steel_block_29 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:bluelightsteelblock s_a_b:cyanlightsteelblock s_a_b:lightsteelblockcolored_29
s_a_b:crafting/colored/light/light_steel_block_31 | minecraft:crafting_shapeless | minecraft:crafting_shapeless s_a_b:cyanlightsteelblock s_a_b:lightgraylightsteelblock s_a_b:lightsteelblockcolored_31
