ars_nouveau:agronomic_sourcelink | minecraft:crafting_shaped | ars_nouveau:agronomic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:wheat
ars_nouveau:enchanters_gauntlet | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanters_gauntlet ars_nouveau:enchanting_apparatus c:gems/diamond c:leathers c:storage_blocks/gold c:storage_blocks/source
ars_nouveau:enchanters_mirror | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanters_mirror ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence c:glass_blocks c:ingots/gold c:logs/archwood c:storage_blocks/source
ars_nouveau:enchanters_shield | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanters_shield ars_nouveau:enchanting_apparatus c:storage_blocks/gold c:storage_blocks/source minecraft:shield
ars_nouveau:enchanters_sword | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanters_sword ars_nouveau:enchanting_apparatus c:gems/diamond c:storage_blocks/gold c:storage_blocks/source minecraft:diamond_sword
ars_nouveau:enchanting_apparatus | minecraft:crafting_shaped | ars_nouveau:enchanting_apparatus ars_nouveau:sourcestone c:gems/diamond c:ingots/gold c:nuggets/gold minecraft:crafting_shaped
ars_nouveau:experience_gem | minecraft:crafting_shapeless | ars_nouveau:experience_gem ars_nouveau:greater_experience_gem minecraft:crafting_shapeless
ars_nouveau:falseweave | minecraft:crafting_shaped | ars_nouveau:air_essence ars_nouveau:falseweave ars_nouveau:magebloom_block minecraft:crafting_shaped
ars_nouveau:feather_falling_1 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:slime_balls c:storage_blocks/source minecraft:feather_falling
ars_nouveau:feather_falling_2 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:slime_balls c:storage_blocks/source minecraft:feather_falling
ars_nouveau:feather_falling_3 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:slime_balls c:storage_blocks/lapis c:storage_blocks/source minecraft:feather_falling
ars_nouveau:feather_falling_4 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment c:storage_blocks/lapis c:storage_blocks/source minecraft:feather_falling
ars_nouveau:fill_potion_flask_0 | ars_nouveau:potion_flask | ars_nouveau:potion_flask minecraft:potion
ars_nouveau:fill_potion_flask_1 | ars_nouveau:potion_flask | ars_nouveau:potion_flask ars_nouveau:potion_flask_extend_time minecraft:potion
ars_nouveau:fill_potion_flask_2 | ars_nouveau:potion_flask | ars_nouveau:potion_flask ars_nouveau:potion_flask_amplify minecraft:potion
ars_nouveau:fire_aspect_1 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:fire_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:fire_aspect
ars_nouveau:fire_aspect_2 | ars_nouveau:enchantment | ars_nouveau:enchantment ars_nouveau:fire_essence c:storage_blocks/lapis c:storage_blocks/source minecraft:fire_aspect
ars_nouveau:fire_essence_to_charge | minecraft:crafting_shapeless | ars_nouveau:fire_essence minecraft:coal minecraft:crafting_shapeless minecraft:fire_charge minecraft:gunpowder
ars_nouveau:fire_essence_to_magma_block | minecraft:crafting_shaped | ars_nouveau:fire_essence c:stones minecraft:crafting_shaped minecraft:magma_block
ars_nouveau:fire_protection_1 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:fire_essence c:storage_blocks/source minecraft:fire_protection
ars_nouveau:fire_protection_2 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:fire_essence c:storage_blocks/source minecraft:fire_protection
ars_nouveau:fire_protection_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:fire_essence c:rods/blaze c:storage_blocks/source minecraft:fire_protection
ars_nouveau:fire_protection_4 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:fire_essence c:rods/blaze c:storage_blocks/source minecraft:fire_protection
ars_nouveau:fire_protection_5 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment ars_nouveau:fire_essence c:rods/blaze c:storage_blocks/source minecraft:fire_protection
ars_nouveau:first_armor_upgrade | ars_nouveau:armor_upgrade | ars_nouveau:armor_upgrade c:rods/blaze
ars_nouveau:flame_1 | ars_nouveau:enchantment | ars_nouveau:air_essence ars_nouveau:enchantment ars_nouveau:fire_essence c:rods/blaze minecraft:flame
ars_nouveau:fortune_1 | ars_nouveau:enchantment | ars_nouveau:earth_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/source minecraft:fortune
ars_nouveau:fortune_2 | ars_nouveau:enchantment | ars_nouveau:earth_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/source minecraft:fortune
ars_nouveau:fortune_3 | ars_nouveau:enchantment | ars_nouveau:earth_essence ars_nouveau:enchantment c:storage_blocks/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:fortune
ars_nouveau:frostaya_to_light_blue | minecraft:crafting_shapeless | ars_nouveau:frostaya_pod minecraft:crafting_shapeless minecraft:light_blue_dye
ars_nouveau:ghostweave | minecraft:crafting_shaped | ars_nouveau:abjuration_essence ars_nouveau:ghostweave ars_nouveau:magebloom_block minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_alternating_slab | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_alternating ars_nouveau:gilded_sourcestone_alternating_slab minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_alternating_stairs | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_alternating ars_nouveau:gilded_sourcestone_alternating_stairs minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_alternating_stone_cutterslab | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_alternating ars_nouveau:gilded_sourcestone_alternating_slab minecraft:stonecutting
ars_nouveau:gilded_sourcestone_alternating_stonecutter_stair | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_alternating ars_nouveau:gilded_sourcestone_alternating_stairs minecraft:stonecutting
ars_nouveau:gilded_sourcestone_alternating_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:gilded_sourcestone_alternating ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:gilded_sourcestone_basketweave_slab | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_basketweave ars_nouveau:gilded_sourcestone_basketweave_slab minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_basketweave_stairs | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_basketweave ars_nouveau:gilded_sourcestone_basketweave_stairs minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_basketweave_stone_cutterslab | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_basketweave ars_nouveau:gilded_sourcestone_basketweave_slab minecraft:stonecutting
ars_nouveau:gilded_sourcestone_basketweave_stonecutter_stair | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_basketweave ars_nouveau:gilded_sourcestone_basketweave_stairs minecraft:stonecutting
ars_nouveau:gilded_sourcestone_basketweave_to_sourcestone | minecraft:crafting_shapeless | ars_nouveau:gilded_sourcestone_basketweave ars_nouveau:sourcestone minecraft:crafting_shapeless
ars_nouveau:gilded_sourcestone_large_bricks_slab | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_large_bricks ars_nouveau:gilded_sourcestone_large_bricks_slab minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_large_bricks_stairs | minecraft:crafting_shaped | ars_nouveau:gilded_sourcestone_large_bricks ars_nouveau:gilded_sourcestone_large_bricks_stairs minecraft:crafting_shaped
ars_nouveau:gilded_sourcestone_large_bricks_stone_cutterslab | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_large_bricks ars_nouveau:gilded_sourcestone_large_bricks_slab minecraft:stonecutting
ars_nouveau:gilded_sourcestone_large_bricks_stonecutter_stair | minecraft:stonecutting | ars_nouveau:gilded_sourcestone_large_bricks ars_nouveau:gilded_sourcestone_large_bricks_stairs minecraft:stonecutting
