minecraft:dark_prismarine | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_prismarine minecraft:ink_sac minecraft:prismarine_shard
upgrade_aquatic:bubble_coralstone_stairs_from_bubble_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:bubble_coralstone upgrade_aquatic:bubble_coralstone_stairs
upgrade_aquatic:bubble_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:bubble_coralstone upgrade_aquatic:bubble_coralstone_wall
upgrade_aquatic:bubble_coralstone_wall_from_bubble_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:bubble_coralstone upgrade_aquatic:bubble_coralstone_wall
upgrade_aquatic:chiseled_acan_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:acan_coralstone_slab upgrade_aquatic:chiseled_acan_coralstone
upgrade_aquatic:chiseled_brain_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:brain_coralstone_slab upgrade_aquatic:chiseled_brain_coralstone
upgrade_aquatic:chiseled_branch_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:branch_coralstone_slab upgrade_aquatic:chiseled_branch_coralstone
upgrade_aquatic:chiseled_bubble_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:bubble_coralstone_slab upgrade_aquatic:chiseled_bubble_coralstone
upgrade_aquatic:chiseled_chrome_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_chrome_coralstone upgrade_aquatic:chrome_coralstone_slab
upgrade_aquatic:chiseled_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_coralstone upgrade_aquatic:coralstone_slab
upgrade_aquatic:chiseled_dead_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_dead_coralstone upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:chiseled_driftwood_bookshelf | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:chiseled_driftwood_bookshelf upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_slab woodworks:config
upgrade_aquatic:chiseled_elder_prismarine_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_slab
upgrade_aquatic:chiseled_finger_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_finger_coralstone upgrade_aquatic:finger_coralstone_slab
upgrade_aquatic:chiseled_fire_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_fire_coralstone upgrade_aquatic:fire_coralstone_slab
upgrade_aquatic:chiseled_horn_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_horn_coralstone upgrade_aquatic:horn_coralstone_slab
upgrade_aquatic:chiseled_moss_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_moss_coralstone upgrade_aquatic:moss_coralstone_slab
upgrade_aquatic:chiseled_petal_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_petal_coralstone upgrade_aquatic:petal_coralstone_slab
upgrade_aquatic:chiseled_pillow_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_pillow_coralstone upgrade_aquatic:pillow_coralstone_slab
upgrade_aquatic:chiseled_prismarine_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_prismarine_coralstone upgrade_aquatic:prismarine_coralstone_slab
upgrade_aquatic:chiseled_river_bookshelf | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:chiseled_river_bookshelf upgrade_aquatic:river_planks upgrade_aquatic:river_slab woodworks:config
upgrade_aquatic:chiseled_rock_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_rock_coralstone upgrade_aquatic:rock_coralstone_slab
upgrade_aquatic:chiseled_scute_shingles | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_scute_shingles upgrade_aquatic:scute_shingle_slab
upgrade_aquatic:chiseled_scute_shingles_from_scute_shingles_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:chiseled_scute_shingles upgrade_aquatic:scute_shingles
upgrade_aquatic:chiseled_silk_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_silk_coralstone upgrade_aquatic:silk_coralstone_slab
upgrade_aquatic:chiseled_star_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_star_coralstone upgrade_aquatic:star_coralstone_slab
upgrade_aquatic:chiseled_tooth_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_tooth_bricks upgrade_aquatic:tooth_brick_slab
upgrade_aquatic:chiseled_tooth_bricks_from_tooth_bricks_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:chiseled_tooth_bricks upgrade_aquatic:tooth_bricks
upgrade_aquatic:chiseled_tube_coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chiseled_tube_coralstone upgrade_aquatic:tube_coralstone_slab
upgrade_aquatic:chrome_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chrome_coral_block upgrade_aquatic:chrome_corals
upgrade_aquatic:chrome_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chrome_coralstone upgrade_aquatic:chrome_coralstone_slab
upgrade_aquatic:chrome_coralstone_slab_from_chrome_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:chrome_coralstone upgrade_aquatic:chrome_coralstone_slab
upgrade_aquatic:chrome_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chrome_coralstone upgrade_aquatic:chrome_coralstone_stairs
upgrade_aquatic:chrome_coralstone_stairs_from_chrome_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:chrome_coralstone upgrade_aquatic:chrome_coralstone_stairs
upgrade_aquatic:chrome_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:chrome_coralstone upgrade_aquatic:chrome_coralstone_wall
upgrade_aquatic:chrome_coralstone_wall_from_chrome_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:chrome_coralstone upgrade_aquatic:chrome_coralstone_wall
upgrade_aquatic:cooked_lionfish | minecraft:smelting | minecraft:smelting upgrade_aquatic:cooked_lionfish upgrade_aquatic:lionfish
upgrade_aquatic:cooked_lionfish_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking upgrade_aquatic:cooked_lionfish upgrade_aquatic:lionfish
upgrade_aquatic:cooked_lionfish_from_smoking | minecraft:smoking | minecraft:smoking upgrade_aquatic:cooked_lionfish upgrade_aquatic:lionfish
upgrade_aquatic:cooked_perch | minecraft:smelting | minecraft:smelting upgrade_aquatic:cooked_perch upgrade_aquatic:perch
upgrade_aquatic:cooked_perch_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking upgrade_aquatic:cooked_perch upgrade_aquatic:perch
upgrade_aquatic:cooked_perch_from_smoking | minecraft:smoking | minecraft:smoking upgrade_aquatic:cooked_perch upgrade_aquatic:perch
upgrade_aquatic:cooked_pike | minecraft:smelting | minecraft:smelting upgrade_aquatic:cooked_pike upgrade_aquatic:pike
upgrade_aquatic:cooked_pike_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking upgrade_aquatic:cooked_pike upgrade_aquatic:pike
upgrade_aquatic:cooked_pike_from_smoking | minecraft:smoking | minecraft:smoking upgrade_aquatic:cooked_pike upgrade_aquatic:pike
upgrade_aquatic:coralstone | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:nautilus_shell minecraft:stone_bricks upgrade_aquatic:coralstone
upgrade_aquatic:coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:coralstone upgrade_aquatic:coralstone_slab
upgrade_aquatic:coralstone_slab_from_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:coralstone upgrade_aquatic:coralstone_slab
upgrade_aquatic:coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:coralstone upgrade_aquatic:coralstone_stairs
upgrade_aquatic:coralstone_stairs_from_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:coralstone upgrade_aquatic:coralstone_stairs
upgrade_aquatic:coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:coralstone upgrade_aquatic:coralstone_wall
upgrade_aquatic:coralstone_wall_from_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:coralstone upgrade_aquatic:coralstone_wall
upgrade_aquatic:cyan_dye_from_pickerelweed | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye upgrade_aquatic:pickerelweed
upgrade_aquatic:dead_acan_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_acan_coral_block upgrade_aquatic:dead_acan_corals
upgrade_aquatic:dead_brain_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_brain_coral_block upgrade_aquatic:dead_brain_corals
upgrade_aquatic:dead_branch_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_branch_coral_block upgrade_aquatic:dead_branch_corals
upgrade_aquatic:dead_bubble_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_bubble_coral_block upgrade_aquatic:dead_bubble_corals
upgrade_aquatic:dead_chrome_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_chrome_coral_block upgrade_aquatic:dead_chrome_corals
upgrade_aquatic:dead_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_coralstone upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:dead_coralstone_slab_from_dead_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:dead_coralstone upgrade_aquatic:dead_coralstone_slab
upgrade_aquatic:dead_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_coralstone upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:dead_coralstone_stairs_from_dead_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:dead_coralstone upgrade_aquatic:dead_coralstone_stairs
upgrade_aquatic:dead_coralstone_wall | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_coralstone upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:dead_coralstone_wall_from_dead_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:dead_coralstone upgrade_aquatic:dead_coralstone_wall
upgrade_aquatic:dead_finger_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_finger_coral_block upgrade_aquatic:dead_finger_corals
upgrade_aquatic:dead_fire_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_fire_coral_block upgrade_aquatic:dead_fire_corals
upgrade_aquatic:dead_horn_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_horn_coral_block upgrade_aquatic:dead_horn_corals
upgrade_aquatic:dead_moss_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_moss_coral_block upgrade_aquatic:dead_moss_corals
upgrade_aquatic:dead_petal_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_petal_coral_block upgrade_aquatic:dead_petal_corals
upgrade_aquatic:dead_pillow_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_pillow_coral_block upgrade_aquatic:dead_pillow_corals
upgrade_aquatic:dead_rock_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_rock_coral_block upgrade_aquatic:dead_rock_corals
upgrade_aquatic:dead_silk_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_silk_coral_block upgrade_aquatic:dead_silk_corals
upgrade_aquatic:dead_star_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:dead_star_coral_block upgrade_aquatic:dead_star_corals
upgrade_aquatic:dead_tube_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dead_tube_coral_block upgrade_aquatic:dead_tube_corals
upgrade_aquatic:driftwood | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood upgrade_aquatic:driftwood_log
upgrade_aquatic:driftwood_beehive | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped minecraft:honeycomb neoforge:mod_loaded upgrade_aquatic:driftwood_beehive upgrade_aquatic:driftwood_planks woodworks:config
upgrade_aquatic:driftwood_boards | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:driftwood_boards upgrade_aquatic:driftwood_slab woodworks:config
upgrade_aquatic:driftwood_boards_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_boards upgrade_aquatic:driftwood_logs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_boards_from_driftwood_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_boards upgrade_aquatic:driftwood_planks woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_boat | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood_boat upgrade_aquatic:driftwood_planks
upgrade_aquatic:driftwood_bookshelf | minecraft:crafting_shaped | blueprint:and minecraft:book minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:driftwood_bookshelf upgrade_aquatic:driftwood_planks woodworks:config
upgrade_aquatic:driftwood_button | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:driftwood_button upgrade_aquatic:driftwood_planks
upgrade_aquatic:driftwood_button_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_button upgrade_aquatic:driftwood_logs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_button_from_driftwood_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_button upgrade_aquatic:driftwood_planks woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_chest | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped neoforge:mod_loaded upgrade_aquatic:driftwood_chest upgrade_aquatic:driftwood_planks woodworks:config
upgrade_aquatic:driftwood_chest_boat | minecraft:crafting_shapeless | c:chests/wooden minecraft:crafting_shapeless upgrade_aquatic:driftwood_boat upgrade_aquatic:driftwood_chest_boat
upgrade_aquatic:driftwood_door | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood_door upgrade_aquatic:driftwood_planks
upgrade_aquatic:driftwood_door_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_door upgrade_aquatic:driftwood_logs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_fence | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick upgrade_aquatic:driftwood_fence upgrade_aquatic:driftwood_planks
upgrade_aquatic:driftwood_fence_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_fence upgrade_aquatic:driftwood_logs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_fence_from_driftwood_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_fence upgrade_aquatic:driftwood_planks woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_fence_gate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick upgrade_aquatic:driftwood_fence_gate upgrade_aquatic:driftwood_planks
upgrade_aquatic:driftwood_fence_gate_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_fence_gate upgrade_aquatic:driftwood_logs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_furnace_boat | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:furnace neoforge:mod_loaded upgrade_aquatic:driftwood_boat upgrade_aquatic:driftwood_furnace_boat
upgrade_aquatic:driftwood_hanging_sign | minecraft:crafting_shaped | minecraft:chain minecraft:crafting_shaped upgrade_aquatic:driftwood_hanging_sign upgrade_aquatic:stripped_driftwood_log
upgrade_aquatic:driftwood_ladder | minecraft:crafting_shaped | blueprint:and minecraft:crafting_shaped minecraft:stick neoforge:mod_loaded upgrade_aquatic:driftwood_ladder upgrade_aquatic:driftwood_planks woodworks:config
upgrade_aquatic:driftwood_ladder_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_ladder upgrade_aquatic:driftwood_logs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_ladder_from_driftwood_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_ladder upgrade_aquatic:driftwood_planks woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_planks | minecraft:crafting_shapeless | minecraft:crafting_shapeless upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_planks
upgrade_aquatic:driftwood_planks_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_planks woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_pressure_plate | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_pressure_plate
upgrade_aquatic:driftwood_pressure_plate_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_pressure_plate woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_sign | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_sign
upgrade_aquatic:driftwood_sign_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_sign woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_slab
upgrade_aquatic:driftwood_slab_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_slab woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_slab_from_driftwood_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_slab woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_stairs
upgrade_aquatic:driftwood_stairs_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_stairs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_stairs_from_driftwood_planks_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_stairs woodworks:config woodworks:sawmill
upgrade_aquatic:driftwood_trapdoor | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:driftwood_planks upgrade_aquatic:driftwood_trapdoor
upgrade_aquatic:driftwood_trapdoor_from_driftwood_logs_sawing | woodworks:sawmill | blueprint:and neoforge:mod_loaded upgrade_aquatic:driftwood_logs upgrade_aquatic:driftwood_trapdoor woodworks:config woodworks:sawmill
upgrade_aquatic:elder_prismarine_coral_block | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:elder_prismarine_coral_block upgrade_aquatic:elder_prismarine_corals
upgrade_aquatic:elder_prismarine_coralstone_slab | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_slab
upgrade_aquatic:elder_prismarine_coralstone_slab_from_elder_prismarine_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_slab
upgrade_aquatic:elder_prismarine_coralstone_stairs | minecraft:crafting_shaped | minecraft:crafting_shaped upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_stairs
upgrade_aquatic:elder_prismarine_coralstone_stairs_from_elder_prismarine_coralstone_stonecutting | minecraft:stonecutting | minecraft:stonecutting upgrade_aquatic:elder_prismarine_coralstone upgrade_aquatic:elder_prismarine_coralstone_stairs
