createbigcannons:ap_autocannon_round | minecraft:crafting_shaped | c:ingots/cast_iron c:ingots/iron createbigcannons:ap_autocannon_round minecraft:crafting_shaped
createbigcannons:ram_head | minecraft:crafting_shaped | create:piston_extension_pole createbigcannons:ram_head minecraft:crafting_shaped minecraft:planks
createbigcannons:ram_rod | minecraft:crafting_shaped | createbigcannons:ram_head createbigcannons:ram_rod minecraft:crafting_shaped minecraft:stick
createbigcannons:sequenced_assembly/assembling_machine_gun_round | create:sequenced_assembly | c:nuggets/copper create:deploying create:sequenced_assembly createbigcannons:empty_machine_gun_round createbigcannons:gunpowder_pinch createbigcannons:machine_gun_round createbigcannons:partially_assembled_machine_gun_round
createbigcannons:sequenced_assembly/bronze_autocannon_breech_extractor | create:sequenced_assembly | c:ingots/bronze create:cutting create:sequenced_assembly createbigcannons:bronze_autocannon_breech_extractor createbigcannons:partial_bronze_autocannon_breech_extractor
createbigcannons:sequenced_assembly/cast_iron_autocannon_breech_extractor | create:sequenced_assembly | c:ingots/cast_iron create:cutting create:sequenced_assembly createbigcannons:cast_iron_autocannon_breech_extractor createbigcannons:partial_cast_iron_autocannon_breech_extractor
createbigcannons:sequenced_assembly/filling_autocannon_cartridge | create:sequenced_assembly | create:deploying create:sequenced_assembly createbigcannons:empty_autocannon_cartridge createbigcannons:filled_autocannon_cartridge createbigcannons:gunpowder createbigcannons:partially_filled_autocannon_cartridge
createbigcannons:sequenced_assembly/pressing_autocannon_cartridge | create:sequenced_assembly | create:pressing create:sequenced_assembly createbigcannons:autocannon_cartridge_sheet createbigcannons:empty_autocannon_cartridge createbigcannons:partially_formed_autocannon_cartridge
createbigcannons:sequenced_assembly/pressing_big_cartridge | create:sequenced_assembly | create:pressing create:sequenced_assembly createbigcannons:big_cartridge createbigcannons:big_cartridge_sheet createbigcannons:partially_formed_big_cartridge
createbigcannons:sequenced_assembly/recoil_spring | create:sequenced_assembly | create:pressing create:sequenced_assembly createbigcannons:partial_recoil_spring createbigcannons:recoil_spring createbigcannons:spring_wire
createbigcannons:sequenced_assembly/steel_autocannon_breech_extractor | create:sequenced_assembly | c:ingots/steel create:cutting create:sequenced_assembly createbigcannons:partial_steel_autocannon_breech_extractor createbigcannons:steel_autocannon_breech_extractor
createbigcannons:shot_balls | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron createbigcannons:shot_balls minecraft:crafting_shaped
createbigcannons:shrapnel_shell | create:mechanical_crafting | c:ingots/iron create:mechanical_crafting createbigcannons:gunpowder createbigcannons:shot_balls createbigcannons:shrapnel_shell minecraft:wooden_slabs
createbigcannons:smoke_shell | minecraft:crafting_shaped | c:ingots/iron c:plates/iron createbigcannons:smoke_shell minecraft:crafting_shaped minecraft:hay_block
createbigcannons:solid_shot | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron createbigcannons:solid_shot minecraft:crafting_shaped minecraft:wooden_slabs
createbigcannons:steel_block | minecraft:crafting_shaped | createbigcannons:steel_block createbigcannons:steel_ingot minecraft:crafting_shaped
createbigcannons:steel_ingot_from_block | minecraft:crafting_shapeless | createbigcannons:steel_block createbigcannons:steel_ingot minecraft:crafting_shapeless
createbigcannons:steel_ingot_from_nuggets | minecraft:crafting_shaped | createbigcannons:steel_ingot createbigcannons:steel_scrap minecraft:crafting_shaped
createbigcannons:steel_scrap | minecraft:crafting_shapeless | createbigcannons:steel_ingot createbigcannons:steel_scrap minecraft:crafting_shapeless
createbigcannons:steel_screw_lock | minecraft:crafting_shaped | c:ingots/steel create:shaft createbigcannons:steel_screw_lock minecraft:crafting_shaped
createbigcannons:steel_sliding_breechblock | minecraft:crafting_shaped | c:ingots/steel create:cogwheel createbigcannons:steel_sliding_breechblock minecraft:crafting_shaped
createbigcannons:timed_fuze | minecraft:crafting_shaped | c:ingots/iron createbigcannons:dusts_redstone createbigcannons:timed_fuze minecraft:clock minecraft:crafting_shaped
createbigcannons:tracer_application | createbigcannons:tracer_application | createbigcannons:tracer_application
createbigcannons:tracer_application_deployer | createbigcannons:tracer_application_deployer | createbigcannons:tracer_application_deployer
createbigcannons:tracer_removal | createbigcannons:tracer_removal | createbigcannons:tracer_removal
createbigcannons:tracer_tip | minecraft:crafting_shapeless | createbigcannons:dust_glowstone createbigcannons:tracer_tip minecraft:blaze_powder minecraft:crafting_shapeless
createbigcannons:wired_fuze | minecraft:crafting_shaped | c:ingots/copper createbigcannons:dusts_redstone createbigcannons:wired_fuze minecraft:crafting_shaped
createbigcannons:worm | minecraft:crafting_shaped | createbigcannons:worm createbigcannons:worm_head minecraft:crafting_shaped minecraft:stick
createbigcannons:worm_head | minecraft:crafting_shaped | create:piston_extension_pole createbigcannons:worm_head minecraft:crafting_shaped minecraft:iron_bars
createbigcannons:wrought_iron_cannon_chamber | minecraft:crafting_shaped | c:plates/iron createbigcannons:gunpowder createbigcannons:wrought_iron_cannon_chamber minecraft:crafting_shaped
createbigcannons:wrought_iron_cannon_end | minecraft:crafting_shaped | c:ingots/iron c:plates/iron createbigcannons:gunpowder createbigcannons:wrought_iron_cannon_end minecraft:crafting_shaped
createbigcannons:wrought_iron_drop_mortar_end | minecraft:crafting_shaped | createbigcannons:wrought_iron_cannon_end createbigcannons:wrought_iron_drop_mortar_end minecraft:crafting_shaped minecraft:iron_bars
minecraft:big_cannon_sheet_inexpensive | minecraft:crafting_shaped | createbigcannons:big_cartridge_sheet createbigcannons:inexpensive_big_cartridge_sheet minecraft:crafting_shaped
minecraft:cannon_welder_mirrored | minecraft:crafting_shaped | c:plates/brass c:plates/iron create:blaze_burner create:valve_handles createbigcannons:cannon_welder minecraft:crafting_shaped
minecraft:wrought_iron_drop_mortar_end_mirrored | minecraft:crafting_shaped | createbigcannons:wrought_iron_cannon_end createbigcannons:wrought_iron_drop_mortar_end minecraft:crafting_shaped minecraft:iron_bars
