handcrafted:acacia_bench | minecraft:crafting_shaped | handcrafted:acacia_bench minecraft:acacia_planks minecraft:acacia_slab minecraft:crafting_shaped
handcrafted:blaze_trophy | minecraft:crafting_shaped | handcrafted:blaze_trophy minecraft:blaze_rod minecraft:crafting_shaped minecraft:planks
handcrafted:blue_bowl | minecraft:crafting_shapeless | handcrafted:blue_bowl handcrafted:terracotta_bowl minecraft:blue_dye minecraft:crafting_shapeless
handcrafted:blue_crockery_combo | minecraft:crafting_shapeless | handcrafted:blue_crockery_combo handcrafted:terracotta_crockery_combo minecraft:blue_dye minecraft:crafting_shapeless
handcrafted:blue_cup | minecraft:crafting_shapeless | handcrafted:blue_cup handcrafted:terracotta_cup minecraft:blue_dye minecraft:crafting_shapeless
handcrafted:blue_cushion | minecraft:crafting_shaped | handcrafted:blue_cushion minecraft:blue_wool minecraft:crafting_shaped minecraft:feather
handcrafted:blue_glazed_medium_pot | minecraft:crafting_shapeless | handcrafted:blue_glazed_medium_pot handcrafted:terracotta_medium_pot minecraft:blue_glazed_terracotta minecraft:crafting_shapeless
handcrafted:blue_glazed_thick_pot | minecraft:crafting_shapeless | handcrafted:blue_glazed_thick_pot handcrafted:terracotta_thick_pot minecraft:blue_glazed_terracotta minecraft:crafting_shapeless
handcrafted:blue_glazed_thin_pot | minecraft:crafting_shapeless | handcrafted:blue_glazed_thin_pot handcrafted:terracotta_thin_pot minecraft:blue_glazed_terracotta minecraft:crafting_shapeless
handcrafted:blue_glazed_wide_pot | minecraft:crafting_shapeless | handcrafted:blue_glazed_wide_pot handcrafted:terracotta_wide_pot minecraft:blue_glazed_terracotta minecraft:crafting_shapeless
handcrafted:blue_plate | minecraft:crafting_shapeless | handcrafted:blue_plate handcrafted:terracotta_plate minecraft:blue_dye minecraft:crafting_shapeless
handcrafted:blue_sheet | minecraft:crafting_shapeless | handcrafted:blue_sheet minecraft:blue_wool minecraft:crafting_shapeless
handcrafted:bricks_corner_trim | minecraft:crafting_shaped | handcrafted:bricks_corner_trim minecraft:bricks minecraft:crafting_shaped
handcrafted:bricks_pillar_trim | minecraft:crafting_shaped | handcrafted:bricks_pillar_trim minecraft:bricks minecraft:crafting_shaped
handcrafted:brown_cushion | minecraft:crafting_shaped | handcrafted:brown_cushion minecraft:brown_wool minecraft:crafting_shaped minecraft:feather
handcrafted:brown_sheet | minecraft:crafting_shapeless | handcrafted:brown_sheet minecraft:brown_wool minecraft:crafting_shapeless
handcrafted:calcite_corner_trim | minecraft:crafting_shaped | handcrafted:calcite_corner_trim minecraft:calcite minecraft:crafting_shaped
handcrafted:calcite_pillar_trim | minecraft:crafting_shaped | handcrafted:calcite_pillar_trim minecraft:calcite minecraft:crafting_shaped
handcrafted:cherry_bench | minecraft:crafting_shaped | handcrafted:cherry_bench minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
handcrafted:cherry_chair | minecraft:crafting_shaped | handcrafted:cherry_chair minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped minecraft:stick
handcrafted:cherry_corner_trim | minecraft:crafting_shaped | handcrafted:cherry_corner_trim minecraft:cherry_planks minecraft:crafting_shaped
handcrafted:cherry_couch | minecraft:crafting_shaped | handcrafted:cherry_couch handcrafted:cushions minecraft:cherry_planks minecraft:crafting_shaped minecraft:wool
handcrafted:cherry_counter | minecraft:crafting_shaped | handcrafted:cherry_counter handcrafted:chests minecraft:calcite minecraft:cherry_planks minecraft:crafting_shaped
handcrafted:cherry_cupboard | minecraft:crafting_shaped | handcrafted:cherry_cupboard handcrafted:chests minecraft:cherry_planks minecraft:crafting_shaped
handcrafted:cherry_desk | minecraft:crafting_shaped | handcrafted:cherry_desk handcrafted:chests minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
handcrafted:cherry_dining_bench | minecraft:crafting_shaped | handcrafted:cherry_dining_bench minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
handcrafted:cherry_drawer | minecraft:crafting_shaped | handcrafted:cherry_drawer handcrafted:chests minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
handcrafted:cherry_fancy_bed | minecraft:crafting_shaped | handcrafted:cherry_fancy_bed handcrafted:cushions handcrafted:sheets minecraft:cherry_planks minecraft:crafting_shaped minecraft:wool
handcrafted:cherry_nightstand | minecraft:crafting_shaped | handcrafted:cherry_nightstand handcrafted:chests minecraft:cherry_planks minecraft:crafting_shaped
handcrafted:cherry_pillar_trim | minecraft:crafting_shaped | handcrafted:cherry_pillar_trim minecraft:cherry_planks minecraft:crafting_shaped
handcrafted:cherry_shelf | minecraft:crafting_shaped | handcrafted:cherry_shelf handcrafted:chests minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
handcrafted:cherry_side_table | minecraft:crafting_shaped | handcrafted:cherry_side_table handcrafted:chests minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
handcrafted:cherry_table | minecraft:crafting_shaped | handcrafted:cherry_table minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
handcrafted:creeper_trophy | minecraft:crafting_shaped | handcrafted:creeper_trophy minecraft:crafting_shaped minecraft:creeper_head minecraft:stone
handcrafted:crimson_bench | minecraft:crafting_shaped | handcrafted:crimson_bench minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
handcrafted:crimson_chair | minecraft:crafting_shaped | handcrafted:crimson_chair minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab minecraft:stick
handcrafted:crimson_corner_trim | minecraft:crafting_shaped | handcrafted:crimson_corner_trim minecraft:crafting_shaped minecraft:crimson_planks
handcrafted:crimson_couch | minecraft:crafting_shaped | handcrafted:crimson_couch handcrafted:cushions minecraft:crafting_shaped minecraft:crimson_planks minecraft:wool
handcrafted:crimson_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_counter minecraft:calcite minecraft:crafting_shaped minecraft:crimson_planks
handcrafted:crimson_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_cupboard minecraft:crafting_shaped minecraft:crimson_planks
handcrafted:crimson_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_desk minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
handcrafted:crimson_dining_bench | minecraft:crafting_shaped | handcrafted:crimson_dining_bench minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
handcrafted:crimson_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_drawer minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
handcrafted:crimson_fancy_bed | minecraft:crafting_shaped | handcrafted:crimson_fancy_bed handcrafted:cushions handcrafted:sheets minecraft:crafting_shaped minecraft:crimson_planks minecraft:wool
handcrafted:crimson_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_nightstand minecraft:crafting_shaped minecraft:crimson_planks
handcrafted:crimson_pillar_trim | minecraft:crafting_shaped | handcrafted:crimson_pillar_trim minecraft:crafting_shaped minecraft:crimson_planks
handcrafted:crimson_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_shelf minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
handcrafted:crimson_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:crimson_side_table minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
handcrafted:crimson_table | minecraft:crafting_shaped | handcrafted:crimson_table minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
handcrafted:cyan_cushion | minecraft:crafting_shaped | handcrafted:cyan_cushion minecraft:crafting_shaped minecraft:cyan_wool minecraft:feather
handcrafted:cyan_sheet | minecraft:crafting_shapeless | handcrafted:cyan_sheet minecraft:crafting_shapeless minecraft:cyan_wool
handcrafted:dark_oak_bench | minecraft:crafting_shaped | handcrafted:dark_oak_bench minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
handcrafted:dark_oak_chair | minecraft:crafting_shaped | handcrafted:dark_oak_chair minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab minecraft:stick
handcrafted:dark_oak_corner_trim | minecraft:crafting_shaped | handcrafted:dark_oak_corner_trim minecraft:crafting_shaped minecraft:dark_oak_planks
handcrafted:dark_oak_couch | minecraft:crafting_shaped | handcrafted:cushions handcrafted:dark_oak_couch minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:wool
handcrafted:dark_oak_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_counter minecraft:calcite minecraft:crafting_shaped minecraft:dark_oak_planks
handcrafted:dark_oak_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_cupboard minecraft:crafting_shaped minecraft:dark_oak_planks
handcrafted:dark_oak_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_desk minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
handcrafted:dark_oak_dining_bench | minecraft:crafting_shaped | handcrafted:dark_oak_dining_bench minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
handcrafted:dark_oak_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_drawer minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
handcrafted:dark_oak_fancy_bed | minecraft:crafting_shaped | handcrafted:cushions handcrafted:dark_oak_fancy_bed handcrafted:sheets minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:wool
handcrafted:dark_oak_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_nightstand minecraft:crafting_shaped minecraft:dark_oak_planks
handcrafted:dark_oak_pillar_trim | minecraft:crafting_shaped | handcrafted:dark_oak_pillar_trim minecraft:crafting_shaped minecraft:dark_oak_planks
handcrafted:dark_oak_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_shelf minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
handcrafted:dark_oak_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:dark_oak_side_table minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
handcrafted:dark_oak_table | minecraft:crafting_shaped | handcrafted:dark_oak_table minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
handcrafted:deepslate_corner_trim | minecraft:crafting_shaped | handcrafted:deepslate_corner_trim minecraft:crafting_shaped minecraft:deepslate
handcrafted:deepslate_pillar_trim | minecraft:crafting_shaped | handcrafted:deepslate_pillar_trim minecraft:crafting_shaped minecraft:deepslate
handcrafted:diorite_corner_trim | minecraft:crafting_shaped | handcrafted:diorite_corner_trim minecraft:crafting_shaped minecraft:diorite
handcrafted:diorite_pillar_trim | minecraft:crafting_shaped | handcrafted:diorite_pillar_trim minecraft:crafting_shaped minecraft:diorite
handcrafted:dripstone_corner_trim | minecraft:crafting_shaped | handcrafted:dripstone_corner_trim minecraft:crafting_shaped minecraft:dripstone_block
handcrafted:dripstone_pillar_trim | minecraft:crafting_shaped | handcrafted:dripstone_pillar_trim minecraft:crafting_shaped minecraft:dripstone_block
handcrafted:evoker_trophy | minecraft:crafting_shaped | handcrafted:evoker_trophy minecraft:crafting_shaped minecraft:stone minecraft:totem_of_undying
handcrafted:fancy_painting | minecraft:crafting_shapeless | handcrafted:fancy_painting minecraft:crafting_shapeless minecraft:gold_ingot minecraft:painting
handcrafted:fox_trophy | minecraft:crafting_shaped | handcrafted:fox_trophy minecraft:crafting_shaped minecraft:planks minecraft:sweet_berries
handcrafted:frozen_bench | minecraft:crafting_shapeless | handcrafted:bench handcrafted:frozen_bench minecraft:crafting_shapeless minecraft:snowball
handcrafted:goat_trophy | minecraft:crafting_shaped | handcrafted:goat_trophy minecraft:crafting_shaped minecraft:goat_horn minecraft:planks
handcrafted:golden_medium_pot | minecraft:crafting_shapeless | handcrafted:golden_medium_pot handcrafted:terracotta_medium_pot minecraft:crafting_shapeless minecraft:gold_block
handcrafted:golden_thick_pot | minecraft:crafting_shapeless | handcrafted:golden_thick_pot handcrafted:terracotta_thick_pot minecraft:crafting_shapeless minecraft:gold_block
handcrafted:golden_thin_pot | minecraft:crafting_shapeless | handcrafted:golden_thin_pot handcrafted:terracotta_thin_pot minecraft:crafting_shapeless minecraft:gold_block
handcrafted:golden_wide_pot | minecraft:crafting_shapeless | handcrafted:golden_wide_pot handcrafted:terracotta_wide_pot minecraft:crafting_shapeless minecraft:gold_block
handcrafted:granite_corner_trim | minecraft:crafting_shaped | handcrafted:granite_corner_trim minecraft:crafting_shaped minecraft:granite
handcrafted:granite_pillar_trim | minecraft:crafting_shaped | handcrafted:granite_pillar_trim minecraft:crafting_shaped minecraft:granite
handcrafted:gray_cushion | minecraft:crafting_shaped | handcrafted:gray_cushion minecraft:crafting_shaped minecraft:feather minecraft:gray_wool
handcrafted:gray_sheet | minecraft:crafting_shapeless | handcrafted:gray_sheet minecraft:crafting_shapeless minecraft:gray_wool
handcrafted:green_cushion | minecraft:crafting_shaped | handcrafted:green_cushion minecraft:crafting_shaped minecraft:feather minecraft:green_wool
handcrafted:green_sheet | minecraft:crafting_shapeless | handcrafted:green_sheet minecraft:crafting_shapeless minecraft:green_wool
handcrafted:hammer | minecraft:crafting_shaped | handcrafted:hammer minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick
handcrafted:jungle_bench | minecraft:crafting_shaped | handcrafted:jungle_bench minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
handcrafted:jungle_chair | minecraft:crafting_shaped | handcrafted:jungle_chair minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab minecraft:stick
handcrafted:jungle_corner_trim | minecraft:crafting_shaped | handcrafted:jungle_corner_trim minecraft:crafting_shaped minecraft:jungle_planks
handcrafted:jungle_couch | minecraft:crafting_shaped | handcrafted:cushions handcrafted:jungle_couch minecraft:crafting_shaped minecraft:jungle_planks minecraft:wool
handcrafted:jungle_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_counter minecraft:calcite minecraft:crafting_shaped minecraft:jungle_planks
handcrafted:jungle_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_cupboard minecraft:crafting_shaped minecraft:jungle_planks
handcrafted:jungle_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_desk minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
handcrafted:jungle_dining_bench | minecraft:crafting_shaped | handcrafted:jungle_dining_bench minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
handcrafted:jungle_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_drawer minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
handcrafted:jungle_fancy_bed | minecraft:crafting_shaped | handcrafted:cushions handcrafted:jungle_fancy_bed handcrafted:sheets minecraft:crafting_shaped minecraft:jungle_planks minecraft:wool
handcrafted:jungle_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_nightstand minecraft:crafting_shaped minecraft:jungle_planks
handcrafted:jungle_pillar_trim | minecraft:crafting_shaped | handcrafted:jungle_pillar_trim minecraft:crafting_shaped minecraft:jungle_planks
handcrafted:jungle_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_shelf minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
handcrafted:jungle_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:jungle_side_table minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
handcrafted:jungle_table | minecraft:crafting_shaped | handcrafted:jungle_table minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
handcrafted:kitchen_hood | minecraft:crafting_shaped | handcrafted:kitchen_hood handcrafted:kitchen_hood_pipe minecraft:crafting_shaped minecraft:iron_bars
handcrafted:kitchen_hood_pipe | minecraft:crafting_shaped | handcrafted:kitchen_hood_pipe minecraft:crafting_shaped minecraft:iron_bars
handcrafted:light_blue_cushion | minecraft:crafting_shaped | handcrafted:light_blue_cushion minecraft:crafting_shaped minecraft:feather minecraft:light_blue_wool
handcrafted:light_blue_sheet | minecraft:crafting_shapeless | handcrafted:light_blue_sheet minecraft:crafting_shapeless minecraft:light_blue_wool
handcrafted:light_gray_cushion | minecraft:crafting_shaped | handcrafted:light_gray_cushion minecraft:crafting_shaped minecraft:feather minecraft:light_gray_wool
handcrafted:light_gray_sheet | minecraft:crafting_shapeless | handcrafted:light_gray_sheet minecraft:crafting_shapeless minecraft:light_gray_wool
handcrafted:lime_cushion | minecraft:crafting_shaped | handcrafted:lime_cushion minecraft:crafting_shaped minecraft:feather minecraft:lime_wool
handcrafted:lime_sheet | minecraft:crafting_shapeless | handcrafted:lime_sheet minecraft:crafting_shapeless minecraft:lime_wool
handcrafted:magenta_cushion | minecraft:crafting_shaped | handcrafted:magenta_cushion minecraft:crafting_shaped minecraft:feather minecraft:magenta_wool
handcrafted:magenta_sheet | minecraft:crafting_shapeless | handcrafted:magenta_sheet minecraft:crafting_shapeless minecraft:magenta_wool
handcrafted:mangrove_bench | minecraft:crafting_shaped | handcrafted:mangrove_bench minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
handcrafted:mangrove_chair | minecraft:crafting_shaped | handcrafted:mangrove_chair minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab minecraft:stick
handcrafted:mangrove_corner_trim | minecraft:crafting_shaped | handcrafted:mangrove_corner_trim minecraft:crafting_shaped minecraft:mangrove_planks
handcrafted:mangrove_couch | minecraft:crafting_shaped | handcrafted:cushions handcrafted:mangrove_couch minecraft:crafting_shaped minecraft:mangrove_planks minecraft:wool
handcrafted:mangrove_counter | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_counter minecraft:calcite minecraft:crafting_shaped minecraft:mangrove_planks
handcrafted:mangrove_cupboard | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_cupboard minecraft:crafting_shaped minecraft:mangrove_planks
handcrafted:mangrove_desk | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_desk minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
handcrafted:mangrove_dining_bench | minecraft:crafting_shaped | handcrafted:mangrove_dining_bench minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
handcrafted:mangrove_drawer | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_drawer minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
handcrafted:mangrove_fancy_bed | minecraft:crafting_shaped | handcrafted:cushions handcrafted:mangrove_fancy_bed handcrafted:sheets minecraft:crafting_shaped minecraft:mangrove_planks minecraft:wool
handcrafted:mangrove_nightstand | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_nightstand minecraft:crafting_shaped minecraft:mangrove_planks
handcrafted:mangrove_pillar_trim | minecraft:crafting_shaped | handcrafted:mangrove_pillar_trim minecraft:crafting_shaped minecraft:mangrove_planks
handcrafted:mangrove_shelf | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_shelf minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
handcrafted:mangrove_side_table | minecraft:crafting_shaped | handcrafted:chests handcrafted:mangrove_side_table minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
handcrafted:mangrove_table | minecraft:crafting_shaped | handcrafted:mangrove_table minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
handcrafted:oak_bench | minecraft:crafting_shaped | handcrafted:oak_bench minecraft:crafting_shaped minecraft:oak_planks minecraft:oak_slab
