mcwdoors:acacia_bamboo_door | minecraft:crafting_shaped | mcwdoors:acacia_bamboo_door mcwdoors:print_bamboo minecraft:acacia_planks minecraft:crafting_shaped
mcwdoors:bamboo_cottage_door | minecraft:crafting_shaped | mcwdoors:bamboo_cottage_door mcwdoors:print_spruce minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_four_panel_door | minecraft:crafting_shaped | mcwdoors:bamboo_four_panel_door mcwdoors:print_dark_oak minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_glass_door | minecraft:crafting_shaped | mcwdoors:bamboo_glass_door minecraft:bamboo minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:bamboo_japanese2_door | minecraft:crafting_shaped | mcwdoors:bamboo_japanese2_door minecraft:bamboo minecraft:crafting_shaped minecraft:paper
mcwdoors:bamboo_japanese_door | minecraft:crafting_shaped | mcwdoors:bamboo_japanese_door minecraft:bamboo minecraft:crafting_shaped minecraft:paper
mcwdoors:bamboo_modern_door | minecraft:crafting_shaped | mcwdoors:bamboo_modern_door minecraft:bamboo minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:bamboo_mystic_door | minecraft:crafting_shaped | mcwdoors:bamboo_mystic_door mcwdoors:print_mystic minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_nether_door | minecraft:crafting_shaped | mcwdoors:bamboo_nether_door mcwdoors:print_nether minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_paper_door | minecraft:crafting_shaped | mcwdoors:bamboo_paper_door mcwdoors:print_birch minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_stable_door | minecraft:crafting_shaped | mcwdoors:bamboo_stable_door minecraft:bamboo minecraft:crafting_shaped minecraft:iron_bars
mcwdoors:bamboo_stable_head_door | minecraft:crafting_shaped | mcwdoors:bamboo_stable_door mcwdoors:bamboo_stable_head_door minecraft:crafting_shaped
mcwdoors:bamboo_swamp_door | minecraft:crafting_shaped | mcwdoors:bamboo_swamp_door mcwdoors:print_swamp minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_tropical_door | minecraft:crafting_shaped | mcwdoors:bamboo_tropical_door mcwdoors:print_acacia minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_waffle_door | minecraft:crafting_shaped | mcwdoors:bamboo_waffle_door mcwdoors:print_waffle minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_western_door | minecraft:crafting_shaped | mcwdoors:bamboo_western_door minecraft:bamboo minecraft:crafting_shaped
mcwdoors:bamboo_whispering_door | minecraft:crafting_shaped | mcwdoors:bamboo_whispering_door mcwdoors:print_whispering minecraft:bamboo minecraft:crafting_shaped
mcwdoors:birch_bamboo_door | minecraft:crafting_shaped | mcwdoors:birch_bamboo_door mcwdoors:print_bamboo minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_bark_glass_door | minecraft:crafting_shaped | mcwdoors:birch_bark_glass_door minecraft:birch_log minecraft:crafting_shaped minecraft:glass
mcwdoors:birch_barn_door | minecraft:crafting_shaped | mcwdoors:birch_barn_door minecraft:birch_planks minecraft:crafting_shaped minecraft:stick
mcwdoors:birch_barn_glass_door | minecraft:crafting_shaped | mcwdoors:birch_barn_glass_door minecraft:birch_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:birch_beach_door | minecraft:crafting_shaped | mcwdoors:birch_beach_door mcwdoors:print_jungle minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_classic_door | minecraft:crafting_shaped | mcwdoors:birch_classic_door mcwdoors:print_oak minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_cottage_door | minecraft:crafting_shaped | mcwdoors:birch_cottage_door mcwdoors:print_spruce minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_four_panel_door | minecraft:crafting_shaped | mcwdoors:birch_four_panel_door mcwdoors:print_dark_oak minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_glass_door | minecraft:crafting_shaped | mcwdoors:birch_glass_door minecraft:birch_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:birch_japanese2_door | minecraft:crafting_shaped | mcwdoors:birch_japanese2_door minecraft:birch_slab minecraft:crafting_shaped minecraft:paper
mcwdoors:birch_japanese_door | minecraft:crafting_shaped | mcwdoors:birch_japanese_door minecraft:birch_planks minecraft:crafting_shaped minecraft:paper
mcwdoors:birch_modern_door | minecraft:crafting_shaped | mcwdoors:birch_modern_door minecraft:birch_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:birch_mystic_door | minecraft:crafting_shaped | mcwdoors:birch_mystic_door mcwdoors:print_mystic minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_nether_door | minecraft:crafting_shaped | mcwdoors:birch_nether_door mcwdoors:print_nether minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_stable_door | minecraft:crafting_shaped | mcwdoors:birch_stable_door minecraft:birch_planks minecraft:crafting_shaped minecraft:iron_bars
mcwdoors:birch_stable_head_door | minecraft:crafting_shaped | mcwdoors:birch_stable_door mcwdoors:birch_stable_head_door minecraft:crafting_shaped
mcwdoors:birch_swamp_door | minecraft:crafting_shaped | mcwdoors:birch_swamp_door mcwdoors:print_swamp minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_tropical_door | minecraft:crafting_shaped | mcwdoors:birch_tropical_door mcwdoors:print_acacia minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_waffle_door | minecraft:crafting_shaped | mcwdoors:birch_waffle_door mcwdoors:print_waffle minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:birch_western_door | minecraft:crafting_shaped | mcwdoors:birch_western_door minecraft:birch_planks minecraft:birch_slab minecraft:crafting_shaped
mcwdoors:birch_whispering_door | minecraft:crafting_shaped | mcwdoors:birch_whispering_door mcwdoors:print_whispering minecraft:birch_planks minecraft:crafting_shaped
mcwdoors:cherry_bamboo_door | minecraft:crafting_shaped | mcwdoors:cherry_bamboo_door mcwdoors:print_bamboo minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_bark_glass_door | minecraft:crafting_shaped | mcwdoors:cherry_bark_glass_door minecraft:cherry_log minecraft:crafting_shaped minecraft:glass
mcwdoors:cherry_barn_door | minecraft:crafting_shaped | mcwdoors:cherry_barn_door minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick
mcwdoors:cherry_barn_glass_door | minecraft:crafting_shaped | mcwdoors:cherry_barn_glass_door minecraft:cherry_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:cherry_beach_door | minecraft:crafting_shaped | mcwdoors:cherry_beach_door mcwdoors:print_jungle minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_classic_door | minecraft:crafting_shaped | mcwdoors:cherry_classic_door mcwdoors:print_oak minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_cottage_door | minecraft:crafting_shaped | mcwdoors:cherry_cottage_door mcwdoors:print_spruce minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_four_panel_door | minecraft:crafting_shaped | mcwdoors:cherry_four_panel_door mcwdoors:print_dark_oak minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_glass_door | minecraft:crafting_shaped | mcwdoors:cherry_glass_door minecraft:cherry_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:cherry_japanese2_door | minecraft:crafting_shaped | mcwdoors:cherry_japanese2_door minecraft:cherry_slab minecraft:crafting_shaped minecraft:paper
mcwdoors:cherry_japanese_door | minecraft:crafting_shaped | mcwdoors:cherry_japanese_door minecraft:cherry_planks minecraft:crafting_shaped minecraft:paper
mcwdoors:cherry_modern_door | minecraft:crafting_shaped | mcwdoors:cherry_modern_door minecraft:cherry_planks minecraft:crafting_shaped minecraft:glass_pane
mcwdoors:cherry_mystic_door | minecraft:crafting_shaped | mcwdoors:cherry_mystic_door mcwdoors:print_mystic minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_nether_door | minecraft:crafting_shaped | mcwdoors:cherry_nether_door mcwdoors:print_nether minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_paper_door | minecraft:crafting_shaped | mcwdoors:cherry_paper_door mcwdoors:print_birch minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_stable_door | minecraft:crafting_shaped | mcwdoors:cherry_stable_door minecraft:cherry_planks minecraft:crafting_shaped minecraft:iron_bars
mcwdoors:cherry_stable_head_door | minecraft:crafting_shaped | mcwdoors:cherry_stable_door mcwdoors:cherry_stable_head_door minecraft:crafting_shaped
mcwdoors:cherry_swamp_door | minecraft:crafting_shaped | mcwdoors:cherry_swamp_door mcwdoors:print_swamp minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_tropical_door | minecraft:crafting_shaped | mcwdoors:cherry_tropical_door mcwdoors:print_acacia minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:cherry_western_door | minecraft:crafting_shaped | mcwdoors:cherry_western_door minecraft:cherry_planks minecraft:cherry_slab minecraft:crafting_shaped
mcwdoors:cherry_whispering_door | minecraft:crafting_shaped | mcwdoors:cherry_whispering_door mcwdoors:print_whispering minecraft:cherry_planks minecraft:crafting_shaped
mcwdoors:crimson_bamboo_door | minecraft:crafting_shaped | mcwdoors:crimson_bamboo_door mcwdoors:print_bamboo minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_barn_door | minecraft:crafting_shaped | mcwdoors:crimson_barn_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick
mcwdoors:crimson_barn_glass_door | minecraft:crafting_shaped | mcwdoors:crimson_barn_glass_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:glass_pane
mcwdoors:crimson_beach_door | minecraft:crafting_shaped | mcwdoors:crimson_beach_door mcwdoors:print_jungle minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_classic_door | minecraft:crafting_shaped | mcwdoors:crimson_classic_door mcwdoors:print_oak minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_cottage_door | minecraft:crafting_shaped | mcwdoors:crimson_cottage_door mcwdoors:print_spruce minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_four_panel_door | minecraft:crafting_shaped | mcwdoors:crimson_four_panel_door mcwdoors:print_dark_oak minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_glass_door | minecraft:crafting_shaped | mcwdoors:crimson_glass_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:glass_pane
mcwdoors:crimson_japanese2_door | minecraft:crafting_shaped | mcwdoors:crimson_japanese2_door minecraft:crafting_shaped minecraft:crimson_slab minecraft:paper
mcwdoors:crimson_japanese_door | minecraft:crafting_shaped | mcwdoors:crimson_japanese_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:paper
mcwdoors:crimson_modern_door | minecraft:crafting_shaped | mcwdoors:crimson_modern_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:glass_pane
mcwdoors:crimson_mystic_door | minecraft:crafting_shaped | mcwdoors:crimson_mystic_door mcwdoors:print_mystic minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_paper_door | minecraft:crafting_shaped | mcwdoors:crimson_paper_door mcwdoors:print_birch minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_stable_door | minecraft:crafting_shaped | mcwdoors:crimson_stable_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:iron_bars
mcwdoors:crimson_stable_head_door | minecraft:crafting_shaped | mcwdoors:crimson_stable_door mcwdoors:crimson_stable_head_door minecraft:crafting_shaped
mcwdoors:crimson_stem_glass_door | minecraft:crafting_shaped | mcwdoors:crimson_stem_glass_door minecraft:crafting_shaped minecraft:crimson_stem minecraft:glass
mcwdoors:crimson_swamp_door | minecraft:crafting_shaped | mcwdoors:crimson_swamp_door mcwdoors:print_swamp minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_tropical_door | minecraft:crafting_shaped | mcwdoors:crimson_tropical_door mcwdoors:print_acacia minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_waffle_door | minecraft:crafting_shaped | mcwdoors:crimson_waffle_door mcwdoors:print_waffle minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:crimson_western_door | minecraft:crafting_shaped | mcwdoors:crimson_western_door minecraft:crafting_shaped minecraft:crimson_planks minecraft:crimson_slab
mcwdoors:crimson_whispering_door | minecraft:crafting_shaped | mcwdoors:crimson_whispering_door mcwdoors:print_whispering minecraft:crafting_shaped minecraft:crimson_planks
mcwdoors:dark_oak_bamboo_door | minecraft:crafting_shaped | mcwdoors:dark_oak_bamboo_door mcwdoors:print_bamboo minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_bark_glass_door | minecraft:crafting_shaped | mcwdoors:dark_oak_bark_glass_door minecraft:crafting_shaped minecraft:dark_oak_log minecraft:glass
mcwdoors:dark_oak_barn_door | minecraft:crafting_shaped | mcwdoors:dark_oak_barn_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick
mcwdoors:dark_oak_barn_glass_door | minecraft:crafting_shaped | mcwdoors:dark_oak_barn_glass_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:glass_pane
mcwdoors:dark_oak_beach_door | minecraft:crafting_shaped | mcwdoors:dark_oak_beach_door mcwdoors:print_jungle minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_classic_door | minecraft:crafting_shaped | mcwdoors:dark_oak_classic_door mcwdoors:print_oak minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_cottage_door | minecraft:crafting_shaped | mcwdoors:dark_oak_cottage_door mcwdoors:print_spruce minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_glass_door | minecraft:crafting_shaped | mcwdoors:dark_oak_glass_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:glass_pane
mcwdoors:dark_oak_japanese2_door | minecraft:crafting_shaped | mcwdoors:dark_oak_japanese2_door minecraft:crafting_shaped minecraft:dark_oak_slab minecraft:paper
mcwdoors:dark_oak_japanese_door | minecraft:crafting_shaped | mcwdoors:dark_oak_japanese_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:paper
mcwdoors:dark_oak_modern_door | minecraft:crafting_shaped | mcwdoors:dark_oak_modern_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:glass_pane
mcwdoors:dark_oak_mystic_door | minecraft:crafting_shaped | mcwdoors:dark_oak_mystic_door mcwdoors:print_mystic minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_nether_door | minecraft:crafting_shaped | mcwdoors:dark_oak_nether_door mcwdoors:print_nether minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_paper_door | minecraft:crafting_shaped | mcwdoors:dark_oak_paper_door mcwdoors:print_birch minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_stable_door | minecraft:crafting_shaped | mcwdoors:dark_oak_stable_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:iron_bars
mcwdoors:dark_oak_stable_head_door | minecraft:crafting_shaped | mcwdoors:dark_oak_stable_door mcwdoors:dark_oak_stable_head_door minecraft:crafting_shaped
mcwdoors:dark_oak_swamp_door | minecraft:crafting_shaped | mcwdoors:dark_oak_swamp_door mcwdoors:print_swamp minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_tropical_door | minecraft:crafting_shaped | mcwdoors:dark_oak_tropical_door mcwdoors:print_acacia minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_waffle_door | minecraft:crafting_shaped | mcwdoors:dark_oak_waffle_door mcwdoors:print_waffle minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:dark_oak_western_door | minecraft:crafting_shaped | mcwdoors:dark_oak_western_door minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:dark_oak_slab
mcwdoors:dark_oak_whispering_door | minecraft:crafting_shaped | mcwdoors:dark_oak_whispering_door mcwdoors:print_whispering minecraft:crafting_shaped minecraft:dark_oak_planks
mcwdoors:garage_black_door | minecraft:crafting_shaped | mcwdoors:garage_black_door mcwdoors:garage_white_door minecraft:black_dye minecraft:crafting_shaped
mcwdoors:garage_gray_door | minecraft:crafting_shaped | mcwdoors:garage_gray_door mcwdoors:garage_white_door minecraft:crafting_shaped minecraft:gray_dye
mcwdoors:garage_silver_door | minecraft:crafting_shaped | mcwdoors:garage_silver_door mcwdoors:garage_white_door minecraft:crafting_shaped minecraft:light_gray_dye
mcwdoors:garage_white_door | minecraft:crafting_shaped | mcwdoors:garage_white_door minecraft:crafting_shaped minecraft:glass minecraft:iron_ingot
mcwdoors:iron_portcullis | minecraft:crafting_shaped | mcwdoors:iron_portcullis minecraft:crafting_shaped minecraft:iron_bars minecraft:iron_ingot
mcwdoors:jail_door | minecraft:crafting_shaped | mcwdoors:jail_door minecraft:crafting_shaped minecraft:iron_bars
mcwdoors:jungle_bamboo_door | minecraft:crafting_shaped | mcwdoors:jungle_bamboo_door mcwdoors:print_bamboo minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_bark_glass_door | minecraft:crafting_shaped | mcwdoors:jungle_bark_glass_door minecraft:crafting_shaped minecraft:glass minecraft:jungle_log
mcwdoors:jungle_barn_door | minecraft:crafting_shaped | mcwdoors:jungle_barn_door minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick
mcwdoors:jungle_barn_glass_door | minecraft:crafting_shaped | mcwdoors:jungle_barn_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:jungle_planks
mcwdoors:jungle_classic_door | minecraft:crafting_shaped | mcwdoors:jungle_classic_door mcwdoors:print_oak minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_cottage_door | minecraft:crafting_shaped | mcwdoors:jungle_cottage_door mcwdoors:print_spruce minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_four_panel_door | minecraft:crafting_shaped | mcwdoors:jungle_four_panel_door mcwdoors:print_dark_oak minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_glass_door | minecraft:crafting_shaped | mcwdoors:jungle_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:jungle_planks
mcwdoors:jungle_japanese2_door | minecraft:crafting_shaped | mcwdoors:jungle_japanese2_door minecraft:crafting_shaped minecraft:jungle_slab minecraft:paper
mcwdoors:jungle_japanese_door | minecraft:crafting_shaped | mcwdoors:jungle_japanese_door minecraft:crafting_shaped minecraft:jungle_planks minecraft:paper
mcwdoors:jungle_modern_door | minecraft:crafting_shaped | mcwdoors:jungle_modern_door minecraft:crafting_shaped minecraft:glass_pane minecraft:jungle_planks
mcwdoors:jungle_mystic_door | minecraft:crafting_shaped | mcwdoors:jungle_mystic_door mcwdoors:print_mystic minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_nether_door | minecraft:crafting_shaped | mcwdoors:jungle_nether_door mcwdoors:print_nether minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_paper_door | minecraft:crafting_shaped | mcwdoors:jungle_paper_door mcwdoors:print_birch minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_stable_door | minecraft:crafting_shaped | mcwdoors:jungle_stable_door minecraft:crafting_shaped minecraft:iron_bars minecraft:jungle_planks
mcwdoors:jungle_stable_head_door | minecraft:crafting_shaped | mcwdoors:jungle_stable_door mcwdoors:jungle_stable_head_door minecraft:crafting_shaped
mcwdoors:jungle_swamp_door | minecraft:crafting_shaped | mcwdoors:jungle_swamp_door mcwdoors:print_swamp minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_tropical_door | minecraft:crafting_shaped | mcwdoors:jungle_tropical_door mcwdoors:print_acacia minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_waffle_door | minecraft:crafting_shaped | mcwdoors:jungle_waffle_door mcwdoors:print_waffle minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:jungle_western_door | minecraft:crafting_shaped | mcwdoors:jungle_western_door minecraft:crafting_shaped minecraft:jungle_planks minecraft:jungle_slab
mcwdoors:jungle_whispering_door | minecraft:crafting_shaped | mcwdoors:jungle_whispering_door mcwdoors:print_whispering minecraft:crafting_shaped minecraft:jungle_planks
mcwdoors:mangrove_bamboo_door | minecraft:crafting_shaped | mcwdoors:mangrove_bamboo_door mcwdoors:print_bamboo minecraft:bamboo minecraft:crafting_shaped
mcwdoors:mangrove_bark_glass_door | minecraft:crafting_shaped | mcwdoors:mangrove_bark_glass_door minecraft:crafting_shaped minecraft:glass minecraft:mangrove_log
mcwdoors:mangrove_barn_door | minecraft:crafting_shaped | mcwdoors:mangrove_barn_door minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick
mcwdoors:mangrove_barn_glass_door | minecraft:crafting_shaped | mcwdoors:mangrove_barn_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:mangrove_planks
mcwdoors:mangrove_beach_door | minecraft:crafting_shaped | mcwdoors:mangrove_beach_door mcwdoors:print_jungle minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_classic_door | minecraft:crafting_shaped | mcwdoors:mangrove_classic_door mcwdoors:print_oak minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_cottage_door | minecraft:crafting_shaped | mcwdoors:mangrove_cottage_door mcwdoors:print_spruce minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_four_panel_door | minecraft:crafting_shaped | mcwdoors:mangrove_four_panel_door mcwdoors:print_dark_oak minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_glass_door | minecraft:crafting_shaped | mcwdoors:mangrove_glass_door minecraft:crafting_shaped minecraft:glass_pane minecraft:mangrove_planks
mcwdoors:mangrove_japanese2_door | minecraft:crafting_shaped | mcwdoors:mangrove_japanese2_door minecraft:crafting_shaped minecraft:mangrove_slab minecraft:paper
mcwdoors:mangrove_japanese_door | minecraft:crafting_shaped | mcwdoors:mangrove_japanese_door minecraft:crafting_shaped minecraft:mangrove_planks minecraft:paper
mcwdoors:mangrove_modern_door | minecraft:crafting_shaped | mcwdoors:mangrove_modern_door minecraft:crafting_shaped minecraft:glass_pane minecraft:mangrove_planks
mcwdoors:mangrove_mystic_door | minecraft:crafting_shaped | mcwdoors:mangrove_mystic_door mcwdoors:print_mystic minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_nether_door | minecraft:crafting_shaped | mcwdoors:mangrove_nether_door mcwdoors:print_nether minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_paper_door | minecraft:crafting_shaped | mcwdoors:mangrove_paper_door mcwdoors:print_birch minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_stable_door | minecraft:crafting_shaped | mcwdoors:mangrove_stable_door minecraft:crafting_shaped minecraft:iron_bars minecraft:mangrove_planks
mcwdoors:mangrove_stable_head_door | minecraft:crafting_shaped | mcwdoors:mangrove_stable_door mcwdoors:mangrove_stable_head_door minecraft:crafting_shaped
mcwdoors:mangrove_tropical_door | minecraft:crafting_shaped | mcwdoors:mangrove_tropical_door mcwdoors:print_acacia minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_waffle_door | minecraft:crafting_shaped | mcwdoors:mangrove_waffle_door mcwdoors:print_waffle minecraft:crafting_shaped minecraft:mangrove_planks
mcwdoors:mangrove_western_door | minecraft:crafting_shaped | mcwdoors:mangrove_western_door minecraft:crafting_shaped minecraft:mangrove_planks minecraft:mangrove_slab
