create_enchantment_industry:compacting/experience_block | create:compacting | create:compacting create:experience_block create_enchantment_industry:experience neoforge:single
create_enchantment_industry:crafting/super_experience_block | minecraft:crafting_shaped | create_enchantment_industry:super_experience_block create_enchantment_industry:super_experience_nugget minecraft:crafting_shaped
create_enchantment_industry:crafting/super_experience_nugget | minecraft:crafting_shapeless | create_enchantment_industry:super_experience_block create_enchantment_industry:super_experience_nugget minecraft:crafting_shapeless
create_enchantment_industry:crushing/infested_cobblestone | create:crushing | create:crushing create:experience_nugget minecraft:gravel minecraft:infested_cobblestone
create_enchantment_industry:cutting/experience_cake_slice | create:cutting | create:cutting create_enchantment_industry:experience_cake create_enchantment_industry:experience_cake_slice
create_enchantment_industry:cutting/farmersdelight/experience_cake_slice | farmersdelight:cutting | c:tools/knife create_enchantment_industry:experience_cake create_enchantment_industry:experience_cake_slice farmersdelight:cutting neoforge:mod_loaded
create_enchantment_industry:emptying/experience_bottle | create:emptying | create:emptying create_enchantment_industry:experience minecraft:experience_bottle minecraft:glass_bottle
create_enchantment_industry:emptying/infused_dragon_breath | create:emptying | apothic_enchanting:infused_breath create:emptying create_enchantment_industry:infused_dragon_breath minecraft:glass_bottle neoforge:mod_loaded
create_enchantment_industry:emptying/mysticalagriculture/experience_droplet | create:emptying | create:emptying create_enchantment_industry:experience mysticalagriculture:experience_droplet neoforge:mod_loaded
create_enchantment_industry:filling/experience_bottle | create:filling | create:filling create_enchantment_industry:experience minecraft:experience_bottle minecraft:glass_bottle neoforge:single
create_enchantment_industry:filling/experience_cake | create:filling | create:filling create_enchantment_industry:experience create_enchantment_industry:experience_cake create_enchantment_industry:experience_cake_base neoforge:single
create_enchantment_industry:filling/infused_dragon_breath | create:filling | apothic_enchanting:infused_breath create:filling create_enchantment_industry:infused_dragon_breath minecraft:glass_bottle neoforge:mod_loaded neoforge:single
create_enchantment_industry:grinding/ars_nouveau/experience_gem | create_enchantment_industry:grinding | ars_nouveau:experience_gem create_enchantment_industry:experience create_enchantment_industry:grinding neoforge:mod_loaded
create_enchantment_industry:grinding/ars_nouveau/greater_experience_gem | create_enchantment_industry:grinding | ars_nouveau:greater_experience_gem create_enchantment_industry:experience create_enchantment_industry:grinding neoforge:mod_loaded
create_enchantment_industry:grinding/create_sa/heap_of_experience | create_enchantment_industry:grinding | create_enchantment_industry:experience create_enchantment_industry:grinding create_sa:heap_of_experience neoforge:mod_loaded
create_enchantment_industry:grinding/experience_block | create_enchantment_industry:grinding | create:experience_block create_enchantment_industry:experience create_enchantment_industry:grinding
create_enchantment_industry:grinding/experience_nugget | create_enchantment_industry:grinding | create:experience_nugget create_enchantment_industry:experience create_enchantment_industry:grinding
create_enchantment_industry:grinding/super_experience_block | create_enchantment_industry:grinding | create_enchantment_industry:experience create_enchantment_industry:grinding create_enchantment_industry:super_experience_block
create_enchantment_industry:grinding/super_experience_nugget | create_enchantment_industry:grinding | create_enchantment_industry:experience create_enchantment_industry:grinding create_enchantment_industry:super_experience_nugget
create_enchantment_industry:infusing/infused_dragon_breath | create_enchantment_industry:infusing | create_dragons_plus:dragon_breath create_enchantment_industry:infused_dragon_breath create_enchantment_industry:infusing neoforge:mod_loaded neoforge:single
create_enchantment_industry:item_application/experience_hatch | create:item_application | create:experience_block create:item_application create_dragons_plus:fluid_hatch create_enchantment_industry:experience_hatch
create_enchantment_industry:mixing/dissolve_common_material | create:mixing | apotheosis:common_material create:mixing create_enchantment_industry:apotheotic_essence neoforge:mod_loaded
create_enchantment_industry:mixing/dissolve_epic_material | create:mixing | apotheosis:epic_material create:mixing create_enchantment_industry:apotheotic_essence neoforge:mod_loaded
create_enchantment_industry:mixing/dissolve_gem_dust | create:mixing | apotheosis:gem_dust create:mixing create_enchantment_industry:crystal_essence neoforge:mod_loaded
create_enchantment_industry:mixing/dissolve_mythic_material | create:mixing | apotheosis:mythic_material create:mixing create_enchantment_industry:apotheotic_essence neoforge:mod_loaded
create_enchantment_industry:mixing/dissolve_rare_material | create:mixing | apotheosis:rare_material create:mixing create_enchantment_industry:apotheotic_essence neoforge:mod_loaded
create_enchantment_industry:mixing/dissolve_uncommon_material | create:mixing | apotheosis:uncommon_material create:mixing create_enchantment_industry:apotheotic_essence neoforge:mod_loaded
create_enchantment_industry:pressing/enchanting_template | create:pressing | create:experience_block create:pressing create_enchantment_industry:enchanting_template
create_enchantment_industry:pressing/super_enchanting_template | create:pressing | create:pressing create_enchantment_industry:super_enchanting_template create_enchantment_industry:super_experience_block
create_enchantment_industry:sequenced_assembly/brass_bookshelf | create:sequenced_assembly | apothic_enchanting:pearl_endshelf create:brass_ingot create:deploying create:filling create:precision_mechanism create:sequenced_assembly create_enchantment_industry:brass_bookshelf create_enchantment_industry:incomplete_brass_bookshelf create_enchantment_industry:infusing/ingredients neoforge:mod_loaded neoforge:tag
create_enchantment_industry:smithing/blaze_enchanter | minecraft:smithing_transform | create:blaze_burner create_dragons_plus:blaze_upgrade_smithing_template create_enchantment_industry:blaze_enchanter minecraft:enchanting_table minecraft:smithing_transform
create_enchantment_industry:smithing/blaze_forger | minecraft:smithing_transform | create:blaze_burner create_dragons_plus:blaze_upgrade_smithing_template create_enchantment_industry:blaze_forger minecraft:anvil minecraft:smithing_transform
create_enchantment_industry:smithing/classic_blaze_enchanter | minecraft:smithing_transform | create:blaze_burner create_dragons_plus:blaze_upgrade_smithing_template create_dragons_plus:config_feature create_enchantment_industry:blazes_enchanting_handbook create_enchantment_industry:classic_blaze_enchanter create_enchantment_industry:processing/classic_blaze_enchanter minecraft:smithing_transform
