trailandtales_delight:baked_pitcher_pod | minecraft:smelting | minecraft:pitcher_pod minecraft:smelting trailandtales_delight:baked_pitcher_pod
trailandtales_delight:cooking/stuffed_sniffer_egg | farmersdelight:cooking | c:crops/onion c:crops/rice c:foods/berry c:foods/vegetable farmersdelight:cooking minecraft:brown_mushroom minecraft:melon_slice neoforge:difference trailandtales_delight:pitcher_taro trailandtales_delight:sniffer_eggshell trailandtales_delight:stuffed_sniffer_egg_block
trailandtales_delight:cooking/torchflower_tea | farmersdelight:cooking | farmersdelight:cooking minecraft:glass_bottle minecraft:potion minecraft:sugar minecraft:torchflower trailandtales_delight:torchflower_tea
trailandtales_delight:cutting/cheese_wheel | farmersdelight:cutting | c:tools/knife farmersdelight:cutting trailandtales_delight:cheese_slice trailandtales_delight:cheese_wheel
trailandtales_delight:cutting/cherry_cake | farmersdelight:cutting | c:tools/knife farmersdelight:cutting trailandtales_delight:cherry_cake trailandtales_delight:cherry_cake_slice
trailandtales_delight:cutting/cherry_cheese_pie | farmersdelight:cutting | c:tools/knife farmersdelight:cutting trailandtales_delight:cherry_cheese_pie trailandtales_delight:cherry_cheese_pie_slice
trailandtales_delight:cutting/cherry_petal_from_cherry_leaves | farmersdelight:cutting | c:tools/knife farmersdelight:cutting minecraft:cherry_leaves trailandtales_delight:cherry_petal
trailandtales_delight:cutting/cherry_petal_from_cherry_sapling | farmersdelight:cutting | c:tools/knife farmersdelight:cutting minecraft:cherry_sapling minecraft:stick trailandtales_delight:cherry_petal
trailandtales_delight:cutting/cherry_petal_from_pink_petals | farmersdelight:cutting | c:tools/knife farmersdelight:cutting minecraft:pink_petals trailandtales_delight:cherry_petal
trailandtales_delight:cutting/fried_sniffer_egg | farmersdelight:cutting | c:tools/knife farmersdelight:cutting trailandtales_delight:cooked_sniffer_egg_block trailandtales_delight:fried_sniffer_egg trailandtales_delight:sniffer_eggshell
trailandtales_delight:cutting/pitcher_plant | farmersdelight:cutting | c:tools/knife farmersdelight:cutting minecraft:pitcher_plant trailandtales_delight:pitcher_plant trailandtales_delight:pitcher_taro
trailandtales_delight:cutting/torchflower_seeds | farmersdelight:cutting | farmersdelight:cutting minecraft:stone minecraft:torchflower minecraft:torchflower_seeds
trailandtales_delight:dried_cherry_petal | minecraft:smelting | minecraft:smelting trailandtales_delight:cherry_petal trailandtales_delight:dried_cherry_petal
trailandtales_delight:dried_cherry_petal_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking trailandtales_delight:cherry_petal trailandtales_delight:dried_cherry_petal
trailandtales_delight:dried_cherry_petal_from_smoking | minecraft:smoking | minecraft:smoking trailandtales_delight:cherry_petal trailandtales_delight:dried_cherry_petal
trailandtales_delight:golden_lantern_fruit | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:gold_ingot trailandtales_delight:golden_lantern_fruit trailandtales_delight:lantern_fruit
trailandtales_delight:lantern_fruit_crate | minecraft:crafting_shaped | minecraft:crafting_shaped trailandtales_delight:lantern_fruit trailandtales_delight:lantern_fruit_crate
trailandtales_delight:lantern_fruit_from_crate | minecraft:crafting_shaped | minecraft:crafting_shaped trailandtales_delight:lantern_fruit trailandtales_delight:lantern_fruit_crate
trailandtales_delight:lantern_fruit_seeds | minecraft:crafting_shaped | minecraft:crafting_shaped trailandtales_delight:lantern_fruit trailandtales_delight:lantern_fruit_seeds
trailandtales_delight:mud_stove | minecraft:crafting_shaped | minecraft:campfire minecraft:crafting_shaped minecraft:packed_mud trailandtales_delight:mud_stove trailandtales_delight:pottery_bowl
trailandtales_delight:pitcher_pod | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:pitcher_pod trailandtales_delight:pitcher_plant
trailandtales_delight:pitcher_taro | minecraft:smelting | minecraft:smelting trailandtales_delight:cooked_pitcher_taro trailandtales_delight:pitcher_taro
trailandtales_delight:pitcher_taro_crate | minecraft:crafting_shaped | minecraft:crafting_shaped trailandtales_delight:pitcher_taro trailandtales_delight:pitcher_taro_crate
trailandtales_delight:pitcher_taro_from_campfire_cooking | minecraft:campfire_cooking | minecraft:campfire_cooking trailandtales_delight:cooked_pitcher_taro trailandtales_delight:pitcher_taro
trailandtales_delight:pitcher_taro_from_crate | minecraft:crafting_shaped | minecraft:crafting_shaped trailandtales_delight:pitcher_taro trailandtales_delight:pitcher_taro_crate
trailandtales_delight:pitcher_taro_from_smoking | minecraft:smoking | minecraft:smoking trailandtales_delight:cooked_pitcher_taro trailandtales_delight:pitcher_taro
trailandtales_delight:pottery_bowl | minecraft:crafting_shaped | minecraft:brick minecraft:crafting_shaped trailandtales_delight:pottery_bowl
trailandtales_delight:pottery_cooking_pot | minecraft:crafting_shaped | minecraft:brick minecraft:crafting_shaped minecraft:wooden_shovel trailandtales_delight:pottery_bowl trailandtales_delight:pottery_cooking_pot
trailandtales_delight:sniffer_eggshell_knife_smithing | minecraft:smithing_transform | farmersdelight:iron_knife farmersdelight:rope minecraft:smithing_transform trailandtales_delight:sniffer_eggshell trailandtales_delight:sniffer_eggshell_knife
