minecraft:golem_slicing_axe | minecraft:smithing_transform | minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform minecraft:stonecutter modulargolems:diamond_golem_axe modulargolems:golem_slicing_axe
modulargolems:crushing/knightmetal_boots | create:crushing | create:crushing modulargolems:knightmetal_boots neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/knightmetal_chestplate | create:crushing | create:crushing modulargolems:knightmetal_chestplate neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/knightmetal_golem_axe | create:crushing | create:crushing modulargolems:knightmetal_golem_axe neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/knightmetal_golem_spear | create:crushing | create:crushing modulargolems:knightmetal_golem_spear neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/knightmetal_golem_sword | create:crushing | create:crushing modulargolems:knightmetal_golem_sword neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/knightmetal_helmet | create:crushing | create:crushing modulargolems:knightmetal_helmet neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/knightmetal_shinguard | create:crushing | create:crushing modulargolems:knightmetal_shinguard neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:crushing/naga_boots | create:crushing | create:crushing modulargolems:naga_boots neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_scale
modulargolems:crushing/naga_chestplate | create:crushing | create:crushing modulargolems:naga_chestplate neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_scale
modulargolems:crushing/naga_helmet | create:crushing | create:crushing modulargolems:naga_helmet neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_scale twilightforest:naga_trophy
modulargolems:crushing/naga_shinguard | create:crushing | create:crushing modulargolems:naga_shinguard neoforge:mod_loaded twilightforest:ironwood_ingot twilightforest:naga_scale
modulargolems:crushing/netherite_golem_axe | create:crushing | create:crushing minecraft:diamond minecraft:netherite_scrap modulargolems:netherite_golem_axe neoforge:mod_loaded
modulargolems:crushing/netherite_golem_spear | create:crushing | create:crushing minecraft:diamond minecraft:netherite_scrap modulargolems:netherite_golem_spear neoforge:mod_loaded
modulargolems:crushing/netherite_golem_sword | create:crushing | create:crushing minecraft:diamond minecraft:netherite_scrap modulargolems:netherite_golem_sword neoforge:mod_loaded
modulargolems:crushing/roman_guard_chestplate | create:crushing | create:crushing minecraft:iron_ingot modulargolems:roman_guard_chestplate neoforge:mod_loaded
modulargolems:crushing/roman_guard_helmet | create:crushing | create:crushing minecraft:iron_ingot modulargolems:roman_guard_helmet neoforge:mod_loaded
modulargolems:crushing/roman_guard_shinguard | create:crushing | create:crushing minecraft:iron_ingot modulargolems:roman_guard_shinguard neoforge:mod_loaded
modulargolems:crushing/steeleaf_golem_axe | create:crushing | create:crushing modulargolems:steeleaf_golem_axe neoforge:mod_loaded twilightforest:steeleaf_ingot
modulargolems:crushing/steeleaf_golem_spear | create:crushing | create:crushing modulargolems:steeleaf_golem_spear neoforge:mod_loaded twilightforest:steeleaf_ingot
modulargolems:crushing/steeleaf_golem_sword | create:crushing | create:crushing modulargolems:steeleaf_golem_sword neoforge:mod_loaded twilightforest:steeleaf_ingot
modulargolems:crushing/wind_spirit_boots | create:crushing | create:crushing minecraft:diamond modulargolems:wind_spirit_boots neoforge:mod_loaded
modulargolems:crushing/wind_spirit_chestplate | create:crushing | create:crushing minecraft:diamond modulargolems:wind_spirit_chestplate neoforge:mod_loaded
modulargolems:crushing/wind_spirit_helmet | create:crushing | create:crushing minecraft:diamond modulargolems:wind_spirit_helmet neoforge:mod_loaded
modulargolems:crushing/wind_spirit_shinguard | create:crushing | create:crushing minecraft:diamond modulargolems:wind_spirit_shinguard neoforge:mod_loaded
modulargolems:curse | minecraft:crafting_shaped | l2complements:cursed_blade l2complements:cursed_droplet l2core:enchantment minecraft:crafting_shaped minecraft:dragon_breath minecraft:nether_star modulargolems:curse modulargolems:empty_upgrade neoforge:mod_loaded
modulargolems:cyan_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:cyan_dye modulargolems:config_card modulargolems:cyan_config_card
modulargolems:diamond | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond modulargolems:diamond modulargolems:empty_upgrade
modulargolems:diamond_expansion_template | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:netherite_upgrade_smithing_template modulargolems:diamond_expansion_template modulargolems:empty_upgrade
modulargolems:diamond_golem_axe | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:stick modulargolems:diamond_golem_axe modulargolems:metal_golem_template
modulargolems:diamond_golem_spear | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:stick modulargolems:diamond_golem_spear modulargolems:metal_golem_template
modulargolems:diamond_golem_sword | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond minecraft:stick modulargolems:diamond_golem_sword modulargolems:metal_golem_template
modulargolems:dog_golem_body_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:dog_golem_body modulargolems:metal_golem_template
modulargolems:dog_golem_holder | modulargolems:golem_assemble | modulargolems:dog_golem_body modulargolems:dog_golem_holder modulargolems:dog_golem_legs modulargolems:golem_assemble
modulargolems:dog_golem_holder_replace_body | modulargolems:golem_replace_part | modulargolems:dog_golem_body modulargolems:dog_golem_holder modulargolems:golem_replace_part
modulargolems:dog_golem_holder_replace_legs | modulargolems:golem_replace_part | modulargolems:dog_golem_holder modulargolems:dog_golem_legs modulargolems:golem_replace_part
modulargolems:dog_golem_legs_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:dog_golem_legs modulargolems:metal_golem_template
modulargolems:emerald | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:emerald minecraft:emerald_block modulargolems:emerald modulargolems:empty_upgrade
modulargolems:empty_upgrade | minecraft:crafting_shaped | minecraft:amethyst_shard minecraft:clay_ball minecraft:crafting_shaped minecraft:iron_ingot modulargolems:empty_upgrade
modulargolems:enchanted_gold | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:enchanted_golden_apple modulargolems:empty_upgrade modulargolems:enchanted_gold
modulargolems:ender_guardian_void_rune | minecraft:crafting_shapeless | cataclysm:gauntlet_of_guard minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:ender_guardian_void_rune neoforge:mod_loaded
modulargolems:ender_sight | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:ender_eye modulargolems:empty_upgrade modulargolems:ender_sight
modulargolems:expansion_dog_golem_holder | modulargolems:golem_add_slot | minecraft:iron_ingot modulargolems:dog_golem_holder modulargolems:expansion_template modulargolems:golem_add_slot
modulargolems:expansion_humanoid_golem_holder | modulargolems:golem_add_slot | minecraft:iron_ingot modulargolems:expansion_template modulargolems:golem_add_slot modulargolems:humanoid_golem_holder
modulargolems:expansion_metal_golem_holder | modulargolems:golem_add_slot | minecraft:iron_ingot modulargolems:expansion_template modulargolems:golem_add_slot modulargolems:metal_golem_holder
modulargolems:fiery | minecraft:crafting_shaped | minecraft:blaze_powder minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:fiery neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:fiery_boots | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:fiery_boots modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_boots twilightforest:fiery_vial
modulargolems:fiery_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:fiery_chestplate modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_chestplate twilightforest:fiery_vial
modulargolems:fiery_golem_axe | minecraft:crafting_shaped | minecraft:blaze_rod minecraft:crafting_shaped modulargolems:fiery_golem_axe modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:fiery_golem_spear | minecraft:crafting_shaped | minecraft:blaze_rod minecraft:crafting_shaped modulargolems:fiery_golem_spear modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:fiery_golem_sword | minecraft:crafting_shaped | minecraft:blaze_rod minecraft:crafting_shaped modulargolems:fiery_golem_sword modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_ingot
modulargolems:fiery_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:fiery_helmet modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_helmet twilightforest:fiery_vial
modulargolems:fiery_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:fiery_shinguard modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:fiery_leggings twilightforest:fiery_vial
modulargolems:fire_immune | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:magma_cream modulargolems:empty_upgrade modulargolems:fire_immune
modulargolems:flame_thrower | minecraft:crafting_shaped | minecraft:blast_furnace minecraft:blaze_rod minecraft:crafting_shaped minecraft:iron_ingot modulargolems:flame_thrower modulargolems:metal_golem_template
modulargolems:float | minecraft:crafting_shapeless | minecraft:boats minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:float
modulargolems:force_field | minecraft:crafting_shapeless | l2complements:force_field minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:force_field neoforge:mod_loaded
modulargolems:freezing | minecraft:crafting_shaped | l2complements:freezing_blade l2complements:freezing_thorn l2complements:hard_ice l2core:enchantment minecraft:crafting_shaped minecraft:gold_ingot modulargolems:empty_upgrade modulargolems:freezing neoforge:mod_loaded
modulargolems:gold | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:golden_apple minecraft:golden_carrot modulargolems:empty_upgrade modulargolems:gold
modulargolems:golem_workbench | minecraft:crafting_shaped | minecraft:amethyst_shard minecraft:anvil minecraft:crafting_shaped minecraft:echo_shard minecraft:redstone minecraft:smithing_table modulargolems:golem_slicing_axe modulargolems:golem_workbench
modulargolems:gray_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:gray_dye modulargolems:config_card modulargolems:gray_config_card
modulargolems:green_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:green_dye modulargolems:config_card modulargolems:green_config_card
modulargolems:harbinger_chestplate | minecraft:smithing_transform | cataclysm:witherite_block minecraft:smithing_transform modulargolems:barbaric_vanguard_chestplate modulargolems:harbinger_chestplate modulargolems:harbinger_upgrade_template neoforge:mod_loaded
modulargolems:harbinger_helmet | minecraft:smithing_transform | cataclysm:witherite_block minecraft:smithing_transform modulargolems:barbaric_vanguard_helmet modulargolems:harbinger_helmet modulargolems:harbinger_upgrade_template neoforge:mod_loaded
modulargolems:harbinger_shinguard | minecraft:smithing_transform | cataclysm:witherite_ingot minecraft:smithing_transform modulargolems:barbaric_vanguard_shinguard modulargolems:harbinger_shinguard modulargolems:harbinger_upgrade_template neoforge:mod_loaded
modulargolems:harbinger_upgrade_template | minecraft:crafting_shaped | cataclysm:witherite_ingot minecraft:crafting_shaped minecraft:nether_star minecraft:netherite_upgrade_smithing_template minecraft:redstone_block modulargolems:harbinger_upgrade_template neoforge:mod_loaded
modulargolems:heavy_golem_spear | minecraft:crafting_shaped | minecraft:breeze_rod minecraft:crafting_shaped minecraft:heavy_core modulargolems:heavy_golem_spear modulargolems:metal_golem_template
modulargolems:hostility_core | minecraft:crafting_shaped | l2hostility:adaptive l2hostility:chaos_ingot minecraft:crafting_shaped modulargolems:hostility_core modulargolems:talented neoforge:mod_loaded
modulargolems:hostility_potion | minecraft:crafting_shaped | l2complements:storm_core l2hostility:cursed l2hostility:slowness l2hostility:soul_burner l2hostility:weakness minecraft:crafting_shaped modulargolems:cauldron modulargolems:hostility_potion neoforge:mod_loaded
modulargolems:hostility_protection | minecraft:crafting_shaped | l2hostility:protection minecraft:crafting_shaped minecraft:turtle_scute modulargolems:diamond modulargolems:hostility_protection neoforge:mod_loaded
modulargolems:hostility_reflect | minecraft:crafting_shaped | l2complements:explosion_shard l2hostility:reflect minecraft:crafting_shaped modulargolems:attack_high modulargolems:hostility_reflect neoforge:mod_loaded
modulargolems:hostility_regen | minecraft:crafting_shaped | l2complements:totemic_gold_ingot l2hostility:regenerate minecraft:crafting_shaped modulargolems:enchanted_gold modulargolems:hostility_regen neoforge:mod_loaded
modulargolems:hostility_speed | minecraft:crafting_shaped | l2complements:captured_wind l2hostility:speedy minecraft:crafting_shaped modulargolems:hostility_speed modulargolems:speed_high neoforge:mod_loaded
modulargolems:hostility_tank | minecraft:crafting_shaped | l2complements:warden_bone_shard l2hostility:tank minecraft:crafting_shaped modulargolems:hostility_tank modulargolems:netherite neoforge:mod_loaded
modulargolems:humanoid_golem_arms_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:humanoid_golem_arms modulargolems:metal_golem_template
modulargolems:humanoid_golem_body_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:humanoid_golem_body modulargolems:metal_golem_template
modulargolems:humanoid_golem_holder | modulargolems:golem_assemble | modulargolems:golem_assemble modulargolems:humanoid_golem_arms modulargolems:humanoid_golem_body modulargolems:humanoid_golem_holder modulargolems:humanoid_golem_legs
modulargolems:humanoid_golem_holder_replace_arms | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:humanoid_golem_arms modulargolems:humanoid_golem_holder
modulargolems:humanoid_golem_holder_replace_body | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:humanoid_golem_body modulargolems:humanoid_golem_holder
modulargolems:humanoid_golem_holder_replace_legs | modulargolems:golem_replace_part | modulargolems:golem_replace_part modulargolems:humanoid_golem_holder modulargolems:humanoid_golem_legs
modulargolems:humanoid_golem_legs_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:humanoid_golem_legs modulargolems:metal_golem_template
modulargolems:ignis_chestplate | minecraft:smithing_transform | cataclysm:ignitium_block cataclysm:ignitium_upgrade_smithing_template minecraft:smithing_transform modulargolems:barbaric_vanguard_chestplate modulargolems:ignis_chestplate neoforge:mod_loaded
modulargolems:ignis_helmet | minecraft:smithing_transform | cataclysm:ignitium_block cataclysm:ignitium_upgrade_smithing_template minecraft:smithing_transform modulargolems:barbaric_vanguard_helmet modulargolems:ignis_helmet neoforge:mod_loaded
modulargolems:ignis_shinguard | minecraft:smithing_transform | cataclysm:ignitium_block cataclysm:ignitium_upgrade_smithing_template minecraft:smithing_transform modulargolems:barbaric_vanguard_shinguard modulargolems:ignis_shinguard neoforge:mod_loaded
modulargolems:incarcerate | minecraft:crafting_shaped | l2complements:blackstone_core l2core:enchantment minecraft:binding_curse minecraft:crafting_shaped minecraft:dragon_breath minecraft:nether_star modulargolems:empty_upgrade modulargolems:incarcerate neoforge:mod_loaded
modulargolems:iron_golem_axe | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick modulargolems:iron_golem_axe modulargolems:metal_golem_template
modulargolems:iron_golem_spear | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick modulargolems:iron_golem_spear modulargolems:metal_golem_template
modulargolems:iron_golem_sword | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_ingot minecraft:stick modulargolems:iron_golem_sword modulargolems:metal_golem_template
modulargolems:iron_mecha_bow | minecraft:crafting_shaped | minecraft:chain minecraft:crafting_shaped minecraft:iron_ingot modulargolems:iron_mecha_bow modulargolems:metal_golem_template
modulargolems:ironwood | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:ironwood neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:ironwood_boots | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:ironwood_boots modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_boots twilightforest:liveroot
modulargolems:ironwood_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:ironwood_chestplate modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_chestplate twilightforest:liveroot
modulargolems:ironwood_golem_axe | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick modulargolems:ironwood_golem_axe modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:ironwood_golem_spear | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick modulargolems:ironwood_golem_spear modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:ironwood_golem_sword | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick modulargolems:ironwood_golem_sword modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_ingot
modulargolems:ironwood_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:ironwood_helmet modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_helmet twilightforest:liveroot
modulargolems:ironwood_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:ironwood_shinguard modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:ironwood_leggings twilightforest:liveroot
modulargolems:knightmetal | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:knightmetal neoforge:mod_loaded twilightforest:hedge twilightforest:knightmetal_ingot
modulargolems:knightmetal_boots | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:knightmetal_boots modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:armor_shard_cluster twilightforest:knightmetal_boots
modulargolems:knightmetal_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:knightmetal_chestplate modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:armor_shard_cluster twilightforest:knightmetal_chestplate
modulargolems:knightmetal_golem_axe | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick modulargolems:knightmetal_golem_axe modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:knightmetal_golem_spear | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick modulargolems:knightmetal_golem_spear modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:knightmetal_golem_sword | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick modulargolems:knightmetal_golem_sword modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:knightmetal_ingot
modulargolems:knightmetal_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:knightmetal_helmet modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:armor_shard_cluster twilightforest:knightmetal_helmet
modulargolems:knightmetal_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped modulargolems:knightmetal_shinguard modulargolems:metal_golem_template neoforge:mod_loaded twilightforest:armor_shard_cluster twilightforest:knightmetal_leggings
modulargolems:leviathan_blast_portal | minecraft:crafting_shapeless | cataclysm:tidal_claws minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:leviathan_blast_portal neoforge:mod_loaded
modulargolems:light_blue_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_blue_dye modulargolems:config_card modulargolems:light_blue_config_card
modulargolems:light_gray_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:light_gray_dye modulargolems:config_card modulargolems:light_gray_config_card
modulargolems:lime_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:lime_dye modulargolems:config_card modulargolems:lime_config_card
modulargolems:magenta_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:magenta_dye modulargolems:config_card modulargolems:magenta_config_card
modulargolems:mechanical_arm | create:mechanical_crafting | create:brass_sheet create:gearbox create:mechanical_arm create:mechanical_crafting create:precision_mechanism modulargolems:mechanical_arm modulargolems:metal_golem_template neoforge:mod_loaded
modulargolems:metal_golem_arm_from_metal_golem_template_stonecutting | minecraft:stonecutting | minecraft:stonecutting modulargolems:metal_golem_arm modulargolems:metal_golem_template
