# LEAVE tally — mods marked LEAVE, by how many independent agent-instances said so
# 269 mods got >=1 LEAVE (across 280 chunk files / 19 passes).
# Format:  LEAVEs / total-reviews   mod   [* = also has an ACCEPTed candidate somewhere = contested]

 19 / 20   ars_n_spells
 18 / 19   betterendisland
 18 / 19   create_ultimate_factory
 18 / 19   direct_chute
  4 /  6   puzzleslib
  4 /  6   resourcefulconfig
  4 /  6   resourcefullib
  4 /  6   solmaiddream   *
  4 /  6   sound_physics_remastered
  4 /  6   spark
  4 /  6   tipsmod
  4 /  6   trashcans   *
  4 /  6   trashslot
  4 /  6   xaeroworldmap
  4 /  6   yungsapi
  3 /  6   aeronauticscompat
  3 /  6   better_climbing
  3 /  3   cerbons_api
  3 /  6   clumps
  3 /  6   comforts   *
  3 /  6   companion
  3 / 19   copperagebackport   *
  3 /  6   copycats   *
  3 /  3   coroutil
  3 /  6   create_tweaked_controllers   *
  3 /  6   dragonlib
  3 /  6   dtterralith   *
  3 /  6   dynamictrees   *
  3 /  6   emojitype
  3 / 19   endrem   *
  3 /  6   entity_model_features
  3 /  6   foodeffecttooltips
  3 /  6   jei
  3 /  6   knightlib
  3 /  6   ldlib2
  3 /  6   libipn
  3 /  6   lithium
  3 /  3   midnightlib
  3 /  6   miningspeedtooltips
  3 /  6   moblassos
  3 /  6   modernfix
  3 /  6   moreoverlays
  3 /  6   ohthetreesyoullgrow
  3 /  6   particlerain
  3 /  6   sable
  3 /  6   searchables
  3 / 16   solonion
  3 /  6   staaaaaaaaaaaack
  3 /  6   zeta
  2 /  6   create_compressed   *
  2 /  6   create_dragons_plus   *
  2 / 19   createnuclear   *
  2 /  6   createthreadedtrains
  2 / 19   dndesires   *
  2 /  6   gnkinetics   *
  2 /  6   gtmogs
  2 / 19   mushroomquest   *
  2 / 19   numismatics   *
  2 /  3   titanium
  1 / 20   alexsmobs   *
  1 / 19   brazil_legends   *
  1 / 19   cmpackagecouriers   *
  1 / 19   cold_sweat   *
  1 /  6   create_hypertube
  1 / 19   create_ironworks   *
  1 /  6   create_ltab-3.9.2   *
  1 /  6   create_mobile_packages   *
  1 / 19   createaddition   *
  1 / 19   createoreexcavation   *
  1 / 20   deeperdarker   *
  1 / 19   enhancedcelestials   *
  1 / 20   farm_and_charm   *
  1 / 19   immersive_armors   *
  1 /  6   mcwdoors   *
  1 /  6   mcwroofs   *
  1 /  6   minecolonies_tweaks   *
  1 / 20   oceansdelight   *
  1 /  6   ribbits   *
  1 / 19   samurai_dynasty   *
  1 / 19   spawn   *
  1 / 19   tfmg   *
  1 / 20   tide   *
  1 / 19   travelersbackpack   *
  1 / 20   undergroundworlds   *
  1 / 19   valarian_conquest   *
  1 / 19   vc_gliders   *
